04-iGMM-selectinvestors,01-DDD-investors
"greylock partners, general catalyst, khosla ventures","blackstone, bessemer venture partners"
"sequoia capital india, tiger global management, tencent","liberty global ventures, sageview capital, blue cloud ventures"
"goodwater capital, entree capital, valar ventures","benchmark, sequoia capital, tpg capital"
"durable capital partners, cercano management, 	t. rowe price","redpoint ventures, qiming venture partners, chengwei capital"
"kkr, aspenwood ventures, spark capital","seed capital, greyhound capital, socii capital"
"imm investment, mirae asset capital, bond",automobile industry guidance fund
"notion capital, kindred capital, bgf ventures","viola ventures, insight partners, claltech, goldman sachs"
"sequoia capital india, hummingbird ventures, matrix partners india","lightspeed venture partners, redpoint ventures, norwest venture partners"
"qualcomm ventures, fireside ventures","khosla ventures, bain capital ventures, lightspeed venture partners"
"sierra ventures, axa venture partners, sigma prime ventures","trustbridge partners, hony capital, idg capital"
"helion venture partners, tiger global management, crv","btov partners, geely, intel capital"
"signal peak ventures, owl ventures, jump capital","black pearl ventures, stonebridge ventures, yuanta investment korea"
"refactor capital, andreessen horowitz, fifty years fund","breega capital, iris capital, 360 capital partners"
"blackrock, tengelmann ventures, holtzbrinck ventures","hopu investment management, boyu capital, dc thomson ventures"
"simon equity partners, wavemaker partners, anthem venture partners","insight partners, kibo ventures, bessemer venture partners"
"innovation endeavors, s28 capital, lightspeed venture partners","tiger global management, lightspeed venture partners, hillhouse capital management"
"y combinator, s capital, tenaya capital","matrix partners, north bridge venture partners, venrock"
"lightspeed venture partners, access industries, eldridge","dcm ventures, idg capital, siam commercial bank"
"sequoia capital, four rivers group, dag ventures","softbank group, maverick capital"
"propel venture partners, monashees+, bbva","claltech, vertex ventures, oryzn capital"
"contour venture partners, intel capital, silver lake","k9 ventures, menlo ventures, andreessen horowitz"
"desun capital, yunfeng capital, meridian capital","northzone ventures, white star capital, novator partners"
"sequoia capital china, goldman sachs, matrix partners china","andreessen horowitz, kleiner perkins caufield & byers, eqt ventures"
"green pine capital partners, ivy capital, dcm ventures","khosla ventures, green innovations, founders fund"
"8vc, bedrock capital, broom ventures","sequoia capital, paradigm, pantera capital"
"menlo ventures, resolute ventures, ia ventures","gauss ventures, ventura capital, dmg ventures"
"tencent holdings, glory ventures, shenzhen capital group","lightspeed venture partners, almaz capital partners, altimeter capital"
"marchmont ventures, bmw i ventures, index ventures","benchmark, altimeter capital, quiet capital"
"atinum investment, company k partners, gic","accel, d1 capita partners, greenoaks capital management"
"kleiner perkins caufield & byers, comcast ventures, insight partners","vision plus capital, gsr ventures, zhenfund"
goldman sachs,"obvious ventures, qualcomm ventures, andreessen horowitz"
"advantech capital, temasek holdings ltd., tiantu capital co.","rethink impact, work-bench, rre ventures"
"sc.holdings, not boring capital, bolt ventures","northern light venture capital, xiaomi, futurex capital"
"qiming venture partners, china internet investment fund, qualcomm ventures","insight partners, warburg pincus, ayala corporation"
"arch venture partners, ally bridge group","japan post capital, globis capital partners, atomico"
"bluecross blueshield venture partners, us venture partners","upfront ventures, tao capital partners, andreessen horowitz"
"bertelsmann india investments, march capital partners, tribe capital, nirvana venture advisors","insight partners, tiger global management, gradient ventures"
undisclosed,"sequoia capital china, source code capital, redpoint ventures china"
"york capital management, ge healthcare, koch disruptive technologies","a&nn, rusnano"
"highland capital partners, next coast ventures, sogal ventures","tencent holdings, 5y capital, sequoia capital china"
"coatue management, h capital, capital today","qualcomm ventures, softbank group. monashees+"
"n5 capital, cr capital mgmt, jd digits","ignition partners, formation 8, crv"
"insight partners, silversmith capital partners, spotify","andreessen horowitz, caffeinated capital, scifi vc"
"kaszek ventures, qed investors, international finance corporation","crv, blue cloud ventures, index ventures"
"bessemer venture partners, menlo ventures, anthermis","matrix partners china, sequoia capital china, genesis capital"
"signalfire, glp capital partners, google ventures","next47, mac venture capital, finvc"
"lightspeed venture partners, dell technologies capital, wipro ventures",undisclosed
"liberty city ventures, soros fund management, summer capital","accel, frst, kima ventures"
"localglobe, kinnevik, felix capital","alta ventures mexico, general atlantic, softbank group"
"left lane capital, walden venture capital","meritech capital partners, tiger global management, spectrum equity"
"zeev ventures, gsv ventures","index ventures, creandum, accel"
"initialized capital, general catalyst, kraken ventures","jerusalem venture partners, israel growth partners, insight partners"
"chromo invest, maersk growth, blackrock","highland capital partners, oak hc/ft partners, emergence capital partners"
"unity ventures, qiming venture partners, ggv capital",blackstone
"insight partners, b capital group, 	lightspeed venture partners","caffeinated capital, obvious ventures, venrock"
"airtree ventures, insight partners, index ventures","matrix partners china, eastern bell capital, hongtai capital holdings"
"insight partners, sequoia capital, stripes group","nexus venture partners, tenaya capital, sequoia capital"
"caffeinated capital, initialized capital, y combinator","sequoia capital, google ventures, accel"
"general atlantic, cvs health, massmutual ventures","tiantu capital, cmb international capital, vision knight capital"
"dynamo vc, susa ventures, founders fund","bertelsmann asia investments, ggv capital, morningside venture capital"
"bessemer venture partners, insight partners, pitango venture capital","tomales bay capital, bain & company, general catalyst"
nordic capital,"viola ventures, dell technologies capital, bain capital ventures"
"firstmark capital, tiger global management","magma venture partners, pitango venture capital, qumra capital"
"mitsubishi corporation, mayfair equity partners","blackrock, capitalg, world lab innovation"
"idg capital, gaocheng capital, chuanrong capital","ggv capital, idg capital, linear venture"
"dark horse technology group, hopu investment management, kefa capital","qiming venture partners, capital today, general atlantic"
"tencent holdings, utrust venture capital, gf xinde investment management co.","sequoia capital china, china construction bank, bank of china"
"idg capital, yuanda venture investment, primitive forest holdings group","y combinator, matrix partners, benchmark"
"boldstart ventures, sap.io fund, scale venture partners","accel partners, index ventures, insight venture partners"
"sequoia capital china, cmc capital partners, tencent holdings","sequoia capital china, matrix partners china, 58.com"
"passion capital, hedosophia, outrun ventures","toyota motor corporation, mizuho financial group, fanuc"
"andreessen horowitz, prosus ventures, thrive capital","insight partners, tpg alternative & renewable technologies, ireland strategic investment fund"
"javelin venture partners, struck capital, alumni ventures group","rre ventures, tiger global, august capital"
"dila capital, framework ventures, 3l","insight venture partners, tpg growth, sound ventures"
"andreessen horowitz, bessemer venture partners, coatue management","zheshang venture capital, gp capital, western capital management"
"tencent holdings, tiger global management, global founders capital","andreessen horowitz, coinbase ventures, circle ventures"
"madrona venture group, banner ventures, fj labs","cowboy ventures, leaders fund, ggv capital"
"sequoia capital, y combinator, accel","y combinator, m12, seek"
"g squared, uipath ventures, general catalyst","pitango venture capital, dfj growth fund, foundry group"
"general catalyst, unkork capital, tencent holdings","molten ventures, contrarian ventures, hitachi ventures"
"tsg consumer partners, crowdcube","tencent holdings, crv, clocktower technology ventures"
"tencent holdings, delta capital, redpoint ventures china",l capital partners
qiming venture partners,"dragonfly capital, bai capital, 10t fund"
"accel, founder collective, brainchild holdings","ggv capital, blackrock, ace & company"
"nextech invest, casdin capital, google ventures","cherry ventures, northzone ventures, global founders capital"
"trane technologies, honeywell","venrock, cvf capital partners, arch venture partners"
"leta capital, insight partners, general catalyst","iconiq growth, bain capital ventures, summit partners"
"cool japan fund, jafco, the carlyle group","softbank group, saif partners india, valiant capital partners"
"wamda capital, endeavor, riverwood capital","accel, passion capital, balderton capital"
"the column group, alexandria venture investments, lux capital","lightspeed venture partners, sapphire ventures, kleiner perkins caufield & byers"
"	crv, tiger global management, y combinator","vy capital, accel, elevation capital"
"alibaba group, kkr, goldman sachs","gsr ventures, sapphire ventures, streamlined ventures"
"creditease fintech investment fund, bmw i ventures, softbank group","foundation capital, institutional venture partners, general catalyst"
"forerunner ventures, institutional venture partners, thrive capital","polychain capital, coinbase ventures, jump capital"
icg,"plug and play ventures, valor capital group, dst global"
"madrona venture group, kleiner perkins caufield & byers, highland capital partners","lightspeed china partners, baidu ventures, qiming venture partners"
"georgian partners, silver lake, presidio ventures","deer park road, altamont capital partners, eldridge"
"accel, greycroft, advancit capital","sequoia capital china, banyan capital"
"source code capital, xvc venture capital, hillhouse capital management","8vc, menlo ventures, tiger global management"
"index ventures, sequoia capital, bezos expeditions","eight roads ventures, one peak partners, creandum"
"sequoia capital china, lenovo capital and incubator, group gsr ventures","eastern bell capital 32, sdic cmc investment management, trustbridge partners"
"swan & legend ventures, revolution growth, invus group","expa, qed investors, foundation capital"
"ia ventures, khosla ventures, ame cloud ventures","andreessen horowitz, google ventures, section 32"
"version one ventures, bessemer venture partners, firstmark capital","pantera capital, qed investors, coinbase ventures"
"idg capital, zhenfund, sequoia capital china",sequoia capital
"partech partners, index ventures, quadrille capital","general atlantic, breakthrough energy ventures, viking global investors"
"newpath partners, google ventures, f-prime capital","general atlantic, softbank group, atomico"
"polaris partners, insight partners, norwest venture partners","bain capital ventures, sixth street growth, lightspeed venture partners"
"qualcomm ventures, accel, canaan partners","8vc, d1 capital partners, sway ventures"
"rpm ventures, inspiration ventures, carrick capital partners",general atlantic
"pantera capital, polychain capital, lightspeed venture partners","accel, alven capital, storm ventures"
"insight partners, salesforce ventures, perpetual investors","knox lane, ainge advisory, carlson private capital partners"
"accel, greylock partners, meritech capital partners","founders fund, meritech capital partners, gs growth"
"sequoia capital india, hillhouse capital management, sunley house capital management","softbank group, ame cloud ventures, signalfire"
"l'occitane, trifecta capital, bessemer venture partners","goodwater capital, warburg pincus, gs growth"
"craft ventures, caffeinated capital, operator collective","temasek, google ventures, general catalyst"
"sequoia capital india, hummingbird ventures, epiq capital","kibo ventures, softbank group, atomico"
"ggv capital, tiger global management, greycroft","zhangjiang haocheng venture capital, walden international, intel capital"
"softbank latin america fund, advent international, balderton capital","google ventures, index ventures, scale venture partners"
"mayfield, madrona venture group, tiger global management","tencent holdings, goldman sachs"
"advent international, battery ventures, sequoia capital israel","relay ventures, ttv capital, canapi ventures"
"paradigm, andreessen horowitz, jump capital","imm investment, nxc"
"jungle ventures, helion venture partners, ingka investments","andreessen horowitz, homebrew, point72 ventures"
"norwest venture partners, investcorp, blackstone","revolution, new enterprise associates, caterpillar"
"firstmark capital, tiger global management, ftx venture","v fund, idg capital, green pine capital partners"
"bessemer venture partners, g squared, insight partners","octopus ventures, munich re ventures, commerzventures"
"kleiner perkins caufield & byers, crv, threshold ventures","emergence capital partners, 8vc, chicago ventures"
"accel, better tomorrow ventures, flourish ventures","the rise fund, fidelity investments. redbird capital partners"
"vision plus capital, 	source code capital, lightspeed venture partners","andreessen horowitz, data collective, roche venture fund"
cvc capital partners,"t. rowe price, lockheed martin ventures, fidelity investment"
"mendacre, brv capital management, liquid 2 ventures","norwest venture partners, hillsven capital, aleph"
"matrix partners, lightspeed venture partners, verizon ventures","liberty city ventures, rre ventures, mithril capital management"
cdib capital,"t. rowe price, dragoneer investment group, blackrock"
"russia-china investment fund, tencent holdings, sequoia capital china","norwest venture partners, aspect ventures, lightspeed venture partners"
"sequoia capital china, qiming venture partners, tencent holdings","shunwei capital partners, china media group, guangzhou huiyin aofeng equity investment fund"
"source code capital, global logistic properties, k2vc","romulus capital, insight partners, redbird capital partners"
"kleiner perkins caufield & byers, afore capital, founders fund","info edge, softbank capital"
"goodwater capital, floodgate, founders fund","shunwei capital partners, china media group, guangzhou huiyin aofeng equity investment fund"
"qiming venture partners, yaxia automobile, far east horizon","google ventures, sequoia capital, wakefield group"
"breakthrough energy ventures, material impact, 3x5 special opportunity partners","softbank group, crv, spark capital"
advent international,"gic. apis partners, insight partners"
"pelion venture partners, foundation capital, thoma bravo","greycroft, loeb.nyc, dst global"
"pelion venture partners, foundation capital, thoma bravo","tiger global management, the raine group, malabar investments"
"venrock, innovation endeavors, insights partners","sequoia capital india, rtp global, go-ventures"
"general catalyst, bling capital, felicis ventures","bessemer venture partners, pitango venture capital, d1 capital partners"
"firstmark capital, anthemis, cmfg ventures","chiratae ventures, march capital partners, national grid partners"
"china reform fund, gaopeng capital, jinhui xingye","sutter hill ventures, osage university partners, spark capital"
"ant group, lazada, sinar mas indonesia","bessemer venture partners, eight roads ventures, battery ventures"
"lightspeed venture partners, khosla ventures, munich re ventures","stripes group, neuberger berman"
"artiman ventures, pitango venture capital, valo ventures","sequoia capital india, kae capital, accel"
"upfront ventures, accel, industry ventures","soros fund management, ribbit capital, monashees+"
"forestay capital, alumni ventures, ntt docomo ventures","fabric ventures, airtree ventures, temasek"
"redpoint ventures, prologis ventures, madrona venture group","the blue venture fund, flare capital partners, longitude capital"
"draper fisher jurtson, qualcomm ventures, alibaba group","accel, bain capital ventures, insight partners"
"mithril, inovia capital, foundry group","square peg capital, tdm growth partners, tiger global management"
"tiantu capital, saif partners china, newsion venture capital","crv, accel, google ventures"
"kkr, towerbrook capital partners","accel, tiger global management, nexus venture partners"
"spark capital, highland europe, sunstone capital",rhone capital
"ardian, tiger global management, kkr","warburg pincus, general catalyst"
"opus capital, genesis partners, battery ventures","institutional venture partners, crv, sequoia capital"
the carlyle group,"warburg pincus, the rise fund, harbourvest partners"
"accelm scania growth capital, lakestar","bmw i ventures, bhp ventures"
"auriga, galeo ventures, highland europe","khosla ventures, horizons ventures, founders fund"
"localglobe, balderton capital, target global","big bets, general atlantic, softbank latin america ventures"
"thrive capital, khosla ventures, tiger global management","aspect ventures, singtel innov8, greylock partners"
"zeev ventures, group11, chicago ventures","faw group, tencent holdings, tus holdings"
"china culture industrial investment fund, we capital, china minsheng investment group","jd.com, baidu, vision plus capital"
"pritzker group venture capital, accel, hyde park venture partners","vertex ventures israel, bessemer venture partners, emerge"
"glory ventures, maniv mobility","coatue managemeny, trinity ventures, matrix partners"
" cmfg ventures, accomplice, moderne ventures","foundry group, general atlantic, blackrock"
" monashees+, foundation capital, base10 partners","forerunner ventures, lifeline ventures, msd capital"
"ggv capital, lightspeed venture partners, iconiq capital","jungle ventures, accel, venture highway"
"500 global, rakuten ventures, golden gate ventures","contour venture partners, battery ventures, core capital partners"
"sequoia capital india, rocketship.vc, lightspeed india partners","insight partners, jackson square ventures, liberty gloval ventures"
"8vc, norwest venture partners, tiger global management",kkr
"hv capital, softbank group, blackrock","data collective, formation 8, general catalyst partners"
"intact ventures, munich re ventures, general atlantic","makers fund, index ventures, inova ventures participacees"
"m13, lightspeed venture partners, lone pine capital","british patient capital, seb venture capital, iq capital"
"mangrove capital partners,14w. forgelight","hd capital, qihoo 360 technology, china fortune land development"
"khosla ventures, general catalyst, blumberg capital","general atlantic, piton capital, partech partners"
"foundation capital, 	frontier ventures, altair capital","notion capital, scentan ventures, kite ventures"
"chiratae ventures, softbank group, trifecta capital","forest partners, softbank ventures asia"
"westbridge capital, gsv ventures, elevar equity","redpoint ventures, goldcrest capital, insight partners"
"edison partners, georgian partners, venturelink","institutional venture partners, new enterprise associates, javelin venture partners"
"new enterprise associates, koch disruptive technologies, evolution equity partners","general atlantic, insight partners, vintage investment partners"
"insight partners, e.ventures, general atlantic",motive partners
"general catalyst, inspired capital, flybridge capital partners",midocean partners
"kaiser permanente ventures, endeavour vision, lrvhealth",goldman sachs asset management
"kleiner perkins caufield & byers, s28 capital, insight partners","sequoia capital, baillie gifford & co., google ventures"
"andreessen horowitz, bessemer venture partners, khosla ventures,","dell technologies capital, pitango venture capital, amadeus capital partners"
"andreessen horowitz, founders fund","new enterprise associates, accel, bond"
"gsv ventures, westbridge capital","point72 ventures, route 66 ventures, accel"
"goldman sachs asset management, story3 capital partners","founders fund, quantum energy partners, bedrock capital"
"blume ventures, jsw ventures, ivycap ventures","tiger global management, blue lake capital, zhenfund"
"franklin templeton, motive partners. apollo global management","monashees+, andreessen horowitz, qed investors"
"beijing juneng hesheng industry investment fund, beijing shuju xinrong fund","bnk to the future, trammell ventures, sbi investment"
"shenzhen capital group, robert bosch venture capital, septwolves ventures","idg capital, puluo capital, midea capital"
"qf capital, qc capital, unicom innovation venture capital","battery ventures, andreessen horowitz, ribbit capital"
"af ventures, siddhi capital, sc.holdings","tiger global management, tiger brokers, dcm ventures"
inflexion private equity,"index ventures, temasek, portag3 ventures"
"saif partners india, warburg pincus, trifecta capital advisors","coatue management, bmo capital, schonfeld strategic advisors"
"fireside ventures, sequoia capital india, stellaris venture partners","andreessen horowitz, blockchain capital, lux capital"
"jump capital, pantera capital, greylock partners",khosla ventures
"sequoia capital china, rich land capital, merrysunny wealth","green visor capital, cre venture capital, greycroft"
"new enterprise associates, greylock partners, andreessen horowitz","khosla ventures, thrive capital, y combinator"
"fundersclub, y combinator, tiger global management","accel, summit partners, google ventures"
"founders fund, upfront ventures, 	01 advisors","tiger global management, insight partners, jump capital"
"bain capital tech opportunities, andreessen horowitz, sequoia capital","balderton capital, general catalyst, tiger global management"
"american family ventures, greycroft, signalfire","fabric ventures, 500 global, standard crypto"
"lindeman asia investment, nichi-iko pharmaceutical","jackson square ventures, general atlantic, lightspeed venture partners"
"intel capital, aviv venture capital","uniion square ventures, tiger global management, lightspeed venture capital"
"shell ventures, blackstone, moore strategic ventures","uncork capital, threshold ventures, bloomberg beta"
"sequoia capital china, gopher asset management, shanghai electric group","tiger global management, sequoia capital india, ribbit capital"
"silverton partners, tusk ventures, crv","83north, riverpark ventures, pitango venture capital"
andreessen horowitz,"brookfield asset management, blackstone, data collective"
"bdc capital, georgian, bessemer venture partners",iconiq capital
"brv capital management, bualuang ventures","coatue management, atlantic food labs, dst global"
"placeholder capital, coinbase ventures, binance ventures","spectrum equity, iconiq capital, grayhawk capital"
"lightspeed venture partners, coatue management","silversmith capital partners, susquehanna growth equity, tiger global management"
"mouro capital, hanaco venture capital, gramercy ventures","consensys ventures, valar ventures, puc"
"lightrock, greyhound capital, endeavor","cambridge innovation capital, lgt capital partners, escala capital"
"bluerun ventures, leap global partners, cervin ventures","holtzbrinck ventures, unternehmertum venture capital, general atlantic"
"meson capital partners, fifth wall ventures, ogci climate investments","benchmark, bessemer venture partners"
"astorg partners, princeville global, beyond net zero","artiman ventures, plug and play ventures, anthos capital"
railway pension trustee co. ltd.,"next47, first round capital, sequoia capital"
"accel partners, greylock partners, lowercase capital","sequoia capital china, xiang he capital, ggv capital"
"insight partners, toba capital, spring ventures","susquehanna growth equity, citi ventures, iconiq capital"
"softbankgroup, blackrock, alibaba group","morningside ventures, warburg pincus, creditease fintech investment fund"
"matrix partners, passport capital, rho ventures","dst global, lightspeed venture partners, microsoft scaleup"
"resolute ventures, shima capital, circle ventures","general catalyst, digital currency group, accel"
"kleiner perkins caufield & byers, softbank corp., sherpalo ventures","iconiq capital, openview venture partners"
,"playground global, m12, blackrock"
"silver lake partners, general atlantic","thrive capital, alliance consumer growth, imaginary ventures"
"banyan capital, new horizon capital, idg capital partners","accel, sequoia capital, y combinator"
"5y capital, matrix partners china, k2vc","sequoia capital india, softbank, bertelsmann india investments"
"matrix partners china, ventech china, shunwei capital partners","the column group, foresite capital, foresite capital"
"idg capital, northern light venture capital, dcm ventures","thrive capital, founders fund, cocnord health partners"
"accel partners, comcast ventures, general atlantic","tiger global, sequoia capital, google capital"
"sequoia capital china, zhenfund, k2 ventures","institutional venture partners, atomico, earlybird venture capital"
"kkr, alibaba group, ping an insurance","boldstart ventures, lerer hippeau, kenetic capital"
"saif partners china, baidu, idg capital",cpp investment board
"china minsheng investment, baidu, wanxin media","global founders capital, east ventures, expedia inc."
"qiming venture partners, temasek holdings, silverlink capital",alibaba pictures group
hinduja group,"greycroft, sands capital, revolution growth"
"tencent, vcanbio","kaszek ventures, qualcomm ventures, accel"
"goldman sachs, insights venture partners, pritzker group venture capital","intel capital, sutter hill ventures, venturetech"
"berkshire partners, norwest venture partners","andreessen horowitz, ia ventures, felicis ventures"
"sequoia capital china, sig asia investments, zhenfund",sequoia capital
"58.com, tencent holdings","sequoia capital china, sina weibo, kleiner perkins caufield & byers, redpoint ventures"
"warburg pincus, summit partners, sands capital","sequoia capital china, dst global, dst global"
"k2 ventures, matrix partners china, idg capital","bessemer venture partners, sutter hill ventures, matrix partners"
"standard chartered, finsight ventures, affirma capital","geely, sig asia investments, china state capital venture capital fund"
"blue label telecoms, net1 ueps technologies","sequoia capital israel, scale venture partners, commerce ventures"
"co-energy finance, grandland","ame cloud ventures, future perfect ventures, blockchain capital"
"k2 global, 500 startups","m12, westbridge capital, lightspeed venture partners"
"sequoia capital china, ing, alibaba entrepreneurs fund","moore strategic ventures, dst global, sequoia capital india"
"morningside venture capital, idg capital, dcm ventures","china environmental protection industry, china fortune ocean"
"tencent holdings, dcm ventures","jtc group, qatar investment authority, fidelity investment"
ginko ventures,"insight partners, salesforce ventures, vertex ventures"
"fosun rz capital, oceanwide holdings, shenzhen qianhe capital management co.","index ventures, coatue management, andreessen horowitz"
"v star capital, gf xinde investment management co., haitong leading capital management","andreessen horowitz, softbank group, temasek holdings"
"china investment corporation, new enterprise associates","goldman sachs, vebventures, insight partners"
"silicon valley bank, qed investors, european founders fund","new enterprise associates, coatue management, tiger global management"
"innova capital - fip, 3g capital management, prosus ventures","blume ventures, nexus venture partners, sequoia capital india"
"one luxury group, eurazeo","summit partners, noshaq, sofinnova partners"
"qiming venture partners, china broadband capital, cdh investments","tiger global management, kalaari capital"
"prometheus capital, matrix partners china, jd capital management","mithril capital management, y combinator, capricorn investment group"
"yunfeng capital, sdic innovation investment management, shang qi capital","matrix partners, initialized capital, tiger global management"
gcp capital partners,"kleiner perkins caufield & byers, lightspeed venture partners, true ventures"
"sinovation ventures, tencent holdings, sequoia capital china","activant capital group, alaska permanent fund, baillie gifford & co."
"u.s.-china green fund, founder h fund, richland equities","insight partners, tiger global management, accel"
"lakestar, battery ventures, new enterprise associates","airbus ventures, index ventures, advent international"
"china everbright limited, idg capital, iflytek","dn capital, left lane capital, coatue management"
"georgian co-investment fund, itech capital, galaxy digital","westcap group, caisse de depot et placement du quebec"
"target global, ubs asset management, mubadala capital","elaia partners, 83north, felix capital"
softbank group,"madrona venture group, shasta ventures, salesforce ventures"
"astanor ventures, upfront ventures, idinvest partners",kuang-chi
"boc international, toposcend capital, hongxiu vc",eqt partners
"dst global, sequoia capital china, gaorong capital","general catalyst, hca healthcare"
"trinity ventures, fifth wall ventures, openview venture partners","first round capital, sequoia capital, index ventures"
china prosperity capital,"newview capital, maveron, ridge ventures"
"tal education group, legend star, alibaba group","andreessen horowitz, lux capital, general catalyst"
"sbi investment korea, partners investment, gic","dragoneer investment group, dst global, franklin templeton"
"aglae ventures, global founders capital, alven capital","nextview ventures, promus ventures, two sigma ventures"
"koch disruptive technologies, teamworthy ventures, ggv capital","silver lake, iconiq capital"
"union square ventures, summerhill venture partners, mithril capital management",01 advisors. kleiner perkins caufield & byers. andreessen horowitz
"investment corporation of dubai, centralway","y combinator, andreessen horowitz, wonder ventures"
"ftv capital, endeavor","menlo ventures, alkeon capital management, citi ventures"
"matrix partners china, bright venture capita, shenzhen capital group","hillhouse capital management, softbank group, qiming venture partners"
"jackson square ventures, greenoaks capital management, softbank group","norwest venture partners, goldman sachs, dell technologies capital"
"technology crossover ventures, alkeon capital management, general atlantic","casa verde capital, gron ventures, thrity five ventures"
"olx group, kck group, exor seeds","alven capital, firstmark capital, capitalg"
"union square ventures, altos ventures, costanoa ventures","bessemer venture partners, insight partners, new era ventures"
"lightspeed venture partners, data collective, 8vc","upfront ventures, webb investment network, d1 capital partners"
one equity partners,"breakthrough energy ventures, capricorn investment group, valor equity partners"
"novator partners, true, causeway media partners","google ventures, battery ventures, dst global"
"sozo ventures, caffeinated capital, sequoia capital","greylock partners, capitalg, y combinator"
"mmc ventures, bgf ventures, unilever ventures","y combinator, atomico, accel"
"costanoa ventures, data collective, salesforce ventures","softbank group, sequoia capital, wing venture capital"
"wrvi capital, caffeinated capital, y combinator","fifth wall ventures, energize ventures, 	iconiq capital"
"insight partners, bain capital ventures","china health industry investment fund, china renaissance, and sequoia capital china"
"idg capital, francisco partners, zhenfund","greylock partners, insight partners,menlo ventures"
"flybridge capital partners, softbank group, monashees+","accel, silversmith capital partners, capitalg"
"wellington management, eurazeo, citi ventures","andreessen horowitz, thrive capital, sound ventures"
"storm ventures, dfj dragonfund, new enterprise associates","fairfax financial holdings, a91 partners, tvs capital"
"scb 10x, krungsri finnovate, ewtp capital","new enterprise associates, new leaf venture partners, charter venture capital"
"c5 capital, hemisphere ventures, the venture collective","georgian partners, craft ventures"
"scale venture partners, bond, tiger global management","blackrock, kleiner perkins caulfield & byers, google ventures"
"crv, y combinator, initialized capital","new enterprise associates, pear, cowboy ventures"
"bojiang capital, hongdao capital, mobai capital","qualcomm ventures, samsung ventures, silver lake"
"andreessen horowitz, andreessen horowitz, institutional venture partners, accel","accel, insight partners, bond capital"
"owl ventures, technology crossover ventures, tao capital partners","accel, aleph, american express ventures"
"tlv partners, lightspeed venture partners, m12","greylock partners, lightspeed venture partners, khosla ventures"
"sequoia capital china, shunwei capital partners, qualgro","drive capital, general catalyst, ascension ventures"
"b capital group,, ge ventures, mckesson ventures","benchmark, foundation capital, sequoia capital"
"greatpoint ventures, tiger global management, menlo ventures","andreessen horowitz, tq ventures"
"global founders capital, shea ventures, greycroft","softbank group, general atlantic"
"matrix partners china, sequoia capital china, hundreds capital","index ventures, thrive capital, crv"
"lightspeed venture partners, kleiner perkins caufield & byers, origin ventures","khosla ventures, horizons ventures, temasek holdings"
"yinhong equity investment fund, e fund, ideal international","new enterprise associates, starr investment holdings"
"silverton partners, accel, ballast point ventures","zeev ventures, ribbit capital, tlv partners"
"american family ventures, cox enterprises, omers ventures","dragoneer investment group, hellman & friedman, jmi equity"
"tdk ventures, social capital, d1 capital partners","ant financial services group, russia-china investment fund, foxconn technology company"
"bertelsmann asia investments, sequoia capital china, nio capital","sequoia capital, bessemer venture partners, threshold ventures"
"pantera capital, cadenza ventures, blocktower capital","new enterprise associates, sequoia capital, comcast ventures"
"union square ventures, insight partners, spark capital",formation 8
"tiger global management, hedosophia","redbird capital partners, cj enm, tencent holdings"
"thrive capital, durable capital partners, g squared","goodwater capital, ifly, xvc venture capital"
"smilegate investment, dsc investments, ktb ventures","vista equity partners, wincove, tdr capital"
"flagship pioneering, alexandria venture investments, investment corporation of dubai","andreessen horowitz, amplify partners, sequoia capital"
"accel, cobalt capital, andreessen horowitz","venrock, institutional venture partners, goldman sachs"
"eastern bell capital, danhua capital, msa capital","playground global, bond, tribe capital"
"xbto ventures, raven one ventures, sk ventures","lightspeed venture partners, khosla ventures, geodesic capital"
general atlantic,"speedinvest, valar ventures, uniqa ventures"
"griffin gaming partners, andreessen horowitz, battery ventures","benchmark, accel, softbank group"
"eclipse ventures, fidelity investments, moore capital management","lightspeed venture partners, redpoint ventures, viking global investors"
"xingwang investment management, china capital investment group, matrix partners china","general atlantic, blackstone, iconiq growth"
"iris capital, accel, elaia partners","sequoia capital china, qiming venture partners, tencent holdings"
"helion venture partners, bain capital tech opportunities, sequoia capital india","mayfield fund, m12, trinity ventures"
"invus group, hanaco venture capital, westcap group","chiratae ventures, premjiinvest, softbank"
"sequoia capital, founders fund, bling capital","cdh investments, goldstone investments, qiming venture partners"
bregal sagemount,"atop capital, idinvest partners, qiming venture partners"
"dragonfly captial, qiming venture partners, dst global","salesforce ventures, seedcamp, omers ventures"
"version one ventures, uncork capital, bessemer venture partners","passion capital, thrive capital, orange digital ventures"
"northzone ventures, maveron, johnson & johnson innovation","creandum, founders, kinnevik"
"optum ventures, qiming venture partners, transformation capital","china grand prosperity investment, silk road huacheng, oriza equity investment"
"delian capital, china international capital corporation, sequoia capital china","advent international,general catalyst,insight partners"
"singtel innov8, alpha jwc ventures, golden gate ventures","sequoia capital china, tencent holdings, sinovation ventures"
"insight partners, ignition partners, georgian partners","two sigma ventures, flint capital, commerce ventures"
"ggv capital, hillhouse capital management, idg capital","accel, insight partners, burda principal investments"
"salesforce ventures, next47, pereg ventures","threshold ventures, lightspeed venture partners, crosslink capital"
"bessemer venture partners, morevc, team8","ontario teachers' pension plan, goldman sachs"
"genesis partners, aleph, insight partners","sierra ventures, battery ventures, asset management ventures"
"balderton capital, next world capital, draper esprit","general catalyst, viking global investors, t. rowe price"
