sector,founded,area_served,notes,name,headquarters,industry
marine transportation,2003,,shipping,thorco shipping,copenhagen,industrials
brewers,1873,,"brewery, part of carlsberg group",tuborg brewery,fredericia,consumer goods
marine transportation,1876,,shipping,united shipping & trading company,middelfart,industrials
building materials & fixtures,1941,,windows,velux,hørsholm,industrials
industrial machinery,1945,,wind turbines,vestas,aarhus,industrials
oil equipment & services,1994,,oil and gas wells,welltec,allerød,oil & gas
medical equipment,1956,,hearing aids,widex,lynge,health care
health care providers,1904,,health care,william demant,ledøje-smørum,health care
broadcasting & entertainment,1992,,film studio,zentropa,hvidovre,consumer services
brewers,1807,,brewery,a. le coq,tartu,consumer goods
airlines,2002,,airline,airest,tallinn,consumer services
exploration & production,1990,,oil & gas,alexela,tallinn,oil & gas
software,1999,,software development,aqris,tallinn,technology
fixed line telecommunications,1992,,"cable, isp",as starman,tallinn,telecommunications
airlines,1991,,"airline, defunct 2016",avies,tallinn,consumer services
apparel retailers,1928,,apparel,baltika group,tallinn,consumer services
commercial vehicles & trucks,1912,,shipbuilding,blrt grupp,tallinn,industrials
transportation,2013,,"ride-hailing, food delivery, micromobility",bolt,tallinn,technology
airlines,2010,,"helicopter airline, defunct 2016",copterline,tallinn,consumer services
conventional electricity,1939,,energy company,eesti energia,tallinn,utilities
gas distribution,1990,,natural gas company,eesti gaas,tallinn,utilities
railroads,1992,,national railway company,eesti raudtee,tallinn,industrials
conventional electricity,1998,,electrical distribution,elering,tallinn,utilities
travel & tourism,1998,,passenger rail operator,elron,tallinn,consumer services
general mining,1945,,mining,enefit kaevandused,jõhvi,basic materials
business support services,1959,,engineering support,enefit solutions,jõhvi,industrials
airlines,1994,,"airline, defunct 2008",enimex,tallinn,consumer services
internet,?,,"domain provider, defunct 2008",estdomains,tartu,technology
recreational products,1950,,pianos,estonia piano factory,tallinn,consumer goods
broadcasting & entertainment,2001,,recording studio,estonian record productions,tallinn,consumer services
financial services,2007,,payments,fortumo,tartu,financials
travel & tourism,1998[10],,passenger rail operator,gorail,tallinn[10],consumer services
food products,1806,,confectionery producer,kalev,lehmja,consumer goods
distillers & vintners,1898,,distillery,liviko,tallinn,consumer goods
broadcasting & entertainment,2005,,recording studio,moonwalk records,tallinn,consumer services
exploration & production,1980,,shale oil producer,narva oil plant,auvere,oil & gas
software,2000,,software development,nortal,tallinn,technology
specialty retailers,1994,,gas station chain,olerex,tartu[11],consumer services
delivery services,1638,,postal service,omniva,tallinn,logistics
publishing,?,,book publisher,publishing house ersen,tallinn,consumer services
biotechnology,1999,,medical diagnostics,quattromed,tartu,health care
food products,1890,,meat,rakvere lihakombinaat,roodevälja,consumer goods
marine transportation,1992,,ferry traffic,saaremaa shipping company,kuressaare,industrials
brewers,1820,,brewery,saku brewery,saku,consumer goods
banks,2008,,bank,seb pank,tallinn,financials
food retailers & wholesalers,1995,,supermarkets,selver,tallinn,consumer services
broadcasting & entertainment,1995,,broadcaster,sky media group,tallinn,consumer services
delivery services,2006,,logistics,smartpost,tallinn,industrials
broadcasting & entertainment,1991,,"cable network, tv channel, isp, security service",stv,tallinn,consumer services
marine transportation,1989,,ferry traffic,tallink,tallinn,industrials
travel & tourism,1991,,public transport operator in tallinn,tallinna linnatranspordi as,tallinn,consumer services
publishing,1999,,publisher,tänapäev,tallinn,consumer services
food products,2000,,grain,tartu mill,tartu,consumer goods
fixed line telecommunications,1993,,telecommunications services,telia eesti,tallinn,telecommunications
electronic equipment,1959,,electronic components,tondi elektroonika,tallinn,industrials
broadcasting & entertainment,?,,recording studio,topten,tallinn,consumer services
broadline retailers,?,,shopping center,ülemiste keskus,tallinn,consumer services
publishing,1991,,book publisher,varrak,tallinn,consumer services
exploration & production,1924,,shale extractor,viru keemia grupp,kohtla-järve,oil & gas
conventional electricity,1993,,electrical distribution,vkg elektrivõrgud,narva,utilities
software,2007,,software development,zeroturnaround,tartu,technology
basic resources,1851,,fiber materials,ahlstrom,helsinki,basic materials
banks,1991,,finance,aktia bank,helsinki,financials
specialty retailers,1932,,state alcoholic beverage retailer,alko,helsinki,consumer services
publishing,1849,,digital media,alma media,helsinki,consumer services
distillers & vintners,1999,,alcoholic beverages,altia,helsinki,consumer goods
recreational products,1950,,sporting equipment,amer sports,helsinki,consumer goods
banks,1919,,finance,bank of åland,mariehamn,financials
software,1985,,computer software,basware,espoo,technology
consumer electronics,1985,,electronics,bittium,oulu,consumer goods
transportation services,2005,,cargo-handling machinery,cargotec,helsinki,industrials
software,2001,,computer security testing,codenomicon,oulu,technology
mobile telecommunications,2000,,telecommunications services,dna oyj,helsinki,telecommunications
marine transportation,1995,,shipping,eckerö line,helsinki,industrials
consumer electronics,1955,,disc jockey hardware,eks,espoo,consumer goods
fixed line telecommunications,1882,,telecommunications services,elisa,helsinki,telecommunications
restaurants & bars,1891,,food and restaurants,fazer,helsinki,consumer services
conventional electricity,1996,,electricity transmission,fingrid,helsinki,utilities
airlines,1923,,airline,finnair,vantaa,consumer services
marine transportation,1947,,shipping,finnlines,helsinki,industrials
durable household products,1649,,"kitchen, garden, and outdoors equipment",fiskars,helsinki,consumer goods
alternative electricity,1998,,energy,fortum,espoo,utilities
software,1988,,computer software,f-secure,helsinki,technology
soft drinks,1836,,beverages,hartwall,helsinki,consumer goods
retail,1966,,fast food restaurants,hesburger,turku,consumer services
restaurants & bars,1913,,food,hkscan,turku,consumer goods
banking,2011,,online business banking,holvi,helsinki,financials
containers & packaging,1920,,food packaging,huhtamäki,espoo,industrials
specialty chemicals,1920,,chemicals,kemira,helsinki,basic materials
business support services,1949,,welding,kemppi,lahti,industrials
broadline retailers,1940,,retailing,kesko,helsinki,consumer services
industrial machinery,1910,,elevators and escalators,kone,helsinki,industrials
industrial machinery,1994,,lifting equipment,konecranes,hyvinkää,industrials
restaurants & bars,1987,,restaurants,kotipizza,helsinki,consumer services
heavy construction,1910,,construction,lemminkäinen group,helsinki,industrials
clothing & accessories,1951,,fashion design,marimekko,helsinki,consumer goods
paper,1947,,"paper, pulp, timber",metsä group,helsinki,basic materials
business support services,1999,,equipment and services for process industries,metso,helsinki,industrials
exploration & production,1948,,"petroleum, biofuels",neste,espoo,oil & gas
telecommunications equipment,1865,,telecommunications infrastructure and equipment,nokia,espoo,industrials
telecommunications equipment,2007,,part of nokia,nokia networks,espoo,technology
footwear,1898,,boots,nokian jalkineet,helsinki,consumer goods
automobiles,1932,,tyres,nokian tyres,nokia,consumer goods
soft drinks,1878,,beverages,olvi,helsinki,consumer goods
financial services,1891,,finance and insurance,op financial group,helsinki,financials
pharmaceuticals,1917,,pharmaceuticals,orion corporation,espoo,health care
iron & steel,1932,,steel,outokumpu,helsinki,basic materials
business support services,2006,,mineral and metals processing technology,outotec,espoo,industrials
defense,1997,,military technology,patria,helsinki,industrials
medical equipment,1971,,dental and medical technology,planmeca,helsinki,health care
alternative electricity,1943,,energy,pohjolan voima,helsinki,utilities
recreational products,1977,,fitness equipment,polar electro,kempele,consumer goods
commercial vehicles & trucks,1970,,forestry vehicles,ponsse corporation,vieremä,industrials
waste & disposal services,1995,,nuclear waste management,posiva,eurajoki,industrials
delivery services,1638,,postal service,posti group,helsinki,logistics
business support services,1958,,consulting and engineering,pöyry,vantaa,industrials
business support services,1993,,it for energy companies,process vision,helsinki,technology
food products,1939,,food,raisio group,raisio,consumer goods
building materials & fixtures,1960,,steel products,rautaruukki,helsinki,industrials
software,2003,,video games,rovio entertainment,espoo,technology
hotels,1904,,"retailing, hotels",s group,helsinki,consumer services
full line insurance,1909,,insurance,sampo group,helsinki,financials
publishing,1999,,books and magazines,sanoma,helsinki,consumer services
marine transportation,1957,,"shipping, part of tallink (estonia)",silja line,helsinki,industrials
commercial vehicles & trucks,1931,,heavy duty trucks & military vehicles,sisu auto,helsinki,industrials
investment services,2008,,investments,solidium,helsinki[7],financials
software,1995,,computer software,ssh communications security,helsinki,technology
exploration & production,1995,,petroleum,st1,helsinki,oil & gas
heavy construction,1969,,construction,stenfors,oulu,industrials
broadline retailers,1862,,retailing,stockmann,helsinki,consumer services
software,1990,,"network security, defunct, now part of forcepoint (usa)",stonesoft corporation,helsinki,technology
paper,1998,,"paper, pulp, timber",stora enso,helsinki,basic materials
clothing & accessories,1898,,convenience and care nonwovens,suominen corporation,helsinki,consumer goods
software,2010,,video games,supercell,helsinki,technology
recreational services,1936,,"technical sports equipment, part of amer sports",suunto,vantaa,consumer goods
nonferrous metals,2004,,nickel mining,talvivaara mining company,espoo,basic materials
software,1968,,information technology,tieto,helsinki,technology
commodity chemicals,1862,,paints,tikkurila,vantaa,basic materials
paper,1996,,"paper, pulp, timber, biofuels",upm-kymmene,helsinki,basic materials
electrical components & equipment,1993,,variable-speed ac drives,vacon,vaasa,industrials
software,1936,,environmental measuring technology,vaisala,vantaa,technology
food products,1905,,food,valio,helsinki,consumer goods
automobiles,1968,,car assembly,valmet automotive,uusikaupunki,consumer goods
industrial machinery,2013,,industrial equipment,valmet,espoo,industrials
commercial vehicles & trucks,1951,,tractors,valtra,äänekoski,industrials
broadline retailers,1992,,storefront and online retail,verkkokauppa.com,helsinki,consumer services
marine transportation,1963,,shipping,viking line,mariehamn,industrials
railroads,1862,,rail transport,vr,helsinki,industrials
electronic equipment,1834,,power plants and marine propulsion systems,wärtsilä,helsinki,industrials
basic resources,1882,,helium,woikoski,voikoski[8],basic materials
heavy construction,1912,,construction,yit,helsinki,industrials
hospitality,1967,,hotels,accor,paris,consumer services
airlines,1918,,"aviation, defunct 1933",aéropostale,toulouse,consumer services
defense,1999,,"military contractor, defunct 2000",aérospatiale-matra,paris[7],industrials
airlines,1933,,part of air france–klm,air france,tremblay-en-france,consumer services
airlines,2004,,aviation,air france–klm,tremblay-en-france,consumer services
aerospace,1970,,aeronautical products,airbus,toulouse,industrials
chemical,1902,,industrial gas,air liquide,paris,industrial
telecommunications equipment,2006,,"defunct 2016, now part of nokia (finland)",alcatel-lucent,boulogne-billancourt,technology
personal products,1969,,cosmetics,ales groupe,paris,consumer goods
railroads,1928,,railway transport,alstom,saint-ouen,industrials
business support services,1982,,"engineering consulting, part of capgemini",altran,paris,industrials
recreational services,1992[8],,"sports events, part of éditions philippe amaury",amaury sport organisation,issy-les-moulineaux,consumer services
aerospace & defense,2015,,"aerospace, defense and security",arianegroup,issy-les-moulineaux,industrials
aerospace,1980,,"commercial launch provider, part of arianegroup",arianespace,courcouronnes,industrials
software,1999,,video games,arkane studios,lyon,technology
broadcasting & entertainment,1991,,french - german television,arte,strasburg,consumer services
aerospace,2006,,"aerospace manufacturer, defunct 2013",astrium,paris,industrials
internet,1995,,web analytics,at internet,bordeaux,technology
software,1983,,"video games, formerly known as infogrames",atari sa,paris,technology
real estate services,2003,,"property consultancy, defunct 2009",atisreal,levallois-perret,financials
software,1988,,software and it consulting,atos,bezons,technology
food retailers & wholesalers,1961,,"retail food, supermarkets",auchan,croix,consumer services
full line insurance,1817,,"life, property insurance",axa,paris,financials
recreational products,1875,,sports equipment,babolat,lyon,consumer goods
durable household products,1764,,"glassware, fine crystal",baccarat,paris,consumer goods
broadcasting & entertainment,2008,,film and tv production and distribution,banijay,paris,consumer services
banks,1875,,"defunct 1974, now part of crédit agricole",banque de l'indochine,paris,financials
food products,1865,,cheese,bel group,paris,consumer goods
banks,1848,,banking group,bnp paribas,paris,financials
delivery services,1822,,logistics,bolloré,puteaux,industrials
food products,1853,,food,bonduelle,villeneuve d'ascq,consumer goods
mobile telecommunications,1994,,part of bouygues,bouygues telecom,paris,telecommunications
-,1952,,"telecommunications, industrials, travel & leisure",bouygues,paris,conglomerates
marine transportation,1972,,ferries,brittany ferries,roscoff,industrials
automobiles,1998,,part of bugatti rimac (croatia),bugatti automobiles,molsheim,consumer goods
broadcasting & entertainment,1984,,"television, part of vivendi",canal+,issy-les-moulineaux,consumer services
business support services,1967,,technology consulting,capgemini,paris,industrials
food retailers & wholesalers,1958,,hypermarkets,carrefour,boulogne-billancourt,consumer services
clothing & accessories,1847,,"jewelry, watches",cartier,saint-ouen,consumer goods
apparel retailers,1978,,clothing retailer,celio,paris,consumer services
clothing & accessories,1909,,fashion,chanel,neuilly-sur-seine,consumer goods
clothing & accessories,1876,,"lingerie, apparel",chantelle,cachan,consumer goods
clothing & accessories,1946,,luxury goods,christian dior se,paris,consumer goods
automobiles,1919,,part of stellantis (netherlands),citroën,rueil-malmaison,consumer goods
delivery services,1978,,shipping,cma cgm,marseille,industrials
telecommunications equipment,1987,,,com one group,cestas,technology
banks,1894,,banking network,crédit agricole,montrouge,financials
banks,1894,,"commercial bank, now hsbc france part of hsbc (uk)",crédit commercial de france,paris,financials
banks,1882,,banking group,crédit mutuel,paris,financials
retail,1967,,europe's second largest home furnishment company,conforama,saint-priest,consumer services
banks,1852,,"bank, part of groupe bpce",crédit foncier de france,charenton-le-pont,financials
banks,1863,,"defunct, now part of crédit agricole",crédit lyonnais,paris,financials
internet,2005,,online advertising,criteo,paris,technology
food products,1919,,food and dairy,danone,paris,consumer goods
defense,1929,,aviation,dassault aviation,paris,industrials
software,1981,,software,dassault systèmes,vélizy-villacoublay,technology
clothing & accessories,1812,,"jewelry, watches",debacq & cie,paris,consumer goods
clothing & accessories,1976,,clothing and sportswear,decathlon,villeneuve-d'ascq,consumer goods
banks,1996,,"franco-belgian, defunct",dexia,paris,financials
personal products,1961,,luxury goods,diptyque,paris,consumer goods
specialized consumer services,2010,,food services and facilities,edenred,paris,industrials
publishing,1944,,"newspaper, television",éditions philippe amaury,boulogne-billancourt,consumer services
personal products,2000,,luxury goods,eisenberg paris,paris,consumer goods
conventional electricity,1946,,power generation,électricité de france (edf),paris,utilities
exploration & production,1967,,merged into totalenergies in 2003.,elf aquitaine,courbevoie[9],oil & gas
electricity generation,2008,,merger of gaz de france and suez,engie,la défense,utilities
health care equipment,1849,,"optical equipment, part of essilorluxottica",essilorluxottica,charenton-le-pont,health care
mobile telecommunications,1977,,satellite provider,eutelsat,paris,telecommunications
specialty retailers,1954,,retail chain,fnac,ivry-sur-seine,consumer services
nuclear engineering,1958,,nuclear reactors,framatome,courbevoie,nuclear industries
fixed line telecommunications,1999,,"isp, part of iliad sa",free,paris,telecommunications
broadline retailers,1912,,department store chain,galeries lafayette,paris,consumer services
software,2000,,"video games, part of vivendi",gameloft,paris,technology
internet,1999,,domain name registrar,gandi,paris,technology
broadcasting & entertainment,1895,,film studio,gaumont,neuilly-sur-seine,consumer services
biotechnology,1989,,"defunct 2002, now part of merck serono (germany)",genset,paris,health care
transportation services,1986,,"infrastructure, operates channel tunnel",getlink,paris,industrials
banks,2009,,bank,groupe bpce,paris,financials
computer hardware,1931,,part of atos,groupe bull,les clayes-sous-bois,technology
broadline retailer,1898,,retailer,groupe casino,saint-étienne,consumer services
publishing,1826,,"publisher, part of lagardère group",hachette,paris,consumer services
publishing,1826,,"magazine publisher, part of lagardère group",hachette filipacchi médias,paris,consumer services
media agencies,1968,,advertising and pr,havas,paris,consumer services
clothing & accessories,1837,,luxury goods,hermès,paris,consumer goods
diversified industrials,1853,,diversified manufacturing,hutchinson sa,paris,industrials
fixed line telecommunications,1990,,telecom,iliad sa,paris,telecommunications
electronic equipment,1964,,display and advertising equipment,jcdecaux,neuilly-sur-seine,industrials
travel & tourism,2001,,transport group,keolis,paris,consumer services
clothing & accessories,1963,,luxury goods (formly known as ppr),kering,paris,consumer goods
delivery services,1991,,postal services,la poste,paris,industrials
pharmaceuticals,1951,,pharma and cosmetics,laboratoires pierre fabre,paris,health care
clothing & accessories,1933,,clothing,lacoste,troyes,consumer goods
food products,1933,,dairy,lactalis,laval,consumer goods
building materials & fixtures,1833,,"construction and concrete, part of lafargeholcim",lafarge,paris,industrials
recreational products,1930,,outdoor equipment,lafuma,paris,consumer goods
broadcasting & entertainment,1922,,media conglomerate,lagardère group,paris,consumer services
personal products,1935,,"cosmetics, part of l'oréal",lancôme,paris,consumer goods
clothing & accessories,1882,,sportswear,le coq sportif,entzheim,consumer goods
automobiles,1907,,"automobiles, defunct 1931",le zèbre,suresnes,consumer goods
personal products,1909,,cosmetics,l'oréal,clichy,consumer goods
clothing & accessories,1854,,part of lvmh,louis vuitton,paris,consumer goods
clothing & accessories,1987,,luxury goods group,lvmh,paris,consumer goods
software,1995,,"software, defunct 2015",mandriva,paris,technology
logistics,1964,,forklifts,manuloc,metz,industrials
marine transportation,1969,,ferries,maritima ferries,marseille,industrials
aerospace,1996,,"defunct 2000, now eads astrium",matra marconi space,toulouse,industrials
automobiles,1964,,"defunct 2003, now part of lagardère group",matra,romorantin-lanthenay,consumer goods
recreational products,1889,,"bicycle parts, part of salomon group",mavic,annecy,consumer goods
software,1985,,video games,mc2 france,montrouge,technology
tires,1889,,tires,michelin,clermont-ferrand,consumer goods
software,1984,,"video games, part of anuman",microïds,montreuil,technology
clothing & accessories,1880,,clothing,montagut,saint-sauveur-de-montagut,consumer goods
broadcasting & entertainment,2003,,"animation production, defunct 2014",moonscoop group,paris,consumer services
defense,1631,,shipyards,naval group,paris,industrials
pharmaceuticals,1996,,pharma,nicox,valbonne,health care
auto parts,1970,,car parts and repairs,norauto,lesquin,consumer goods
mobile telecommunications,1988,,telecom,orange s.a.,paris,telecommunications
nuclear cycle,2017,,"uranium, nuclear fuel, nuclear recycling",orano,courbevoie,nuclear industries
recreational products,1985,,"sporting goods, part of lafuma",oxbow,mérignac,consumer goods
diversified industrials,1994,,manufacturing,parrot sa,paris,industrials
broadcasting & entertainment,1896,,"cinema, film equipment and production",pathé,paris,consumer services
business support services,1993,,"offshoring, business support",pentalog,orléans,industrials
distillers & vintners,1975,,distilled beverages,pernod ricard,paris,consumer goods
automobiles,1810,,"car manufacturer, part of stellantis (netherlands)",peugeot,rueil-malmaison,consumer goods
automobiles,1976,,merged with fiat chrysler automobiles to form stellantis,psa group,rueil-malmaison,consumer goods
business support services,1926,,marketing and pr,publicis,paris,industrials
software,1997,,video games,quantic dream,paris,technology
travel & tourism,1948,,public transport,ratp group,paris,consumer services
automobiles,1899,,car manufacturer,renault,boulogne-billancourt,consumer goods
electrical components & equipment,1967,,commercial equipment,rexel,paris,industrials
specialty chemicals,1998,,"chemicals, part of solvay s.a. (belgium)",rhodia,la défense,basic materials
specialty chemicals,1928,,"chemical, merged with hoechst ag to form aventis",rhône-poulenc,paris,basic materials
aerospace,2005,,aircraft engines,safran,paris,industrials
telecommunications equipment,1924,,"defunct 2005, now safran",sagem,paris,technology
building materials & fixtures,1665,,building materials,saint-gobain,la défense,industrials
recreational products,1947,,sports equipment,salomon group,épagny-metz-tessy,consumer goods
pharmaceuticals,2004,,formed by merger of sanofi-synthélabo and aventis (the original incarnation of sanofi was established in 1973),sanofi,paris,health care
electrical components & equipment,1836,,energy and automation equipment,schneider electric,rueil-malmaison,industrials
delivery services,1885,,logistics,sdv international logistics,puteaux,industrials
specialty retailers,1969,,cosmetic retailer,sephora,paris,consumer services
pharmaceuticals,1954,,pharmaceuticals,servier,suresnes,health care
fixed line telecommunications,1987,,"telecom, isp",sfr,paris,telecommunications
telecommunications equipment,2009,,wireless devices,sigfox,labège,technology
travel & tourism,1938,,passenger rail,sncf,saint-denis,consumer services
aerospace,1945,,"engines, part of safran",snecma,courcouronnes,industrials
nondurable household products,1945,,consumer goods,société bic,clichy,consumer goods
banks,1864,,banking and financial services,société générale,la défense,financials
specialized consumer services,1966,,food services and facilities,sodexo,issy-les-moulineaux,industrials
software,2002,,"it consulting, part of capgemini",sogeti,paris,technology
software,1968,,consulting and development,sopra steria,annecy,technology
multiutilities,1997,,"utilities, defunct 2008",suez,paris,utilities
broadcasting & entertainment,1893,,media support,technicolor sa,issy-les-moulineaux,consumer services
business support services,1958,,"business support, merged into technipfmc (uk)",technip,paris,industrials
broadcasting & entertainment,1987,,media holdings,tf1 group,boulogne-billancourt,consumer services
aerospace,2000,,aerospace electrical,thales group,la défense,industrials
defense,1879,,merged into thales group,thomson-csf,paris,industrials
integrated oil & gas,1924,,petrolueum,totalenergies,courbevoie,oil & gas
software,1986,,video games,ubisoft,rennes,technology
water,1853,,water utilities and treatment,veolia,paris,utilities
heavy construction,1899,,construction,vinci sa,rueil-malmaison,industrials
broadcasting & entertainment,1853,,mass media,vivendi,paris,consumer services
nondurable household products,1884,,"pens, part of sanford l.p. (us)",waterman,paris,consumer goods
food products,1965,,yogurt,yoplait,boulogne-billancourt,consumer goods
clothing & accessories,1845,,watches,a. lange & söhne,glashütte,consumer goods
banks,1922,,banking and financial services,aareal bank,wiesbaden,financials
clothing & accessories,1924,,shoes & sports apparel & accessories manufacturer,adidas,herzogenaurach,consumer goods
food retailers & wholesalers,1913,,discount retail chains,aldi,essen,consumer services
full line insurance,1890,,insurance and asset management,allianz,munich,financials
automobiles,1965,,automotive manufacturer,alpina,buchloe,consumer goods
speciality chemicals,1977,,chemicals,altana,wesel,basic materials
specialty retailers,1898,,part of bp,aral ag,bochum,consumer services
full line insurance,1935,,insurance,arag se,düsseldorf,financials
industrial machinery,1923,,machinery and injection molding,arburg,loßburg,industrials
broadline retailers,1999,,defunct 2009,arcandor,essen,consumer services
fixed line telecommunications,1996,,"telecom, part of vodafone (uk)",arcor,eschborn,telecommunications
clothing & accessories,2007,,fashion,armedangels,cologne,consumer goods
automobiles,1910,,"auto manufacturer, part of volkswagen group",audi,ingolstadt,consumer goods
food products,1903,,confectionery,august storck,berlin,consumer goods
nonferrous metals,2008,,copper manufacturing,aurubis,hamburg,basic materials
automobiles,1932,,"defunct, now part of audi",auto union,neckarsulm,consumer goods
publishing,1946,,digital publishing,axel springer ag,berlin,consumer services
pharmaceuticals,1839,,medical devices and pharma,b. braun,melsungen,health care
broadcasting & entertainment,1912,,film studio,babelsberg studio,potsdam,consumer services
food products,1889,,biscuits and cakes,bahlsen,hanover,consumer goods
speciality chemicals,1865,,largest chemical producer in the world.,basf,ludwigshafen,basic materials
broadcasting & entertainment,1919,,film studio,bavaria film studios,grünwald,consumer services
pharmaceuticals,1863,,chemicals and pharmaceuticals,bayer,leverkusen,health care
farming & fishing,1923,,agribusiness conglomerate,baywa,munich,consumer goods
auto parts,1970,,automotive parts,bbs kraftfahrzeugtechnik,schiltach,consumer goods
software,1983,,information technology services,bechtle,neckarsulm,technology
brewers,1873,,alcoholic beverages,beck's brewery,bremen,consumer goods
industrial suppliers,1905,,part of mahle gmbh,behr gmbh & co. kg,stuttgart,industrials
consumer electronics,1989,,audio systems,behringer,willich,consumer goods
personal products,1882,,cosmetics,beiersdorf,hamburg,consumer goods
software,1993,,software holding company,bellevue investments,berlin,technology
industrial suppliers,1718,,automotive parts,benecke-kaliko,hanover,industrials
broadcasting & entertainment,1835,,mass media,bertelsmann,gütersloh,consumer services
consumer electronics,1924,,audio electronics,beyerdynamic,heilbronn,consumer goods
heavy construction,1880,,"construction, engineering and services",bilfinger,mannheim,industrials
clothing & accessories,1774,,shoes manufacturer,birkenstock,neustadt,consumer goods
brewers,1817,,brewery,bitburger brewery,bitburg,consumer goods
vaccine,2008,,biotechnology,biontech,mainz,healthcare
commercial vehicles & trucks,1877,,"shipyard, part of lürssen",blohm+voss,hamburg,industrials
broadcasting & entertainment,2008,,"music, part of bertelsmann",bmg rights management,berlin,consumer services
automobiles,1916,,automotive,bmw,munich,consumer goods
pharmaceuticals,1885,,pharmaceuticals,boehringer ingelheim,ingelheim am rhein,health care
commercial vehicles & trucks,1957,,mechanical engineering,bomag,boppard,industrials
specialty retailers,1977,,automotive modifications and tuning,brabus,bottrop,consumer services
personal products,1921,,"razors and small appliances, part of procter & gamble (us)",braun,kronberg,consumer goods
commodity chemicals,1874,,chemical distribution,brenntag,mülheim,basic materials
recreational products,1853,,musical instruments,c. bechstein,berlin,consumer goods
business support services,1859,,engineering and export,c. illies & co.,hamburg,industrials
defense,1886,,firearms,carl walther gmbh,ulm,industrials
medical equipment,1846,,optical systems,carl zeiss ag,oberkochen,health care
vaccine,2000,,biotechnology,curevac,tübingen,health care
pharmaceuticals,1835,,"pharmaceuticals, defunct 2017, now part of mckesson",celesio,stuttgart,health care
recreational services,1948,,cinemas,cinestar,lübeck,consumer services
broadcasting & entertainment,1905,,"circus, entertainment",circus krone,munich,consumer services
commercial vehicles & trucks,1913,,agricultural machinery,claas,harsewinkel,industrials
banks,1870,,banking,commerzbank,frankfurt,financials
airlines,1955,,"leisure airline, part of thomas cook group (uk)",condor flugdienst,frankfurt,consumer services
industrial suppliers,1871,,"auto parts and supplies, part of schaeffler group",continental ag,hanover,industrials
speciality chemicals,2015,,"materials and coatings, part of bayer",covestro,leverkusen,basic materials
automobiles,2007,,multinational automotive firm,daimler ag,stuttgart,consumer goods
airlines,1992,,"low-cost airline, defunct 2008",dba,munich,consumer services
-,1989,,"pharma, consumer goods, logistics",delton,bad homburg vor der höhe,conglomerates
publishing,1947,,weekly news magazine,der spiegel,hamburg,consumer services
railroads,1994,,state railways,deutsche bahn,berlin,industrials
banks,1870,,banking,deutsche bank,frankfurt,financials
investment services,1992,,securities marketplace,deutsche börse,frankfurt,financials
broadcasting & entertainment,1898,,"phonogramm producer, producer of the first compact disc, now part of universal music group (us)",deutsche grammophon,hanover,consumer goods
recreational services,1947,,largest fairground in the world,deutsche messe,hanover,consumer services
banks,2015,,real estate financing bank,deutsche pfandbriefbank,unterschleißheim,financials
delivery services,1995,,postal services,deutsche post,bonn,industrials
fixed line telecommunications,1995,,telecommunications,deutsche telekom,bonn,telecommunications
asset managers,1975,,financial advice,deutsche vermögensberatung,frankfurt,financials
industrial machinery,1864,,mechanical engineering,deutz ag,cologne,industrials
delivery services,1969,,"logistics, part of deutsche post",dhl express,bonn,industrials
industrial machinery,1873,,machinery,dieffenbacher,eppingen,industrials
aerospace,2006,,avionics,diehl aerospace,überlingen,industrials
defense,2004,,arms,diehl defence,überlingen,industrials
industrial machinery,1938,,"metals, forges",diehl metall,röthenbach an der pegnitz,industrials
recreational products,1994,,guitar amplifiers,diezel,bad steben,consumer goods
broadcasting & entertainment,1993,,online dance music retail store,djshop,vachendorf,consumer services
automobile,1905,,"defunct 1932, now part of audi",dkw,?,consumer goods
specialty retailers,1949,,perfume and cosmetics retailer,douglas holding,hagen,consumer services
personal products,1906,,scissors and razors,dovo solingen,solingen,consumer goods
food products,1891,,food producer,dr. oetker,bielefeld,consumer goods
medical equipment,1889,,medical technology,dräger,lübeck,health care
banks,1872,,"now part of commerzbank, defunct 2009",dresdner bank,frankfurt,financials
industrial machinery,1895,,plant and machinery construction,dürr ag,stuttgart,industrials
banks,1923,,financials,dvb bank,frankfurt,financials
electricity,2000,,electric power,e.on,essen,utilities
nondurable household products,1922,,part of staedtler,eberhard faber,neumarkt in der oberpfalz,consumer goods
industrial machinery,1963,,electric motors and fans,ebm-papst,mulfingen,industrials
nondurable household products,1960,,writing instruments,edding,ahrensburg,consumer goods
food retailers & wholesalers,1898,,supermarkets,edeka,berlin,consumer services
industrial suppliers,1879,,automotive parts,elringklinger,dettingen an der erms,industrials
electricity,1997,,electric power,enbw,karlsruhe,utilities
consumer electronics,2001,,electronics,enocean,oberhaching,consumer goods
aerospace,1961,,"rocket parts, defunct 1977",entwicklungsring nord,bremen,industrials
consumer electronics,1999,,electronics,epcos,munich,consumer goods
mobile telecommunications,1992,,"mobile network, part of telefónica germany",e-plus,düsseldorf,telecommunications
airlines,1990,,part of lufthansa,eurowings,düsseldorf,consumer services
speciality chemicals,2007,,specialty chemicals,evonik industries,essen,basic materials
nondurable household products,1761,,writing instruments,faber-castell,stein,consumer goods
durable household products,1867,,power tools,fein,schwäbisch gmünd,consumer goods
industrial machinery,1920,,"industrial services, machinery",ferrostaal,essen,industrials
industrial machinery,1925,,automation,festo,esslingen am neckar,industrials
toys,1966,,construction sets,fischertechnik,waldachtal,consumer goods
