00-avengers-headquarters_continent,02-GioPonSpiz-country,07-silvestri-country,08-slytherin-country
asia,china,,south africa
europe,china,,uk
asia,uk,,chile
africa,australia,,brazil
asia,usa,,china
europe,china,,south korea
asia,china,,china
africa,switzerland,,india
asia,usa,,usa
asia,australia,,china
americas,indonesia,,china
americas,china,,china
americas,south africa,,spain
europe,uk,,france
africa,brazil,,canada
europe,chile,,canada
asia,usa,,china
asia,china,,china
asia,china,,indonesia
asia,canada,,brazil
asia,france,,usa
asia,china,,china
asia,spain,,japan
americas,canada,,india
europe,china,,australia
asia,china,,india
europe,indonesia,,italy
americas,china,,china
asia,india,,israel
asia,china,,usa
asia,italy,,india
asia,brazil,,indonesia
americas,australia,,china
asia,japan,,china
oceania,usa,,switzerland
americas,india,,china
europe,israel,,japan
asia,india,,south korea
asia,china,,spain
asia,china,,china
europe,indonesia,,uk
asia,south korea,,india
americas,japan,,hong kong
europe,switzerland,,japan
asia,usa,,china
asia,china,,thailand
asia,uk,,china
asia,china,,china
asia,hong kong,,usa
asia,china,,china
europe,thailand,,china
europe,china,,usa
asia,china,,china
asia,japan,,china
asia,india,,uk
asia,spain,,usa
asia,uk,,saudi arabia
asia,saudi arabia,,china
asia,china,,china
europe,china,,china
asia,usa,,usa
asia,china,,spain
asia,usa,,usa
americas,usa,,japan
americas,china,,usa
asia,china,,china
americas,china,,usa
asia,sweden,,sweden
americas,usa,,france
americas,usa,,china
asia,japan,,usa
asia,usa,,usa
asia,spain,,new zealand
americas,usa,,australia
europe,china,,usa
americas,china,,taiwan
asia,china,,china
americas,usa,,usa
asia,china,,china
americas,australia,,romania
asia,usa,,india
americas,taiwan,,usa
americas,new zealand,,china
europe,france,,switzerland
oceania,usa,,china
asia,usa,,china
americas,china,,china
oceania,usa,,usa
asia,china,,thailand
asia,china,,china
asia,china,,saudi arabia
americas,china,,sweden
europe,usa,,spain
europe,india,,china
asia,romania,,china
americas,switzerland,,new zealand
asia,usa,,usa
asia,thailand,,japan
oceania,new zealand,,hong kong
asia,china,,usa
asia,saudi arabia,,japan
asia,spain,,brazil
asia,sweden,,usa
asia,japan,,japan
europe,china,,china
europe,china,,china
asia,china,,china
asia,china,,hong kong
asia,china,,usa
asia,usa,,china
americas,brazil,,usa
asia,japan,,india
asia,japan,,china
americas,usa,,india
asia,hong kong,,japan
asia,hong kong,,qatar
americas,usa,,china
americas,japan,,sweden
asia,india,,germany
asia,usa,,india
europe,china,,japan
asia,india,,china
asia,sweden,,south korea
asia,china,,usa
europe,qatar,,japan
asia,china,,france
asia,germany,,usa
americas,japan,,austria
americas,usa,,usa
asia,japan,,china
americas,usa,,china
asia,china,,switzerland
asia,france,,italy
europe,austria,,usa
europe,south korea,,bermuda
asia,india,,kazakhstan
americas,usa,,china
asia,china,,hong kong
asia,china,,china
asia,kazakhstan,,ireland
europe,bermuda,,netherlands
europe,china,,japan
europe,usa,,china
asia,hong kong,,france
americas,italy,,uk
asia,switzerland,,uk
americas,france,,china
asia,india,,india
asia,china,,china
asia,netherlands,,china
asia,japan,,spain
asia,ireland,,china
asia,uk,,usa
europe,uk,,thailand
europe,china,,south korea
europe,china,,china
asia,china,,canada
europe,china,,denmark
americas,canada,,usa
asia,spain,,uk
asia,china,,japan
asia,usa,,turkey
asia,denmark,,usa
asia,thailand,,hong kong
europe,south korea,,usa
americas,china,,usa
asia,turkey,,china
europe,hong kong,,usa
americas,usa,,usa
asia,japan,,germany
americas,uk,,singapore
americas,usa,,germany
asia,usa,,japan
americas,usa,,saudi arabia
americas,china,,singapore
americas,usa,,luxembourg
europe,usa,,japan
asia,japan,,brazil
americas,brazil,,usa
asia,luxembourg,,china
americas,germany,,china
asia,saudi arabia,,italy
asia,germany,,israel
asia,japan,,india
europe,singapore,,india
asia,singapore,,uk
europe,usa,,usa
europe,china,,usa
europe,italy,,usa
europe,israel,,china
asia,china,,japan
americas,india,,hong kong
europe,india,,singapore
americas,usa,,uk
asia,uk,,israel
asia,usa,,usa
asia,china,,china
asia,uk,,china
americas,usa,,usa
americas,japan,,thailand
asia,hong kong,,china
asia,china,,usa
americas,singapore,,sweden
asia,china,,china
asia,usa,,usa
asia,israel,,uk
asia,taiwan,,canada
asia,canada,,taiwan
americas,usa,,china
asia,sweden,,uk
asia,uk,,usa
americas,china,,poland
asia,thailand,,china
americas,china,,argentina
asia,usa,,indonesia
asia,usa,,philippines
europe,china,,china
europe,china,,usa
americas,usa,,usa
asia,china,,china
americas,indonesia,,usa
americas,argentina,,germany
europe,philippines,,usa
europe,poland,,usa
asia,uk,,south korea
americas,usa,,germany
asia,usa,,japan
asia,japan,,south korea
europe,germany,,belgium
asia,usa,,singapore
europe,south korea,,hong kong
americas,germany,,malaysia
asia,usa,,china
asia,china,,china
americas,usa,,china
europe,south korea,,taiwan
asia,belgium,,china
americas,malaysia,,hong kong
asia,hong kong,,japan
asia,hong kong,,taiwan
asia,china,,china
asia,taiwan,,usa
asia,china,,iceland
asia,china,,china
asia,singapore,,usa
asia,china,,china
asia,japan,,germany
asia,china,,japan
asia,japan,,russia
asia,china,,usa
asia,iceland,,france
asia,china,,china
americas,usa,,china
europe,germany,,china
americas,usa,,china
asia,taiwan,,usa
europe,china,,uk
asia,turkey,,turkey
asia,china,,usa
europe,usa,,china
americas,china,,china
europe,uk,,china
asia,usa,,usa
europe,france,,usa
americas,china,,germany
europe,russia,,singapore
asia,usa,,india
americas,germany,,usa
americas,usa,,usa
asia,usa,,japan
americas,usa,,thailand
asia,india,,netherlands
asia,china,,japan
asia,singapore,,japan
asia,china,,singapore
asia,china,,uk
americas,usa,,luxembourg
americas,singapore,,usa
americas,usa,,china
europe,thailand,,china
asia,uk,,australia
europe,japan,,uk
asia,japan,,usa
europe,netherlands,,china
asia,japan,,portugal
asia,luxembourg,,uk
europe,china,,india
asia,uk,,usa
europe,uk,,usa
asia,india,,china
americas,usa,,india
europe,usa,,japan
oceania,china,,usa
asia,china,,usa
asia,australia,,china
americas,portugal,,turkey
americas,usa,,india
asia,india,,usa
asia,india,,usa
americas,turkey,,usa
americas,usa,,japan
asia,china,,china
americas,china,,portugal
americas,usa,,usa
asia,usa,,uk
asia,japan,,mexico
americas,canada,,china
asia,usa,,canada
europe,uk,,singapore
europe,mexico,,belgium
asia,portugal,,china
americas,usa,,usa
asia,japan,,china
asia,china,,new zealand
asia,china,,japan
americas,usa,,russia
europe,china,,south korea
americas,russia,,china
asia,china,,china
americas,usa,,china
asia,japan,,japan
europe,new zealand,,usa
asia,singapore,,netherlands
asia,china,,australia
asia,south korea,,netherlands
oceania,belgium,,canada
asia,china,,china
americas,canada,,china
americas,usa,,uk
asia,netherlands,,china
americas,australia,,usa
europe,china,,india
asia,china,,japan
asia,japan,,taiwan
asia,china,,south korea
asia,netherlands,,china
oceania,usa,,sweden
europe,south korea,,south korea
europe,sweden,,china
asia,japan,,japan
asia,china,,canada
europe,taiwan,,usa
asia,india,,china
asia,south korea,,uk
asia,china,,thailand
asia,uk,,malta
asia,china,,indonesia
asia,indonesia,,china
americas,canada,,usa
europe,malta,,china
americas,china,,usa
americas,china,,uk
europe,japan,,china
asia,thailand,,japan
asia,uk,,usa
asia,usa,,norway
asia,usa,,sweden
europe,sweden,,usa
americas,usa,,taiwan
asia,china,,japan
asia,china,,china
americas,norway,,usa
europe,usa,,brazil
asia,japan,,brazil
americas,uk,,india
europe,usa,,china
asia,japan,,japan
asia,china,,usa
americas,usa,,sweden
americas,brazil,,south korea
europe,brazil,,usa
asia,usa,,uk
asia,india,,usa
asia,japan,,china
asia,taiwan,,japan
americas,china,,turkey
americas,sweden,,usa
americas,usa,,germany
europe,uk,,malta
asia,usa,,china
europe,china,,thailand
asia,japan,,china
americas,germany,,china
asia,south korea,,israel
europe,usa,,usa
asia,turkey,,hong kong
asia,france,,france
americas,thailand,,usa
asia,china,,taiwan
americas,china,,china
americas,china,,china
asia,israel,,usa
americas,usa,,usa
europe,malta,,bermuda
americas,usa,,japan
asia,hong kong,,australia
asia,bermuda,,canada
asia,usa,,china
asia,japan,,israel
asia,usa,,hong kong
asia,china,,china
americas,china,,south korea
oceania,china,,taiwan
asia,taiwan,,indonesia
asia,australia,,canada
asia,canada,,brazil
asia,israel,,china
americas,china,,india
asia,india,,usa
americas,indonesia,,usa
americas,china,,south korea
americas,brazil,,usa
asia,taiwan,,china
asia,south korea,,china
asia,hong kong,,not found
americas,canada,,switzerland
asia,usa,,japan
asia,usa,,usa
asia,japan,,india
europe,china,,china
asia,nasdaq,,uk
europe,usa,,india
asia,china,,usa
americas,usa,,usa
asia,switzerland,,india
americas,south korea,,norway
,india,,china
asia,uk,,france
asia,india,,china
americas,china,,china
asia,usa,,taiwan
europe,usa,,china
asia,india,,usa
europe,france,,japan
asia,china,,canada
americas,norway,,usa
americas,china,,usa
asia,usa,,usa
americas,usa,,jersey
asia,usa,,switzerland
,china,,israel
asia,canada,,france
asia,japan,,usa
americas,usa,,china
asia,china,,china
americas,taiwan,,canada
asia,jersey,,china
americas,qatar,,qatar
asia,china,,china
asia,israel,,japan
europe,usa,,usa
europe,china,,mexico
europe,china,,spain
americas,canada,,usa
asia,switzerland,,india
asia,france,,canada
americas,spain,,china
asia,japan,,canada
asia,india,,australia
europe,usa,,usa
oceania,mexico,,china
asia,usa,,china
americas,china,,china
americas,canada,,china
asia,canada,,china
americas,china,,china
americas,australia,,japan
americas,denmark,,denmark
asia,china,,usa
asia,japan,,china
asia,china,,japan
asia,china,,usa
asia,usa,,usa
asia,china,,south korea
americas,china,,china
asia,china,,china
asia,china,,china
asia,south korea,,germany
asia,china,,usa
americas,japan,,uk
americas,usa,,saudi arabia
asia,usa,,china
europe,china,,china
americas,usa,,usa
asia,germany,,not found
americas,china,,japan
americas,usa,,usa
asia,usa,,germany
europe,germany,,china
americas,nasdaq,,china
asia,usa,,saudi arabia
asia,china,,canada
europe,japan,,china
asia,saudi arabia,,japan
asia,uk,,china
asia,china,,usa
americas,china,,china
,usa,,china
asia,china,,usa
asia,china,,australia
asia,china,,china
asia,china,,germany
asia,canada,,usa
asia,saudi arabia,,india
americas,japan,,china
asia,china,,china
asia,china,,saudi arabia
asia,saudi arabia,,south korea
asia,south korea,,japan
europe,germany,,japan
asia,australia,,usa
americas,china,,china
asia,china,,brazil
americas,usa,,china
asia,india,,china
oceania,usa,,usa
asia,japan,,sweden
europe,sweden,,france
europe,france,,japan
asia,china,,south korea
asia,brazil,,australia
asia,usa,,usa
asia,usa,,austria
asia,china,,south africa
americas,china,,china
americas,japan,,chile
americas,japan,,china
asia,china,,japan
americas,chile,,china
asia,japan,,belgium
asia,south africa,,china
asia,usa,,switzerland
oceania,austria,,thailand
asia,china,,usa
europe,australia,,china
americas,south korea,,usa
africa,china,,usa
asia,china,,usa
americas,usa,,usa
americas,usa,,poland
americas,thailand,,china
europe,usa,,usa
europe,china,,australia
americas,usa,,china
asia,switzerland,,india
americas,belgium,,sweden
asia,usa,,usa
americas,usa,,china
asia,china,,brazil
americas,sweden,,australia
americas,india,,usa
americas,poland,,usa
asia,australia,,uk
asia,china,,uk
oceania,china,,usa
europe,usa,,brazil
asia,brazil,,japan
europe,usa,,usa
asia,japan,,usa
asia,uk,,australia
americas,uk,,usa
americas,brazil,,usa
americas,usa,,usa
oceania,australia,,usa
americas,usa,,taiwan
americas,usa,,usa
europe,usa,,india
europe,india,,india
asia,india,,thailand
americas,usa,,china
asia,usa,,india
oceania,usa,,china
americas,usa,,china
asia,taiwan,,usa
americas,usa,,usa
americas,australia,,japan
americas,china,,norway
americas,usa,,usa
asia,japan,,south korea
europe,usa,,france
asia,usa,,china
asia,china,,india
asia,norway,,brazil
asia,thailand,,israel
europe,india,,qatar
asia,china,,usa
americas,india,,germany
americas,germany,,japan
asia,qatar,,usa
americas,china,,norway
oceania,france,,usa
americas,usa,,japan
asia,israel,,switzerland
asia,south korea,,new zealand
asia,japan,,finland
americas,brazil,,usa
europe,new zealand,,china
asia,usa,,south korea
americas,usa,,china
europe,usa,,china
asia,finland,,china
europe,south korea,,japan
asia,japan,,china
europe,switzerland,,uk
asia,china,,hong kong
asia,norway,,china
europe,china,,netherlands
americas,netherlands,,south korea
asia,china,,china
asia,china,,turkey
asia,hong kong,,japan
asia,uk,,china
asia,china,,usa
asia,china,,france
asia,japan,,japan
europe,south korea,,japan
asia,china,,israel
asia,japan,,china
americas,usa,,usa
asia,japan,,italy
americas,japan,,china
asia,france,,japan
asia,turkey,,usa
asia,china,,china
asia,china,,usa
europe,israel,,uk
asia,usa,,china
asia,china,,canada
americas,canada,,japan
asia,uk,,china
asia,japan,,uk
asia,usa,,china
asia,usa,,usa
europe,italy,,china
americas,china,,usa
americas,china,,usa
asia,japan,,india
europe,india,,switzerland
europe,switzerland,,japan
asia,china,,taiwan
europe,china,,germany
asia,usa,,china
americas,usa,,usa
asia,china,,china
americas,usa,,usa
americas,indonesia,,china
asia,uk,,japan
asia,japan,,china
asia,china,,usa
oceania,japan,,india
asia,china,,china
americas,usa,,china
asia,taiwan,,china
europe,germany,,china
asia,china,,israel
americas,usa,,china
asia,china,,china
asia,australia,,australia
asia,china,,usa
asia,china,,china
americas,india,,south korea
asia,china,,japan
asia,china,,usa
asia,china,,usa
asia,israel,,sweden
asia,china,,japan
asia,usa,,usa
asia,japan,,thailand
asia,thailand,,argentina
americas,sweden,,usa
americas,china,,hong kong
asia,usa,,south korea
americas,usa,,china
asia,japan,,china
americas,usa,,usa
americas,south korea,,taiwan
asia,usa,,turkey
europe,usa,,germany
asia,turkey,,china
asia,china,,india
americas,taiwan,,china
asia,south korea,,taiwan
americas,germany,,usa
asia,china,,china
europe,argentina,,usa
asia,hong kong,,china
asia,usa,,japan
asia,china,,australia
asia,india,,china
asia,china,,uk
americas,china,,usa
americas,china,,china
oceania,taiwan,,china
asia,japan,,usa
asia,australia,,taiwan
asia,usa,,taiwan
asia,usa,,norway
asia,taiwan,,china
americas,usa,,usa
americas,usa,,france
europe,china,,uk
europe,china,,china
asia,china,,uk
asia,taiwan,,china
asia,china,,usa
asia,uk,,usa
asia,norway,,australia
americas,usa,,japan
oceania,australia,,china
asia,japan,,france
europe,usa,,china
asia,china,,south korea
americas,uk,,china
europe,uk,,south korea
europe,usa,,turkey
asia,china,,usa
americas,france,,china
asia,china,,china
asia,china,,hong kong
asia,china,,china
asia,south korea,,canada
asia,turkey,,china
americas,france,,japan
asia,south korea,,usa
europe,usa,,china
asia,china,,india
asia,china,,usa
asia,india,,china
asia,china,,china
asia,usa,,thailand
asia,china,,china
asia,usa,,usa
asia,canada,,usa
asia,china,,belgium
americas,hong kong,,usa
americas,china,,usa
asia,japan,,china
americas,thailand,,china
americas,usa,,usa
americas,usa,,usa
asia,belgium,,usa
asia,usa,,usa
americas,china,,usa
asia,china,,qatar
asia,usa,,switzerland
americas,china,,usa
europe,china,,south korea
americas,usa,,japan
americas,usa,,norway
europe,south korea,,switzerland
asia,switzerland,,uk
americas,qatar,,russia
americas,usa,,japan
americas,usa,,japan
americas,usa,,uk
asia,usa,,usa
europe,japan,,china
asia,uk,,germany
europe,switzerland,,usa
americas,usa,,thailand
europe,china,,usa
europe,russia,,china
asia,uk,,usa
asia,japan,,canada
europe,japan,,usa
europe,germany,,india
asia,norway,,china
americas,usa,,japan
asia,china,,japan
asia,india,,germany
asia,canada,,china
americas,china,,indonesia
americas,thailand,,france
americas,usa,,usa
asia,usa,,south africa
asia,usa,,usa
americas,japan,,mexico
asia,japan,,uk
europe,germany,,usa
americas,south africa,,china
americas,mexico,,china
asia,indonesia,,japan
europe,usa,,india
europe,uk,,usa
americas,france,,japan
asia,china,,china
americas,usa,,south korea
africa,usa,,china
asia,china,,norway
asia,india,,russia
americas,south korea,,india
asia,china,,china
asia,japan,,singapore
asia,japan,,china
asia,china,,usa
asia,china,,uk
asia,usa,,india
asia,singapore,,china
americas,usa,,australia
oceania,china,,japan
europe,india,,taiwan
europe,china,,usa
asia,india,,china
europe,russia,,usa
asia,china,,france
asia,norway,,finland
asia,uk,,india
asia,australia,,japan
asia,france,,china
europe,india,,taiwan
asia,usa,,canada
asia,japan,,usa
asia,finland,,china
americas,china,,china
asia,usa,,china
europe,taiwan,,usa
asia,japan,,usa
americas,china,,china
asia,china,,sweden
europe,usa,,japan
asia,canada,,usa
americas,taiwan,,germany
asia,usa,,singapore
asia,china,,india
americas,china,,uk
asia,usa,,japan
americas,china,,china
americas,sweden,,usa
europe,uk,,uk
europe,usa,,japan
asia,china,,south korea
americas,japan,,china
europe,india,,usa
asia,singapore,,china
asia,germany,,canada
asia,usa,,usa
asia,japan,,china
americas,uk,,uk
europe,uk,,china
asia,south korea,,japan
americas,japan,,india
asia,canada,,japan
asia,china,,usa
americas,usa,,china
asia,china,,usa
americas,china,,uk
asia,usa,,taiwan
asia,china,,germany
europe,germany,,china
asia,china,,china
asia,usa,,norway
asia,uk,,usa
asia,usa,,usa
asia,japan,,china
americas,japan,,taiwan
europe,taiwan,,taiwan
americas,india,,usa
asia,china,,usa
asia,taiwan,,usa
europe,usa,,not found
americas,taiwan,,canada
americas,china,,usa
asia,china,,indonesia
americas,usa,,switzerland
asia,china,,india
asia,usa,,china
asia,usa,,usa
americas,norway,,china
,energy,,usa
asia,canada,,india
asia,usa,,uk
asia,switzerland,,japan
asia,usa,,thailand
americas,usa,,china
americas,china,,india
europe,china,,usa
americas,indonesia,,japan
americas,india,,south korea
asia,china,,china
asia,japan,,usa
americas,india,,japan
asia,japan,,qatar
europe,usa,,usa
asia,india,,india
americas,uk,,uk
asia,thailand,,usa
asia,usa,,usa
asia,south korea,,uk
asia,qatar,,japan
europe,usa,,china
asia,japan,,china
europe,usa,,greece
americas,china,,uk
americas,usa,,india
asia,usa,,cyprus
americas,uk,,usa
asia,uk,,china
americas,india,,italy
asia,japan,,china
asia,cyprus,,usa
asia,italy,,usa
americas,india,,china
asia,uk,,japan
europe,greece,,china
europe,china,,china
asia,usa,,uk
europe,china,,japan
asia,china,,usa
asia,china,,japan
asia,china,,china
asia,china,,denmark
europe,usa,,uk
asia,usa,,norway
americas,usa,,usa
americas,japan,,austria
americas,japan,,usa
asia,uk,,usa
asia,china,,usa
asia,japan,,china
americas,austria,,china
europe,china,,usa
europe,usa,,china
europe,usa,,usa
americas,usa,,china
americas,denmark,,china
americas,norway,,china
asia,uk,,china
europe,usa,,china
asia,china,,china
asia,china,,china
americas,china,,greece
americas,china,,usa
asia,china,,china
asia,china,,china
asia,china,,usa
asia,usa,,canada
asia,usa,,mexico
asia,china,,russia
europe,russia,,china
asia,china,,india
americas,usa,,japan
asia,usa,,usa
asia,greece,,singapore
americas,canada,,usa
europe,china,,usa
americas,china,,germany
americas,mexico,,usa
asia,china,,usa
asia,singapore,,japan
asia,japan,,canada
americas,usa,,japan
americas,india,,china
americas,germany,,germany
americas,usa,,japan
europe,usa,,usa
asia,usa,,uk
americas,usa,,uk
asia,china,,china
asia,japan,,china
europe,japan,,australia
americas,uk,,canada
asia,usa,,italy
europe,china,,china
asia,japan,,japan
asia,germany,,russia
americas,china,,china
europe,canada,,uk
asia,uk,,portugal
asia,china,,china
americas,japan,,usa
asia,australia,,australia
asia,italy,,uk
europe,uk,,turkey
europe,russia,,usa
europe,portugal,,usa
europe,china,,not found
oceania,china,,china
asia,canada,,china
asia,china,,indonesia
asia,usa,,new zealand
oceania,china,,canada
americas,uk,,canada
asia,nyse,,south korea
americas,turkey,,australia
,usa,,china
europe,usa,,usa
asia,australia,,usa
americas,china,,usa
asia,indonesia,,china
americas,usa,,usa
oceania,usa,,usa
asia,china,,canada
oceania,usa,,usa
americas,canada,,japan
americas,australia,,taiwan
asia,south korea,,thailand
americas,new zealand,,italy
americas,canada,,singapore
asia,china,,israel
americas,italy,,usa
americas,singapore,,india
asia,canada,,usa
asia,usa,,japan
asia,japan,,japan
americas,taiwan,,china
americas,thailand,,mexico
asia,usa,,japan
europe,usa,,usa
asia,israel,,china
asia,usa,,usa
asia,japan,,japan
americas,usa,,israel
asia,usa,,cayman islands
asia,japan,,france
americas,japan,,indonesia
americas,mexico,,usa
asia,india,,usa
americas,china,,cayman islands
americas,usa,,usa
asia,cayman islands,,thailand
asia,france,,china
americas,israel,,brazil
americas,usa,,japan
asia,japan,,saudi arabia
americas,usa,,usa
asia,cayman islands,,usa
europe,indonesia,,sweden
americas,china,,spain
asia,thailand,,south africa
asia,sweden,,china
asia,spain,,india
asia,brazil,,israel
americas,usa,,china
americas,usa,,usa
americas,usa,,south africa
americas,saudi arabia,,usa
europe,japan,,netherlands
europe,china,,japan
asia,israel,,singapore
europe,usa,,canada
americas,china,,brazil
asia,south africa,,china
asia,south africa,,china
asia,india,,japan
africa,china,,japan
africa,japan,,india
asia,usa,,china
americas,netherlands,,spain
asia,singapore,,iceland
asia,spain,,usa
americas,brazil,,china
asia,china,,usa
asia,india,,china
asia,japan,,china
asia,china,,usa
asia,japan,,taiwan
americas,canada,,usa
europe,china,,usa
europe,iceland,,south africa
asia,usa,,china
asia,china,,china
americas,taiwan,,japan
americas,usa,,macao
americas,usa,,indonesia
americas,usa,,usa
asia,usa,,indonesia
asia,china,,china
americas,china,,uk
europe,uk,,japan
africa,china,,usa
asia,usa,,hong kong
asia,macao,,norway
asia,china,,uk
asia,indonesia,,china
asia,china,,china
asia,japan,,china
americas,indonesia,,uk
asia,south africa,,sweden
asia,japan,,south korea
americas,sweden,,china
asia,uk,,japan
asia,china,,usa
asia,uk,,china
europe,norway,,usa
europe,china,,usa
asia,china,,uk
europe,hong kong,,china
europe,usa,,usa
asia,south korea,,japan
asia,uk,,china
asia,china,,usa
americas,usa,,mexico
americas,china,,italy
americas,usa,,taiwan
asia,usa,,czech republic
americas,usa,,china
asia,china,,china
europe,japan,,saudi arabia
asia,japan,,south korea
asia,italy,,canada
americas,china,,taiwan
asia,china,,australia
europe,saudi arabia,,china
americas,usa,,brazil
asia,czech republic,,india
asia,taiwan,,new zealand
asia,mexico,,hong kong
europe,china,,usa
americas,canada,,china
asia,china,,japan
oceania,taiwan,,hong kong
americas,brazil,,china
asia,south korea,,usa
oceania,new zealand,,taiwan
asia,hong kong,,canada
americas,usa,,usa
asia,australia,,taiwan
asia,india,,china
asia,taiwan,,usa
asia,china,,new zealand
asia,usa,,japan
asia,canada,,russia
asia,usa,,mexico
asia,china,,china
americas,taiwan,,south africa
americas,hong kong,,china
americas,japan,,usa
asia,china,,turkey
asia,japan,,china
americas,usa,,denmark
americas,turkey,,canada
asia,russia,,uk
oceania,china,,india
africa,south africa,,uk
asia,new zealand,,norway
europe,china,,usa
asia,usa,,china
americas,mexico,,china
europe,denmark,,switzerland
europe,china,,switzerland
europe,usa,,china
americas,india,,canada
asia,uk,,australia
asia,china,,australia
europe,china,,taiwan
asia,canada,,finland
americas,norway,,china
asia,uk,,china
europe,switzerland,,india
asia,china,,china
oceania,canada,,south korea
europe,china,,usa
asia,switzerland,,usa
oceania,australia,,japan
europe,taiwan,,china
asia,finland,,china
americas,australia,,china
asia,china,,uk
asia,india,,usa
asia,uk,,china
asia,china,,taiwan
asia,japan,,usa
asia,usa,,greece
americas,usa,,china
americas,south korea,,france
asia,china,,japan
asia,china,,uk
europe,china,,switzerland
europe,uk,,netherlands
americas,switzerland,,china
asia,japan,,hong kong
asia,greece,,china
asia,usa,,china
europe,france,,china
americas,taiwan,,china
europe,china,,china
asia,china,,usa
europe,usa,,india
americas,usa,,japan
asia,india,,japan
europe,china,,taiwan
asia,china,,argentina
asia,china,,japan
asia,hong kong,,china
asia,china,,usa
asia,china,,south korea
asia,netherlands,,china
asia,china,,japan
asia,japan,,taiwan
asia,japan,,china
asia,south korea,,usa
asia,japan,,china
americas,usa,,china
asia,japan,,israel
americas,argentina,,india
asia,china,,canada
asia,china,,usa
asia,taiwan,,new zealand
asia,taiwan,,india
asia,canada,,australia
asia,china,,japan
asia,usa,,uk
americas,new zealand,,india
asia,china,,japan
oceania,usa,,south africa
americas,israel,,china
asia,china,,uk
americas,india,,canada
asia,india,,taiwan
oceania,china,,mexico
asia,uk,,france
asia,canada,,germany
africa,japan,,uk
europe,uk,,china
asia,south africa,,china
americas,japan,,uk
europe,india,,israel
asia,australia,,switzerland
americas,mexico,,china
europe,israel,,china
asia,uk,,usa
asia,switzerland,,australia
asia,uk,,india
europe,france,,japan
europe,china,,usa
europe,china,,india
europe,taiwan,,australia
asia,germany,,mexico
asia,china,,japan
asia,mexico,,indonesia
americas,india,,japan
oceania,japan,,china
americas,china,,japan
oceania,australia,,uk
asia,usa,,china
asia,australia,,malaysia
asia,usa,,south korea
americas,india,,brazil
asia,indonesia,,usa
europe,china,,india
asia,japan,,china
asia,china,,south korea
asia,brazil,,canada
asia,malaysia,,china
americas,japan,,india
asia,south korea,,usa
asia,japan,,china
asia,uk,,usa
asia,india,,china
americas,china,,uk
americas,india,,china
asia,usa,,sweden
americas,china,,usa
asia,south korea,,mexico
asia,usa,,china
americas,china,,usa
asia,usa,,usa
asia,canada,,usa
asia,china,,china
americas,china,,china
americas,sweden,,germany
asia,usa,,china
americas,usa,,uk
europe,uk,,sweden
americas,mexico,,hong kong
americas,china,,china
europe,usa,,china
asia,usa,,china
asia,china,,india
asia,sweden,,japan
asia,china,,south korea
europe,china,,japan
europe,china,,china
asia,china,,south korea
asia,germany,,china
asia,uk,,south korea
asia,hong kong,,china
europe,china,,canada
asia,south korea,,usa
asia,china,,india
asia,china,,china
asia,canada,,usa
asia,south korea,,china
asia,china,,italy
asia,japan,,india
americas,japan,,china
asia,south korea,,usa
asia,india,,china
asia,india,,taiwan
asia,india,,china
americas,china,,japan
americas,china,,china
asia,italy,,usa
americas,usa,,china
europe,china,,france
asia,usa,,japan
asia,usa,,mexico
asia,china,,chile
americas,mexico,,china
europe,taiwan,,china
americas,china,,china
asia,japan,,china
asia,usa,,usa
asia,japan,,canada
americas,china,,australia
asia,china,,china
asia,chile,,switzerland
asia,france,,usa
americas,usa,,usa
asia,switzerland,,mexico
asia,china,,sweden
asia,usa,,germany
asia,australia,,new zealand
americas,canada,,uk
oceania,china,,usa
americas,china,,uk
asia,china,,denmark
europe,china,,uk
americas,usa,,usa
americas,uk,,india
europe,uk,,india
europe,denmark,,china
europe,usa,,china
oceania,new zealand,,china
americas,sweden,,norway
europe,uk,,czech republic
europe,germany,,china
europe,mexico,,usa
americas,usa,,china
asia,usa,,japan
asia,czech republic,,usa
europe,china,,china
asia,china,,finland
asia,china,,usa
asia,china,,china
asia,norway,,south africa
europe,india,,usa
americas,india,,japan
americas,usa,,usa
americas,china,,china
asia,finland,,norway
europe,china,,thailand
asia,china,,uk
americas,usa,,china
asia,japan,,china
asia,south africa,,china
europe,japan,,switzerland
asia,usa,,india
americas,usa,,usa
asia,china,,china
europe,switzerland,,usa
asia,uk,,uk
asia,china,,usa
asia,china,,china
asia,thailand,,isle of man
europe,china,,usa
asia,norway,,china
europe,india,,china
asia,china,,china
europe,china,,china
americas,usa,,china
americas,china,,china
americas,china,,china
europe,isle of man,,uk
asia,usa,,canada
asia,usa,,south korea
americas,usa,,china
asia,uk,,japan
asia,china,,taiwan
asia,japan,,finland
asia,south korea,,china
asia,canada,,brazil
europe,china,,brazil
asia,china,,china
asia,uk,,usa
americas,china,,usa
asia,china,,australia
asia,china,,china
asia,taiwan,,china
americas,australia,,china
americas,china,,taiwan
asia,china,,sweden
europe,usa,,south africa
americas,brazil,,usa
americas,finland,,china
asia,china,,brazil
asia,brazil,,japan
oceania,usa,,china
asia,china,,china
europe,china,,usa
asia,japan,,uk
asia,south africa,,china
asia,brazil,,south korea
americas,usa,,italy
americas,taiwan,,south korea
africa,china,,sweden
asia,china,,usa
asia,sweden,,france
americas,usa,,usa
europe,france,,bermuda
asia,usa,,china
europe,china,,usa
