ambitiobox-headquarter,ariregister-headquarter,disfold-official_name,disfold-ceo,forbes-ceo,valuetoday-ceo
"bangalore/bengaluru, karnataka, india",,,mr. yanhong  li,,
"london, united kingdom (uk)",,,,,carlo messina
"mumbai, maharashtra, india",,,mr. kasper bo rorsted,,thierry delaporte
"mumbai, maharashtra, india",,,mr. jun  seki,,anthony capuano
"mumbai, maharashtra, india",,,"mr. octavio  de lazari jr., junior",,
"gurgaon/gurugram, haryana, india",,,mr. kevin ronald sayer,,olivier andries
"toronto, canada",,,mr. leon j. topalian,,werner baumann
"new delhi, india",,,mr. brian  humphries,,yang-wei liu
"pune, maharashtra, india",,,igor y. zhilkin,,john pettigrew
"gurgaon/gurugram, haryana, india",,,,,xie yonglin
"london, england, india",,,dr. andrew  anagnost,,jens bjorn andersen
"mumbai, maharashtra, india",,,mr. bob  van dijk,,
"mumbai, india",,,mr. george r. kurtz,,
"mumbai, maharashtra, india",,,,,robert gamgort
"delhi/ncr, new delhi, india",,,mr. gregory d. johnson,,david simon
"cork, ireland",,,mr. george r. oliver,,tatsuro kosaka
"aurangabad, maharashtra, india",,,mr. rangarajan  raghuram,,robin li
"gurgaon,haryana, india",,,mr. mark s. little,,abdulla mubarak al-khalifa
"boston, massachusetts, united states (usa)",,,mr. brian s. tyler ph.d.,,hiroshi suzuki
"rocester, staffordshire, england",,,mr. igor ivanovich sechin,,
"mumbai, maharashtra, india",,,mr. james r. fitterling,,ken xie
"hyderabad/secunderabad, telangana, india",,,mr. calvin r. mcdonald,,thomas p gibbons
"mumbai, maharashtra, india",,,dr. lih shyng  tsai ph.d.,,gopal vittal
"london, unitedkingdom",,,mr. peter kenneth allen,,
"gurgaon,haryana, india",,,mr. toshiaki  higashihara,,claudio descalzi
"pune, maharashtra, india",,,mr. enrique j. lores,,terrence curtin
"san jose, california, united states (usa)",,,,,nikesh arora
"chennai, tamil nadu, india",,,mr. thierry  delaporte,,rangarajan raghuram
"hyderabad/secunderabad, telangana, india",,,mr. john chongbo  rim,,
"mumbai, maharashtra, india",,,,,chi-foon chan
"noida, uttar pradesh, india",,,mr. brian r. niccol,,tsuneo murata
"ahmedabad, gujrat, india",,,dr. anirudh  devgan ph.d.,,toshihiro mibe
"paris, france",,,,,charlie nunn
"noida, uttar pradesh, india",,,mr. ari  bousbib,,
"paris, ile-de-france, france",,,mr. william c. rhodes iii,,deqi ren
"gurgaon,haryana, india",,,mr. terrence r. curtin cpa,,a. james teague
"la défense, france",,,mr. carlo  messina,,eric yuan
"hyderabad/secunderabad, telangana, india",,,mr. henry a. fernandez,,toshio kagami
"mumbai, india",,,mr. yu  sun,,"['frank vang-jensen', 'casper von koskull']"
"paris, france",,,mr. jose e. almeida,,oscar gonzalez rocha
"bangalore/bengaluru, karnataka, india",,,,,
"mumbai, india",,,mr. jeffrey s. sloan j.d.,,hilton schlosberg
"gurgaon/gurugram, haryana, india",,,mr. michael r. mcmullen,,bobby kotick
"garner, north carolina, united states (usa)",,,ms. rosalind gates brewer,,
"hyderabad/secunderabad, telangana, india",,,mr. arthur william stein,,lance uggla
"noida, uttar pradesh, india",,,,,peter zaffino
"iwata, shizuoka, japan",,,mr. david l. gitlin,,uday kotak
"ahmedabad, gujrat, india",,,mr. thomas p. gibbons,,scott d. sheffield
"bangalore/bengaluru, karnataka, india",,,,,neil hunn
"chennai, tamil nadu,",,,mr. gregory q. brown,,
"mumbai, maharashtra, india",,,,,david baszucki
"hyderabad/secunderabad, telangana, india",,,mr. steven j. a. van rijswijk,,ari bousbib
"jaipur, rajasthan, india",,,mr. joseph w. gorder,,richard adam norwitt
"delhi/ncr, delhi, india",,,,,olivier le peuch
"hyderabad/secunderabad, telangana, india",,,mr. thomas joseph wilson ii,,yang hua
"new york, united states (usa)",,,mr. alan s. armstrong,,makoto takashima
"new delhi, delhi, india",,,mr. richard e. muncrief,,charles f. lowrey
"bangalore,karnataka, india",,,mr. jean-marc  chery,,michael d. hsu
"gurgaon/gurugram, haryana, india",,,prof. ugur  sahin m.d.,,tom palmer
"mumbai, maharashtra, india",,,mr. rocco  gori,,mirko bibic
"mumbai, india",,,mr. william rodney mcmullen,,c. s. venkatakrishnan
"san jose,california, united states",,,mr. kevin p. hourican,,rob scott
"new york city,new york, united states",,wuxi apptec co. ltd,dr. ge  li ph.d.,,
"bangalore/bengaluru, karnataka, india",,,mr. christopher j. nassetta,,francois poirier
"bangalore/bengaluru, karnataka, india",,,mr. jens bjorn andersen,,takehiko kakiuchi
"walldorf, baden-württemberg, germany",,,,,victor peng
"mumbai, maharashtra, india",,,mr. jeffrey l. harmening,,christian sinding
"mumbai,maharashtra, india",,,"mr. charles victor magro b.sc. (chem), mba",,c vijayakumar
"gurgaon/gurugram, haryana, india",,,,,vladimir potanin
"bangalore/bengaluru, karnataka, india",,,mr. rodney cyril sacks,,simon a borrows
"chennai,tamil nadu, india",,,,,martin mucci
,,,mr. eiichiro  ikeda,,rosalind brewer
"mumbai, maharashtra, india",,,mr. jon  vander ark,,john rim
"delhi/ncr, new delhi, india",,,mr. robert g. scott,,
"hyderabad/secunderabad, telangana, india",,,mr. jun  lei,,jay mazelsky
"eindhoven, north brabant, netherlands",,,mr. michael d. hsu,,bruce d. broussard
"taipei, taiwan",,,mr. steven j. kean,,mads nipper
"dallas, usa",,,,,
"noida, uttar pradesh, india",,,dr. dennis mark bristow,,
"bangalore,karnataka, india",,,mr. daniel paul amos,,
"morris plains, new jersey, united states (usa)",,,mr. david e. simon,,amit syngle
,,,,,gregory d. johnson
"gurgaon, haryana, india",,,mr. edward d. breen,,anirudh devgan
"udaipur, rajasthan, india",,,,,gilles andrier
"geneva, geneva, switzerland",,,,,bill newlands
"berne, switzerland",,,mr. robert c. frenzel,,philippe brassac
"chennai, tamil nadu, india",,,mr. shankh s. mitra,,
"navi mumbai, india",,,,,jean-marc chery
"hyderabad/secunderabad, telangana, india",,,"mr. bradford leon banducci bcomm (acc), llb, mba",,ganesh moorthy
"new york, new york, united states (usa)",,,dr. gary s. guthart ph.d.,,bom suk kim
"delhi/ncr, new delhi, india",,,mr. brian j. cassin,,henry a. fernandez
"slough,slough, united kingdom",,,"mr. michael j. farrell be, mba, sm",,kevin r. sayer
"hyderabad/secunderabad, telangana, india",,,mr. peter z. e. vanacker,,a. william stein
"bangalore/bengaluru, karnataka, india",,,,,miguel patricio
"london, united kingdom (uk)",,,mr. brian  armstrong,,kevin p. clark
"mumbai, maharashtra, india",,,mr. william  li,,masahiro okafuji
"sunnyvale, california, united states (usa)",,,mr. matthew  prince,,brian humphries
"cincinnati, ohio, united states (usa)",,,,,nick akins
"chennai, tamil nadu, india",,,mr. kenneth todd lane,,tony xu
"chennai, tamil nadu, india",,,mr. worthing f. jackman,,michael f. neidorff
"bangalore, india",,,dr. kevin m. stein ph.d.,,olivier pomel
"noida, uttar pradesh, india",,,dr. ralph  izzo ph.d.,,david gitlin
"chennai, tamil nadu, india",,,"mr. darren  entwistle b.a., ll.d., m.b.a.",,
"mumbai, maharashtra, india",,,,,
"seattle, washington, united states (usa)",,,,,
"mountain view, california, united states (usa)",,,,,brian niccol
"moon township, united states (usa)",,,mr. tony  xu,,elizabeth gaines
"hopkinton, unitedstates",,münchener rückversicherungs-gesellschaft aktiengesellschaft in münchen,dr. torsten  jeworrek,,michael j. hennigan
"zurich,zurich, switzerland",,,,,fitterling
"chennai, tamil nadu, india",,,,,jose e. almeida
"noida, uttar pradesh, india",,,mr. satoru  komiya,,michael r. mcmullen
"amsterdam, netherlands",,,mr. thomas l. williams,,william j stromberg
"abu dhabi, united arab emirates (uae)",,,,,
"vadodara/baroda, gujrat, india",,,mr. david s. regnery,,jeffrey w. martin
"mumbai, maharashtra, india",,,mr. andrew  wilson,,hak cheol shin
"singapore, singapore",,,mr. greg c. garland,,michael s. dell
,,,,,benjamin william keswick
"mumbai, maharashtra, india",,,dr. joachim  kreuzburg,,david velez osorno
"kolkata, west bengal, india",,,mr. dominic  blakemore,,joachim wenning
"bangalore, india",,,"mr. sunao  manabe d.v.m., ph.d.",,katsunori maruyama
"mumbai, maharashtra, india",,,mr. aiman  ezzat,,
"gurgaon/gurugram, haryana, india",,,mr. jeffrey a. stoops,,george kurtz
,,,mr. michael a. witynski,,david hsu
"bhopal, madhya pradesh, india",,,mr. philippe  brassac,,charles f. lowrey
"marseille, marseille, france",,,mr. martin  lundstedt m.sc.,,
"new york city,new york, united states",,,mr. yixiao  cheng,,jeffrey s. sloan
"new delhi, india",,,mr. michael saul dell,,
"kochi/cochin, kerala, india",,,mr. onur  genc,,jon vander ark
"delhi/ncr, delhi, india",,,mr. lorenzo  simonelli,,greg brown
"london, united kingdom (uk)",,,,,brian cassin
"atlanta,georgia, united states",,,mr. david j. endicott,,daniel ek
"east moline, illinois, united states (usa)",,,,,nick read
"mumbai,maharashtra, india",,,ms. ester  baiget,,gregory w. becker
"noida, uttar pradesh, india",,,,,christophe weber
"new brunswick, new jersey, united states (usa)",,,mr. jamie j. iannone,,edward d. breen
"hyderabad/secunderabad, telangana, india",,,mr. brian p. hannasch,,chris kubasik
"mumbai, maharashtra, india",,,mr. christian  sinding,,joseph m. hogan
"bonn, germany",,,dr. detlef a. trefzger,,william c. rhodes iii
,,,mr. roger crosby hochschild,,onur genc
"bangalore/bengaluru, karnataka, india",,,mr. donnie d. king,,thomas l. williams
"gurgaon/gurugram, haryana, india",,,mr. jeffrey allen miller,,
"mumbai, maharashtra, india",,,"mr. robert w. sharps c.f.a., cpa, cfa, cpa",,enrique lores
"hyderabad/secunderabad, telangana, india",,,mr. chi-mau  sheih,,rolf eberhard buch
"mumbai, india",,,mr. mark j. parrell,,kentaro kawabe
"london, united kingdom (uk)",,,,,choi soo-yeon
"mumbai, india",,,mr. j. patrick gallagher jr.,,brian p. hannasch
"mumbai, maharashtra, india",,,mr. kentaro  kawabe,,christopher j. nassetta
"delhi/ncr, delhi, india",,,mr. scott g. stephenson,,jeff lawson
"delhi, india",,,,,ignatius navil noronha
"gurgaon, india",,,dr. michael  strugl m.b.a.,,dominic blakemore
"noida, uttar pradesh, india",,,mr. joseph m. hogan,,dan amos
"bangalore,karnataka, india",,,mr. daniel l. florness,,yoshiharu inaba
"mumbai, maharashtra, india",,,mr. james m. cracchiolo,,todd m. schneider
"evanston, illinois, united states (usa)",,,mr. aditya  mittal,,kevin hourican
"noida, india",,,,,jeff harmening
"bangalore,karnataka, india",,,,,marc rowan
"paris, france",,,mr. timothy p. cawley,,jamie iannone
"bangalore,karnataka, india",,,mr. jack a. fusco,,ola rollen
"chennai, tamil nadu, india",,,mr. greg c. gantt,,henry r. kravis
"noida, india",,,,,
"mumbai, maharashtra, india",,,mr. david w. gibbs,,jean jereissati
"kadoma, osaka, japan",,,mr. bradley william corson bs,,sunao manabe
"norwalk,connecticut, united states",,,mr. benjamin w. schall,,veronique penchienati bosetta
"bengaluru/bangalore, karnataka, india",,,,,alan d. schnitzer
"aurangabad, maharashtra, india",,,"mr. ola  rollã©n b.sc., b.sc. (econ.)",,satoru komiya
"miami, florida, united states (usa)",,,"mr. andrew richard penn m.b.a., amp, mba, bec, fcca, hfaipm",,chang jae-hoon
"hertfordshire, england",,,ms. alison marie rose-slade b.a.,,albert manifold
"ahmedabad, gujrat, india",,,mr. john b. hess,,david gibbs
"louisville, kentucky, united states (usa)",,,mr. stephane  richard,,david j. endicott
"santa ana, california, united states (usa)",,,dr. theodor  weimer,,jayshree ullal
"hyderabad/secunderabad, telangana, india",,,mr. alexander j. pourbaix,,michael h. mcgarry
"mumbai, maharashtra, india",,,mr. kevin p. clark,,ji xiaohui
"west palm beach, florida, united states (usa)",,,mr. blake d. moret,,
"bethesda, maryland, united states (usa)",,,"mr. kevin david strain c.a., cpa",,
"aurangabad, india",,,ms. judith f. marks,,michele buck
"singapore, singapore",,,mr. eric s. yuan,,sumit roy
"delhi/ncr, delhi, india",,,,,david layton
"nanterre, france",,,"mr. e. borje ekholm mba, msc",,ludwig n. hantson
"kolkata, west bengal, india",,,mr. franklin k. clyburn jr.,,juan ricardo luciano
"coimbatore, tamil nadu, india",,,mr. jiusheng  zhu mba,,tatsuo yasunaga
"bangalore,karnataka, india",,,mr. frans w. h. muller,,ryuichi isaka
"gurgaon/gurugram, haryana, india",,,mr. auttapol  rerkpiboon,,peter vanacker
"noida, uttar pradesh, india",,,mr. masahiro  kihara,,steven j. kean
"mumbai, maharashtra, india",,,mr. joseph y. bae,,roy gori
"bonn, germany",,,,,helen wong
,,,,,yu liang
"mumbai, maharashtra, india",,,mr. kenji  yamaguchi,,
"bangalore/bengaluru, karnataka, india",,,dr. carsten  knobel,,greg c. gantt
"copenhagen, denmark",,,mr. marshall s. mccrea iii,,kevin murphy
"delhi/ncr, delhi, india",,,"mr. galen g. weston b.a., m.b.a, m.b.a.",,dr. detlef trefzger
"delhi/ncr, new delhi, india",,,mr. peter p. gassner,,benoit bazin
"mumbai, maharashtra, india",,,mr. parag  agrawal,,kong qingwei
"mumbai, maharashtra, india",,,mr. pekka ilmari lundmark,,joachim kreuzburg
"mumbai, maharashtra, india",,,,,mark s. little
"santa clara,california, united states",,,mr. ronald philip o'hanley,,aiman ezzat
"winnipeg, manitoba, canada",,,ms. catherine  macgregor,,
"mumbai, india",,,mr. paul  brink,,milton maluhy filho
"new york, new york, united states (usa)",,,,,chen hong
"gurgaon,haryana, india",,,mr. jagtar singh chaudhry,,jeffrey stoops
"amsterdam, netherlands",,,,,sanjiv bajaj
"bangalore,karnataka, india",,,dr. leonhard  birnbaum,,
"mumbai, maharashtra, india",,,mr. david a. zapico,,jeff green
"lausanne, switzerland",,,,,johan thijs
"ludhiana, punjab, india",,,,,blake d. moret
"mumbai, maharashtra, india",,,mr. dimitri  de vreeze,,
"new delhi, delhi, india",,,mr. urs  schaeppi lic. oec. hsg,,brian s. tyler
,,,mr. michel  vounatsos,,shankh mitra
,,,mr. hiroya  masuda,,dong mingzhu
"delhi/ncr, new delhi, india",,,,,bob frenzel
,,,mr. ruiwen  ke,,andrew wilson
"gurgaon/gurugram, haryana, india",,,mr. joseph r. nolan jr.,,
"hyderabad, india",,,,,
"pune, maharashtra, india",,,,,borje ekholm
"saint-ouen, france",,,mr. wendell p. weeks,,
"mumbai, maharashtra, india",,,mr. gregory leith goodman,,alison rose
"thrissur/trichur, kerala, india",,,mr. pierce h. norton ii,,gao yingxin
"mumbai, maharashtra, india",,,mr. patrick k. kaltenbach,,dimitri de vreeze
"delhi/ncr, delhi, india",,,,,brendan horgan
"gurgaon/gurugram, haryana, india",,,mr. michael h. mcgarry,,henrik ehrnrooth
"gurgaon/gurugram, haryana, india",,,,,
"mumbai, maharashtra, india",,,mr. xuping  chen,,roger c hochschild
"noida, uttar pradesh, india",,,,,jean-bernard levy
"monheim am rhein,north rhine-westphalia, germany",,,mr. r. preston feight,,
"chennai, tamil nadu, india",,,mr. harry  schmelzer jr.,,barbara rentler
"coimbatore, tamil nadu, india",,,mr. lawson e. whiting,,louisa cheang wai wan
"mumbai, maharashtra, india",,,mr. coimbatore sundararajan venkatakrishnan,,
"mumbai, india",,,mr. shizhong  ding,,ronald p. o'hanley
"qingdao, china",,,mr. kuan moon  yuen,,w. nicholas howley
"mumbai, maharashtra, india",,,,,andreas fibig
"pune, maharashtra, india",,,mr. tobias  martinez gimeno,,yeo min-soo
"morelia, mexico",,,,,jan craps
"ahmedabad, gujrat, india",,,dr. zhisheng  chen,,catherine macgregor
"mumbai, india",,,mr. zhichao  zhang,,masatsugu nagato
"blue bell, pennsylvania, united states (usa)",,,mr. steven h. collis,,hafize gaye erkan
"basking ridge, new jersey, united states (usa)",,,mr. scott j. lauber,,jay chaudhry
"bangalore/bengaluru, karnataka, india",,,ms. barbara  rentler,,kjerstin braathen
"gurgaon/gurugram, haryana, india",,,mr. bom suk  kim,,
"mumbai, maharashtra, india",,,,,james cracchiolo
"gurgaon/gurugram, haryana, india",,,,,andrea orcel
"gurgaon/gurugram, haryana, india",,,,,eddy pirard
"falls church, virginia, united states (usa)",,,ms. jennifer c. witz,,s n subrahmanyan
"mumbai,maharashtra, india",,,mr. ken  murphy,,carsten knobel
"bangalore/bengaluru, karnataka, india",,,mr. george  wills,,greg c. garland
"osaka city, osaka, japan",,,,,
"marousi, alger, greece",,,mr. mark w. begor,,sanjiv puri
"delhi/ncr, new delhi, india",,,mr. brendan  horgan,,thomas j. wilson
"sunnyvale, united states (usa)",,,dr. david todd feinberg mba,,
"gurgaon, india",,,mr. james p. snee,,jun young-hyun
"chennai, india",,,"mr. robert anthony wheals c.a., b.com., bcom, ca, gaicd, maicd",,andy penn
"delhi/ncr, new delhi, india",,,mr. francisco miguel  reynã©s massanet,,john riccitiello
,,,"mr. joseph  galli jr., bsba, m.b.a., mba.",,stefan widing
"mumbai, maharashtra, india",,,mr. james m. foote,,"james c. collins, jr."
"delhi/ncr, delhi, india",,,mr. gregory w. becker,,rodney mcmullen
"windsor locks,connecticut, united states",,,,,patrick kaltenbach
"las vegas, nevada, united states (usa)",,,dr. markus  krebber,,shar dubey
"hook, england",,,mr. robert glen goldstein,,peter gassner
"mumbai,maharashtra, india",,,,,pekka lundmark
"san donato milanese, milan, italy",,,"mr. anthony  staffieri f.c.a., fca, fcpa",,kristian villumsen
"chennai,tamil nadu, india",,electricité de france sa,mr. jean-bernard  levy,,michael j. farrell
,,,mr. luis  maroto camino,,octavio de lazari junior
"kansas, missouri, united states (usa)",,,mr. kenji  yasukawa ph.d.,,timothy j naughton
"mumbai, india",,,mr. ronald s. nersesian,,daniel l. florness
"gurgaon/gurugram, haryana, india",,,mr. john a. hayes,,leonhard birnbaum
"noida, uttar pradesh, india",,,,,raymond kwok
"new york, new york, united states (usa)",,,"mr. devin w. stockfish esq., j.d.",,wee ee cheong
"delhi/ncr, delhi, india",,,ms. adena t. friedman,,frans muller
"panchkula, india",,,mr. daniel g. ek,,robert e. sulentic
"gurgaon/gurugram, haryana, india",,,mr. a. jayson adair,,alan s. armstrong
"nagpur, india",,,,,tatsufumi sakai
"bangalore/bengaluru, karnataka, india",,,mr. andrea  orcel,,michel vounatsos
"chicago, united states (usa)",,,mr. johan  thijs,,tobias martinez gimeno
"brentford, unitedkingdom",,,ms. sharmistha  dubey,,j. patrick gallagher jr
"mumbai, maharashtra, india",,,mr. carl a. hess,,bin wu
"seoul, south korea",,,mr. mohammed abdullah al-yahya,,
"mumbai, india",,,mr. henrik  andersen,,matthew prince
"hyderabad/secunderabad, telangana, india",,,,,
"chennai, tamil nadu, india",,,mr. nico  delvaux,,
"hyderabad/secunderabad, telangana, india",,,,,greg d. carmichael
