,ceo,country,market_value_jan_2020,market_value_jan_2021,market_value_jan_2022,name,employees_2022,revenue_2022,sector
443,,france,doll_9.39 m,doll_9.29 m,doll_8.79 m,getlink se,,853 million usd,industries
444,,sweden,doll_1.75 m,doll_10.24 m,doll_8.75 m,sinch ab (publ),"1,892",doll_1.699 m,communication services
445,,uk,doll_6.73 m,doll_6.86 m,doll_8.72 m,j sainsbury,"111,900",doll_35.211 m,consumer defensive
446,,belgium,doll_5.5 m,doll_8.15 m,doll_8.71 m,elia system operator sa,,doll_2.811 m,utilities
447,,uk,doll_8.65 m,doll_8.56 m,doll_8.69 m,whitbread,"35,455",doll_2.006 m,consumer cyclical
448,,france,doll_7.54 m,doll_9.1 m,doll_8.65 m,seb sa,"34,000",doll_8.880 m,consumer cyclical
449,,greece,doll_8.01 m,0,doll_8.62 m,hellenic telecommunications organization,"16,291",doll_3.712 m,communication services
450,,luxembourg,doll_7.61 m,doll_7.43 m,doll_8.61 m,rtl group sa,"16,264",doll_6.635 m,communication services
451,,finland,doll_6.71 m,doll_5.89 m,doll_8.61 m,wartsila oyj abp,"18,307",doll_5.265 m,industries
452,,czech republic,doll_6.2 m,doll_7.56 m,doll_8.6 m,avast,"1,803",941 million usd,technology
453,,uk,doll_8.51 m,doll_8.24 m,doll_8.57 m,taylor wimpey,"6,029",doll_5.608 m,consumer cyclical
454,,italy,doll_6.2 m,doll_6.61 m,doll_8.56 m,edison s.p.a,"13,351",doll_11.736 m,utilities
455,,germany,doll_6.03 m,doll_9.12 m,doll_8.47 m,bechtle ag,"11,487",doll_5.303 m,technology
456,,belgium,doll_4.73 m,doll_6.01 m,doll_8.44 m,warehouses de pauw,,306 million usd,real estate
457,,germany,doll_7.18 m,doll_8.53 m,doll_8.44 m,dws group gmbh & co. kgaa,"3,600",doll_2.846 m,financial services
458,,switzerland,doll_10.37 m,doll_10.73 m,doll_8.43 m,adecco group ag,"30,264",doll_23.086 m,industries
459,,france,doll_5.15 m,doll_8.7 m,doll_8.38 m,la francaise des jeux societe anonyme,,doll_2.254 m,consumer cyclical
460,,russia,doll_9.81 m,doll_6.66 m,doll_8.28 m,vtb bank,,0 million usd,financial services
461,,germany,doll_8.76 m,doll_8.17 m,doll_8.28 m,telefonica deutschland holding ag,"8,500",doll_8.557 m,communication services
462,,ireland,doll_8.35 m,doll_9.2 m,doll_8.26 m,jazz pharmaceuticals,"1,620",doll_3.094 m,healthcare
463,,luxembourg,doll_5.24 m,doll_7.06 m,doll_8.24 m,b&m european value retail,"32,000",doll_5.504 m,consumer defensive
464,,uk,doll_6.34 m,doll_6.74 m,doll_8.24 m,intermediate capital group,,900 million usd,financial services
465,,netherlands,0,0,doll_8.23 m,ctp n.v.,,407 million usd,real estate
466,,uk,doll_6.27 m,doll_11.38 m,doll_8.21 m,fresnillo,"5,510",doll_2.703 m,basic materials
467,,ireland,doll_8.49 m,doll_6.98 m,doll_8.21 m,dcc,"12,773",doll_17.556 m,energy
468,,poland,doll_4.24 m,doll_4.14 m,doll_8.21 m,lpp sa,,doll_14.025 m,consumer cyclical
469,,czech republic,doll_6.94 m,doll_5.76 m,doll_8.19 m,komercni banka,,0 million usd,financial services
470,,netherlands,doll_7.78 m,doll_7.88 m,doll_8.16 m,grandvision,"33,681",3 million usd,consumer cyclical
471,,hong kong,doll_13.15 m,doll_7.8 m,doll_8.12 m,swire pacific,"130,716",doll_11.532 m,industries
472,,denmark,doll_4.97 m,doll_7.65 m,doll_8.12 m,rockwool international a/s,"11,700",doll_3.403 m,industries
473,,norway,doll_6.97 m,doll_9.23 m,doll_8.11 m,schibsted asa,"5,182",doll_1.638 m,communication services
474,,ireland,doll_6.17 m,doll_4.87 m,doll_8.07 m,bank of ireland group,"9,211",0 million usd,financial services
475,,italy,doll_8.17 m,doll_7.47 m,doll_8.04 m,unipolsai assicurazioni,,doll_16.253 m,financial services
476,,sweden,doll_5.22 m,doll_7.83 m,doll_8.01 m,holmen aktiebolag (publ.),,doll_2.045 m,basic materials
477,,norway,doll_5.83 m,doll_6.6 m,doll_8.0 m,salmar asa,"1,702",doll_1.685 m,consumer defensive
478,,uk,doll_2.77 m,doll_4.66 m,doll_7.96 m,endava,"6,624",525 million usd,technology
479,,uk,doll_6.53 m,doll_4.98 m,doll_7.94 m,meggitt,"10,000",doll_1.949 m,industries
480,,france,doll_9.99 m,doll_8.59 m,doll_7.88 m,covivio,,858 million usd,real estate
481,,uk,0,0,doll_7.84 m,oxford nanopore technologies plc,628,174 million usd,healthcare
482,,uk,doll_9.77 m,doll_6.83 m,doll_7.83 m,land securities group,530,800 million usd,real estate
483,,germany,doll_6.29 m,doll_7.16 m,doll_7.83 m,hella gmbh & co. kgaa,"39,000",doll_6.324 m,consumer cyclical
484,,switzerland,doll_8.37 m,doll_7.92 m,doll_7.82 m,baloise holding ag,,doll_9.381 m,financial services
485,,germany,doll_3.85 m,doll_7.03 m,doll_7.8 m,wacker chemie ag,"14,542",doll_6.711 m,basic materials
486,,france,doll_7.54 m,doll_6.84 m,doll_7.7 m,ipsen,"5,700",doll_3.243 m,healthcare
487,,switzerland,doll_5.42 m,doll_6.43 m,doll_7.7 m,wizz air holdings,,doll_1.663 m,industries
488,,denmark,doll_6.09 m,doll_10.3 m,doll_7.62 m,gn store nord a/s,"6,525",doll_2.293 m,healthcare
489,,sweden,doll_7.63 m,doll_5.76 m,doll_7.61 m,beijer ref ab (publ),,doll_1.778 m,industries
490,,uk,doll_3.88 m,doll_5.59 m,doll_7.6 m,electrocomponents,"7,044",doll_2.615 m,industries
491,,france,doll_8.56 m,doll_9.41 m,doll_7.58 m,valeo sa,"110,300",doll_18.664 m,consumer cyclical
492,,sweden,doll_5.68 m,doll_5.98 m,doll_7.53 m,trelleborg ab (publ),"22,209",doll_3.562 m,industries
493,,uk,doll_8.37 m,doll_6.57 m,doll_7.51 m,m&g plc,"5,961",doll_19.279 m,financial services
494,,uk,doll_6.98 m,doll_7.03 m,doll_7.5 m,ds smith,"29,300",doll_8.529 m,consumer cyclical
495,,switzerland,doll_4.62 m,doll_5.29 m,doll_7.5 m,belimo holding ag,,811 million usd,industries
496,,italy,doll_3.4 m,doll_5.29 m,doll_7.48 m,interpump group,"7,418",doll_1.734 m,industries
497,,denmark,doll_6.78 m,doll_6.93 m,doll_7.48 m,kobenhavns lufthavne a/s,,237 million usd,industries
498,,germany,doll_4.41 m,doll_4.79 m,doll_7.45 m,sixt se,"8,500",doll_2.467 m,industries
499,,russia,doll_5.35 m,doll_7.87 m,doll_7.45 m,magnit,"300,000",doll_24.871 m,consumer defensive
500,,germany,doll_3.98 m,doll_6.03 m,doll_7.42 m,evotec se,"3,030",618 million usd,healthcare
501,,italy,doll_7.37 m,doll_6.35 m,doll_7.4 m,banca mediolanum,"2,321",doll_7.067 m,financial services
502,,germany,doll_6.28 m,doll_6.37 m,doll_7.4 m,cts eventim ag & co. kgaa,"3,202",440 million usd,communication services
503,,switzerland,doll_3.26 m,doll_4.89 m,doll_7.34 m,datwyler holding,"7,000",doll_1.004 m,industries
504,,uk,doll_5.26 m,doll_5.63 m,doll_7.34 m,howden joinery group,"10,000",doll_2.734 m,consumer cyclical
505,,netherlands,doll_4.97 m,doll_4.93 m,doll_7.33 m,aalberts nv,"16,094",doll_3.221 m,industries
506,,france,doll_11.16 m,doll_6.45 m,doll_7.31 m,klepierre sa,"1,100",doll_1.352 m,real estate
507,,italy,0,0,doll_7.31 m,pirelli & c. s.p.a.,"31,575",doll_5.764 m,consumer cyclical
508,,italy,doll_5.99 m,doll_5.4 m,doll_7.3 m,pirelli & c,"31,600",doll_5.329 m,consumer cyclical
509,,germany,doll_6.65 m,doll_7.85 m,doll_7.3 m,united internet ag,"9,638",doll_6.104 m,communication services
510,,uk,doll_4.52 m,doll_5.9 m,doll_7.29 m,janus henderson group,"2,000",doll_2.767 m,financial services
511,,switzerland,doll_8.75 m,doll_7.39 m,doll_7.28 m,swiss prime site ag,,776 million usd,real estate
512,,germany,doll_5.52 m,doll_6.97 m,doll_7.28 m,gsw immobilien ag,,378 million usd,real estate
513,,uk,doll_10.35 m,doll_8.42 m,doll_7.27 m,abrdn plc,"6,029",doll_2.236 m,financial services
514,,uk,doll_8.0 m,doll_8.08 m,doll_7.25 m,berkeley group holdings,"2,709",doll_2.766 m,consumer cyclical
515,,germany,doll_9.11 m,doll_6.16 m,doll_7.24 m,thyssenkrupp ag,"103,598",doll_37.519 m,industries
516,,spain,doll_12.15 m,doll_9.41 m,doll_7.22 m,acs actividades de construccion y servicios,"65,000",doll_30.703 m,industries
517,,poland,doll_5.05 m,doll_9.88 m,doll_7.18 m,kghm polska miedz,"18,444",doll_6.259 m,basic materials
518,,spain,doll_2.71 m,doll_4.93 m,doll_7.18 m,fluidra,"5,500",doll_2.446 m,industries
519,,russia,doll_0.12 m,doll_0.13 m,doll_7.14 m,x5 retail group,"339,716",doll_36.232 m,consumer defensive
520,,ireland,doll_9.29 m,doll_5.56 m,doll_7.13 m,aib group,"9,520",doll_2.419 m,financial services
521,,uk,0,doll_3.88 m,doll_7.09 m,airtel africa,"3,300",doll_4.714 m,telecom
522,,uk,doll_7.89 m,doll_6.18 m,doll_7.09 m,british land company,783,483 million usd,real estate
523,,luxembourg,doll_10.93 m,doll_10.08 m,doll_7.08 m,aroundtown sa,500,doll_1.085 m,real estate
524,,russia,doll_3.74 m,doll_3.27 m,doll_7.03 m,vsmpo-avisma corporation,,doll_1.463 m,basic materials
525,,uk,doll_3.03 m,doll_4.62 m,doll_7.03 m,royal mail,"177,047",doll_14.973 m,industries
526,,norway,doll_4.8 m,doll_4.79 m,doll_7.03 m,aker asa,"28,000",668 million usd,energy
527,,sweden,doll_2.38 m,doll_2.83 m,doll_7.01 m,vitrolife ab (publ),,178 million usd,healthcare
528,,switzerland,doll_7.35 m,doll_6.94 m,doll_6.97 m,clariant ag,,doll_4.539 m,basic materials
529,,russia,doll_9.39 m,doll_7.93 m,doll_6.92 m,mobile telesystems,"58,415",doll_4.847 m,communication services
530,,uk,doll_7.97 m,doll_17.61 m,doll_6.88 m,novocure,"1,023",535 million usd,healthcare
531,,austria,doll_5.09 m,doll_6.37 m,doll_6.86 m,voestalpine ag,"49,000",doll_14.923 m,basic materials
532,,uk,doll_5.81 m,doll_3.65 m,doll_6.83 m,marks and spencer group,,doll_12.821 m,consumer cyclical
533,,sweden,doll_7.08 m,doll_6.65 m,doll_6.82 m,ab electrolux (publ),"48,000",doll_13.317 m,technology
534,,italy,doll_2.94 m,doll_4.5 m,doll_6.81 m,reply,"9,059",doll_1.636 m,technology
535,,netherlands,doll_2.27 m,doll_2.72 m,doll_6.79 m,hunter douglas,"22,000",doll_4.606 m,consumer cyclical
536,,france,doll_7.38 m,doll_6.99 m,doll_6.75 m,faurecia s.e,"104,739",doll_17.226 m,consumer cyclical
537,,uk,doll_6.39 m,doll_7.94 m,doll_6.71 m,hikma pharmaceuticals,"8,578",doll_2.553 m,healthcare
538,,france,doll_3.35 m,doll_5.8 m,doll_6.71 m,somfy sa,,doll_1.477 m,consumer cyclical
539,,switzerland,doll_3.88 m,doll_5.86 m,doll_6.7 m,bkw ag,"10,500",doll_3.617 m,utilities
540,,switzerland,doll_6.98 m,doll_9.25 m,doll_6.69 m,banque cantonale vaudoise,"1,896",doll_1.023 m,financial services
541,,luxembourg,doll_7.03 m,doll_7.41 m,doll_6.68 m,cpi property group,"4,353",663 million usd,real estate
542,,denmark,doll_7.51 m,doll_8.91 m,doll_6.65 m,ascendis pharma a/s,482,8 million usd,healthcare
543,,france,doll_5.28 m,doll_5.49 m,doll_6.65 m,eurazeo se,270,doll_6.147 m,financial services
544,,uk,0,0,doll_6.63 m,pepco group n.v.,,doll_4.191 m,consumer defensive
545,,uk,doll_3.87 m,doll_5.1 m,doll_6.58 m,dechra pharmaceuticals,"1,753",716 million usd,healthcare
546,,switzerland,doll_3.32 m,doll_5.8 m,doll_6.58 m,tecan group,"2,050",doll_1.012 m,healthcare
547,,france,doll_6.33 m,doll_5.68 m,doll_6.57 m,ald sa,,doll_11.536 m,industries
548,,switzerland,doll_6.97 m,doll_5.52 m,doll_6.56 m,helvetia holding ag,"11,687",doll_12.977 m,financial services
549,,france,doll_4.05 m,doll_4.75 m,doll_6.54 m,rexel,"24,000",doll_16.203 m,industries
550,,germany,doll_7.82 m,doll_5.55 m,doll_6.54 m,fraport ag,"22,514",doll_2.364 m,industries
551,,uk,0,doll_5.82 m,doll_6.54 m,f&c investment trust,,doll_1.275 m,investments
552,,netherlands,doll_5.43 m,doll_5.55 m,doll_6.51 m,asr nederland,"3,934",doll_10.866 m,financial services
553,,belgium,doll_5.14 m,doll_5.02 m,doll_6.5 m,ackermans & van haaren nv,,doll_4.756 m,industries
554,,netherlands,doll_4.03 m,doll_5.25 m,doll_6.41 m,signify,"37,926",doll_7.567 m,industries
555,,uk,doll_7.49 m,doll_5.19 m,doll_6.41 m,easyjet,"14,000",doll_1.935 m,industries
556,,france,doll_8.4 m,doll_8.46 m,doll_6.39 m,orpea sa,,doll_4.297 m,healthcare
557,,finland,doll_3.64 m,doll_4.25 m,doll_6.38 m,valmet oyj,,doll_4.340 m,industries
558,,sweden,doll_4.77 m,doll_6.59 m,doll_6.3 m,sweco ab (publ),,doll_2.310 m,industries
559,,france,doll_3.79 m,doll_4.06 m,doll_6.29 m,financiere de l'odet sa,,doll_26.066 m,industries
560,,uk,doll_4.34 m,doll_3.96 m,doll_6.29 m,nvent electric,"8,800",doll_2.462 m,industries
561,,belgium,doll_9.32 m,doll_6.38 m,doll_6.26 m,proximus,"11,423",doll_6.107 m,communication services
562,,uk,doll_7.97 m,doll_5.88 m,doll_6.25 m,itv,"6,273",doll_4.582 m,communication services
563,,switzerland,doll_4.64 m,doll_5.46 m,doll_6.25 m,emmi ag,,doll_4.185 m,consumer defensive
564,,netherlands,doll_2.91 m,doll_4.36 m,doll_6.24 m,be semiconductor industries,"1,618",826 million usd,technology
565,,uk,doll_5.21 m,doll_7.06 m,doll_6.23 m,weir group,"13,500",doll_2.565 m,industries
566,,uk,doll_6.72 m,doll_6.92 m,doll_6.16 m,pearson plc,"32,000",doll_4.549 m,education
567,,switzerland,doll_3.61 m,doll_2.54 m,doll_6.16 m,goodyear tire & rubber company,"62,000",doll_17.478 m,consumer cyclical
568,,denmark,doll_4.14 m,doll_10.71 m,doll_6.16 m,ambu a/s,"3,500",594 million usd,healthcare
569,,uk,doll_4.17 m,doll_4.34 m,doll_6.14 m,imi,"10,776",doll_1.135 m,industries
570,,belgium,doll_1.85 m,doll_3.1 m,doll_6.14 m,vgp nv,,49 million usd,real estate
571,,sweden,doll_2.46 m,doll_3.89 m,doll_6.09 m,thule group ab (publ),,doll_1.101 m,consumer cyclical
572,,uk,0,doll_3.95 m,doll_6.0 m,tritax big box reit,,244 million usd,real estate
573,,luxembourg,doll_3.46 m,doll_3.66 m,doll_6.0 m,l'occitane international,"9,000",doll_1.780 m,consumer defensive
574,,norway,doll_1.11 m,doll_3.05 m,doll_5.96 m,nordic semiconductor asa,767,610 million usd,technology
575,,italy,doll_6.45 m,doll_5.33 m,doll_5.95 m,hera,,doll_7.808 m,utilities
576,,spain,doll_6.71 m,doll_5.72 m,doll_5.94 m,enagas,361,doll_1.075 m,utilities
577,,norway,doll_2.9 m,doll_3.65 m,doll_5.91 m,kongsberg gruppen asa,,doll_2.826 m,industries
578,,france,doll_4.34 m,doll_3.89 m,doll_5.89 m,alten sa,,doll_2.924 m,technology
579,,uk,doll_7.06 m,doll_3.72 m,doll_5.88 m,centrica,"26,932",doll_24.284 m,utilities
580,,uk,doll_6.16 m,doll_5.69 m,doll_5.87 m,unite group,"1,400",353 million usd,real estate
581,,finland,doll_4.59 m,doll_5.45 m,doll_5.87 m,kojamo oyj,296,431 million usd,real estate
582,,sweden,doll_5.7 m,doll_4.85 m,doll_5.86 m,axfood ab (publ),,doll_6.136 m,consumer defensive
583,,germany,doll_7.23 m,doll_8.46 m,doll_5.86 m,scout24 ag,"1,530",389 million usd,communication services
584,,austria,doll_5.42 m,doll_5.12 m,doll_5.84 m,telekom austria ag,"18,153",doll_4.664 m,communication services
585,,uk,doll_1.84 m,doll_2.33 m,doll_5.84 m,future,,804 million usd,communication services
586,,germany,doll_7.19 m,doll_5.54 m,doll_5.8 m,schaeffler ag,"87,700",doll_15.279 m,consumer cyclical
587,,france,doll_7.91 m,doll_5.98 m,doll_5.77 m,scor se,"2,945",doll_19.625 m,financial services
588,,uk,0,doll_4.43 m,doll_5.77 m,rit capital partners,,doll_1.242 m,investments
589,,italy,doll_5.82 m,doll_4.94 m,doll_5.76 m,a2a,"12,978",doll_12.739 m,utilities
590,,sweden,doll_2.17 m,doll_3.72 m,doll_5.76 m,addtech ab (publ.),"3,000",doll_1.323 m,industries
591,,germany,doll_7.91 m,doll_3.76 m,doll_5.76 m,tui ag,"48,330",doll_5.218 m,consumer cyclical
592,,germany,doll_5.97 m,doll_6.6 m,doll_5.74 m,lanxess,"14,866",doll_8.335 m,basic materials
593,,germany,0,doll_14.43 m,doll_5.74 m,curevac,500,102 million usd,healthcare
594,,france,doll_8.43 m,doll_11.82 m,doll_5.74 m,ubisoft entertainment sa,"18,045",doll_2.124 m,communication services
595,,netherlands,doll_4.42 m,doll_4.01 m,doll_5.73 m,oci,"3,147",doll_6.318 m,basic materials
596,,germany,doll_4.01 m,doll_4.32 m,doll_5.72 m,lechwerke ag,,doll_1.621 m,utilities
597,,switzerland,doll_5.59 m,doll_5.36 m,doll_5.71 m,flughafen zurich ag,,728 million usd,industries
598,,sweden,doll_4.08 m,doll_5.1 m,doll_5.7 m,wallenstam ab (publ),,246 million usd,real estate
599,,russia,doll_2.98 m,doll_3.27 m,doll_5.7 m,acron,,doll_1.970 m,basic materials
600,,france,doll_6.58 m,doll_4.83 m,doll_5.69 m,jcdecaux sa,"10,234",doll_2.521 m,communication services
601,,finland,doll_6.58 m,doll_6.41 m,doll_5.69 m,orion oyj,"3,337",doll_1.148 m,healthcare
602,,belgium,doll_7.21 m,doll_8.01 m,doll_5.67 m,etn. fr. colruyt nv,,doll_10.046 m,consumer defensive
603,,luxembourg,doll_3.38 m,doll_3.83 m,doll_5.62 m,shurgard self storage,751,331 million usd,real estate
604,,denmark,doll_4.46 m,doll_5.65 m,doll_5.6 m,royal unibrew a/s,"2,631",doll_1.294 m,consumer defensive
605,,sweden,doll_1.62 m,doll_3.04 m,doll_5.59 m,medicover ab (publ),,130 million usd,healthcare
606,,france,doll_8.07 m,doll_5.67 m,doll_5.57 m,icade,,doll_1.831 m,real estate
607,,switzerland,doll_6.32 m,doll_6.15 m,doll_5.57 m,psp swiss property ag,,862 million usd,real estate
608,,luxembourg,0,0,doll_5.57 m,ardagh metal packaging s.a.,"16,400",doll_4.055 m,consumer cyclical
609,,germany,doll_6.67 m,doll_7.13 m,doll_5.54 m,fuchs petrolub se,"5,600",doll_2.870 m,basic materials
610,,germany,doll_9.06 m,doll_6.84 m,doll_5.53 m,hochtief,"46,644",doll_23.579 m,industries
611,,austria,doll_4.16 m,doll_4.07 m,doll_5.53 m,bawag group ag,"4,353",doll_1.338 m,financial services
612,,germany,0,0,doll_5.5 m,synlab ag,,doll_4.152 m,healthcare
613,,uk,doll_4.42 m,doll_4.48 m,doll_5.5 m,spectris,"8,450",doll_1.714 m,technology
614,,sweden,doll_4.96 m,doll_5.08 m,doll_5.49 m,aak ab (publ.),"3,978",doll_3.758 m,consumer defensive
615,,germany,doll_4.04 m,doll_5.94 m,doll_5.47 m,gelsenwasser ag,"1,595",doll_6.298 m,utilities
616,,ireland,doll_6.92 m,doll_6.1 m,doll_5.45 m,perrigo company,"11,500",doll_4.138 m,healthcare
617,,uk,doll_3.04 m,doll_3.73 m,doll_5.43 m,diploma plc,,doll_1.044 m,industries
618,,finland,doll_4.02 m,doll_4.85 m,doll_5.43 m,nokian renkaat oyj,,doll_1.891 m,automobile parts
619,,uk,doll_6.2 m,doll_4.98 m,doll_5.42 m,bellway,"2,889",doll_3.677 m,real estate
620,,uk,doll_7.6 m,doll_6.4 m,doll_5.42 m,johnson matthey,"15,352",doll_18.875 m,basic materials
621,,germany,doll_6.78 m,doll_6.76 m,doll_5.42 m,fielmann,"22,245",doll_1.678 m,consumer cyclical
622,,belgium,doll_2.37 m,doll_3.63 m,doll_5.41 m,lotus bakeries nv,"2,155",827 million usd,consumer defensive
623,,switzerland,doll_3.6 m,doll_4.41 m,doll_5.39 m,sfs group ag,"10,692",doll_2.030 m,industries
624,,poland,doll_6.15 m,doll_5.22 m,doll_5.38 m,cyfrowy polsat,,doll_2.613 m,communication services
625,,uk,doll_3.1 m,doll_3.21 m,doll_5.37 m,frasers group,"19,962",doll_4.270 m,consumer cyclical
626,,denmark,doll_2.68 m,doll_4.47 m,doll_5.34 m,alk-abello a/s,,580 million usd,healthcare
627,,italy,doll_5.08 m,doll_5.12 m,doll_5.31 m,italgas,,doll_1.427 m,utilities
628,,austria,doll_3.48 m,doll_3.88 m,doll_5.29 m,evn ag,"7,428",doll_2.641 m,utilities
629,,italy,doll_3.2 m,doll_4.69 m,doll_5.28 m,de'longhi,"8,607",doll_3.219 m,consumer cyclical
630,,switzerland,doll_3.53 m,doll_4.85 m,doll_5.28 m,dksh holding,,doll_11.883 m,industries
631,,uk,doll_2.72 m,doll_3.63 m,doll_5.27 m,mimecast,"1,800",501 million usd,technology
632,,sweden,doll_1.68 m,doll_4.37 m,doll_5.26 m,avanza bank holding ab (publ),450,408 million usd,financial services
633,,uk,doll_5.75 m,doll_5.9 m,doll_5.25 m,direct line insurance group,"10,762",doll_4.285 m,financial services
634,,france,doll_5.84 m,doll_5.23 m,doll_5.25 m,wendel,,doll_8.276 m,financial services
635,,uk,doll_5.2 m,doll_5.46 m,doll_5.22 m,convatec group,"9,400",doll_2.038 m,healthcare
636,,greece,doll_4.16 m,doll_4.53 m,doll_5.22 m,greek organization of football prognostics,"1,503",doll_1.245 m,consumer cyclical
637,,spain,doll_4.82 m,doll_4.37 m,doll_5.2 m,fomento de construcciones y contratas,,doll_6.657 m,industries
638,,sweden,doll_5.71 m,doll_5.13 m,doll_5.18 m,fabege ab (publ),,313 million usd,real estate
639,,austria,doll_4.5 m,doll_4.45 m,doll_5.18 m,andritz ag,"28,400",doll_7.129 m,industries
640,,switzerland,doll_3.35 m,doll_10.9 m,doll_5.18 m,crispr therapeutics ag,410,914 million usd,healthcare
641,,poland,doll_6.23 m,doll_4.96 m,doll_5.17 m,powszechny zaklad ubezpieczen sa,"43,310",,financial services
642,,uk,doll_5.92 m,doll_4.74 m,doll_5.17 m,derwent london,,318 million usd,real estate
643,,denmark,doll_4.28 m,doll_3.79 m,doll_5.16 m,topdanmark a/s,,doll_4.653 m,financial services
644,,germany,doll_5.6 m,doll_5.82 m,doll_5.16 m,varta ag,"4,800",902 million usd,industries
645,,poland,doll_9.08 m,doll_7.42 m,doll_5.14 m,cd projekt,"1,111",,communication services
646,,poland,doll_4.37 m,doll_2.05 m,doll_5.13 m,mbank,,,financial services
647,,switzerland,doll_3.57 m,doll_4.64 m,doll_5.12 m,bucher industries ag,,doll_3.398 m,industry machinery
648,,germany,doll_2.51 m,doll_4.64 m,doll_5.12 m,jungheinrich,"18,019",doll_4.238 m,industries
649,,spain,doll_6.68 m,doll_4.4 m,doll_5.12 m,merlin properties socimi,218,516 million usd,real estate
650,,iceland,doll_3.87 m,doll_4.53 m,doll_5.12 m,marel,,doll_1.500 m,industries
651,,luxembourg,0,0,doll_5.06 m,inpost s.a.,,doll_4.580 m,industries
652,,belgium,doll_3.83 m,doll_4.01 m,doll_5.06 m,cofinimmo sa,,323 million usd,real estate
653,,uk,0,0,doll_5.05 m,dr. martens plc,,doll_1.069 m,footwear
654,,hungary,doll_4.16 m,doll_4.61 m,doll_5.03 m,richter gedeon vegyeszeti gyar nyilvanosan mukodo,,doll_1.829 m,healthcare
655,,spain,doll_6.5 m,doll_4.93 m,doll_4.99 m,inmobiliaria colonial socimi,200,316 million usd,real estate
656,,switzerland,doll_4.01 m,doll_4.41 m,doll_4.98 m,vontobel holding ag,"2,094",doll_2.080 m,financial services
657,,uk,0,doll_7.0 m,doll_4.97 m,deliveroo plc,"2,300",doll_2.148 m,online food delivery
658,,sweden,doll_6.84 m,doll_5.86 m,doll_4.96 m,securitas ab,"355,000",doll_11.416 m,industries
659,,spain,doll_6.72 m,doll_4.84 m,doll_4.95 m,bankinter,"8,668",doll_2.036 m,financial services
660,,norway,doll_3.7 m,doll_3.45 m,doll_4.93 m,storebrand asa,"2,200",doll_13.218 m,financial services
661,,ireland,doll_3.42 m,doll_4.18 m,doll_4.92 m,glanbia,"7,385",doll_4.628 m,consumer defensive
662,,denmark,doll_7.59 m,doll_6.81 m,doll_4.91 m,h. lundbeck a/s,"5,806",doll_2.412 m,healthcare
663,,italy,doll_3.81 m,doll_3.82 m,doll_4.9 m,banca generali,"72,644",doll_1.406 m,financial services
664,,switzerland,doll_4.45 m,doll_4.6 m,doll_4.89 m,bb biotech ag,,-367 million usd,healthcare
665,,uk,0,0,doll_4.89 m,atotech ltd,"3,862",doll_1.234 m,electronics
666,,france,doll_9.17 m,doll_10.11 m,doll_4.88 m,atos se,"110,000",doll_10.836 m,technology
667,,switzerland,0,0,doll_4.88 m,sportradar,"2,300",561 million usd,media
668,,italy,doll_3.47 m,doll_3.32 m,doll_4.85 m,banco bpm societa per azioni,"22,000",doll_4.362 m,financial services
669,,uk,doll_3.43 m,doll_4.37 m,doll_4.85 m,ig group holdings,,doll_1.157 m,financial services
670,,uk,doll_5.39 m,doll_4.64 m,doll_4.83 m,travis perkins,"30,000",doll_6.086 m,industries
671,,switzerland,doll_4.77 m,doll_5.1 m,doll_4.82 m,dufry ag,,doll_4.189 m,consumer cyclical
672,,germany,doll_4.6 m,doll_4.39 m,doll_4.8 m,1&1 ag,"3,163",doll_4.312 m,communication services
673,,germany,doll_2.4 m,doll_3.76 m,doll_4.8 m,dermapharm holding se,,942 million usd,healthcare
674,,italy,doll_4.07 m,doll_4.26 m,doll_4.78 m,brembo,,doll_2.784 m,consumer cyclical
675,,uk,0,0,doll_4.77 m,harbour energy plc,,doll_3.478 m,energy
676,,italy,0,0,doll_4.76 m,stevanato group s.p.a.,,930 million usd,medical equipment
677,,uk,doll_3.69 m,doll_4.8 m,doll_4.75 m,abcam,"1,492",613 million usd,healthcare
678,,denmark,doll_2.31 m,doll_5.02 m,doll_4.74 m,netcompany group a/s,,537 million usd,technology
679,,norway,doll_3.97 m,doll_4.15 m,doll_4.74 m,leroy seafood group asa,,doll_2.630 m,consumer defensive
680,,france,doll_5.21 m,doll_4.91 m,doll_4.73 m,colas sa,,doll_14.588 m,industries
681,,uk,doll_3.67 m,doll_3.46 m,doll_4.73 m,inchcape,"17,300",doll_10.138 m,consumer cyclical
682,,uk,0,doll_4.33 m,doll_4.72 m,polar capital technology trust,,-300 million usd,investments
683,,sweden,doll_3.53 m,doll_3.66 m,doll_4.72 m,hexpol ab (publ),,doll_1.697 m,basic materials
684,,sweden,0,0,doll_4.72 m,oatly group ab,792,643 million usd,non-alcoholic beverages
685,,belgium,doll_3.12 m,doll_3.9 m,doll_4.71 m,melexis nv,"1,449",709 million usd,technology
686,,italy,doll_2.46 m,doll_2.96 m,doll_4.7 m,brunello cucinelli,"2,127",785 million usd,consumer cyclical
687,,sweden,doll_5.25 m,doll_5.1 m,doll_4.69 m,elekta ab (publ),,doll_1.371 m,healthcare
688,,uk,doll_1.28 m,doll_1.9 m,doll_4.69 m,watches of switzerland group,,doll_1.458 m,consumer cyclical
689,,uk,doll_3.65 m,doll_5.73 m,doll_4.67 m,sophos group,"3,500",709 million usd,technology
