02-GioPonSpiz-country,07-silvestri-country,08-slytherin-country,00-avengers-headquarters_country,03-gren-headquarters_country,04-iGMM-headquarters_country
russia,,china,usa,russia,russia
ireland,,ireland,malaysia,ireland,ireland
japan,,netherlands,netherlands,japan,japan
japan,,japan,japan,japan,japan
netherlands,,usa,japan,netherlands,netherlands
malaysia,,malaysia,ireland,malaysia,malaysia
usa,,japan,russia,usa,usa
netherlands,,usa,usa,netherlands,netherlands
taiwan,,taiwan,taiwan,taiwan,taiwan
usa,,usa,india,usa,usa
china,,usa,france,china,china
france,,canada,usa,france,france
indonesia,,china,usa,indonesia,indonesia
canada,,france,canada,canada,canada
usa,,india,indonesia,usa,usa
usa,,indonesia,france,usa,usa
france,,france,china,france,france
india,,usa,usa,india,india
australia,,china,china,australia,australia
china,,usa,usa,china,china
usa,,australia,usa,usa,usa
usa,,china,taiwan,usa,usa
germany,,taiwan,china,germany,germany
china,,usa,germany,china,china
taiwan,,china,usa,taiwan,taiwan
usa,,usa,usa,usa,usa
usa,,germany,china,usa,usa
china,,usa,australia,china,china
china,,mexico,china,china,china
netherlands,,brazil,uk,netherlands,netherlands
brazil,,mexico,mexico,brazil,brazil
italy,,usa,usa,italy,italy
mexico,,usa,china,mexico,mexico
usa,,china,usa,usa,usa
china,,italy,mexico,china,china
usa,,netherlands,brazil,usa,usa
mexico,,china,netherlands,mexico,mexico
uk,,uk,italy,uk,uk
usa,,usa,usa,usa,usa
germany,,japan,usa,germany,germany
japan,,japan,japan,japan,japan
japan,,australia,australia,japan,japan
japan,,spain,spain,japan,japan
taiwan,,taiwan,taiwan,taiwan,taiwan
spain,,japan,japan,spain,spain
australia,,germany,japan,australia,australia
japan,,usa,japan,japan,japan
usa,,japan,germany,usa,usa
usa,,japan,usa,usa,usa
sweden,,china,usa,sweden,sweden
china,,bermuda,japan,china,china
germany,,usa,sweden,germany,germany
usa,,germany,bermuda,usa,usa
spain,,spain,spain,spain,spain
bermuda,,usa,usa,bermuda,bermuda
sweden,,sweden,germany,sweden,sweden
japan,,usa,china,japan,japan
usa,,sweden,sweden,usa,usa
indonesia,,italy,indonesia,indonesia,indonesia
usa,,indonesia,uk,usa,usa
hong kong,,france,france,hong kong,hong kong
italy,,usa,usa,italy,italy
usa,,usa,usa,usa,usa
china,,uk,china,china,china
usa,,usa,usa,usa,usa
usa,,hong kong,italy,usa,usa
france,,usa,hong kong,france,france
uk,,china,usa,uk,uk
usa,,china,usa,usa,usa
china,,china,china,china,china
usa,,india,"['uk', 'spain']",usa,usa
india,,south korea,india,india,india
singapore,,usa,south korea,singapore,singapore
hong kong,,hong kong,hong kong,hong kong,hong kong
south korea,,india,singapore,south korea,south korea
india,,usa,india,india,india
uk,,uk,usa,uk spain,uk
china,,singapore,china,china,china
canada,,south korea,canada,canada,canada
sweden,,taiwan,south korea,sweden,sweden
japan,,italy,usa,japan,japan
usa,,sweden,taiwan,usa,usa
italy,,usa,italy,italy,italy
sweden,,italy,sweden,sweden,sweden
italy,,japan,italy,italy,italy
taiwan,,canada,usa,taiwan,taiwan
usa,,usa,japan,usa,usa
south korea,,sweden,sweden,south korea,south korea
south korea,,south africa,south korea,south korea,south korea
china,,south korea,peru,china,china
thailand,,thailand,thailand,thailand,thailand
usa,,japan,south africa,usa,usa
japan,,japan,japan,japan,japan
netherlands,,usa,netherlands,netherlands,netherlands
japan,,china,japan,japan,japan
south africa,,netherlands,usa,south africa,south africa
thailand,,thailand,thailand,thailand,thailand
peru,,peru,china,peru,peru
germany,,india,germany,germany,germany
china,,china,usa,china,china
usa,,germany,sweden,usa,usa
china,,usa,usa,china,china
india,,usa,usa,india,india
canada,,usa,canada,canada,canada
usa,,china,india,usa,usa
usa,,sweden,china,usa,usa
sweden,,canada,usa,sweden,sweden
usa,,usa,china,usa,usa
usa,,thailand,usa,usa,usa
thailand,,belgium,australia,thailand,thailand
india,,india,usa,india,india
south korea,,usa,china,south korea,south korea
usa,,south korea,sweden,usa,usa
belgium,,sweden,belgium,belgium,belgium
sweden,,usa,usa,sweden,sweden
china,,australia,south korea,china,china
usa,,usa,india,usa,usa
australia,,china,thailand,australia,australia
usa,,india,usa,usa,usa
usa,,russia,china,usa,usa
taiwan,,taiwan,usa,taiwan,taiwan
russia,,china,china,russia,russia
usa,,usa,india,usa,usa
philippines,,usa,philippines,philippines,philippines
india,,philippines,usa,india,india
china,,china,russia,china,china
usa,,usa,taiwan,usa,usa
china,,usa,usa,china,china
denmark,,denmark,denmark,denmark,denmark
usa,,china,sweden,usa,usa
south korea,,canada,china,south korea,south korea
usa,,china,china,usa,usa
china,,usa,canada,china,china
indonesia,,sweden,indonesia,indonesia,indonesia
canada,,indonesia,china,canada,canada
china,,china,usa,china,china
sweden,,usa,south korea,sweden,sweden
china,,south korea,usa,china,china
france,,kazakhstan,netherlands,france,france
israel,,israel,israel,israel,israel
israel,,netherlands,israel,israel,israel
netherlands,,japan,france,netherlands,netherlands
hong kong,,hong kong,india,hong kong,hong kong
japan,,israel,hong kong,japan,japan
kazakhstan,,argentina,argentina,kazakhstan,kazakhstan
argentina,,india,kazakhstan,argentina,argentina
hong kong,,france,japan,hong kong,hong kong
india,,hong kong,hong kong,india,india
india,,hong kong,india,india,india
hong kong,,taiwan,taiwan,hong kong,hong kong
taiwan,,china,south korea,taiwan,taiwan
saudi arabia,,india,japan,saudi arabia,saudi arabia
india,,south korea,usa,india,india
china,,taiwan,china,china,china
usa,,japan,india,usa,usa
japan,,india,saudi arabia,japan,japan
south korea,,usa,taiwan,south korea,south korea
taiwan,,saudi arabia,hong kong,taiwan,taiwan
usa,,taiwan,usa,usa,usa
uk,,switzerland,usa,uk,uk
china,,usa,france,china,china
spain,,spain,switzerland,spain,spain
usa,,china,canada,usa,usa
taiwan,,usa,taiwan,taiwan,taiwan
canada,,canada,usa,canada,canada
switzerland,,usa,spain,switzerland,switzerland
france,,uk,china,france,france
usa,,france,uk,usa,usa
south korea,,china,south korea,south korea,south korea
italy,,usa,china,italy,italy
usa,,usa,india,usa,usa
usa,,india,belgium,usa,usa
usa,,belgium,taiwan,usa,usa
india,,italy,india,india,india
taiwan,,usa,usa,taiwan,taiwan
belgium,,india,usa,belgium,belgium
india,,south korea,usa,india,india
china,,taiwan,italy,china,china
usa,,saudi arabia,usa,usa,usa
india,,usa,japan,india,india
germany,,india,china,germany,germany
saudi arabia,,taiwan,usa,saudi arabia,saudi arabia
taiwan,,germany,india,taiwan,taiwan
china,,usa,china,china,china
india,,china,taiwan,india,india
usa,,india,saudi arabia,usa,usa
china,,china,germany,china,china
japan,,japan,india,japan,japan
china,,japan,china,china,china
sweden,,china,usa,sweden,sweden
china,,uk,thailand,china,china
japan,,austria,uk,japan,japan
canada,,china,china,canada,canada
austria,,sweden,austria,austria,austria
china,,thailand,canada,china,china
uk,,usa,japan,uk,uk
thailand,,canada,china,thailand,thailand
usa,,china,sweden,usa,usa
usa,,china,usa,usa,usa
norway,,china,usa,norway,norway
saudi arabia,,usa,usa,saudi arabia,saudi arabia
china,,norway,china,china,china
uk,,china,china,uk,uk
china,,china,china,china,china
china,,usa,uk,china,china
china,,saudi arabia,china,china,china
usa,,usa,saudi arabia,usa,usa
usa,,uk,norway,usa,usa
usa,,italy,usa,usa,usa
usa,,france,italy,usa,usa
usa,,china,france,usa,usa
usa,,usa,uk,usa,usa
china,,usa,uk,china,china
israel,,uk,israel,israel,israel
uk,,usa,china,uk,uk
uk,,israel,usa,uk,uk
france,,usa,usa,france,france
italy,,uk,usa,italy,italy
usa,,india,usa,usa,usa
india,,uk,russia,india,india
china,,usa,uk,china,china
south korea,,south korea,south korea,south korea,south korea
china,,china,usa,china,china
usa,,canada,china,usa,usa
canada,,china,canada,canada,canada
south korea,,south korea,south korea,south korea,south korea
uk,,usa,china,uk,uk
russia,,russia,india,russia,russia
australia,,usa,australia,australia,australia
canada,,usa,russia,canada,singapore
singapore,,china,finland,singapore,sweden
sweden,,india,china,sweden,usa
usa,,russia,usa,usa,india
india,,singapore,india,india,usa
usa,,australia,usa,usa,china
china,,usa,sweden,china,finland
finland,,sweden,singapore,finland,russia
russia,,finland,canada,russia,usa
usa,,south africa,usa,usa,usa
usa,,china,uk,usa,japan
japan,,japan,south africa,japan,china
china,,usa,luxembourg,china,china
china,,china,france,china,usa
usa,,luxembourg,usa,usa,france
france,,usa,china,france,luxembourg
luxembourg,,norway,china,luxembourg,south africa
south africa,,uk,japan,south africa,uk
uk,,france,usa,uk,norway
norway,,finland,norway,norway,canada
canada,,canada,japan,canada,usa
usa,,india,finland,usa,usa
usa,,sweden,india,usa,canada
canada,,china,sweden,canada,china
china,,canada,china,china,sweden
sweden,,usa,canada,sweden,india
india,,japan,usa,india,finland
finland,,usa,usa,finland,japan
japan,,saudi arabia,canada,japan,saudi arabia
saudi arabia,,hong kong,italy,saudi arabia,usa
usa,,hong kong,switzerland,usa,japan
japan,,switzerland,china,japan,turkey
turkey,,italy,hong kong,turkey,mexico
mexico,,japan,hong kong,mexico,hong kong
hong kong,,usa,mexico,hong kong,hong kong
hong kong,,china,turkey,hong kong,china
china,,mexico,japan,china,switzerland
switzerland,,hong kong,usa,switzerland,italy
italy,,turkey,saudi arabia,italy,hong kong
hong kong,,usa,canada,hong kong,chile
chile,,luxembourg,luxembourg,chile,qatar
qatar,,usa,usa,qatar,germany
germany,,usa,usa,germany,usa
usa,,chile,canada,usa,canada
canada,,germany,usa,canada,usa
usa,,qatar,germany,usa,usa
usa,,canada,qatar,usa,luxembourg
luxembourg,,usa,chile,luxembourg,canada
canada,,canada,hong kong,canada,usa
usa,,usa,usa,usa,japan
japan,,usa,usa,japan,china
china,,china,japan,china,japan
japan,,japan,china,japan,canada
canada,,canada,usa,canada,china
china,,china,china,china,usa
usa,,japan,canada,usa,china
china,,china,japan,china,japan
japan,,japan,china,japan,usa
usa,,japan,japan,usa,japan
japan,,china,japan,japan,germany
germany,,germany,usa,germany,usa
usa,,china,taiwan,usa,china
china,,china,usa,china,usa
usa,,china,china,usa,china
china,,usa,china,china,china
china,,usa,usa,china,usa
usa,,usa,china,usa,taiwan
taiwan,,taiwan,usa,taiwan,usa
usa,,usa,germany,usa,china
china,,india,usa,china,japan
japan,,usa,usa,japan,india
india,,canada,usa,india,usa
usa,,usa,canada,usa,canada
canada,,japan,usa,canada,usa
usa,,usa,canada,usa,canada
canada,,canada,usa,canada,usa
usa,,usa,india,usa,usa
usa,,usa,japan,usa,usa
usa,,usa,china,usa,usa
usa,,usa,usa,usa,usa
usa,,sweden,south korea,usa,india
india,,hong kong,usa,india,hong kong
hong kong,,usa,sweden,hong kong,usa
usa,,usa,india,usa,india
india,,india,usa,india,usa
usa,,usa,hong kong,usa,sweden
sweden,,south korea,usa,sweden,usa
usa,,usa,india,usa,south korea
south korea,,india,usa,south korea,usa
usa,,hong kong,usa,usa,hong kong
hong kong,,sweden,poland,hong kong,japan
japan,,usa,india,japan,usa
usa,,india,sweden,usa,usa
usa,,usa,usa,usa,usa
usa,,usa,usa,usa,usa
usa,,usa,usa,usa,sweden
sweden,,poland,usa,sweden,india
india,,south africa,japan,india,poland
poland,,japan,hong kong,poland,south africa
south africa,,uruguay,south africa,south africa,uk
uk,,uk,usa,uk,indonesia
indonesia,,hong kong,taiwan,indonesia,china
china,,usa,hong kong,china,usa
usa,,usa,uruguay,usa,usa
usa,,china,usa,usa,uruguay
uruguay,,south korea,usa,uruguay,hong kong
hong kong,,usa,china,hong kong,taiwan
taiwan,,taiwan,indonesia,taiwan,usa
usa,,indonesia,uk,usa,south korea
south korea,,south korea,south korea,south korea,china
china,,china,india,china,usa
usa,,india,uk,usa,chile
chile,,chile,china,chile,south korea
south korea,,uk,china,south korea,france
france,,china,france,france,china
china,,france,south korea,china,china
china,,usa,chile,china,uk
uk,,china,usa,uk,india
india,,usa,china,india,usa
usa,,usa,usa,usa,usa
usa,,china,usa,usa,china
china,,china,usa,china,china
china,,isle of man,canada,china,china
china,,canada,canada,china,south korea
south korea,,usa,south korea,south korea,canada
canada,,south korea,china,canada,canada
canada,,usa,china,canada,usa
usa,,canada,china,usa,usa
usa,,china,usa,usa,isle of man
isle of man,,japan,"['isle of man', 'uk']",isle of man uk,china
china,,china,usa,china,south africa
south africa,,singapore,poland,south africa,usa
usa,,usa,usa,usa,china
china,,poland,singapore,china,switzerland
switzerland,,china,switzerland,switzerland,singapore
singapore,,usa,china,singapore,usa
usa,,switzerland,usa,usa,poland
poland,,south africa,south africa,poland,usa
usa,,usa,china,usa,japan
japan,,usa,japan,japan,usa
usa,,japan,germany,usa,mexico
mexico,,sweden,sweden,mexico,china
china,,usa,usa,china,usa
usa,,china,usa,usa,usa
usa,,usa,usa,usa,usa
usa,,usa,usa,usa,usa
usa,,mexico,china,usa,sweden
sweden,,usa,mexico,sweden,usa
germany,,usa,usa,germany,japan
usa,,canada,usa,usa,canada
japan,,japan,china,japan,japan
canada,,china,japan,canada,china
japan,,usa,japan,japan,china
china,,china,australia,china,australia
china,,japan,china,china,japan
australia,,china,china,australia,japan
japan,,australia,japan,japan,china
japan,,japan,canada,japan,usa
china,,switzerland,japan,china,switzerland
usa,,usa,usa,usa,usa
switzerland,,usa,china,switzerland,japan
usa,,switzerland,china,usa,netherlands
japan,,japan,switzerland,japan,usa
netherlands,,china,china,netherlands,china
usa,,indonesia,usa,usa,switzerland
china,,china,netherlands,china,china
switzerland,,netherlands,japan,switzerland,china
china,,china,usa,china,indonesia
china,,china,switzerland,china,china
indonesia,,poland,indonesia,indonesia,usa
china,,usa,china,china,china
usa,,uk,usa,usa,uk
china,,usa,sweden,china,usa
uk,,china,usa,uk,usa
usa,,sweden,usa,usa,sweden
usa,,usa,uk,usa,usa
sweden,,usa,china,sweden,china
usa,,china,usa,usa,poland
china,,china,china,china,china
poland,,south africa,poland,poland,portugal
china,,india,usa,china,uk
portugal,,belgium,france,portugal,belgium
uk,,japan,india,uk,china
belgium,,uk,japan,belgium,japan
china,,portugal,china,china,india
japan,,china,belgium,japan,usa
india,,france,uk,india,france
usa,,usa,portugal,usa,south africa
france,,usa,china,france,usa
south africa,,china,south africa,south africa,china
usa,,china,uk,usa,usa
china,,japan,china,china,japan
usa,,uk,sweden,usa,usa
japan,,usa,hong kong,japan,hong kong
usa,,sweden,usa,usa,sweden
hong kong,,hong kong,japan,hong kong,china
sweden,,usa,usa,sweden,uk
china,,usa,china,china,usa
uk,,india,usa,uk,india
usa,,france,usa,usa,japan
india,,usa,usa,india,china
japan,,china,usa,japan,belgium
china,,mexico,usa,china,mexico
belgium,,japan,uk,belgium,uk
mexico,,china,mexico,mexico,usa
uk,,usa,belgium,uk,usa
usa,,usa,china,usa,usa
usa,,uk,japan,usa,china
usa,,belgium,india,usa,france
china,,japan,china,china,usa
france,,usa,india,france,usa
usa,,singapore,greece,usa,japan
usa,,usa,south korea,usa,japan
japan,,usa,usa,japan,usa
japan,,usa,japan,japan,south korea
usa,,greece,japan,usa,greece
south korea,,japan,usa,south korea,india
greece,,india,usa,greece,singapore
india,,south korea,france,india,usa
singapore,,luxembourg,singapore,singapore,luxembourg
usa,,china,japan,usa,usa
luxembourg,,china,china,luxembourg,finland
usa,,finland,australia,usa,usa
finland,,czech republic,czech republic,finland,czech republic
usa,,usa,usa,usa,australia
czech republic,,usa,finland,czech republic,china
australia,,japan,usa,australia,japan
china,,australia,luxembourg,china,usa
japan,,usa,usa,japan,china
usa,,japan,usa,usa,australia
china,,italy,chile,china,uk
australia,,usa,italy,australia,usa
uk,,china,china,uk,china
usa,,uk,usa,usa,usa
china,,china,china,china,china
usa,,usa,usa,usa,italy
china,,australia,uk,china,chile
italy,,chile,australia,italy,usa
chile,,usa,china,chile,japan
usa,,taiwan,usa,usa,germany
japan,,usa,south korea,japan,usa
germany,,china,china,germany,brazil
usa,,germany,taiwan,usa,china
brazil,,brazil,china,brazil,china
china,,usa,china,china,taiwan
china,,china,brazil,china,china
taiwan,,germany,usa,taiwan,south korea
china,,south korea,germany,china,usa
south korea,,china,japan,south korea,germany
usa,,belgium,india,usa,belgium
germany,,usa,usa,germany,switzerland
belgium,,india,usa,belgium,india
switzerland,,usa,china,switzerland,usa
india,,china,usa,india,china
usa,,china,india,usa,usa
china,,usa,switzerland,china,usa
usa,,switzerland,belgium,usa,india
usa,,india,germany,usa,hong kong
india,,hong kong,usa,india,china
hong kong,,thailand,south korea,hong kong,france
china,,usa,china,china,usa
france,,china,usa,france,china
usa,,france,thailand,usa,usa
china,,south korea,usa,china,thailand
usa,,usa,china,usa,usa
thailand,,usa,usa,thailand,china
usa,,china,france,usa,south korea
china,,usa,china,china,usa
south korea,,usa,hong kong,south korea,usa
usa,,japan,usa,usa,china
usa,,china,germany,usa,brazil
china,,china,russia,china,china
brazil,,brazil,japan,brazil,china
china,,china,hong kong,china,hong kong
china,,hong kong,china,china,japan
hong kong,,usa,brazil,hong kong,russia
japan,,germany,china,japan,germany
russia,,usa,china,russia,usa
germany,,russia,usa,germany,usa
usa,,israel,usa,usa,ireland
usa,,usa,luxembourg,usa,taiwan
ireland,,ireland,usa,ireland,israel
taiwan,,south korea,uk,taiwan,usa
israel,,taiwan,south korea,israel,south korea
usa,,usa,usa,usa,uk
south korea,,usa,israel,south korea,usa
uk,,luxembourg,taiwan,uk,luxembourg
usa,,uk,ireland,usa,usa
luxembourg,,israel,usa,luxembourg,israel
usa,,china,usa,usa,netherlands
israel,,netherlands,poland,israel,china
netherlands,,usa,ireland,netherlands,china
china,,uk,uk,china,singapore
china,,saudi arabia,usa,china,usa
singapore,,singapore,singapore,singapore,uk
usa,,usa,china,usa,ireland
uk,,china,china,uk,poland
ireland,,poland,netherlands,ireland,saudi arabia
poland,,ireland,israel,poland,usa
saudi arabia,,china,saudi arabia,saudi arabia,india
usa,,new zealand,usa,usa,usa
india,,usa,japan,india,china
usa,,china,china,usa,czech republic
china,,japan,new zealand,china,new zealand
czech republic,,japan,czech republic,czech republic,china
new zealand,,czech republic,china,new zealand,japan
china,,usa,usa,china,usa
japan,,china,india,japan,china
usa,,india,usa,usa,japan
china,,china,china,china,netherlands
japan,,hong kong,australia,japan,netherlands
netherlands,,usa,"['hong kong', 'uk']",netherlands,china
netherlands,,netherlands,japan,netherlands,thailand
china,,netherlands,usa,china,usa
thailand,,thailand,thailand,thailand,japan
usa,,usa,china,usa,hong kong
japan,,japan,netherlands,japan,australia
hong kong,,india,netherlands,hong kong uk,usa
australia,,australia,japan,australia,india
usa,,switzerland,usa,usa,denmark
india,,switzerland,switzerland,india,india
denmark,,denmark,japan,denmark,japan
india,,india,usa,india,switzerland
japan,,japan,norway,japan,norway
switzerland,,usa,switzerland,switzerland,usa
norway,,china,japan,norway,japan
usa,,usa,india,usa,switzerland
japan,,japan,denmark,japan,china
switzerland,,norway,india,switzerland,usa
china,,canada,china,china,india
usa,,india,canada,usa,china
india,,china,china,india,canada
china,,malaysia,canada,china,china
canada,,ireland,ireland,canada,ireland
china,,china,china,china,canada
ireland,,usa,canada,ireland,china
canada,,china,china,canada,canada
china,,canada,india,china,malaysia
canada,,canada,usa,canada,usa
malaysia,,south africa,malaysia,malaysia,south africa
usa,,usa,china,usa,usa
south africa,,china,china,south africa,italy
usa,,china,usa,usa,usa
italy,,indonesia,japan,italy,japan
usa,,usa,usa,usa,usa
japan,,usa,italy,japan,china
usa,,japan,usa,usa,china
china,,italy,south africa,china,china
china,,china,usa,china,indonesia
china,,japan,china,china,usa
indonesia,,usa,japan,indonesia,china
usa,,sweden,australia,usa,sweden
china,,japan,japan,china,australia
sweden,,china,usa,sweden,usa
australia,,usa,australia,australia,japan
usa,,australia,sweden,usa,australia
japan,,norway,china,japan,japan
australia,,usa,usa,australia,usa
japan,,australia,indonesia,japan,norway
usa,,china,usa,usa,usa
norway,,usa,japan,norway,hong kong
usa,,usa,usa,usa,canada
hong kong,,japan,usa,hong kong,usa
sweden,,japan,usa,sweden,usa
canada,,japan,canada,canada,usa
usa,,hong kong,hong kong,usa,japan
usa,,canada,sweden,usa,japan
usa,,usa,usa,usa,japan
japan,,usa,norway,japan,china
japan,,japan,japan,japan,uk
japan,,china,china,japan,japan
china,,china,china,china,south africa
uk,,uk,japan,uk,usa
japan,,japan,usa,japan,japan
south africa,,usa,south africa,south africa,china
usa,,japan,japan,usa,china
japan,,uk,uk,japan,uk
china,,south africa,china,china,japan
china,,japan,japan,china,japan
uk,,usa,uk,uk,usa
japan,,china,china,japan,japan
japan,,usa,usa,japan,south korea
usa,,usa,australia,usa,thailand
japan,,usa,thailand,japan,australia
south korea,,australia,south korea,south korea,usa
thailand,,south korea,japan,thailand,china
australia,,japan,usa,australia,usa
usa,,china,japan,usa,usa
china,,thailand,japan,china,china
usa,,china,usa,usa,france
usa,,usa,china,usa,china
china,,usa,uk,china,usa
france,,uk,south korea,france,china
china,,usa,china,china,south korea
usa,,south korea,usa,usa,uk
china,,china,china,china,china
south korea,,china,france,south korea,usa
uk,,france,china,uk,usa
china,,israel,usa,china,israel
usa,,philippines,usa,usa,china
usa,,australia,australia,usa,usa
israel,,usa,philippines,israel,germany
china,,germany,uk,china,taiwan
usa,,switzerland,taiwan,usa,uk
germany,,australia,germany,germany,philippines
taiwan,,uk,usa,taiwan,australia
uk,,taiwan,china,uk,switzerland
philippines,,germany,israel,philippines,australia
australia,,china,usa,australia,germany
switzerland,,usa,switzerland,switzerland,canada
australia,,qatar,india,australia,usa
germany,,india,brazil,germany,australia
canada,,india,usa,canada,taiwan
usa,,taiwan,taiwan,usa,usa
australia,,australia,australia,australia,brazil
taiwan,,usa,usa,taiwan,india
usa,,brazil,canada,usa,india
brazil,,canada,germany,brazil,usa
india,,usa,australia,india,qatar
india,,south korea,india,india,china
usa,,china,usa,usa,japan
qatar,,usa,china,qatar,china
china,,japan,japan,china,canada
japan,,japan,canada,japan,japan
china,,china,china,china,china
canada,,china,japan,canada,usa
japan,,usa,china,japan,china
china,,china,qatar,china,usa
usa,,canada,usa,usa,south korea
china,,china,china,china,china
usa,,china,china,usa,usa
south korea,,new zealand,cyprus,south korea,india
china,,india,france,china,switzerland
usa,,cyprus,switzerland,usa,france
india,,bermuda,india,india,cyprus
switzerland,,china,usa,switzerland,china
france,,france,china,france,china
cyprus,,usa,south korea,cyprus,new zealand
china,,switzerland,usa,china,bermuda
china,,denmark,china,china,japan
new zealand,,japan,usa,new zealand,usa
bermuda,,china,usa,bermuda,usa
japan,,usa,usa,japan,usa
usa,,usa,usa,usa,usa
usa,,usa,usa,usa,usa
usa,,usa,usa,usa,usa
usa,,usa,japan,usa,denmark
usa,,usa,bermuda,usa,china
usa,,usa,new zealand,usa,usa
denmark,,japan,denmark,denmark,china
china,,china,china,china,japan
usa,,usa,japan,usa,australia
china,,usa,australia,china,sweden
japan,,sweden,sweden,japan,australia
australia,,japan,australia,australia,japan
sweden,,china,japan,sweden,china
australia,,australia,china,australia,usa
japan,,australia,usa,japan,usa
china,,canada,china,china,canada
usa,,usa,usa,usa,uk
usa,,thailand,south africa,usa,china
canada,,south africa,thailand,canada,mexico
uk,,singapore,usa,uk,usa
china,,china,singapore,china,singapore
mexico,,qatar,china,mexico,thailand
usa,,mexico,mexico,usa,south africa
singapore,,uk,uk,singapore,qatar
thailand,,usa,canada,thailand,usa
south africa,,usa,usa,south africa,usa
qatar,,china,qatar,qatar,china
usa,,uk,china,usa,uk
usa,,china,south korea,usa,usa
china,,usa,china,china,china
uk,,south korea,china,uk,china
usa,,uk,usa,usa,south korea
china,,china,uk,china,china
china,,china,china,china,usa
south korea,,usa,usa,south korea,usa
china,,usa,usa,china,uk
usa,,usa,usa,usa,france
usa,,china,chile,usa,china
uk,,china,usa,uk,taiwan
france,,chile,usa,france,china
china,,taiwan,china,china,usa
taiwan,,france,taiwan,taiwan,chile
china,,china,china,china,china
usa,,china,france,usa,sweden
usa,,japan,uk,usa,china
chile,,sweden,usa,chile,japan
china,,uk,china,china,usa
sweden,,australia,australia,sweden,usa
china,,usa,japan,china,usa
japan,,japan,japan,japan,japan
usa,,japan,usa,usa,japan
usa,,usa,usa,usa,australia
usa,,usa,usa,usa,uk
japan,,uk,japan,japan,usa
japan,,usa,china,japan,china
australia,,china,sweden,australia,uk
uk,,taiwan,uk,uk,usa
usa,,usa,china,usa,taiwan
china,,usa,south korea,china,switzerland
uk,,usa,usa,uk,usa
usa,,turkey,switzerland,usa,south korea
taiwan,,denmark,taiwan,taiwan,china
switzerland,,switzerland,usa,switzerland,turkey
usa,,china,uk,usa,usa
south korea,,south korea,china,south korea,china
china,,china,usa,china,denmark
turkey,,russia,turkey,turkey,italy
usa,,usa,usa,usa,usa
china,,usa,russia,china,australia
denmark,,australia,australia,denmark,australia
italy,,australia,australia,italy,russia
usa,,italy,usa,usa,usa
australia,,japan,italy,australia,usa
australia,,usa,denmark,australia,germany
russia,,brazil,china,russia,brazil
usa,,germany,usa,usa,japan
usa,,china,usa,usa,china
germany,,taiwan,italy,germany,mexico
brazil,,colombia,usa,brazil,germany
japan,,mexico,usa,japan,usa
china,,italy,germany,china,usa
mexico,,usa,mexico,mexico,italy
germany,,germany,china,germany,germany
usa,,usa,japan,usa,usa
usa,,germany,brazil,usa,taiwan
italy,,usa,germany,italy,colombia
germany,,usa,germany,germany,usa
usa,,israel,uk,usa,australia
taiwan,,usa,japan,taiwan,malaysia
colombia,,switzerland,usa,colombia,usa
usa,,japan,malaysia,usa,japan
australia,,usa,australia,australia,uk
malaysia,,uk,usa,malaysia,switzerland
usa,,malaysia,colombia,usa,israel
japan,,usa,taiwan,japan,usa
uk,,australia,usa,uk,usa
switzerland,,usa,switzerland,switzerland,netherlands
israel,,usa,thailand,israel,usa
usa,,netherlands,usa,usa,usa
usa,,germany,canada,usa,canada
netherlands,,italy,usa,netherlands,usa
usa,,usa,usa,usa,thailand
usa,,usa,netherlands,usa,france
canada,,france,usa,canada,usa
usa,,canada,usa,usa,italy
thailand,,thailand,israel,thailand,germany
france,,germany,france,france,mexico
usa,,japan,switzerland,usa,italy
italy,,usa,germany,italy,usa
germany,,mexico,uk,germany,uk
mexico,,china,usa,mexico,germany
italy,,uk,italy,italy,switzerland
usa,,italy,mexico,usa,japan
uk,,switzerland,germany,uk,brazil
germany,,brazil,italy,germany,china
switzerland,,japan,usa,switzerland,japan
japan,,china,japan,japan,uk
brazil,,uk,china,brazil,japan
china,,china,usa,china,south korea
japan,,china,china,japan,china
uk,,japan,south korea,uk,usa
japan,,usa,japan,japan,china
south korea,,south korea,uk,south korea,uk
china,,indonesia,japan,china,indonesia
usa,,china,china,usa,china
china,,uk,brazil,china,china
uk,,japan,uk,uk,germany
indonesia,,china,japan,indonesia,usa
china,,spain,usa,china,china
china,,japan,spain,china,spain
germany,,china,china,germany,usa
usa,,usa,usa,usa,japan
china,,usa,germany,china,japan
spain,,australia,china,spain,china
usa,,china,china,usa,china
japan,,germany,indonesia,japan,australia
japan,,malaysia,japan,japan,poland
china,,poland,china,china,spain
china,,usa,usa,china,usa
australia,,china,china,australia,china
poland,,china,usa,poland,usa
spain,,usa,spain,spain,china
usa,,taiwan,poland,usa,taiwan
china,,china,australia,china,malaysia
usa,,usa,china,usa,china
china,,spain,china,china,usa
taiwan,,usa,taiwan,taiwan,usa
malaysia,,india,usa,malaysia,japan
china,,japan,china,china,russia
usa,,usa,usa,usa,usa
usa,,china,russia,usa,china
japan,,russia,japan,japan,usa
russia,,usa,usa,russia,japan
usa,,ireland,usa,usa,ireland
china,,japan,china,china,india
usa,,usa,malaysia,usa,usa
japan,,taiwan,japan,japan,taiwan
ireland,,singapore,usa,ireland,australia
india,,usa,hong kong,india,south africa
usa,,usa,south africa,usa,hong kong
taiwan,,australia,australia,taiwan,usa
australia,,hong kong,taiwan,australia,japan
south africa,,usa,usa,south africa,usa
