01-DDD-investors,04-iGMM-selectinvestors
"blackstone, bessemer venture partners","greylock partners, general catalyst, khosla ventures"
"liberty global ventures, sageview capital, blue cloud ventures","sequoia capital india, tiger global management, tencent"
"benchmark, sequoia capital, tpg capital","goodwater capital, entree capital, valar ventures"
"redpoint ventures, qiming venture partners, chengwei capital","durable capital partners, cercano management, 	t. rowe price"
"seed capital, greyhound capital, socii capital","kkr, aspenwood ventures, spark capital"
automobile industry guidance fund,"imm investment, mirae asset capital, bond"
"viola ventures, insight partners, claltech, goldman sachs","notion capital, kindred capital, bgf ventures"
"lightspeed venture partners, redpoint ventures, norwest venture partners","sequoia capital india, hummingbird ventures, matrix partners india"
"khosla ventures, bain capital ventures, lightspeed venture partners","qualcomm ventures, fireside ventures"
"trustbridge partners, hony capital, idg capital","sierra ventures, axa venture partners, sigma prime ventures"
"btov partners, geely, intel capital","helion venture partners, tiger global management, crv"
"black pearl ventures, stonebridge ventures, yuanta investment korea","signal peak ventures, owl ventures, jump capital"
"breega capital, iris capital, 360 capital partners","refactor capital, andreessen horowitz, fifty years fund"
"hopu investment management, boyu capital, dc thomson ventures","blackrock, tengelmann ventures, holtzbrinck ventures"
"insight partners, kibo ventures, bessemer venture partners","simon equity partners, wavemaker partners, anthem venture partners"
"tiger global management, lightspeed venture partners, hillhouse capital management","innovation endeavors, s28 capital, lightspeed venture partners"
"matrix partners, north bridge venture partners, venrock","y combinator, s capital, tenaya capital"
"dcm ventures, idg capital, siam commercial bank","lightspeed venture partners, access industries, eldridge"
"softbank group, maverick capital","sequoia capital, four rivers group, dag ventures"
"claltech, vertex ventures, oryzn capital","propel venture partners, monashees+, bbva"
"k9 ventures, menlo ventures, andreessen horowitz","contour venture partners, intel capital, silver lake"
"northzone ventures, white star capital, novator partners","desun capital, yunfeng capital, meridian capital"
"andreessen horowitz, kleiner perkins caufield & byers, eqt ventures","sequoia capital china, goldman sachs, matrix partners china"
"khosla ventures, green innovations, founders fund","green pine capital partners, ivy capital, dcm ventures"
"sequoia capital, paradigm, pantera capital","8vc, bedrock capital, broom ventures"
"gauss ventures, ventura capital, dmg ventures","menlo ventures, resolute ventures, ia ventures"
"lightspeed venture partners, almaz capital partners, altimeter capital","tencent holdings, glory ventures, shenzhen capital group"
"benchmark, altimeter capital, quiet capital","marchmont ventures, bmw i ventures, index ventures"
"accel, d1 capita partners, greenoaks capital management","atinum investment, company k partners, gic"
"vision plus capital, gsr ventures, zhenfund","kleiner perkins caufield & byers, comcast ventures, insight partners"
"obvious ventures, qualcomm ventures, andreessen horowitz",goldman sachs
"rethink impact, work-bench, rre ventures","advantech capital, temasek holdings ltd., tiantu capital co."
"northern light venture capital, xiaomi, futurex capital","sc.holdings, not boring capital, bolt ventures"
"insight partners, warburg pincus, ayala corporation","qiming venture partners, china internet investment fund, qualcomm ventures"
"japan post capital, globis capital partners, atomico","arch venture partners, ally bridge group"
"upfront ventures, tao capital partners, andreessen horowitz","bluecross blueshield venture partners, us venture partners"
"insight partners, tiger global management, gradient ventures","bertelsmann india investments, march capital partners, tribe capital, nirvana venture advisors"
"sequoia capital china, source code capital, redpoint ventures china",undisclosed
"a&nn, rusnano","york capital management, ge healthcare, koch disruptive technologies"
"tencent holdings, 5y capital, sequoia capital china","highland capital partners, next coast ventures, sogal ventures"
"qualcomm ventures, softbank group. monashees+","coatue management, h capital, capital today"
"ignition partners, formation 8, crv","n5 capital, cr capital mgmt, jd digits"
"andreessen horowitz, caffeinated capital, scifi vc","insight partners, silversmith capital partners, spotify"
"crv, blue cloud ventures, index ventures","kaszek ventures, qed investors, international finance corporation"
"matrix partners china, sequoia capital china, genesis capital","bessemer venture partners, menlo ventures, anthermis"
"next47, mac venture capital, finvc","signalfire, glp capital partners, google ventures"
undisclosed,"lightspeed venture partners, dell technologies capital, wipro ventures"
"accel, frst, kima ventures","liberty city ventures, soros fund management, summer capital"
"alta ventures mexico, general atlantic, softbank group","localglobe, kinnevik, felix capital"
"meritech capital partners, tiger global management, spectrum equity","left lane capital, walden venture capital"
"index ventures, creandum, accel","zeev ventures, gsv ventures"
"jerusalem venture partners, israel growth partners, insight partners","initialized capital, general catalyst, kraken ventures"
"highland capital partners, oak hc/ft partners, emergence capital partners","chromo invest, maersk growth, blackrock"
blackstone,"unity ventures, qiming venture partners, ggv capital"
"caffeinated capital, obvious ventures, venrock","insight partners, b capital group, 	lightspeed venture partners"
"matrix partners china, eastern bell capital, hongtai capital holdings","airtree ventures, insight partners, index ventures"
"nexus venture partners, tenaya capital, sequoia capital","insight partners, sequoia capital, stripes group"
"sequoia capital, google ventures, accel","caffeinated capital, initialized capital, y combinator"
"tiantu capital, cmb international capital, vision knight capital","general atlantic, cvs health, massmutual ventures"
"bertelsmann asia investments, ggv capital, morningside venture capital","dynamo vc, susa ventures, founders fund"
"tomales bay capital, bain & company, general catalyst","bessemer venture partners, insight partners, pitango venture capital"
"viola ventures, dell technologies capital, bain capital ventures",nordic capital
"magma venture partners, pitango venture capital, qumra capital","firstmark capital, tiger global management"
"blackrock, capitalg, world lab innovation","mitsubishi corporation, mayfair equity partners"
"ggv capital, idg capital, linear venture","idg capital, gaocheng capital, chuanrong capital"
"qiming venture partners, capital today, general atlantic","dark horse technology group, hopu investment management, kefa capital"
"sequoia capital china, china construction bank, bank of china","tencent holdings, utrust venture capital, gf xinde investment management co."
"y combinator, matrix partners, benchmark","idg capital, yuanda venture investment, primitive forest holdings group"
"accel partners, index ventures, insight venture partners","boldstart ventures, sap.io fund, scale venture partners"
"sequoia capital china, matrix partners china, 58.com","sequoia capital china, cmc capital partners, tencent holdings"
"toyota motor corporation, mizuho financial group, fanuc","passion capital, hedosophia, outrun ventures"
"insight partners, tpg alternative & renewable technologies, ireland strategic investment fund","andreessen horowitz, prosus ventures, thrive capital"
"rre ventures, tiger global, august capital","javelin venture partners, struck capital, alumni ventures group"
"insight venture partners, tpg growth, sound ventures","dila capital, framework ventures, 3l"
"zheshang venture capital, gp capital, western capital management","andreessen horowitz, bessemer venture partners, coatue management"
"andreessen horowitz, coinbase ventures, circle ventures","tencent holdings, tiger global management, global founders capital"
"cowboy ventures, leaders fund, ggv capital","madrona venture group, banner ventures, fj labs"
"y combinator, m12, seek","sequoia capital, y combinator, accel"
"pitango venture capital, dfj growth fund, foundry group","g squared, uipath ventures, general catalyst"
"molten ventures, contrarian ventures, hitachi ventures","general catalyst, unkork capital, tencent holdings"
"tencent holdings, crv, clocktower technology ventures","tsg consumer partners, crowdcube"
l capital partners,"tencent holdings, delta capital, redpoint ventures china"
"dragonfly capital, bai capital, 10t fund",qiming venture partners
"ggv capital, blackrock, ace & company","accel, founder collective, brainchild holdings"
"cherry ventures, northzone ventures, global founders capital","nextech invest, casdin capital, google ventures"
"venrock, cvf capital partners, arch venture partners","trane technologies, honeywell"
"iconiq growth, bain capital ventures, summit partners","leta capital, insight partners, general catalyst"
"softbank group, saif partners india, valiant capital partners","cool japan fund, jafco, the carlyle group"
"accel, passion capital, balderton capital","wamda capital, endeavor, riverwood capital"
"lightspeed venture partners, sapphire ventures, kleiner perkins caufield & byers","the column group, alexandria venture investments, lux capital"
"vy capital, accel, elevation capital","	crv, tiger global management, y combinator"
"gsr ventures, sapphire ventures, streamlined ventures","alibaba group, kkr, goldman sachs"
"foundation capital, institutional venture partners, general catalyst","creditease fintech investment fund, bmw i ventures, softbank group"
"polychain capital, coinbase ventures, jump capital","forerunner ventures, institutional venture partners, thrive capital"
"plug and play ventures, valor capital group, dst global",icg
"lightspeed china partners, baidu ventures, qiming venture partners","madrona venture group, kleiner perkins caufield & byers, highland capital partners"
"deer park road, altamont capital partners, eldridge","georgian partners, silver lake, presidio ventures"
"sequoia capital china, banyan capital","accel, greycroft, advancit capital"
"8vc, menlo ventures, tiger global management","source code capital, xvc venture capital, hillhouse capital management"
"eight roads ventures, one peak partners, creandum","index ventures, sequoia capital, bezos expeditions"
"eastern bell capital 32, sdic cmc investment management, trustbridge partners","sequoia capital china, lenovo capital and incubator, group gsr ventures"
"expa, qed investors, foundation capital","swan & legend ventures, revolution growth, invus group"
"andreessen horowitz, google ventures, section 32","ia ventures, khosla ventures, ame cloud ventures"
"pantera capital, qed investors, coinbase ventures","version one ventures, bessemer venture partners, firstmark capital"
sequoia capital,"idg capital, zhenfund, sequoia capital china"
"general atlantic, breakthrough energy ventures, viking global investors","partech partners, index ventures, quadrille capital"
"general atlantic, softbank group, atomico","newpath partners, google ventures, f-prime capital"
"bain capital ventures, sixth street growth, lightspeed venture partners","polaris partners, insight partners, norwest venture partners"
"8vc, d1 capital partners, sway ventures","qualcomm ventures, accel, canaan partners"
general atlantic,"rpm ventures, inspiration ventures, carrick capital partners"
"accel, alven capital, storm ventures","pantera capital, polychain capital, lightspeed venture partners"
"knox lane, ainge advisory, carlson private capital partners","insight partners, salesforce ventures, perpetual investors"
"founders fund, meritech capital partners, gs growth","accel, greylock partners, meritech capital partners"
"softbank group, ame cloud ventures, signalfire","sequoia capital india, hillhouse capital management, sunley house capital management"
"goodwater capital, warburg pincus, gs growth","l'occitane, trifecta capital, bessemer venture partners"
"temasek, google ventures, general catalyst","craft ventures, caffeinated capital, operator collective"
"kibo ventures, softbank group, atomico","sequoia capital india, hummingbird ventures, epiq capital"
"zhangjiang haocheng venture capital, walden international, intel capital","ggv capital, tiger global management, greycroft"
"google ventures, index ventures, scale venture partners","softbank latin america fund, advent international, balderton capital"
"tencent holdings, goldman sachs","mayfield, madrona venture group, tiger global management"
"relay ventures, ttv capital, canapi ventures","advent international, battery ventures, sequoia capital israel"
"imm investment, nxc","paradigm, andreessen horowitz, jump capital"
"andreessen horowitz, homebrew, point72 ventures","jungle ventures, helion venture partners, ingka investments"
"revolution, new enterprise associates, caterpillar","norwest venture partners, investcorp, blackstone"
"v fund, idg capital, green pine capital partners","firstmark capital, tiger global management, ftx venture"
"octopus ventures, munich re ventures, commerzventures","bessemer venture partners, g squared, insight partners"
"emergence capital partners, 8vc, chicago ventures","kleiner perkins caufield & byers, crv, threshold ventures"
"the rise fund, fidelity investments. redbird capital partners","accel, better tomorrow ventures, flourish ventures"
"andreessen horowitz, data collective, roche venture fund","vision plus capital, 	source code capital, lightspeed venture partners"
"t. rowe price, lockheed martin ventures, fidelity investment",cvc capital partners
"norwest venture partners, hillsven capital, aleph","mendacre, brv capital management, liquid 2 ventures"
"liberty city ventures, rre ventures, mithril capital management","matrix partners, lightspeed venture partners, verizon ventures"
"t. rowe price, dragoneer investment group, blackrock",cdib capital
"norwest venture partners, aspect ventures, lightspeed venture partners","russia-china investment fund, tencent holdings, sequoia capital china"
"shunwei capital partners, china media group, guangzhou huiyin aofeng equity investment fund","sequoia capital china, qiming venture partners, tencent holdings"
"romulus capital, insight partners, redbird capital partners","source code capital, global logistic properties, k2vc"
"info edge, softbank capital","kleiner perkins caufield & byers, afore capital, founders fund"
"shunwei capital partners, china media group, guangzhou huiyin aofeng equity investment fund","goodwater capital, floodgate, founders fund"
"google ventures, sequoia capital, wakefield group","qiming venture partners, yaxia automobile, far east horizon"
"softbank group, crv, spark capital","breakthrough energy ventures, material impact, 3x5 special opportunity partners"
"gic. apis partners, insight partners",advent international
"greycroft, loeb.nyc, dst global","pelion venture partners, foundation capital, thoma bravo"
"tiger global management, the raine group, malabar investments","pelion venture partners, foundation capital, thoma bravo"
"sequoia capital india, rtp global, go-ventures","venrock, innovation endeavors, insights partners"
"bessemer venture partners, pitango venture capital, d1 capital partners","general catalyst, bling capital, felicis ventures"
"chiratae ventures, march capital partners, national grid partners","firstmark capital, anthemis, cmfg ventures"
"sutter hill ventures, osage university partners, spark capital","china reform fund, gaopeng capital, jinhui xingye"
"bessemer venture partners, eight roads ventures, battery ventures","ant group, lazada, sinar mas indonesia"
"stripes group, neuberger berman","lightspeed venture partners, khosla ventures, munich re ventures"
"sequoia capital india, kae capital, accel","artiman ventures, pitango venture capital, valo ventures"
"soros fund management, ribbit capital, monashees+","upfront ventures, accel, industry ventures"
"fabric ventures, airtree ventures, temasek","forestay capital, alumni ventures, ntt docomo ventures"
"the blue venture fund, flare capital partners, longitude capital","redpoint ventures, prologis ventures, madrona venture group"
"accel, bain capital ventures, insight partners","draper fisher jurtson, qualcomm ventures, alibaba group"
"square peg capital, tdm growth partners, tiger global management","mithril, inovia capital, foundry group"
"crv, accel, google ventures","tiantu capital, saif partners china, newsion venture capital"
"accel, tiger global management, nexus venture partners","kkr, towerbrook capital partners"
rhone capital,"spark capital, highland europe, sunstone capital"
"warburg pincus, general catalyst","ardian, tiger global management, kkr"
"institutional venture partners, crv, sequoia capital","opus capital, genesis partners, battery ventures"
"warburg pincus, the rise fund, harbourvest partners",the carlyle group
"bmw i ventures, bhp ventures","accelm scania growth capital, lakestar"
"khosla ventures, horizons ventures, founders fund","auriga, galeo ventures, highland europe"
"big bets, general atlantic, softbank latin america ventures","localglobe, balderton capital, target global"
"aspect ventures, singtel innov8, greylock partners","thrive capital, khosla ventures, tiger global management"
"faw group, tencent holdings, tus holdings","zeev ventures, group11, chicago ventures"
"jd.com, baidu, vision plus capital","china culture industrial investment fund, we capital, china minsheng investment group"
"vertex ventures israel, bessemer venture partners, emerge","pritzker group venture capital, accel, hyde park venture partners"
"coatue managemeny, trinity ventures, matrix partners","glory ventures, maniv mobility"
"foundry group, general atlantic, blackrock"," cmfg ventures, accomplice, moderne ventures"
"forerunner ventures, lifeline ventures, msd capital"," monashees+, foundation capital, base10 partners"
"jungle ventures, accel, venture highway","ggv capital, lightspeed venture partners, iconiq capital"
"contour venture partners, battery ventures, core capital partners","500 global, rakuten ventures, golden gate ventures"
"insight partners, jackson square ventures, liberty gloval ventures","sequoia capital india, rocketship.vc, lightspeed india partners"
kkr,"8vc, norwest venture partners, tiger global management"
"data collective, formation 8, general catalyst partners","hv capital, softbank group, blackrock"
"makers fund, index ventures, inova ventures participacees","intact ventures, munich re ventures, general atlantic"
"british patient capital, seb venture capital, iq capital","m13, lightspeed venture partners, lone pine capital"
"hd capital, qihoo 360 technology, china fortune land development","mangrove capital partners,14w. forgelight"
"general atlantic, piton capital, partech partners","khosla ventures, general catalyst, blumberg capital"
"notion capital, scentan ventures, kite ventures","foundation capital, 	frontier ventures, altair capital"
"forest partners, softbank ventures asia","chiratae ventures, softbank group, trifecta capital"
"redpoint ventures, goldcrest capital, insight partners","westbridge capital, gsv ventures, elevar equity"
"institutional venture partners, new enterprise associates, javelin venture partners","edison partners, georgian partners, venturelink"
"general atlantic, insight partners, vintage investment partners","new enterprise associates, koch disruptive technologies, evolution equity partners"
motive partners,"insight partners, e.ventures, general atlantic"
midocean partners,"general catalyst, inspired capital, flybridge capital partners"
goldman sachs asset management,"kaiser permanente ventures, endeavour vision, lrvhealth"
"sequoia capital, baillie gifford & co., google ventures","kleiner perkins caufield & byers, s28 capital, insight partners"
"dell technologies capital, pitango venture capital, amadeus capital partners","andreessen horowitz, bessemer venture partners, khosla ventures,"
"new enterprise associates, accel, bond","andreessen horowitz, founders fund"
"point72 ventures, route 66 ventures, accel","gsv ventures, westbridge capital"
"founders fund, quantum energy partners, bedrock capital","goldman sachs asset management, story3 capital partners"
"tiger global management, blue lake capital, zhenfund","blume ventures, jsw ventures, ivycap ventures"
"monashees+, andreessen horowitz, qed investors","franklin templeton, motive partners. apollo global management"
"bnk to the future, trammell ventures, sbi investment","beijing juneng hesheng industry investment fund, beijing shuju xinrong fund"
"idg capital, puluo capital, midea capital","shenzhen capital group, robert bosch venture capital, septwolves ventures"
"battery ventures, andreessen horowitz, ribbit capital","qf capital, qc capital, unicom innovation venture capital"
"tiger global management, tiger brokers, dcm ventures","af ventures, siddhi capital, sc.holdings"
"index ventures, temasek, portag3 ventures",inflexion private equity
"coatue management, bmo capital, schonfeld strategic advisors","saif partners india, warburg pincus, trifecta capital advisors"
"andreessen horowitz, blockchain capital, lux capital","fireside ventures, sequoia capital india, stellaris venture partners"
khosla ventures,"jump capital, pantera capital, greylock partners"
"green visor capital, cre venture capital, greycroft","sequoia capital china, rich land capital, merrysunny wealth"
"khosla ventures, thrive capital, y combinator","new enterprise associates, greylock partners, andreessen horowitz"
"accel, summit partners, google ventures","fundersclub, y combinator, tiger global management"
"tiger global management, insight partners, jump capital","founders fund, upfront ventures, 	01 advisors"
"balderton capital, general catalyst, tiger global management","bain capital tech opportunities, andreessen horowitz, sequoia capital"
"fabric ventures, 500 global, standard crypto","american family ventures, greycroft, signalfire"
"jackson square ventures, general atlantic, lightspeed venture partners","lindeman asia investment, nichi-iko pharmaceutical"
"uniion square ventures, tiger global management, lightspeed venture capital","intel capital, aviv venture capital"
"uncork capital, threshold ventures, bloomberg beta","shell ventures, blackstone, moore strategic ventures"
"tiger global management, sequoia capital india, ribbit capital","sequoia capital china, gopher asset management, shanghai electric group"
"83north, riverpark ventures, pitango venture capital","silverton partners, tusk ventures, crv"
"brookfield asset management, blackstone, data collective",andreessen horowitz
iconiq capital,"bdc capital, georgian, bessemer venture partners"
"coatue management, atlantic food labs, dst global","brv capital management, bualuang ventures"
"spectrum equity, iconiq capital, grayhawk capital","placeholder capital, coinbase ventures, binance ventures"
"silversmith capital partners, susquehanna growth equity, tiger global management","lightspeed venture partners, coatue management"
"consensys ventures, valar ventures, puc","mouro capital, hanaco venture capital, gramercy ventures"
"cambridge innovation capital, lgt capital partners, escala capital","lightrock, greyhound capital, endeavor"
"holtzbrinck ventures, unternehmertum venture capital, general atlantic","bluerun ventures, leap global partners, cervin ventures"
"benchmark, bessemer venture partners","meson capital partners, fifth wall ventures, ogci climate investments"
"artiman ventures, plug and play ventures, anthos capital","astorg partners, princeville global, beyond net zero"
"next47, first round capital, sequoia capital",railway pension trustee co. ltd.
"sequoia capital china, xiang he capital, ggv capital","accel partners, greylock partners, lowercase capital"
"susquehanna growth equity, citi ventures, iconiq capital","insight partners, toba capital, spring ventures"
"morningside ventures, warburg pincus, creditease fintech investment fund","softbankgroup, blackrock, alibaba group"
"dst global, lightspeed venture partners, microsoft scaleup","matrix partners, passport capital, rho ventures"
"general catalyst, digital currency group, accel","resolute ventures, shima capital, circle ventures"
"iconiq capital, openview venture partners","kleiner perkins caufield & byers, softbank corp., sherpalo ventures"
"playground global, m12, blackrock",
"thrive capital, alliance consumer growth, imaginary ventures","silver lake partners, general atlantic"
"accel, sequoia capital, y combinator","banyan capital, new horizon capital, idg capital partners"
"sequoia capital india, softbank, bertelsmann india investments","5y capital, matrix partners china, k2vc"
"the column group, foresite capital, foresite capital","matrix partners china, ventech china, shunwei capital partners"
"thrive capital, founders fund, cocnord health partners","idg capital, northern light venture capital, dcm ventures"
"tiger global, sequoia capital, google capital","accel partners, comcast ventures, general atlantic"
"institutional venture partners, atomico, earlybird venture capital","sequoia capital china, zhenfund, k2 ventures"
"boldstart ventures, lerer hippeau, kenetic capital","kkr, alibaba group, ping an insurance"
cpp investment board,"saif partners china, baidu, idg capital"
"global founders capital, east ventures, expedia inc.","china minsheng investment, baidu, wanxin media"
alibaba pictures group,"qiming venture partners, temasek holdings, silverlink capital"
"greycroft, sands capital, revolution growth",hinduja group
"kaszek ventures, qualcomm ventures, accel","tencent, vcanbio"
"intel capital, sutter hill ventures, venturetech","goldman sachs, insights venture partners, pritzker group venture capital"
"andreessen horowitz, ia ventures, felicis ventures","berkshire partners, norwest venture partners"
sequoia capital,"sequoia capital china, sig asia investments, zhenfund"
"sequoia capital china, sina weibo, kleiner perkins caufield & byers, redpoint ventures","58.com, tencent holdings"
"sequoia capital china, dst global, dst global","warburg pincus, summit partners, sands capital"
"bessemer venture partners, sutter hill ventures, matrix partners","k2 ventures, matrix partners china, idg capital"
"geely, sig asia investments, china state capital venture capital fund","standard chartered, finsight ventures, affirma capital"
"sequoia capital israel, scale venture partners, commerce ventures","blue label telecoms, net1 ueps technologies"
"ame cloud ventures, future perfect ventures, blockchain capital","co-energy finance, grandland"
"m12, westbridge capital, lightspeed venture partners","k2 global, 500 startups"
"moore strategic ventures, dst global, sequoia capital india","sequoia capital china, ing, alibaba entrepreneurs fund"
"china environmental protection industry, china fortune ocean","morningside venture capital, idg capital, dcm ventures"
"jtc group, qatar investment authority, fidelity investment","tencent holdings, dcm ventures"
"insight partners, salesforce ventures, vertex ventures",ginko ventures
"index ventures, coatue management, andreessen horowitz","fosun rz capital, oceanwide holdings, shenzhen qianhe capital management co."
"andreessen horowitz, softbank group, temasek holdings","v star capital, gf xinde investment management co., haitong leading capital management"
"goldman sachs, vebventures, insight partners","china investment corporation, new enterprise associates"
"new enterprise associates, coatue management, tiger global management","silicon valley bank, qed investors, european founders fund"
"blume ventures, nexus venture partners, sequoia capital india","innova capital - fip, 3g capital management, prosus ventures"
"summit partners, noshaq, sofinnova partners","one luxury group, eurazeo"
"tiger global management, kalaari capital","qiming venture partners, china broadband capital, cdh investments"
"mithril capital management, y combinator, capricorn investment group","prometheus capital, matrix partners china, jd capital management"
"matrix partners, initialized capital, tiger global management","yunfeng capital, sdic innovation investment management, shang qi capital"
"kleiner perkins caufield & byers, lightspeed venture partners, true ventures",gcp capital partners
"activant capital group, alaska permanent fund, baillie gifford & co.","sinovation ventures, tencent holdings, sequoia capital china"
"insight partners, tiger global management, accel","u.s.-china green fund, founder h fund, richland equities"
"airbus ventures, index ventures, advent international","lakestar, battery ventures, new enterprise associates"
"dn capital, left lane capital, coatue management","china everbright limited, idg capital, iflytek"
"westcap group, caisse de depot et placement du quebec","georgian co-investment fund, itech capital, galaxy digital"
"elaia partners, 83north, felix capital","target global, ubs asset management, mubadala capital"
"madrona venture group, shasta ventures, salesforce ventures",softbank group
kuang-chi,"astanor ventures, upfront ventures, idinvest partners"
eqt partners,"boc international, toposcend capital, hongxiu vc"
"general catalyst, hca healthcare","dst global, sequoia capital china, gaorong capital"
"first round capital, sequoia capital, index ventures","trinity ventures, fifth wall ventures, openview venture partners"
"newview capital, maveron, ridge ventures",china prosperity capital
"andreessen horowitz, lux capital, general catalyst","tal education group, legend star, alibaba group"
"dragoneer investment group, dst global, franklin templeton","sbi investment korea, partners investment, gic"
"nextview ventures, promus ventures, two sigma ventures","aglae ventures, global founders capital, alven capital"
"silver lake, iconiq capital","koch disruptive technologies, teamworthy ventures, ggv capital"
01 advisors. kleiner perkins caufield & byers. andreessen horowitz,"union square ventures, summerhill venture partners, mithril capital management"
"y combinator, andreessen horowitz, wonder ventures","investment corporation of dubai, centralway"
"menlo ventures, alkeon capital management, citi ventures","ftv capital, endeavor"
"hillhouse capital management, softbank group, qiming venture partners","matrix partners china, bright venture capita, shenzhen capital group"
"norwest venture partners, goldman sachs, dell technologies capital","jackson square ventures, greenoaks capital management, softbank group"
"casa verde capital, gron ventures, thrity five ventures","technology crossover ventures, alkeon capital management, general atlantic"
"alven capital, firstmark capital, capitalg","olx group, kck group, exor seeds"
"bessemer venture partners, insight partners, new era ventures","union square ventures, altos ventures, costanoa ventures"
"upfront ventures, webb investment network, d1 capital partners","lightspeed venture partners, data collective, 8vc"
"breakthrough energy ventures, capricorn investment group, valor equity partners",one equity partners
"google ventures, battery ventures, dst global","novator partners, true, causeway media partners"
"greylock partners, capitalg, y combinator","sozo ventures, caffeinated capital, sequoia capital"
"y combinator, atomico, accel","mmc ventures, bgf ventures, unilever ventures"
"softbank group, sequoia capital, wing venture capital","costanoa ventures, data collective, salesforce ventures"
"fifth wall ventures, energize ventures, 	iconiq capital","wrvi capital, caffeinated capital, y combinator"
"china health industry investment fund, china renaissance, and sequoia capital china","insight partners, bain capital ventures"
"greylock partners, insight partners,menlo ventures","idg capital, francisco partners, zhenfund"
"accel, silversmith capital partners, capitalg","flybridge capital partners, softbank group, monashees+"
"andreessen horowitz, thrive capital, sound ventures","wellington management, eurazeo, citi ventures"
"fairfax financial holdings, a91 partners, tvs capital","storm ventures, dfj dragonfund, new enterprise associates"
"new enterprise associates, new leaf venture partners, charter venture capital","scb 10x, krungsri finnovate, ewtp capital"
"georgian partners, craft ventures","c5 capital, hemisphere ventures, the venture collective"
"blackrock, kleiner perkins caulfield & byers, google ventures","scale venture partners, bond, tiger global management"
"new enterprise associates, pear, cowboy ventures","crv, y combinator, initialized capital"
"qualcomm ventures, samsung ventures, silver lake","bojiang capital, hongdao capital, mobai capital"
"accel, insight partners, bond capital","andreessen horowitz, andreessen horowitz, institutional venture partners, accel"
"accel, aleph, american express ventures","owl ventures, technology crossover ventures, tao capital partners"
"greylock partners, lightspeed venture partners, khosla ventures","tlv partners, lightspeed venture partners, m12"
"drive capital, general catalyst, ascension ventures","sequoia capital china, shunwei capital partners, qualgro"
"benchmark, foundation capital, sequoia capital","b capital group,, ge ventures, mckesson ventures"
"andreessen horowitz, tq ventures","greatpoint ventures, tiger global management, menlo ventures"
"softbank group, general atlantic","global founders capital, shea ventures, greycroft"
"index ventures, thrive capital, crv","matrix partners china, sequoia capital china, hundreds capital"
"khosla ventures, horizons ventures, temasek holdings","lightspeed venture partners, kleiner perkins caufield & byers, origin ventures"
"new enterprise associates, starr investment holdings","yinhong equity investment fund, e fund, ideal international"
"zeev ventures, ribbit capital, tlv partners","silverton partners, accel, ballast point ventures"
"dragoneer investment group, hellman & friedman, jmi equity","american family ventures, cox enterprises, omers ventures"
"ant financial services group, russia-china investment fund, foxconn technology company","tdk ventures, social capital, d1 capital partners"
"sequoia capital, bessemer venture partners, threshold ventures","bertelsmann asia investments, sequoia capital china, nio capital"
"new enterprise associates, sequoia capital, comcast ventures","pantera capital, cadenza ventures, blocktower capital"
formation 8,"union square ventures, insight partners, spark capital"
"redbird capital partners, cj enm, tencent holdings","tiger global management, hedosophia"
"goodwater capital, ifly, xvc venture capital","thrive capital, durable capital partners, g squared"
"vista equity partners, wincove, tdr capital","smilegate investment, dsc investments, ktb ventures"
"andreessen horowitz, amplify partners, sequoia capital","flagship pioneering, alexandria venture investments, investment corporation of dubai"
"venrock, institutional venture partners, goldman sachs","accel, cobalt capital, andreessen horowitz"
"playground global, bond, tribe capital","eastern bell capital, danhua capital, msa capital"
"lightspeed venture partners, khosla ventures, geodesic capital","xbto ventures, raven one ventures, sk ventures"
"speedinvest, valar ventures, uniqa ventures",general atlantic
"benchmark, accel, softbank group","griffin gaming partners, andreessen horowitz, battery ventures"
"lightspeed venture partners, redpoint ventures, viking global investors","eclipse ventures, fidelity investments, moore capital management"
"general atlantic, blackstone, iconiq growth","xingwang investment management, china capital investment group, matrix partners china"
"sequoia capital china, qiming venture partners, tencent holdings","iris capital, accel, elaia partners"
"mayfield fund, m12, trinity ventures","helion venture partners, bain capital tech opportunities, sequoia capital india"
"chiratae ventures, premjiinvest, softbank","invus group, hanaco venture capital, westcap group"
"cdh investments, goldstone investments, qiming venture partners","sequoia capital, founders fund, bling capital"
"atop capital, idinvest partners, qiming venture partners",bregal sagemount
"salesforce ventures, seedcamp, omers ventures","dragonfly captial, qiming venture partners, dst global"
"passion capital, thrive capital, orange digital ventures","version one ventures, uncork capital, bessemer venture partners"
"creandum, founders, kinnevik","northzone ventures, maveron, johnson & johnson innovation"
"china grand prosperity investment, silk road huacheng, oriza equity investment","optum ventures, qiming venture partners, transformation capital"
"advent international,general catalyst,insight partners","delian capital, china international capital corporation, sequoia capital china"
"sequoia capital china, tencent holdings, sinovation ventures","singtel innov8, alpha jwc ventures, golden gate ventures"
"two sigma ventures, flint capital, commerce ventures","insight partners, ignition partners, georgian partners"
"accel, insight partners, burda principal investments","ggv capital, hillhouse capital management, idg capital"
"threshold ventures, lightspeed venture partners, crosslink capital","salesforce ventures, next47, pereg ventures"
"ontario teachers' pension plan, goldman sachs","bessemer venture partners, morevc, team8"
"sierra ventures, battery ventures, asset management ventures","genesis partners, aleph, insight partners"
"general catalyst, viking global investors, t. rowe price","balderton capital, next world capital, draper esprit"
