,name,trade_name,address_name,postalcode,city,state,country,location_type
2092,CLIPPER LOGISTICS (WAREHOUSING) LIMITED,,Unit 1 Carlton Court Brown Lane West,              LS12 6LT,LEEDS,UNITED KINGDOM,UNITED KINGDOM,Single address
2093,EUROTHERM SPA,,VIA PISA 78,10088,VOLPIANO,ITALY,ITALY,Headquarter
2094,LOON LLC,,1600 AMPHITHEATRE PKWY,940431351,MOUNTAIN VIEW,California(CA),UNITED STATES,Headquarter
2095,ICE DATA SERVICES LIMITED,,Milton Gate 60 Chiswell Street,              EC1Y 4SA,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2096,CEDACRI SPA,,VIA ELIO CHIANESI 110/D,128,ROMA,ITALY,ITALY,Headquarter
2097,,,,,,,,
2098,ICE DATA DESKTOP SOLUTIONS LIMITED,,Milton Gate 60 Chiswell Street,              EC1Y 4SA,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
2099,DIESEL SPA,,VIA DELL'INDUSTRIA 4-6,36042,BREGANZE,ITALY,ITALY,Headquarter
2100,,,,,,,,
2101,,,,,,,,
2102,NORD EST INSURANCE BROKER SRL,,VIALE BRIGATA MARCHE 38,31100,TREVISO,ITALY,ITALY,Single address
2103,,,,,,,,
2104,LOVE ENERGY SAVINGS.COM LIMITED,,Unit 2 Springfield Court Summerfield Road,              BL3 2NT,BOLTON,UNITED KINGDOM,UNITED KINGDOM,Single address
2105,TATTILE SRL,,VIA GAETANO DONIZETTI 1/3/5,25030,MAIRANO,ITALY,ITALY,Single address
2106,COMPRESSOR CONTROLS LLC,CCC,4745 121ST ST,503232316,DES MOINES,Iowa(IA),UNITED STATES,Headquarter
2107,LANSINOH LABORATORIES UK LIMITED,,Mayesbrook House Lawnswood Business Park Redvers Close,              LS16 6QY,LEEDS,UNITED KINGDOM,UNITED KINGDOM,Single address
2108,DATA 4 ITALY SPA,,VIA MONZORO 101-105,20007,CORNAREDO,ITALY,ITALY,Headquarter
2109,,,,,,,,
2110,,,,,,,,
2111,DVO SRL,,VIA XX SETTEMBRE 272,33080,ROVEREDO IN PIANO,ITALY,ITALY,Headquarter
2112,AIRBUS DS GEO INC.,,2550 WASSER TER STE 9100,201716381,HERNDON,Virginia(VA),UNITED STATES,Single address
2113,VOUVRAY ACQUISITION LIMITED,V GROUP,1ST FLOOR 63 QUEEN VICTORIA STREET,              EC4N 4UA,LONDON,UNITED KINGDOM,UNITED KINGDOM,
2114,DULEVO INTERNATIONAL SPA,,VIA GIOVANNINO GUARESCHI 1,43012,FONTANELLATO,ITALY,ITALY,Headquarter
2115,,,,,,,,
2116,AVIVA LIFE INVESTMENTS INTERNATIONAL (GENERAL PARTNER) LIMITED,,Wellington Row,              YO90 1WR,YORK,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2117,NABTESCO OCLAP SRL,,VIA DELLA RIMEMBRANZA 13,10060,PISCINA,ITALY,ITALY,Headquarter
2118,,,,,,,,
2119,LONDON STOCK EXCHANGE GROUP HOLDINGS (ITALY) LIMITED,,The London Stock Exchange 10 Paternoster Square,              EC4M 7LS,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
2120,SHG HOTEL MALPENSA SRL,,PIAZZA DEL CARMINE 4,20121,MILANO,ITALY,ITALY,Single address
2121,,,,,,,,
2122,BOEHRINGER INGELHEIM ANIMAL HEALTH UK LIMITED,,Ellesfield Avenue,              RG12 8YS,BRACKNELL,UNITED KINGDOM,UNITED KINGDOM,Single address
2123,BONFIGLIOLI RIDUTTORI SPA,,VIA CAV.CLEMENTINO BONFIGLIOLI 1,40012,CALDERARA DI RENO,ITALY,ITALY,Headquarter
2124,,,,,,,,
2125,BOEHRINGER INGELHEIM LIMITED,,Ellesfield Avenue,              RG12 8YS,BRACKNELL,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2126,AFIN SRL,,VIA FRATELLI SALVIONI 6,20154,MILANO,ITALY,ITALY,Single address
2127,HYUNDAI MOTOR AMERICA,,10550 TALBERT AVE,927086032,FOUNTAIN VALLEY,California(CA),UNITED STATES,Headquarter
2128,AIG LIFE LIMITED,,Beech House 35 London Road,              RH2 9HZ,REIGATE,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2129,PRENATAL RETAIL GROUP SPA OVVERO IN ABBREVIATO PNT RETAIL GR OUP SPA O PRG SPA,,VIA DELLE PRIMULE 5,20815,COGLIATE,ITALY,ITALY,Headquarter
2130,,,,,,,,
2131,WREN STERLING FINANCIAL PLANNING LIMITED,,13-19 Derby Road,              NG1 5AA,NOTTINGHAM,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2132,BERTOLOTTI SRL,,VIA GEROLAMO TIRABOSCHI 48,24122,BERGAMO,ITALY,ITALY,Single address
2133,,,,,,,,
2134,MAWDSLEY-BROOKS & COMPANY LIMITED,MAWDSLEY,NUMBER 3 SOUTH LANGWORTHY ROAD,              M50 2PW,SALFORD,UNITED KINGDOM,UNITED KINGDOM,
2135,STARDEA SRL,,VIA FAUSTINO TANARA 20,43121,PARMA,ITALY,ITALY,Single address
2136,LIBERTY INTERNATIONAL HOLDINGS INC,,175 BERKELEY ST,21165066,BOSTON,Massachusetts(MA),UNITED STATES,Headquarter
2137,DAY LEWIS PLC,,2 Peterwood Way,              CR0 4UQ,CROYDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2138,ASSICURAZIONI GENERALI SPA,,PIAZZA LUIGI AMEDEO DUCA DEGLI ABRUZZI 2,34132,TRIESTE,ITALY,ITALY,Headquarter
2139,,,,,,,,
2140,DAY LEWIS MEDICAL LIMITED,Day Lewis,2 Peterwood Way,              CR0 4UQ,CROYDON,UNITED KINGDOM,UNITED KINGDOM,
2141,MERCK SERONO SPA,,VIA CASILINA 125,176,ROMA (CENTRO DIREZIONALE ),ITALY,ITALY,Headquarter
2142,MAZAK CORPORATION,,8025 PRODUCTION DR,410423092,FLORENCE,Kentucky(KY),UNITED STATES,Headquarter
2143,JOHN CRANE UK LIMITED,,Buckingham House 361-366 Buckingham Avenue,              SL1 4LU,SLOUGH,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2144,CHIORINO SPA,,STRADA SANT'AGATA 9,13900,BIELLA,ITALY,ITALY,Headquarter
2145,,,,,,,,
2146,MIDWICH LIMITED,,Vinces Road,              IP22 4YT,DISS,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2147,AMCO ASSET MANAGEMENT COMPANY SPA,,VIA SANTA BRIGIDA 39,80133,NAPOLI,ITALY,ITALY,Headquarter
2148,,,,,,,,
2149,SPL POWERLINES UK LIMITED,,7 Kirkshaws Road,              ML5 5EY,COATBRIDGE,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2150,CELLI ASSET MANAGEMENT SRL,,VIA EMILIA 41,47921,RIMINI,ITALY,ITALY,Headquarter
2151,,,,,,,,
2152,,,,,,,,
2153,ESSELUNGA SPA,,VIA GIAMBOLOGNA 1,20096,PIOLTELLO,ITALY,ITALY,Headquarter
2154,MILTOPE CORPORATION,VT MILTOPE,3800 RICHARDSON RD,360434017,HOPE HULL,Alabama(AL),UNITED STATES,Headquarter
2155,,,,,,,,
2156,ANGELINI PHARMA ITALIA AZIENDE CHIMICHE RIUNITE ANGELINI FRANCESCO A.C.R.A.F. SPA,,VIALE AMELIA 70,181,ROMA,ITALY,ITALY,Headquarter
2157,,,,,,,,
2158,ALLIANCE HEALTHCARE MANAGEMENT SERVICES LIMITED,,Cox Lane,              KT9 1DH,CHESSINGTON,UNITED KINGDOM,UNITED KINGDOM,Single address
2159,STICHD ITALY SRL,,VIA ROGGIA BARTOLOMEA 9,20057,ASSAGO,ITALY,ITALY,Single address
2160,,,,,,,,
2161,ALLIANCE HEALTHCARE LIMITED,,Avonbridge House Bath Road,              SN15 2BB,CHIPPENHAM,UNITED KINGDOM,UNITED KINGDOM,Single address
2162,SUPERCAP SRL,,VIA CAIRO 83,61024,MOMBAROCCIO,ITALY,ITALY,Single address
2163,,,,,,,,
2164,,,,,,,,
2165,CASA DAMIANI SPA,DAMIANI,PIAZZA DAMIANO GRASSI DAMIANI 1,15048,VALENZA (ex VIALE SANTUARIO  46 (variazione toponomastica) ),ITALY,ITALY,
2166,,,,,,,,
2167,ALLIANCE HEALTHCARE (DISTRIBUTION) LIMITED,,43 COX LANE,              KT9 1SN,CHESSINGTON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2168,LIDL ITALIA SRL,,VIA AUGUSTO RUFFO 36,37040,ARCOLE,ITALY,ITALY,Headquarter
2169,DASH FINANCIAL TECHNOLOGIES LLC,,311 S WACKER DR STE 1000,606066699,CHICAGO,Illinois(IL),UNITED STATES,Headquarter
2170,INTERNATIONAL SCHOOLS PARTNERSHIP LIMITED,,100 New Bridge Street,              EC4V 6JA,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2171,GS SPA,,VIA CALDERA 21,20153,MILANO,ITALY,ITALY,Headquarter
2172,OATS LIMITED,,100 Delta Business Park,              SN5 7XP,SWINDON,UNITED KINGDOM,UNITED KINGDOM,Single address
2173,A & T EUROPE SPA,,VIA SOLFERINO 27,46043,CASTIGLIONE DELLE STIVIERE,ITALY,ITALY,Headquarter
2174,LIONS GATE ENTERTAINMENT INC.,LIONS GATE,2700 COLORADO AVE STE 200,904045502,SANTA MONICA,California(CA),UNITED STATES,Headquarter
2175,,,,,,,,
2176,ONLINE SIM SPA DI INTERMEDIAZIONE MOBILIARE IN SIGLA ONLINE SIM SPA,,VIA PIER CAPPONI 13,20145,MILANO,ITALY,ITALY,Headquarter
2177,LIONS GATE FILMS INC.,,2700 COLORADO AVE,904043553,SANTA MONICA,California(CA),UNITED STATES,Single address
2178,MONTAGU PRIVATE EQUITY LLP,,2 More London Riverside,              SE1 2AP,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2179,BORSA ITALIANA SPA,,PIAZZA DEGLI AFFARI 6,20123,MILANO,ITALY,ITALY,Headquarter
2180,RGA REINSURANCE COMPANY,,16600 SWINGLEY RIDGE RD,630171706,CHESTERFIELD,Missouri(MO),UNITED STATES,Headquarter
2181,MIRABAUD ASSET MANAGEMENT LIMITED,Mam,10 Bressenden Place,              SW1E 5DH,LONDON,UNITED KINGDOM,UNITED KINGDOM,
2182,ATOMOS HYLA SPA,,VIA EUGENIA RAVASCO 10,16128,GENOVA,ITALY,ITALY,Headquarter
2183,,,,,,,,
2184,A B & C LIMITED,,100 Barbirolli Sq 60 Chiswell Street,              EC1Y 4AG,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
2185,TECNIPLAST SPA,,VIA I MAGGIO 6,21020,BUGUGGIATE,ITALY,ITALY,Headquarter
2186,,,,,,,,
2187,THE AUTOMOBILE ASSOCIATION LIMITED,,22 GRENVILLE STREET ST HELIER,              JE2 4UF,JERSEY,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2188,TRIME SRL,,STRADA PER ROBECCO S.C.,20081,CASSINETTA DI LUGAGNANO,ITALY,ITALY,Headquarter
2189,,,,,,,,
2190,,,,,,,,
2191,HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA SPA,,VIA GIOVANNI BATTISTA CASSINIS 21,20139,MILANO,ITALY,ITALY,Headquarter
2192,,,,,,,,
2193,SYNAMEDIA HOLDINGS LIMITED,,ONE LONDON ROAD STAINES-UPON-THAMES,              TW18 4EX,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2194,AZIENDA PER LA MOBILITA' DI ROMA CAPITALE SPA,,VIA PRENESTINA 45,176,ROMA,ITALY,ITALY,Headquarter
2195,,,,,,,,
2196,GREAT BOWERY (UK) LIMITED,,Leytonstone House 3 Hanbury Drive,              E11 1GA,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2197,ROMA CAPITALE,,PIAZZA DEL CAMPIDOGLIO 1,186,ROMA,ITALY,ITALY,Headquarter
2198,,,,,,,,
2199,PAYDENS LIMITED,,Sutton Road Parkwood Estate,              ME15 9NN,MAIDSTONE,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2200,CONNECTUW EUROPE SRL,,VIA SANTA MARIA DELLE GIUMMARE 45,91026,MAZARA DEL VALLO (PRESSO CED INGA SOC.COOP. ),ITALY,ITALY,Headquarter
2201,,,,,,,,
2202,HERBERT SMITH FREEHILLS LLP,,Exchange House 12 Primrose Street,              EC2A 2EG,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2203,COMAL FERLATTA SPA,,VIA PIEMONTE 15/17/19,24055,COLOGNO AL SERIO,ITALY,ITALY,Single address
2204,,,,,,,,
2205,AMAZON DIGITAL UK LIMITED,AMAZON,1 Principal Place Worship Street,              EC2A 2FA,LONDON,UNITED KINGDOM,UNITED KINGDOM,
2206,THINGS MOBILE SRL,,PIAZZA LUIGI DI SAVOIA 22,20124,MILANO,ITALY,ITALY,Headquarter
2207,NETFLIX GLOBAL HOLDINGS C.V.,,100 WINCHESTER CIR,950321815,LOS GATOS,California(CA),UNITED STATES,Single address
2208,SOPRA STERIA LIMITED,,Three Cherry Trees Lane,              HP2 7AH,HEMEL HEMPSTEAD,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2209,INFRARAIL FIRENZE SRL,,VIA CIRCONDARIA 32-34,50127,FIRENZE,ITALY,ITALY,Single address
2210,,,,,,,,
2211,SOPRA GROUP LIMITED,,30 Old Broad Street,              EC2N 1HT,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2212,NEOS SPA,NEOS AIR,VIA DELLA CHIESA 68,21019,SOMMA LOMBARDO,ITALY,ITALY,
2213,,,,,,,,
2214,SIEMENS ENERGY INDUSTRIAL TURBOMACHINERY LIMITED,SIEMENS,C A Parsons Works Shields Road,              NE6 2YL,NEWCASTLE-UPON-TYNE,UNITED KINGDOM,UNITED KINGDOM,
2215,INDUSTRIE CHIMICHE FORESTALI SPA IN FORMA ABBREVIATO ICF SPA,DURABOND,VIA FRATELLI KENNEDY 75,20010,MARCALLO CON CASONE,ITALY,ITALY,
2216,,,,,,,,
2217,SIEMENS GAMESA RENEWABLE ENERGY UK LIMITED,,Alexandra Dock Blade Factory Sir William Siemens Way,              HU9 1TA,HULL,UNITED KINGDOM,UNITED KINGDOM,Single address
2218,INFOCERT SPA,,VIA MARCO E MARCELLIANO 45,147,ROMA,ITALY,ITALY,Headquarter
2219,,,,,,,,
2220,INEOS DERIVATIVES FRANCE LIMITED,,Hawkslease Chapel Lane,              SO43 7FG,LYNDHURST,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2221,ITALIAONLINE SPA,,CORSO MORTARA 22,10149,TORINO,ITALY,ITALY,Headquarter
2222,,,,,,,,
2223,STINGRAY DIGITAL INTERNATIONAL LIMITED,,101 QUEEN CAROLINE STREET,              W6 9BN,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2224,EFFE 2 STUDIO E CONFEZIONI SPA,,VIA PRIVATA GRONDA 1,13011,BORGOSESIA (REGIONE FORNACE ),ITALY,ITALY,Single address
2225,,,,,,,,
2226,PEOPLES CHOICE (EUROPE) LIMITED,,55 King Street,              M2 4LQ,MANCHESTER,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2227,VALVITALIA SPA,,VIA BANCORA E RIMOLDI 47,22070,GUANZATE,ITALY,ITALY,Headquarter
2228,ITRON MANUFACTURING INC,,2818 N SULLIVAN RD,992165198,SPOKANE VALLEY,Washington(WA),UNITED STATES,Single address
2229,HASTINGS (US) LIMITED,,Conquest House 32-34 Collington Avenue,              TN39 3LW,BEXHILL-ON-SEA,UNITED KINGDOM,UNITED KINGDOM,Single address
2230,AMUNDI SOCIETA' DI GESTIONE DEL RISPARMIO SPA,AMUNDI META 2018 QUATTRO,VIA CERNAIA 8/10,20121,MILANO,ITALY,ITALY,
2231,,,,,,,,
2232,,,,,,,,
2233,CALA SRL,,PIAZZALE DI PORTA PIA 116,198,ROMA,ITALY,ITALY,Headquarter
2234,,,,,,,,
2235,TRAD GROUP LIMITED,,Albion Road,              DA1 5PZ,DARTFORD,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2236,SELLA BROKER SPA,,VIA XX SETTEMBRE 13,13900,BIELLA,ITALY,ITALY,Headquarter
2237,FINASTRA USA CORPORATION,FINASTRA,555 SW MORRISON ST #300,972041442,PORTLAND,Oregon(OR),UNITED STATES,Headquarter
2238,MERCI MAMAN LIMITED,,25 Heathmans Road,              SW6 4TJ,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
2239,HOTEL INVEST ITALIANA SRL,,VIA AURELIA ANTICA 415,165,ROMA,ITALY,ITALY,Headquarter
2240,,,,,,,,
2241,MERCI MAMAN HOLDING LIMITED,,25 Heathmans Road,              SW6 4TJ,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2242,AUTOBLOK SPA,,VIA DUCA D' AOSTA 24,10040,CAPRIE (NOVARETTO ),ITALY,ITALY,Headquarter
2243,,,,,,,,
2244,,,,,,,,
2245,IBF SPA,,VIA GANDHI 17/19,20009,VITTUONE,ITALY,ITALY,Headquarter
2246,,,,,,,,
2247,,,,,,,,
2248,DIASORIN ITALIA SRL,,VIA CRESCENTINO SNC,13040,SALUGGIA,ITALY,ITALY,Headquarter
2249,,,,,,,,
2250,THISTLE INSURANCE SERVICES LIMITED,,Southgate House Southgate Street,              GL1 1UB,GLOUCESTER,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2251,H&MV ENGINEERING SRL,,VIA DELL'ANNUNCIATA 23/4,20121,MILANO (C/O LEXIA AVVOCATI ),ITALY,ITALY,Single address
2252,,,,,,,,
2253,DUAL CORPORATE RISKS LIMITED,,1 Creechurch Place,              EC3A 5AF,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
2254,PRESIDER SPA,,STRADA DEL FRANCESE 13/17,10071,BORGARO TORINESE,ITALY,ITALY,Headquarter
2255,AERO ASSURANCE LTD.,,1 CHURCH ST,54014451,BURLINGTON,Vermont(VT),UNITED STATES,Single address
2256,,,,,,,,
2257,CED. IS SRL,,PIAZZA SAN DOMENICO 10,40124,BOLOGNA,ITALY,ITALY,Headquarter
2258,PRECISION MANUFACTURING GROUP LLC,,501 LITTLE FALLS RD,70091239,CEDAR GROVE,New Jersey(NJ),UNITED STATES,Headquarter
2259,,,,,,,,
2260,LI CUPULATTI SRL,,VIA DEL MARE,8028,OROSEI,ITALY,ITALY,Headquarter
2261,,,,,,,,
2262,THOMAS INTERNATIONAL UK LIMITED,,18 Oxford Road,              SL7 2LS,MARLOW,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2263,CARAVEL PELLI PREGIATE SPA,,VIA DEI CAMPI ALTI 3-5-9,56022,CASTELFRANCO DI SOTTO,ITALY,ITALY,Headquarter
2264,,,,,,,,
2265,THOMAS INTERNATIONAL LIMITED,,18 Oxford Road,              SL7 2NL,MARLOW,UNITED KINGDOM,UNITED KINGDOM,Single address
2266,GRUPPO MAURO SAVIOLA SRL,,VIALE LOMBARDIA 29,46019,VIADANA,ITALY,ITALY,Headquarter
2267,,,,,,,,
2268,THE KERFOOT GROUP LIMITED,,The Olive House STANDARD WAY INDUSTRIAL PARK,              DL6 2XA,NORTHALLERTON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2269,UNIPOLSAI ASSICURAZIONI SPA,,VIA STALINGRADO 45,40128,BOLOGNA,ITALY,ITALY,Headquarter
2270,EDGEWELL PERSONAL CARE COMPANY,,6 RESEARCH DR,64846228,SHELTON,Connecticut(CT),UNITED STATES,Headquarter
2271,DAB PUMPS LIMITED,,Unit 6 Gilberd Court Newcomen Way,              CO4 9WN,COLCHESTER,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2272,AEROVIAGGI SPA,,VIA ISIDORO LA LUMIA 11,90139,PALERMO,ITALY,ITALY,Headquarter
2273,,,,,,,,
2274,KELLER HOLDINGS LIMITED,,2 Kingdom Street,              W2 6BD,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2275,REGIONE LIGURIA,,PIAZZA RAFFAELE DE FERRARI 1,16121,GENOVA,ITALY,ITALY,Headquarter
2276,MRI SOFTWARE LLC,,28925 FOUNTAIN PKWY,441394356,SOLON,Ohio(OH),UNITED STATES,Headquarter
2277,MCGREGOR CORY LIMITED,,Solstice House 251 Midsummer Boulevard,              MK9 1EA,MILTON KEYNES,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2278,OWL SPA,,VIA DELL'ANNUNCIATA 23/4,20121,MILANO,ITALY,ITALY,Headquarter
2279,CVC ADVISORS (U.S.) INC.,,712 5TH AVE FL 43,100194108,NEW YORK,New York(NY),UNITED STATES,Headquarter
2280,LE CORDON BLEU LIMITED,,15 Bloomsbury Square,              WC1A 2LS,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2281,FREE TO X SRL,,VIA ALBERTO BERGAMINI 50,159,ROMA,ITALY,ITALY,Single address
2282,,,,,,,,
2283,,,,,,,,
2284,AVIS BUDGET ITALIA SPA,,VIA ROMA 96,39100,BOLZANO,ITALY,ITALY,Headquarter
2285,KRAUTER & COMPANY LLC,,750 3RD AVE STE 1500,100172703,NEW YORK,New York(NY),UNITED STATES,Headquarter
2286,INSTILL EDUCATION LIMITED,,14 Friars Entry,              OX1 2BZ,OXFORD,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2287,TP INDUSTRIAL HOLDING SRL,,VIALE SARCA 222,20126,MILANO,ITALY,ITALY,Headquarter
2288,,,,,,,,
2289,AMAZON ONLINE UK LIMITED,,1 Principal Place Worship Street,              EC2A 2FA,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
2290,TP AUTO SRL,,VIA PONTECORVO PELLEGRINO 2,56121,PISA,ITALY,ITALY,Headquarter
2291,BROCK HOLDINGS I LLC,,10343 SAM HOUSTON PARK DR STE 200,770644656,HOUSTON,Texas(TX),UNITED STATES,Headquarter
2292,AMAZON UK SERVICES LTD.,Amazon.co.UK,1 Principal Place Worship Street,              EC2A 2FA,LONDON,UNITED KINGDOM,UNITED KINGDOM,
2293,ISTITUTO COMPRENSIVO 'CAVALLERMAGGIORE',,PIAZZA NOBEL A. N. 1,12030,CAVALLERMAGGIORE,ITALY,ITALY,Single address
2294,,,,,,,,
2295,FACTIVA LIMITED,,THE NEWS BUILDING 1 LONDON BRIDGE STREET,              SE1 9GF,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2296,PROCTER & GAMBLE SRL,AZ,VIALE GIORGIO RIBOTTA 11,144,ROMA,ITALY,ITALY,
2297,CENTRE PARTNERS MANAGEMENT LLC,,601 LEXINGTON AVE FL 55,100226062,NEW YORK,New York(NY),UNITED STATES,Headquarter
2298,,,,,,,,
2299,ARBATAX PARK RESORT SRL,,VIA VITTORIO VENETO 64/A,9123,CAGLIARI,ITALY,ITALY,Headquarter
2300,,,,,,,,
2301,,,,,,,,
2302,BESTER NEW ENERGY ITALIA SRL,,PIAZZA CAVOUR 19,193,ROMA,ITALY,ITALY,Single address
2303,RC LONESTAR INC.,,100 BRODHEAD RD STE 230,180178935,BETHLEHEM,Pennsylvania(PA),UNITED STATES,Headquarter
2304,SALESFORCE UK LIMITED,,110 Bishopsgate,              EC2N 4AY,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2305,F.I.V. FABBRICA ITALIANA VELOCIPEDI EDOARDO BIANCHI SPA,BIANCHI,VIA DELLE BATTAGLIE 5,24047,TREVIGLIO,ITALY,ITALY,
2306,,,,,,,,
2307,,,,,,,,
2308,FIVE SRL,,VIALE COMBATTENTI ALLEATI D' EUROPA 9/G,45100,ROVIGO (BORSEA ),ITALY,ITALY,Headquarter
2309,,,,,,,,
2310,SAGE HOLDING COMPANY LIMITED,,North Park Avenue,              NE13 9AA,NEWCASTLE-UPON-TYNE,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2311,IMPRESA DI COSTRUZIONI ING. E. MANTOVANI SPA,,VIA BELGIO 26,35127,PADOVA,ITALY,ITALY,Headquarter
2312,MOUNT AUBURN HOSPITAL,,330 MT AUBURN ST,21385597,CAMBRIDGE,Massachusetts(MA),UNITED STATES,Headquarter
2313,BIO2CARBON LIMITED,,1c Trafalgar Park Way and,              DE24 8DX,DERBY,UNITED KINGDOM,UNITED KINGDOM,Single address
2314,COMUNE DI BUSTO ARSIZIO,,VIA FRATELLI D'ITALIA 12,21052,BUSTO ARSIZIO,ITALY,ITALY,Headquarter
2315,WESTERN WASHINGTON UNIVERSITY,,516 HIGH ST,982255996,BELLINGHAM,Washington(WA),UNITED STATES,Headquarter
2316,ENERPAC ENERGY LIMITED,,45 Colbourne Avenue Nelson Park,              NE23 1WD,CRAMLINGTON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2317,LIVANOVA PLC,,VIA ENRICO CIALDINI 16,20161,MILANO,ITALY,ITALY,Headquarter
2318,,,,,,,,
2319,ENERPAC UK LTD,,Colbourne Avenue Nelson Park,              NE23 1WD,CRAMLINGTON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2320,LLOYD'S REGISTER EMEA,,VIA DI SOTTORIPA 1/A 112,16124,GENOVA (X PIANO ),ITALY,ITALY,Headquarter
2321,UNIVERSITY OF MICHIGAN HEALTH SYSTEM,MICHIGAN MEDICINE,1500 E MEDICAL CENTER DR,481095000,ANN ARBOR,Michigan(MI),UNITED STATES,Headquarter
2322,,,,,,,,
2323,CHROMAVIS SPA,,VIA EDWIN POWELL HUBBLE 2/4,26010,OFFANENGO,ITALY,ITALY,Headquarter
2324,ALLINA HEALTH SYSTEM,ALLINA HEALTH,2925 CHICAGO AVE,554071321,MINNEAPOLIS,Minnesota(MN),UNITED STATES,Headquarter
2325,,,,,,,,
2326,LTXCREDENCE ITALIA SRL,,VIA PARACELSO 22,20864,AGRATE BRIANZA,ITALY,ITALY,Headquarter
2327,,,,,,,,
2328,BBC STUDIOS DISTRIBUTION LIMITED,,1 Television Centre 101 Wood Lane,              W12 7FA,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2329,PEDROLLO GROUP SRL,,VIA ENRICO FERMI 7,37047,SAN BONIFACIO,ITALY,ITALY,Headquarter
2330,,,,,,,,
2331,BBC STUDIOS LIMITED,,White City Broadcast Centre 201 Wood Lane,              W12 7TS,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2332,RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA SPA IN BREVE RECORDATI SPA,,VIA MATTEO CIVITALI 1,20148,MILANO,ITALY,ITALY,Headquarter
2333,,,,,,,,
2334,OUR MEDIA LIMITED,,44 Brook Green,              W6 7BT,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2335,MER MEC STE SRL,,VIALE DELLA BELLA VILLA 220/222,172,ROMA,ITALY,ITALY,Headquarter
2336,,,,,,,,
2337,M & G GROUP LIMITED,,10 Fenchurch Avenue,              EC3M 5AG,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2338,COMPAR SPA,,VIA ALESSANDRO VOLTA 6,35010,LIMENA,ITALY,ITALY,Headquarter
2339,GLOBAL X MANAGEMENT COMPANY LLC,GLOBAL X FUNDS,605 3RD AVE FL 43,101580180,NEW YORK,New York(NY),UNITED STATES,Headquarter
2340,,,,,,,,
2341,VALUEMENT GROUP SRL,,VIA GIOVANNI BATTISTA PIRELLI 30,20124,MILANO,ITALY,ITALY,Headquarter
2342,,,,,,,,
2343,CASTELL SAFETY INTERNATIONAL LIMITED,,The Castell Building 217 Kingsbury Road,              NW9 9PQ,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
2344,FURLA SPA,,VIA BELLARIA 3/5,40068,SAN LAZZARO DI SAVENA,ITALY,ITALY,Headquarter
2345,,,,,,,,
