02-GioPonSpiz-industry,05-MalPatSaj-industry,06-MarScoToc-industry,10-DeBiGa-industry
consumer services,industrials,,
consumer goods,industrials,,
financials,consumer goods,,
consumer services,utilities,,
consumer services,consumer services,,
consumer services,industrials,,
health care,consumer services,,
industrials,consumer services,,
technology,consumer goods,,
consumer services,consumer goods,,
industrials,telecommunications,,
consumer services,industrial,,
telecommunications,consumer services,,
consumer services,consumer services,,
consumer services,industrials,,
consumer services,industrials,,
conglomerate,industrials,,
consumer services,consumer services,,
financials,consumer services,,
consumer services,technology,,
consumer goods,consumer services,,
telecommunications,consumer goods,,
consumer services,consumer services,,
utilities,consumer services,,
utilities,consumer goods,,
utilities,basic materials,,
utilities,consumer services,,
financials,telecommunications,,
financials,industrials,,
technology,consumer services,,
financials,consumer services,,
consumer services,consumer services,,
consumer goods,utilities,,
consumer goods,oil & gas,,
consumer goods,industrials,,
consumer services,infrastructure,,
consumer goods,financials,,
consumer services,consumer services,,
consumer goods,industrials,,
technology,industrials,,
consumer services,technology,,
consumer services,consumer goods,,
consumer services,industrials,,
consumer services,industrials,,
consumer services,utilities,,
technology,consumer services,,
technology,consumer services,,
consumer services,consumer services,,
industrials,consumer services,,
industrials,consumer goods,,
industrials,technology,,
financials,consumer services,,
consumer goods,technology,,
industrials,technology,,
financials,industrials,,
telecommunications,consumer services,,
industrials,consumer goods,,
health care,consumer goods,,
telecommunications,industrials,,
consumer services,technology,,
consumer services,consumer goods,,
consumer services,consumer goods,,
consumer services,consumer services,,
technology,industrials,,
utilities,health care,,
consumer services,consumer services,,
utilities,consumer services,,
consumer goods,consumer goods,,
consumer services,financials,,
technology,consumer services,,
consumer services,basic materials,,
consumer goods,health care,,
financials,industrials,,
consumer services,conglomerates,,
financials,consumer services,,
consumer services,consumer goods,,
consumer services,industrials,,
health care,consumer services,,
telecommunications,consumer goods,,
consumer goods,conglomerates,,
consumer services,technology,,
consumer services,consumer services,,
consumer services,consumer goods,,
consumer services,consumer goods,,
consumer services,industrials,,
consumer services,consumer services,,
consumer services,consumer goods,,
consumer services,consumer services,,
telecommunications,industrials,,
consumer goods,consumer goods,,
consumer services,consumer goods,,
conglomerate,consumer goods,,
industrials,consumer services,,
consumer services,technology,,
health care,industrials,,
financials,industrials,,
consumer services,oil & gas,,
consumer services,conglomerates,,
financials,consumer services,,
telecommunications,consumer goods,,
technology,technology,,
telecommunications,financials,,
consumer services,industrials,,
industrials,industrials,,
consumer services,consumer services,,
consumer services,consumer goods,,
technology,technology,,
consumer services,industrials,,
consumer goods,oil & gas,,
basic materials,financials,,
consumer services,industrials,,
consumer services,consumer services,,
consumer services,consumer services,,
financials,consumer services,,
consumer services,consumer services,,
consumer services,financials,,
consumer services,consumer goods,,
consumer services,telecommunications,,
industrials,telecommunications,,
consumer goods,consumer goods,,
consumer services,consumer goods,,
technology,consumer goods,,
consumer goods,technology,,
industrials,consumer services,,
financials,consumer goods,,
consumer goods,consumer goods,,
health care,financials,,
consumer services,consumer services,,
technology,technology,,
consumer services,industrials,,
consumer goods,technology,,
consumer services,oil & gas,,
consumer goods,consumer services,,
consumer goods,oil & gas,,
financials,consumer goods,,
industrials,consumer goods,,
consumer services,technology,,
consumer services,consumer goods,,
industrials,consumer services,,
financials,industrials,,
technology,consumer goods,,
technology,consumer goods,,
technology,industrials,,
financials,oil & gas,,
consumer goods,consumer services,,
industrials,consumer goods,,
telecommunications,consumer services,,
basic materials,consumer services,,
consumer services,consumer services,,
consumer services,financials,,
financials,consumer goods,,
oil & gas,technology,,
consumer services,consumer services,,
consumer services,consumer services,,
utilities,industrials,,
technology,industrials,,
health care,industrials,,
utilities,consumer goods,,
industrials,oil & gas,,
financials,consumer services,,
telecommunications,consumer services,,
consumer services,consumer goods,,
oil & gas,industrials,,
consumer goods,industrials,,
consumer goods,consumer services,,
technology,consumer goods,,
industrials,consumer goods,,
consumer goods,industrials,,
technology,industrials,,
consumer services,oil & gas,,
consumer services,health care,,
financials,basic materials,,
industrials,consumer services,,
consumer goods,consumer goods,,
consumer goods,telecommunications,,
consumer services,utilities,,
financials,telecommunications,,
industrials,industrials,,
consumer services,consumer services,,
telecommunications,consumer services,,
consumer goods,technology,,
technology,consumer services,,
telecommunications,consumer goods,,
consumer services,basic materials,,
technology,consumer services,,
consumer goods,consumer services,,
consumer goods,consumer services,,
consumer services,financials,,
consumer goods,consumer services,,
consumer goods,consumer services,,
utilities,consumer services,,
consumer services,consumer services,,
industrials,industrials,,
industrials,consumer goods,,
industrials,consumer services,,
financials,technology,,
consumer services,consumer goods,,
consumer services,industrials,,
consumer goods,financials,,
financials,consumer goods,,
consumer services,health care,,
consumer services,consumer services,,
basic materials,technology,,
basic materials,consumer services,,
consumer services,consumer goods,,
industrials,consumer services,,
consumer services,consumer goods,,
consumer services,consumer goods,,
consumer goods,financials,,
industrials,industrials,,
industrials,consumer services,,
technology,consumer services,,
financials,industrials,,
consumer services,financials,,
consumer services,technology,,
consumer services,technology,,
consumer services,technology,,
industrials,financials,,
financials,consumer goods,,
industrials,industrials,,
industrials,telecommunications,,
technology,basic materials,,
industrials,consumer services,,
financials,consumer services,,
consumer services,financials,,
consumer services,oil & gas,,
consumer services,consumer services,,
industrials,consumer services,,
consumer goods,utilities,,
consumer services,technology,,
consumer services,health care,,
industrials,utilities,,
consumer services,industrials,,
industrials,financials,,
technology,telecommunications,,
industrials,consumer services,,
food & beveradges,oil & gas,,
consumer services,consumer goods,,
consumer services,consumer goods,,
consumer services,technology,,
industrials,industrials,,
telecommunications,consumer goods,,
industrials,technology,,
oil & gas,consumer services,,
oil & gas,consumer services,,
consumer goods,financials,,
broadcast,industrials,,
consumer services,consumer goods,,
industrials,consumer goods,,
industrials,consumer services,,
industrials,financials,,
industrials,industrials,,
consumer goods,consumer services,,
consumer goods,telecommunications,,
industrials,consumer goods,,
basic materials,technology,,
industrials,telecommunications,,
consumer services,consumer services,,
oil & gas,technology,,
consumer services,consumer goods,,
consumer goods,consumer goods,,
consumer services,consumer services,,
basic materials,consumer services,,
financials,industrials,,
financials,consumer services,,
industrials,consumer services,,
industrials,industrials,,
consumer goods,consumer services,,
utilities,utilities,,
consumer services,financials,,
industrials,industrials,,
consumer services,consumer services,,
consumer services,industrials,,
consumer goods,consumer services,,
consumer goods,technology,,
telecommunications,financials,,
industrial,consumer goods,,
consumer services,consumer services,,
consumer services,utilities,,
industrials,consumer services,,
industrials,telecommunications,,
industrials,consumer services,,
consumer services,consumer goods,,
consumer services,consumer services,,
technology,consumer goods,,
consumer goods,financials,,
financials,consumer services,,
consumer goods,consumer services,,
consumer services,consumer services,,
financials,health care,,
consumer goods,industrials,,
basic materials,technology,,
consumer services,consumer services,,
financials,industrials,,
industrials,consumer services,,
consumer services,telecommunications,,
telecommunications,consumer services,,
consumer goods,consumer services,,
consumer goods,consumer services,,
consumer goods,conglomerate,,
basic materials,consumer services,,
consumer goods,financials,,
consumer services,consumer services,,
health care,consumer goods,,
consumer services,telecommunications,,
consumer goods,consumer services,,
basic materials,utilities,,
consumer services,utilities,,
health care,utilities,,
consumer goods,utilities,,
consumer goods,financials,,
technology,financials,,
consumer goods,technology,,
industrials,financials,,
consumer goods,consumer services,,
consumer goods,consumer goods,,
technology,consumer goods,,
industrials,consumer goods,,
consumer services,consumer services,,
consumer goods,consumer goods,,
industrials,consumer services,,
consumer goods,consumer goods,,
consumer goods,technology,,
healthcare,consumer services,,
industrials,consumer services,,
consumer services,consumer services,,
consumer goods,consumer services,,
health care,consumer services,,
industrials,technology,,
consumer services,technology,,
consumer goods,consumer services,,
basic materials,industrials,,
consumer goods,industrials,,
industrials,industrials,,
industrials,financials,,
health care,consumer goods,,
health care,industrials,,
health care,financials,,
consumer services,telecommunications,,
consumer services,industrials,,
industrials,health care,,
financials,telecommunications,,
consumer services,consumer services,,
industrials,consumer services,,
basic materials,consumer services,,
consumer goods,consumer services,,
consumer services,technology,,
conglomerates,utilities,,
industrials,consumer services,,
financials,utilities,,
financials,consumer goods,,
consumer goods,consumer services,,
consumer services,technology,,
financials,consumer services,,
industrials,consumer goods,,
telecommunications,financials,,
financials,consumer services,,
industrials,financials,,
industrials,consumer services,,
industrials,consumer services,,
industrials,health care,,
industrials,telecommunications,,
industrials,consumer goods,,
consumer goods,consumer services,,
consumer services,consumer services,,
consumer services,consumer services,,
consumer services,consumer services,,
industrials,consumer services,,
consumer services,consumer services,,
consumer services,consumer services,,
industrials,consumer services,,
industrial,consumer services,,
technology,telecommunications,,
consumer goods,consumer goods,,
industrials,consumer services,,
industrials,conglomerate,,
consumer services,industrials,,
industrials,consumer services,,
industrials,health care,,
technology,financials,,
consumer services,consumer services,,
industrials,consumer services,,
technology,financials,,
technology,telecommunications,,
financials,technology,,
technology,telecommunications,,
consumer services,consumer services,,
financials,industrials,,
consumer goods,industrials,,
consumer goods,utilities,,
consumer services,consumer goods,,
financials,industrials,,
consumer goods,industrials,,
financials,oil & gas,,
industrials,industrials,,
consumer goods,consumer goods,,
telecommunications,consumer services,,
conglomerates,consumer services,,
industrials,consumer goods,,
consumer goods,industrials,,
consumer services,industrials,,
industrials,consumer goods,,
consumer services,consumer goods,,
consumer goods,consumer services,,
consumer services,financials,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
consumer goods,health care,,
consumer goods,oil & gas,,
industrials,utilities,,
technology,industrials,,
financials,consumer goods,,
financials,consumer goods,,
financials,consumer goods,,
consumer services,consumer services,,
financials,consumer goods,,
financials,financials,,
technology,consumer goods,,
consumer goods,consumer goods,,
industrials,consumer services,,
technology,industrials,,
consumer goods,industrials,,
consumer goods,consumer goods,,
financials,consumer goods,,
consumer goods,consumer goods,,
industrials,financials,,
consumer services,financials,,
consumer goods,financials,,
utilities,financials,,
oil & gas,financials,,
utilities,consumer goods,,
health care,consumer goods,,
telecommunications,consumer goods,,
consumer services,industrials,,
nuclear industries,consumer goods,,
telecommunications,industrials,,
consumer services,consumer goods,,
technology,consumer services,,
technology,industrials,,
consumer services,consumer goods,,
health care,consumer goods,,
industrials,consumer goods,,
financials,consumer goods,,
technology,consumer goods,,
consumer services,consumer goods,,
consumer services,consumer goods,,
consumer services,consumer goods,,
consumer services,consumer goods,,
consumer goods,consumer goods,,
industrials,consumer goods,,
telecommunications,consumer goods,,
industrials,consumer services,,
consumer services,consumer goods,,
consumer goods,consumer services,,
industrials,consumer goods,,
health care,consumer goods,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
industrials,consumer goods,,
consumer goods,consumer goods,,
consumer services,industrials,,
consumer goods,consumer goods,,
consumer goods,health care,,
consumer goods,industrials,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
technology,consumer goods,,
industrials,consumer goods,,
industrials,consumer goods,,
industrials,consumer goods,,
consumer goods,consumer goods,,
consumer goods,industrials,,
technology,consumer services,,
consumer goods,consumer goods,,
technology,consumer services,,
consumer goods,consumer goods,,
consumer services,financials,,
industrials,consumer goods,,
health care,consumer goods,,
consumer goods,consumer goods,,
telecommunications,consumer goods,,
nuclear industries,consumer goods,,
consumer goods,consumer goods,,
industrials,consumer goods,,
consumer services,industrials,,
industrials,industrials,,
consumer goods,industrials,,
consumer goods,industrials,,
consumer goods,industrials,,
industrials,industrials,,
technology,consumer services,,
consumer services,consumer goods,,
consumer goods,consumer goods,,
industrials,consumer goods,,
basic materials,health care,,
basic materials,consumer goods,,
industrials,consumer goods,,
technology,consumer goods,,
industrials,consumer services,,
consumer goods,consumer goods,,
health care,consumer goods,,
industrials,consumer goods,,
industrials,industrials,,
consumer services,consumer goods,,
health care,consumer goods,,
telecommunications,consumer services,,
technology,consumer services,,
consumer services,consumer goods,,
industrials,consumer goods,,
consumer goods,consumer services,,
financials,consumer goods,,
industrials,consumer goods,,
technology,consumer goods,,
technology,consumer goods,,
utilities,industrials,,
consumer services,consumer goods,,
industrials,consumer services,,
consumer services,consumer goods,,
industrials,consumer goods,,
industrials,consumer goods,,
oil & gas,consumer goods,,
technology,consumer goods,,
utilities,consumer services,,
industrials,consumer goods,,
consumer services,consumer goods,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
basic materials,consumer goods,,
financials,consumer goods,,
consumer services,industrials,,
consumer services,technology,,
consumer goods,utilities,,
consumer goods,utilities,,
financials,consumer goods,,
technology,consumer goods,,
consumer goods,consumer goods,,
industrials,utilities,,
technology,consumer goods,,
telecommunications,oil & gas,,
industrials,consumer goods,,
consumer goods,consumer goods,,
telecommunications,consumer services,,
consumer services,consumer goods,,
utilities,consumer services,,
consumer services,consumer goods,,
industrials,consumer services,,
consumer goods,consumer goods,,
utilities,consumer goods,,
technology,consumer goods,,
consumer goods,basic materials,,
consumer services,industrials,,
consumer goods,consumer goods,,
financials,consumer goods,,
industrials,consumer goods,,
basic materials,basic materials,,
industrials,consumer services,,
consumer services,consumer goods,,
industrials,consumer goods,,
industrials,consumer goods,,
consumer services,industrials,,
industrials,consumer services,,
consumer goods,consumer goods,,
basic materials,industrials,,
industrials,industrials,,
oil & gas,consumer goods,,
industrials,financials,,
technology,consumer goods,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
consumer goods,industrials,,
financials,consumer goods,,
health care,consumer goods,,
basic materials,consumer goods,,
industrials,consumer goods,,
industrials,consumer goods,,
health care,consumer goods,,
utilities,consumer goods,,
consumer goods,consumer services,,
industrials,consumer goods,,
industrials,consumer goods,,
logistics,consumer goods,,
industrials,consumer services,,
technology,consumer goods,,
consumer goods,consumer goods,,
industrials,consumer goods,,
technology,industrials,,
consumer services,consumer goods,,
financials,consumer goods,,
consumer services,consumer goods,,
industrials,transport & tourism,,
industrials,consumer goods,,
financials,consumer goods,,
technology,basic materials,,
oil & gas,telecommunications,,
industrials,consumer goods,,
consumer services,consumer goods,,
technology,consumer goods,,
basic materials,utilities,,
consumer goods,industrials,,
technology,consumer goods,,
consumer goods,consumer goods,,
basic materials,industrials,,
technology,consumer goods,,
basic materials,consumer goods,,
basic materials,industrials,,
industrials,financials,,
technology,consumer goods,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
industrials,consumer services,,
industrials,industrials,,
consumer services,consumer goods,,
industrials,consumer goods,,
industrials,industrials,,
industrials,consumer goods,,
consumer goods,consumer goods,,
consumer services,consumer goods,,
oil & gas,consumer goods,,
technology,consumer goods,,
telecommunications,consumer services,,
consumer services,consumer goods,,
consumer services,consumer goods,,
industrials,consumer goods,,
technology,consumer goods,,
consumer services,consumer goods,,
utilities,consumer goods,,
utilities,consumer goods,,
industrials,consumer goods,,
utilities,consumer goods,,
consumer services,industrials,,
basic materials,consumer services,,
industrials,consumer goods,,
consumer services,consumer goods,,
technology,consumer goods,,
consumer goods,consumer goods,,
consumer services,consumer goods,,
financials,consumer goods,,
consumer services,consumer goods,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
consumer services,consumer goods,,
oil & gas,consumer goods,,
technology,industrials,,
consumer services,consumer goods,,
logistics,consumer goods,,
consumer services,consumer goods,,
health care,consumer goods,,
consumer goods,consumer goods,,
industrials,consumer goods,,
consumer goods,consumer goods,,
financials,consumer services,,
consumer services,financials,,
consumer services,industrials,,
industrials,health care,,
consumer services,consumer services,,
industrials,consumer goods,,
consumer services,financials,,
consumer services,consumer goods,,
consumer goods,consumer goods,,
telecommunications,consumer goods,,
industrials,consumer goods,,
consumer services,consumer goods,,
consumer services,industrials,,
consumer services,consumer goods,,
oil & gas,consumer goods,,
utilities,consumer goods,,
technology,consumer goods,,
industrials,consumer goods,,
health care,consumer goods,,
consumer services,consumer goods,,
financials,consumer goods,,
health care,consumer goods,,
industrials,consumer goods,,
consumer goods,consumer goods,,
consumer services,consumer goods,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
industrials,consumer goods,,
consumer services,consumer services,,
industrials,industrials,,
industrials,consumer goods,,
consumer goods,consumer goods,,
industrials,consumer goods,,
consumer goods,industrials,,
industrials,financials,,
health care,consumer goods,,
consumer services,industrials,,
industrials,technology,,
consumer goods,consumer goods,,
technology,consumer goods,,
industrials,consumer goods,,
consumer goods,technology,,
industrials,consumer goods,,
industrials,consumer goods,,
industrials,industrials,,
health care,consumer goods,,
industrials,consumer goods,,
consumer goods,consumer goods,,
consumer services,consumer goods,,
financials,consumer services,,
industrials,consumer goods,,
industrials,industrials,,
industrials,consumer goods,,
consumer goods,consumer goods,,
industrials,industrials,,
industrials,consumer goods,,
industrials,industrials,,
consumer goods,industrials,,
consumer services,consumer goods,,
health care,consumer goods,,
industrials,consumer goods,,
consumer services,industrials,,
industrials,consumer goods,,
industrials,consumer goods,,
health care,consumer goods,,
industrials,consumer goods,,
consumer goods,consumer goods,,
basic materials,consumer goods,,
basic materials,consumer services,,
industrials,industrials,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
consumer goods,industrials,,
technology,consumer services,,
industrials,consumer goods,,
consumer services,consumer goods,,
industrials,consumer services,,
consumer services,consumer goods,,
financials,industrials,,
industrials,consumer goods,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
health care,industrials,,
industrials,consumer goods,,
industrials,consumer goods,,
health care,oil & gas,,
industrials,consumer goods,,
conglomerates,industrials,,
industrials,consumer goods,,
consumer services,consumer goods,,
technology,technology,,
conglomerates,industrials,,
technology,technology,,
consumer goods,health care,,
consumer services,industrials,,
consumer services,consumer goods,,
financials,utilities,,
health care,industrials,,
health care,financials,,
financials,consumer goods,,
utilities,industrials,,
consumer services,consumer goods,,
health care,consumer goods,,
health care,technology,,
consumer goods,consumer goods,,
industrials,consumer goods,,
industrials,industrials,,
industrials,conglomerates,,
utilities,consumer goods,,
consumer goods,consumer goods,,
consumer goods,industrials,,
financials,consumer goods,,
industrials,consumer goods,,
financials,consumer goods,,
consumer goods,financials,,
industrials,financials,,
consumer goods,financials,,
health care,consumer goods,,
consumer services,consumer goods,,
technology,consumer goods,,
telecommunications,consumer goods,,
industrials,industrials,,
consumer goods,consumer goods,,
industrials,consumer goods,,
consumer goods,industrials,,
industrials,consumer goods,,
industrials,consumer goods,,
industrials,consumer goods,,
oil & gas,consumer goods,,
health care,industrials,,
health care,consumer goods,,
consumer services,consumer services,,
industrials,industrials,,
consumer services,health care,,
industrials,consumer goods,,
technology,consumer goods,,
consumer services,financials,,
consumer goods,industrials,,
consumer goods,consumer services,,
industrials,industrials,,
financials,industrials,,
industrials,financials,,
industrials,financials,,
telecommunications,consumer services,,
financials,consumer goods,,
telecommunications,financials,,
consumer services,consumer goods,,
industrials,consumer services,,
telecommunications,consumer services,,
consumer services,consumer goods,,
financials,consumer goods,,
consumer goods,technology,,
consumer services,health care,,
consumer goods,industrials,,
consumer goods,telecommunications,,
industrials,consumer goods,,
consumer goods,telecommunications,,
consumer goods,utilities,,
consumer services,telecommunications,,
consumer goods,industrials,,
financials,consumer goods,,
industrials,oil & gas,,
industrials,financials,,
consumer services,logistics,,
industrials,consumer services,,
industrials,financials,,
consumer goods,health care,,
telecommunications,financials,,
basic materials,financials,,
consumer goods,consumer services,,
consumer goods,financials,,
consumer goods,consumer goods,,
consumer goods,consumer services,,
technology,consumer goods,,
consumer goods,technology,,
consumer goods,financials,,
industrials,consumer goods,,
industrials,consumer services,,
telecommunications,consumer goods,,
consumer services,basic materials,,
consumer services,consumer goods,,
industrials,consumer services,,
telecommunications,consumer services,,
consumer goods,industrials,,
basic materials,industrials,,
financials,industrials,,
basic materials,consumer services,,
telecommunications,industrials,,
industrials,consumer goods,,
industrials,consumer services,,
financials,consumer services,,
consumer services,industrials,,
consumer services,industrials,,
consumer services,consumer goods,,
industrials,consumer goods,,
consumer services,utilities,,
consumer services,utilities,,
consumer services,consumer services,,
consumer services,consumer services,,
consumer services,consumer services,,
consumer services,consumer goods,,
technology,consumer goods,,
industrials,telecommunications,,
financials,financials,,
consumer services,consumer services,,
financials,consumer goods,,
consumer services,financials,,
consumer services,financials,,
consumer services,basic materials,,
consumer services,basic materials,,
consumer services,technology,,
financials,financials,,
consumer services,financials,,
technology,financials,,
telecommunications,financials,,
consumer services,financials,,
basic materials,consumer goods,,
technology,consumer services,,
consumer services,industrials,,
consumer services,utilities,,
industrials,financials,,
consumer services,health care,,
financials,industrials,,
consumer services,consumer services,,
consumer services,financials,,
telecommunications,consumer services,,
consumer services,financials,,
utilities,conglomerates,,
consumer services,financials,,
utilities,consumer goods,,
utilities,financials,,
consumer services,financials,,
consumer services,consumer services,,
consumer services,consumer services,,
industrials,consumer goods,,
financials,consumer services,,
financials,consumer services,,
financials,financials,,
financials,financials,,
consumer goods,consumer services,,
consumer services,consumer goods,,
consumer goods,financials,,
financials,telecommunications,,
industrials,consumer services,,
health care,industrials,,
consumer services,financials,,
consumer services,industrials,,
consumer services,consumer services,,
consumer services,consumer services,,
consumer services,telecommunications,,
consumer services,financials,,
consumer services,industrials,,
consumer services,consumer services,,
consumer services,consumer services,,
oil & gas,consumer services,,
financials,consumer services,,
industrials,industrials,,
telecommunications,consumer services,,
financials,financials,,
basic materials,financials,,
consumer services,financials,,
telecommunications,consumer goods,,
consumer services,telecommunications,,
technology,financials,,
technology,financials,,
technology,industrials,,
consumer services,consumer services,,
consumer services,consumer services,,
financials,telecommunications,,
consumer services,consumer services,,
consumer services,consumer services,,
technology,consumer services,,
consumer services,consumer goods,,
technology,consumer services,,
industrials,telecommunications,,
industrials,industrials,,
telecommunications,transport,,
oil & gas,financials,,
consumer services,financials,,
consumer goods,consumer goods,,
consumer goods,financials,,
consumer services,consumer services,,
consumer goods,basic materials,,
industrials,consumer goods,,
consumer goods,industrials,,
health care,consumer goods,,
industrials,industrials,,
telecommunications,industrials,,
industrials,financials,,
consumer goods,financials,,
consumer goods,consumer services,,
consumer goods,consumer goods,,
consumer services,consumer goods,,
consumer services,consumer services,,
financials,technology,,
consumer services,consumer services,,
financials,technology,,
consumer services,real estate,,
industrials,industrials,,
technology,consumer services,,
industrials,consumer goods,,
industrials,industrials,,
consumer services,industrials,,
industrials,consumer goods,,
industrials,consumer goods,,
industrials,health care,,
telecommunications,technology,,
consumer services,consumer services,,
consumer goods,consumer services,,
consumer goods,technology,,
technology,financials,,
consumer services,consumer goods,,
consumer services,industrials,,
industrials,consumer goods,,
utilities,oil & gas,,
industrials,industrials,,
financials,consumer goods,,
industrials,technology,,
telecommunications,consumer goods,,
industrials,oil & gas,,
technology,consumer goods,,
oil & gas,consumer goods,,
technology,technology,,
industrials,consumer services,,
industrials,consumer services,,
technology,industrials,,
consumer services,consumer services,,
oil & gas,financials,,
industrials,technology,,
consumer goods,telecommunications,,
consumer services,consumer goods,,
consumer goods,technology,,
consumer goods,consumer services,,
consumer goods,industrials,,
industrials,telecommunications,,
industrials,consumer goods,,
consumer services,consumer services,,
industrials,utilities,,
consumer goods,consumer goods,,
consumer goods,consumer services,,
industrials,industrials,,
consumer services,consumer goods,,
consumer services,consumer goods,,
consumer services,utilities,,
technology,technology,,
basic materials,technology,,
consumer goods,consumer goods,,
utilities,consumer goods,,
health care,industrials,,
industrials,technology,,
consumer goods,consumer services,,
financials,financials,,
financials,industrials,,
consumer goods,industrials,,
industrials,industrials,,
consumer services,industrials,,
consumer goods,industrials,,
financials,industrials,,
consumer services,oil & gas,,
industrials,consumer goods,,
telecommunications,industrials,,
consumer goods,consumer goods,,
consumer services,consumer goods,,
industrials,industrials,,
industrials,consumer services,,
consumer services,telecommunications,,
industrials,telecommunications,,
industrials,industrials,,
consumer goods,industrials,,
consumer goods,industrials,,
consumer services,technology,,
financials,consumer goods,,
financials,consumer services,,
consumer goods,financials,,
industrials,technology,,
consumer services,consumer services,,
consumer goods,consumer goods,,
industrials,industrials,,
industrials,consumer goods,,
basic materials,industrials,,
consumer goods,telecommunications,,
consumer services,consumer services,,
industrials,energy,,
consumer services,telecommunications,,
consumer services,industrials,,
consumer services,industrials,,
technology,consumer goods,,
telecommunications,technology,,
consumer services,industrials,,
financials,consumer goods,,
consumer services,technology,,
financials,consumer goods,,
oil & gas,basic materials,,
financials,consumer goods and services,,
financials,consumer services,,
industrials,financials,,
industrials,consumer goods,,
consumer goods,technology,,
industrials,financials,,
financials,financials,,
conglomerates,consumer goods,,
consumer services,basic materials,,
basic materials,consumer services,,
consumer services,consumer goods,,
financials,basic materials,,
financials,basic materials,,
consumer services,automotive industry,,
consumer services,technology,,
consumer services,consumer goods,,
consumer services,consumer goods,,
consumer services,technology,,
financials,chemical industry,,
financials,technology,,
technology,consumer services,,
consumer services,consumer products,,
consumer services,consumer goods,,
financials,industrials,,
consumer goods,utilities,,
consumer goods,technology,,
consumer services,consumer services,,
industrials,industrials,,
basic materials,consumer goods,,
consumer services,consumer goods,,
consumer goods,industrials,,
telecommunications,industrials,,
conglomerates,basic materials,,
industrials,utilities,,
oil & gas,basic materials,,
utilities,chemical industry,,
telecommunications,oil & gas,,
technology,basic materials,,
technology,basic materials,,
oil & gas,consumer goods,,
oil & gas,financials,,
consumer goods,consumer goods,,
basic materials,consumer services,,
consumer services,consumer services,,
financials,consumer services,,
consumer goods,basic materials,,
consumer services,industrials,,
telecommunications,basic materials,,
industrials,consumer services,,
financials,basic materials,,
financials,consumer goods,,
financials,basic materials,,
financials,consumer goods,,
industrials,industrials,,
consumer goods,technology,,
telecommunications,consumer services,,
industrials,consumer services,,
consumer services,food,,
health care,consumer services,,
conglomerates,telecommunications,,
industrials,consumer goods,,
financials,technology,,
financials,telecommunications,,
technology,industrials,,
industrials,oil & gas,,
technology,oil & gas,,
consumer goods,telecommunications,,
consumer goods,telecommunications,,
utilities,consumer services,,
utilities,consumer services,,
industrials,industrials,,
consumer goods,consumer services,,
consumer goods,utilities,,
industrials,industrials,,
technology,financials,,
industrials,financials,,
consumer goods,consumer goods,,
financials,consumer services,,
basic materials,consumer services,,
consumer services,utilities,,
financials,food products,,
industrials,technology,,
consumer services,consumer services,,
financials,industrials,,
basic materials,technology,,
basic materials,industrials,,
consumer goods,consumer services,,
consumer goods,telecommunications,,
industrials,consumer services,,
financials,consumer services,,
consumer services,consumer services,,
industrials,consumer goods,,
consumer goods,automotive inductry,,
consumer services,consumer goods,,
basic materials,consumer services,,
consumer goods,automotive industry,,
industrials,consumer services,,
consumer services,industrials,,
consumer goods,consumer goods,,
consumer goods,consumer goods,,
financials,basic materials,,
consumer goods,industrials,,
health care,financials,,
technology,health care,,
technology,financials,,
oil and gas,consumer services,,
basic materials,consumer goods,,
financials,technology,,
consumer goods,wine making,,
consumer services,technology,,
industrials,industrials,,
consumer goods,consumer goods,,
technology,consumer services,,
consumer goods,consumer services,,
health care,consumer goods,,
industrials,consumer services,,
health care,basic materials,,
industrials,technology,,
industrials,industrials,,
financials,consumer goods,,
financials,industrials,,
consumer services,utilities,,
technology,industrials,,
consumer goods,utilities,,
consumer services,technology,,
technology,conglomerates,,
technology,industrials,,
basic materials,consumer services,,
consumer goods,consumer services,,
industrials,consumer goods,,
consumer services,industrials,,
industrials,industrials,,
basic materials,consumer services,,
technology,health care,,
consumer services,telecommunications,,
telecommunications,financials,,
telecommunications,industrials,,
financials,technology,,
basic materials,telecommunications,,
financials,technology,,
consumer goods,financials,,
consumer goods,consumer services,,
consumer goods,consumer services,,
consumer goods,telecommunications,,
industrials,technology,,
financials,consumer services,,
basic materials,utilities,,
basic materials,basic materials,,
consumer goods,telecommunications,,
telecommunications,industrials,,
industrials,industrials,,
industrials,industrials,,
consumer services,consumer services,,
health care,industrials,,
health care,conglomerates,,
industrials,consumer goods,,
industrials,consumer goods,,
consumer services,consumer goods,,
health care,consumer services,,
consumer services,consumer services,,
basic materials,basic materials,,
industrials,financials,,
basic materials,consumer services,,
industrials,industrials,,
industrials,consumer goods,,
financials,technology,,
consumer goods,conglomerates,,
industrials,consumer goods,,
industrials,consumer services,,
consumer services,consumer services,,
consumer goods,health care,,
financials,consumer goods,,
