address_name,city,country,name,location_type,postalcode,state,trade_name
via fratelli d'italia 12,busto arsizio,italy,comune di busto arsizio,headquarter,21052,italy,
516 high st,bellingham,united states,western washington university,headquarter,982255996,washington(wa),
45 colbourne avenue nelson park,cramlington,united kingdom,enerpac energy limited,headquarter,              ne23 1wd,united kingdom,
via enrico cialdini 16,milano,italy,livanova plc,headquarter,20161,italy,
3605 warrensville ctr rd,shaker heights,united states,"university hospitals health system, inc.",headquarter,441225203,ohio(oh),UNIVERSITY HOSPITALS
colbourne avenue nelson park,cramlington,united kingdom,enerpac uk ltd,headquarter,              ne23 1wd,united kingdom,
via di sottoripa 1/a 112,genova (x piano ),italy,lloyd's register emea,headquarter,16124,italy,
1500 e medical center dr,ann arbor,united states,university of michigan health system,headquarter,481095000,michigan(mi),MICHIGAN MEDICINE
"unit 28 xscape, colorado way",castleford,united kingdom,gravity fitness (wandsworth) limited,single address,              wf10 4ta,united kingdom,
via edwin powell hubble 2/4,offanengo,italy,chromavis spa,headquarter,26010,italy,
2925 chicago ave,minneapolis,united states,allina health system,headquarter,554071321,minnesota(mn),ALLINA HEALTH
"3 floor f.a.o. barbara abraham building 1, chiswick park, 566 chiswick high road",london,united kingdom,red bee media limited,headquarter,              w4 5be,united kingdom,
via paracelso 22,agrate brianza,italy,ltxcredence italia srl,headquarter,20864,italy,
343 thornall st,edison,united states,"hackensack meridian health, inc.",headquarter,88372209,new jersey(nj),
1 television centre 101 wood lane,london,united kingdom,bbc studios distribution limited,headquarter,              w12 7fa,united kingdom,
via enrico fermi 7,san bonifacio,italy,pedrollo group srl,headquarter,37047,italy,
2301 erwin rd,durham,united states,"duke university health system, inc.",headquarter,277054699,north carolina(nc),
white city broadcast centre 201 wood lane,london,united kingdom,bbc studios limited,headquarter,              w12 7ts,united kingdom,
via matteo civitali 1,milano,italy,recordati industria chimica e farmaceutica spa in breve recordati spa,headquarter,20148,italy,
5 mobile infirmary cir,mobile,united states,"infirmary health system, inc.",headquarter,366073513,alabama(al),
44 brook green,london,united kingdom,our media limited,headquarter,              w6 7bt,united kingdom,
viale della bella villa 220/222,roma,italy,mer mec ste srl,headquarter,172,italy,
9500 euclid ave,cleveland,united states,"cleveland clinic foundation, the",headquarter,441950002,ohio(oh),
10 fenchurch avenue,london,united kingdom,m & g group limited,headquarter,              ec3m 5ag,united kingdom,
via alessandro volta 6,limena,italy,compar spa,headquarter,35010,italy,
605 3rd ave fl 43,new york,united states,global x management company llc,headquarter,101580180,new york(ny),GLOBAL X FUNDS
"building 5 chiswick park, 566 chiswick high road",london,united kingdom,paramount pictures international limited,headquarter,              w4 5yf,united kingdom,
via giovanni battista pirelli 30,milano,italy,valuement group srl,headquarter,20124,italy,
24305 town ctr dr,santa clarita,united states,"princess cruise lines, ltd.",headquarter,913551307,california(ca),PRINCESS CRUISES
the castell building 217 kingsbury road,london,united kingdom,castell safety international limited,headquarter,              nw9 9pq,united kingdom,
via bellaria 3/5,san lazzaro di savena,italy,furla spa,headquarter,40068,italy,
350 hudson st,new york,united states,"medidata solutions, inc.",headquarter,100144504,new york(ny),MEDIDATA
"building 2 elmdon trading estate, bickenhill lane",solihull,united kingdom,international automotive components group limited,headquarter,              b37 7he,united kingdom,
via alessandro manzoni 9,milano,italy,cordusio societa' fiduciaria per azioni in forma abbreviato cordusio fiduciaria spa,headquarter,20121,italy,
2500 citywest blvd ste 100,houston,united states,sabic innovative plastics us llc,headquarter,770423038,texas(tx),SABIC
honeywell house skimped hill lane,bracknell,united kingdom,honeywell safety products international ltd.,headquarter,              rg12 1eb,united kingdom,
via pietro paleocapa 7,milano,italy,manuli rubber industries spa,headquarter,20121,italy,
1320 ridder park dr,san jose,united states,lsi corporation,headquarter,951312313,california(ca),BROADCOM
211c old street the bower,london,united kingdom,farfetch uk limited,,              ec1v 9nr,united kingdom,FARFETCH
via roberto lepetit 8/10,milano,italy,ow italy srl,single address,20124,italy,
200 e randolph st ste 2500 fl 25,chicago,united states,"thoughtworks, inc.",headquarter,606016501,illinois(il),
"unit 3.09, the tea building 56 shoreditch high street",london,united kingdom,fetch media limited,headquarter,              e1 6jj,united kingdom,
via alberico albricci 8,milano,italy,lvmh watch & jewelry italy spa,headquarter,20122,italy,
150 4th ave n ste 1200,nashville,united states,"transcore partners, llc",headquarter,372192433,tennessee(tn),
25 canada square,london,united kingdom,fis capital markets uk limited,headquarter,              e14 5lq,united kingdom,
largo augusto 8,milano,italy,lvmh italia spa,headquarter,20122,italy,
111 8th ave,new york,united states,"msref real estate advisor, inc.",single address,100115201,new york(ny),
maybrook house queens gardens,dover,united kingdom,coyote logistics uk limited,headquarter,              ct17 9ah,united kingdom,
via giorgione 106,roma,italy,agenzia delle entrate,headquarter,147,italy,
88 pine st ste 3100,new york,united states,"royal & sun alliance insurance agency, inc",headquarter,100051805,new york(ny),
e p s industrial estate appletree road chipping warden,banbury,united kingdom,ontime automotive limited,headquarter,              ox17 1ll,united kingdom,
via guglielmo marconi 18,varano de' melegari,italy,fabbrica dallara srl,headquarter,43040,italy,
114 tived ln e,edison,united states,"c&a marketing, inc.",headquarter,88373076,new jersey(nj),WOLF CAMERA
fir street,manchester,united kingdom,russell hobbs limited,headquarter,              m35 0hs,united kingdom,
piazzale dell'agricoltura 24,roma,italy,engineering - ingegneria informatica spa,headquarter,144,italy,
121 herrod blvd,dayton,united states,"somfy systems, inc.",headquarter,88101529,new jersey(nj),
regent mill,manchester,united kingdom,spectrum brands (uk) limited,,              m35 0hs,united kingdom,RAYOVAC  GEORGE FOREMAN RUSSELL HOBBS
via bettino ricasoli 60,siena,italy,consorzio operativo gruppo montepaschi scpa,headquarter,53100,italy,
1 lincoln st,boston,united states,"state street global advisors, inc.",headquarter,21112900,massachusetts(ma),
the granary 1 downs court,maidstone,united kingdom,maviga limited,headquarter,              me18 6al,united kingdom,
corso europa 597,volpiano,italy,coral spa centro operativo risanamento ambientale,single address,10088,italy,
1 iron st,boston,united states,state street global advisors trust company,single address,22101641,massachusetts(ma),
11-15 seaton place st helier,jersey,united kingdom,hbg limited,headquarter,              je4 0qh,united kingdom,
via canalino 16,modena,italy,iris ceramica group spa,headquarter,41121,italy,
800 nicollet mall ste 900,minneapolis,united states,piper sandler & co.,headquarter,554022553,minnesota(mn),
9-11 new square bedfont lakes,feltham,united kingdom,cisco international limited,,              tw14 8ha,united kingdom,CISCO
localita\' campagnole 1,avio (borghetto all\'adige ),italy,bertagni 1882 spa,headquarter,38063,italy,
114 w 47th st fl 26,new york,united states,"ifm investors (us), llc",single address,100361511,new york(ny),
st. andrews house portsmouth road,esher,united kingdom,keltbray limited,headquarter,              kt10 9ta,united kingdom,
santa marta fabbricato 17,venezia,italy,marsilio arte srl,headquarter,30123,italy,
1200 john q hammns dr ste 100,madison,united states,anderson shapiro eye surgeons s c,headquarter,537171967,wisconsin(wi),
st andrews house portsmouth road,esher,united kingdom,keltbray environmental materials management limited,single address,              kt10 9ta,united kingdom,
via castelliere 2,mereto di tomba,italy,biofarma srl,headquarter,33036,italy,
50 fremont st ste 300,san francisco,united states,"mulesoft, inc.",single address,941052231,california(ca),
st. andrews house portsmouth road,esher,united kingdom,keltbray group (holdings) limited,,              kt10 9ta,united kingdom,KELTBRAY
via carpi 26/b,correggio,italy,spal automotive srl,headquarter,42015,italy,
415 mission st,san francisco,united states,"mulesoft, llc",single address,941052533,california(ca),
st andrew?s house portsmouth road,esher,united kingdom,keltbray built environment limited,,              kt10 9ta,united kingdom,KELTBRAY
viale tunisia 4,milano,italy,mondora srl societa' benefit,single address,20124,italy,
31500 solon rd ohio,solon,united states,saint-gobain performance plastics corporation,headquarter,441393528,ohio(oh),SAINT-GOBAIN
26 new street st helier,jersey,united kingdom,ocorian limited,headquarter,              je2 3ra,united kingdom,
largo ugo irneri 1,trieste,italy,allianz bank financial advisors spa,headquarter,34123,italy,
19601 n 27th ave,phoenix,united states,petsmart llc,headquarter,850274010,arizona(az),PETSMART RISK MANAGEMENT
wavin edlington lane edlington,doncaster,united kingdom,wavin limited,headquarter,              dn12 1by,united kingdom,
via abbate tommaso 72 a/5,quarto d'altino,italy,angeloni group srl,headquarter,30020,italy,
2040 n lincoln st,burbank,united states,"california ram, inc.",single address,915043333,california(ca),REYNOLDS ADVANCED MATERIALS
102 dalton avenue birchwood,warrington,united kingdom,sunbelt rentals limited,headquarter,              wa3 6ye,united kingdom,
via torino 61,milano,italy,altesse srl,single address,20123,italy,
13530 dulles technology dr ste 500,herndon,united states,"constellis holdings, llc",headquarter,201714642,virginia(va),
"ashtead house discovery drive, arnhall business park",westhill,united kingdom,ashtead technology limited,headquarter,              ab32 6fg,united kingdom,
via trattati comunitari europei 1957 2007 57/07 9,bologna,italy,ceam costruzioni elettromeccaniche ascensori e montacarichi srl,headquarter,40127,italy,
13530 dulles technology dr ste 500,herndon,united states,"constellis, llc",headquarter,201714642,virginia(va),
100 cheapside,london,united kingdom,ashtead group public limited company,headquarter,              ec2v 6dt,united kingdom,
via giovanni battista pirelli 19,milano,italy,bolton manitoba spa,headquarter,20124,italy,
1 state farm plz,bloomington,united states,state farm mutual automobile insurance company,headquarter,617100001,illinois(il),
100 cheapside,london,united kingdom,ashtead financing limited,headquarter,              ec2v 6dt,united kingdom,
viale monte grappa 3/5,milano,italy,amazon web services emea sarl,headquarter,20124,italy,
7919 st andrews ave,san diego,united states,"performance plastics, inc.",single address,921548224,california(ca),
84 market place,romford,united kingdom,land finance & mortgage corporation limited(the),single address,              rm1 3je,united kingdom,
piazza walther von der vogelweide 8,bolzano (studio roedl&partner ),italy,vetralla srl,single address,39100,italy,
600 s airport rd,mansfield,united states,"gorman-rupp company, the",headquarter,449037831,ohio(oh),
"unit 32 deluxe house, perivale park horsenden lane south, perivale",greenford,united kingdom,deluxe media europe ltd,headquarter,              ub6 7rh,united kingdom,
via giosue' carducci 31,milano,italy,invibes italy srl,headquarter,20123,italy,
1505 s pavilion ctr dr,las vegas,united states,np durango llc,single address,891351403,nevada(nv),
"purton treatment works riddle street, purton",berkeley,united kingdom,purton carbons limited,single address,              gl13 9hn,united kingdom,
via carlo goldoni 10,milano,italy,dolce & gabbana srl,headquarter,20129,italy,
1056 s governors ave,dover,united states,"developmental disabilities services, delaware division of",headquarter,199046920,delaware(de),
16 beecham court,wigan,united kingdom,carbon link limited,,              wn3 6pr,united kingdom,C P L Activated Carbons
via massimo inghirami 1/3,sansepolcro,italy,in.pro.di inghirami produzione distribuzione spa,headquarter,52037,italy,
47 discovery ste 250,irvine,united states,"pro-pipe, inc.",headquarter,926183206,california(ca),
newbold road,rugby,united kingdom,ge power uk,,              cv21 2nh,united kingdom,ALSTOM POWER AUTOMATION AND CONTROLS (PAC)
corso di porta romana 3,milano,italy,finanziaria inghirami srl,headquarter,20122,italy,
6255 sunset blvd ste 19,los angeles,united states,"national research group, inc.",single address,900287420,california(ca),
wrest park silsoe,bedford,united kingdom,the automated technology group limited,,              mk45 4hs,united kingdom,Wood Automation And Control
via amedei 15,milano,italy,fis sg italia srl,single address,20123,italy,
2650 mccormick dr,clearwater,united states,"amerilife group, llc",headquarter,337591005,florida(fl),
80 new bond street,london,united kingdom,hilco capital limited,headquarter,              w1s 1sb,united kingdom,
via luigi rizzo 20,roma,italy,grape hospitality rome vatican srl,single address,136,italy,
3200 lionshead ave ste 100,carlsbad,united states,"sound technologies, inc.",single address,920104712,california(ca),
old anglo house mitton street,stourport-on-severn,united kingdom,eisl uk ltd,single address,              dy13 9aq,united kingdom,
via fontanella 11,camisano,italy,poli costruzione materiali trazione srl,headquarter,26010,italy,
1716 locust st,des moines,united states,"hawkeye acquisition, inc.",headquarter,503093038,iowa(ia),MEREDITH
20 fenchurch street,london,united kingdom,tokio marine kiln insurance limited,headquarter,              ec3m 3by,united kingdom,
viale ita marzotto 8,fossalta di portogruaro,italy,zignago vetro spa,headquarter,30025,italy,
5885 hollis st ste 100,emeryville,united states,"amyris, inc.",headquarter,946082405,california(ca),
birchin court 20 birchin lane,london,united kingdom,tenecom limited,headquarter,              ec3v 9du,united kingdom,
piazza nogara 2,verona,italy,banco bpm spa,headquarter,37121,italy,
30 e broad st,columbus,united states,"administrative services, ohio department of",headquarter,432153414,ohio(oh),
aldine house 142 144 uxbridge road,london,united kingdom,bpp international limited,headquarter,              w12 8aa,united kingdom,
via negroli 35,milano,italy,d link mediterraneo srl,headquarter,20133,italy,
801 w madison st,waterloo,united states,trek bicycle corporation,headquarter,535941379,wisconsin(wi),
aldine house 142-144 uxbridge road,london,united kingdom,bpp holdings limited,headquarter,              w12 8aa,united kingdom,
corso duca degli abruzzi 24,torino,italy,politecnico di torino,headquarter,10129,italy,
579 s chipeta way,salt lake city,united states,"actavis laboratories ut, inc.",single address,841081222,utah(ut),
desford road enderby,leicester,united kingdom,next retail limited,,              le19 4at,united kingdom,Aubin
via comonte 15,seriate,italy,serioplast global services spa,headquarter,24068,italy,
900 hope way,altamonte springs,united states,"adventist health system/sunbelt, inc.",headquarter,327141502,florida(fl),ADVENTHEALTH
new mills,wotton-under-edge,united kingdom,renishaw p l c,headquarter,              gl12 8jr,united kingdom,
frazione valcozzena 10,agordo,italy,rayban air,headquarter,32021,italy,
900 hope way,altamonte springs,united states,adventist health system sunbelt healthcare corporation,headquarter,327141502,florida(fl),ADVENTHEALTH
"unit 5 ansty park pilot way, ansty",coventry,united kingdom,dunlop aerospace group limited,headquarter,              cv7 9ju,united kingdom,
via spluga 52,cantu',italy,total solution interiors srl,headquarter,22063,italy,
100 fairway ct,northvale,united states,"gea mechanical equipment us, inc.",headquarter,76472401,new jersey(nj),
harston mill harston,cambridge,united kingdom,science group plc,headquarter,              cb22 7gg,united kingdom,
via monteveglio 61,valsamoggia (bazzano ),italy,spt srl,headquarter,40053,italy,
1601 lyndon b johnson fwy,dallas,united states,celanese holdings llc,headquarter,752346512,texas(tx),
97 jubilee avenue milton,abingdon,united kingdom,ansys uk limited,headquarter,              ox14 4rw,united kingdom,
via mare adriatico 122,spoltore,italy,fater spa,,65010,italy,ACE
222 las colinas blvd w ste 900n,irving,united states,celanese international corporation,single address,750395467,texas(tx),
"top floor linkline house, 65 church road",hove,united kingdom,ski france limited,headquarter,              bn3 6bd,united kingdom,
via biagio petrocelli 228,roma,italy,fine food group spa,headquarter,173,italy,
222 w las colinas blvd ste 900n,irving,united states,celanese ltd.,headquarter,750395467,texas(tx),
48 bathurst mews,london,united kingdom,ski france premium chalets limited,single address,              w2 2sb,united kingdom,
viale america 351,roma,italy,mediocredito centrale banca del mezzogiorno spa,headquarter,144,italy,
222 w las colinas blvd ste 900n,irving,united states,celanese corporation,headquarter,750395467,texas(tx),
exhibition house addison bridge place,london,united kingdom,closerstill cloud expo europe france limited,single address,              w14 8xp,united kingdom,
piazzale konrad adenauer 3,roma,italy,digitalgo spa,headquarter,144,italy,
1900 l don dodson drive,bedford,united states,united specialty insurance company,single address,760218222,texas(tx),
c51 barwell business park leatherhead road,chessington,united kingdom,fujikura europe limited,headquarter,              kt9 2ny,united kingdom,
via antonio pigafetta 3,bassano del grappa,italy,pengo spa,headquarter,36061,italy,
30 rockefeller plz 57th floor,new york,united states,lazard asset management llc,headquarter,101120015,new york(ny),
1 godwin street,bradford,united kingdom,provident personal credit limited,,              bd1 2su,united kingdom,GLO
via del bastion 49 int 4,bassano del grappa,italy,finpengo spa,headquarter,36061,italy,
1441 e 17th st rank_a,santa ana,united states,"hull & company, inc.",single address,927058505,california(ca),
floor 27 25 canada square,london,united kingdom,pays services uk limited,headquarter,              e14 5lq,united kingdom,
via per gattinara 17,castelletto cervo,italy,mondoffice srl,headquarter,13851,italy,
14805 49th st n,clearwater,united states,"new nautical coatings, inc.",headquarter,337622809,florida(fl),
90 union street,london,united kingdom,solar century holdings limited,headquarter,              se1 0nw,united kingdom,
piazzale luigi cadorna 5,milano,italy,edizioni conde' nast spa,headquarter,20123,italy,
354 oyster point blvd,south san francisco,united states,"stripe, inc.",headquarter,940801912,california(ca),
the interchange oval road,london,united kingdom,associated press limited(the),headquarter,              nw1 7dz,united kingdom,
via delle azalee 6,buccinasco,italy,rhenus logistics spa,headquarter,20090,italy,
354 oyster point blvd,south san francisco,united states,"stripe heavy industries, inc.",headquarter,940801912,california(ca),STRIPE
"unit 4 ebbsfleet business park, northfleet",gravesend,united kingdom,bouygues energies & services,single address,              da11 9dz,united kingdom,
strada provinciale cellole piedimonte sn,sessa aurunca,italy,boston tapes spa,headquarter,81037,italy,
1 liberty plz fl 8,new york,united states,"insider, inc.",headquarter,100061431,new york(ny),
25 fenchurch avenue,london,united kingdom,kennedys law llp,,              ec3m 5ad,united kingdom,Kennedys
via giovanni spadolini 12,novate milanese,italy,db cargo italy srl,headquarter,20026,italy,
401 k st,san diego,united states,"lho san diego one lessee, inc.",single address,921016929,california(ca),
gunnels wood road,stevenage,united kingdom,airbus defence and space limited,headquarter,              sg1 2as,united kingdom,
viale luigi borri 231,varese (bizzozzero ),italy,bticino spa,headquarter,21100,italy,
103 foulk rd,wilmington,united states,"atlas management, inc.",headquarter,198033742,delaware(de),
350 longwater avenue green park,reading,united kingdom,thales alenia space uk limited,headquarter,              rg2 6gf,united kingdom,
piazzale carlo magno 1,milano,italy,fiera milano congressi spa,headquarter,20149,italy,
200 continental dr ste 401,newark,united states,hq global workplaces llc,single address,197134337,delaware(de),
polaris house north star avenue,swindon,united kingdom,uk space agency,single address,              sn2 1sz,united kingdom,
largo domodossola 1,milano,italy,ente autonomo fiera internazionale di milano,,20145,italy,FIERA DI MILANO
3350 riverwood pkwy 1100,atlanta,united states,"swett & crawford of georgia, inc.",headquarter,303393335,georgia(ga),
45 gresham street,london,united kingdom,25 moorgate limited,,              ec2v 7bg,united kingdom,Smith & Williamson
via fratelli ceirano 3/a,cuneo,italy,asics italia srl,headquarter,12100,italy,
20271 goldenrod ln,germantown,united states,orgenesis maryland inc,headquarter,208764064,maryland(md),
14 st. george street,london,united kingdom,trafigura limited,headquarter,              w1s 1fe,united kingdom,
via roberto bracco 6,milano,italy,h.m.c. italia srl,single address,20159,italy,
44831 n cedar ave,lancaster,united states,"s.e. acquisition of lancaster, california, inc.",headquarter,935343212,california(ca),
plantation place 30 fenchurch street,london,united kingdom,qbe underwriting limited,headquarter,              ec3m 3bd,united kingdom,
via fabio filzi 29,milano,italy,chubb european group se,headquarter,20124,italy,
10 riverview dr,danbury,united states,linde gas & equipment inc.,headquarter,68106268,connecticut(ct),
"unit 1a, howe moss drive, kirkhill industrial estate dyce",aberdeen,united kingdom,unique system (uk) limited,headquarter,              ab21 0gl,united kingdom,
via cerchiara 125,roma,italy,bombardier transportation italy spa,headquarter,131,italy,
125 w 55th st,new york,united states,macquarie inc.,headquarter,100195369,new york(ny),MACQUIRE GROUP LIMITED
first floor 107 station street,burton-on-trent,united kingdom,inspired gaming (uk) limited,,              de14 1sz,united kingdom,INSPIRED
via domenico cimarosa 4,milano,italy,la international cooperation srl,headquarter,20144,italy,
250 vesey st fl 11,new york,united states,brookfield office properties inc,headquarter,102811065,new york(ny),
camp hill,birmingham,united kingdom,dowding and mills limited,headquarter,              b12 0jj,united kingdom,
via filippo caruso 23,roma,italy,octorate srl,single address,173,italy,
1395 nw 167th st,miami gardens,united states,"pmr illinois holding, llc",headquarter,331695710,florida(fl),
bridge road long sutton,spalding,united kingdom,centura foods limited,headquarter,              pe12 9eq,united kingdom,
via baldanzese 17,calenzano,italy,el.en. spa,headquarter,50041,italy,
555 maryville university dr ste 400,saint louis,united states,"huttig building products, inc.",headquarter,631415805,missouri(mo),
804-834 bath road,hounslow,united kingdom,hotel co 51 uk limited,single address,              tw5 9uh,united kingdom,
loc. olivola via e. ferrari snc,benevento,italy,hanon systems italia benevento srl,single address,82100,italy,
10920  s state st,sandy,united states,"mark miller subaru south towne, llc",headquarter,840704101,utah(ut),
"newcastle house albany court, newcastle business park",newcastle-upon-tyne,united kingdom,first complete limited,,              ne4 7yb,united kingdom,Haven Insurance Specialists
piazza sallustio 9,roma,italy,yoroi srl,headquarter,187,italy,
9350 s 150 e ste 1000,sandy,united states,"landcar management, ltd.",headquarter,840702721,utah(ut),
20 fenchurch street,london,united kingdom,ascot insurance services limited,single address,              ec3m 3by,united kingdom,
viale industria 69,bottanuco,italy,albea cosmetics italy srl,headquarter,24040,italy,
974 centre rd bdg 730,wilmington,united states,"nutrition & biosciences, inc.",single address,198051269,delaware(de),
20 fenchurch street,london,united kingdom,ascot insurance holdings limited,single address,              ec3m 3by,united kingdom,
strada statale per alessandria 9/a,tortona,italy,albea tubes italy srl,headquarter,15057,italy,
1390 jaycox rd,avon,united states,"barentz north america, llc",headquarter,440111317,ohio(oh),
"forum 4 parkway, whiteley",fareham,united kingdom,evidence topco limited,headquarter,              po15 7ad,united kingdom,
via umberto ii 5,carmagnola,italy,teksid spa,headquarter,10022,italy,
201 s union st ste 300,montgomery,united states,"criminal justice information center, alabama",single address,361044369,alabama(al),
the exchange 62 market street,aberdeen,united kingdom,solstad offshore uk limited,headquarter,              ab11 5pj,united kingdom,
via dell'arcoveggio 74,bologna,italy,alsa srl,headquarter,40129,italy,
2722 michelson dr ste 100,irvine,united states,"interactive media holdings, inc.",headquarter,926128905,california(ca),
20 fison way,thetford,united kingdom,mtce limited,single address,              ip24 1hj,united kingdom,
via valpantena 18/g,verona (quinto ),italy,a.i.a. agricola italiana alimentare spa,,37142,italy,AEQUILIBRIUM
2722 michelson dr ste 100,irvine,united states,viant technology llc,headquarter,926128905,california(ca),
4385,cardiff,united kingdom,dealab group limited,headquarter,              cf14 8lh,united kingdom,
viale castello della magliana 27,roma,italy,kt - kinetics technology spa,headquarter,148,italy,
2625 bay area blvd ste 600,houston,united states,"kuraray holdings u.s.a., inc.",headquarter,770581525,texas(tx),
4385,cardiff,united kingdom,dealab capital management limited,headquarter,              cf14 8lh,united kingdom,
via gaetano de castillia 6/a,milano,italy,tecnimont spa,headquarter,20124,italy,
2300 n st nw ste 500,washington,united states,"everfi, inc.",headquarter,200371122,district of columbia(dc),
fort dunlop suite 206 fort parkway,birmingham,united kingdom,bureau veritas uk limited,headquarter,              b24 9fd,united kingdom,
via gaetano de castillia 6/a,milano,italy,maire tecnimont spa,headquarter,20124,italy,
1633 bdwy fl 48,new york,united states,"new mountain capital, l.l.c.",headquarter,100196771,new york(ny),
bedford house 69-79 fulham high street,london,united kingdom,clarion events group limited,headquarter,              sw6 3jw,united kingdom,
via canton 11,ronco all'adige,italy,paybyphone italia srl,single address,37055,italy,
80 pine st,new york,united states,"infopro digital, inc.",single address,100051742,new york(ny),
10th floor 123 victoria street,london,united kingdom,pride topco limited,single address,              sw1e 6de,united kingdom,
viale vicenza 14,marostica,italy,viaro srl,headquarter,36063,italy,
55 broad st,new york,united states,infopro digital usa llc,headquarter,100042511,new york(ny),
the hkx building 3 pancras square,london,united kingdom,havas media limited,single address,              n1c 4ag,united kingdom,
piazza giovanni bovio 8,napoli,italy,holding 504 srl,single address,80133,italy,
622 3rd ave fl 10,new york,united states,"intralinks holdings, inc.",headquarter,100176708,new york(ny),
"havas house, hermitage court hermitage lane",maidstone,united kingdom,havas uk limited,headquarter,              me16 9nt,united kingdom,
via giovanni gentile 7,milano,italy,pi-vi ricambi srl,headquarter,20157,italy,
1 beaver valley rd,wilmington,united states,"fm holdco, llc",single address,198031115,delaware(de),
3 pancras square,london,united kingdom,skybridge group limited,,              n1c 4ag,united kingdom,Havas
via garibaldi 11,lugo,italy,gruppo villa maria spa,headquarter,48022,italy,
2036 foulk rd ste 204,wilmington,united states,"ineos chlor americas, inc.",single address,198103650,delaware(de),INEOS
3 pancras square,london,united kingdom,havas helia limited,headquarter,              n1c 4ag,united kingdom,
via marecchiese 275/c,rimini,italy,ventis srl,headquarter,47922,italy,
3419 silverside rd,wilmington,united states,"marlette funding, llc",headquarter,198104801,delaware(de),BEST EGG
the hkx building 3 pancras square,london,united kingdom,havas people limited,headquarter,              n1c 4ag,united kingdom,
via tucidide 56,milano,italy,if-idee editoriali feltrinelli srl,headquarter,20134,italy,
3131 river rd,cincinnati,united states,"peter cremer north america, l.p.",headquarter,452041211,ohio(oh),
havas house hermitage court hermitage lane,maidstone,united kingdom,havas studios uk limited,single address,              me16 9nt,united kingdom,
via tucidide 56,milano,italy,librerie feltrinelli srl,headquarter,20134,italy,
3660 grand view pkway ste 200,birmingham,united states,"healthsouth acquisition holdings, llc",headquarter,352433390,alabama(al),
"8th floor berkeley square house, berkeley square",london,united kingdom,tristan capital partners llp,headquarter,              w1j 6db,united kingdom,
via barberini 50,roma,italy,thai airways international public company limited,headquarter,187,italy,
788 circle 75 pkwy se ste 500,atlanta,united states,tk elevator americas corporation,headquarter,303394454,georgia(ga),
berkeley square house 8th floor berkeley square,london,united kingdom,tristan capital partners asset management limited,headquarter,              w1j 6db,united kingdom,
via san salvatore salvo 1,san donato milanese,italy,eni international resources limited,headquarter,20097,italy,
899 kifer rd,sunnyvale,united states,"fortinet, inc.",headquarter,940865205,california(ca),
"ashurst southgate park bakewell road, orton southgate",peterborough,united kingdom,supply source limited,single address,              pe2 6ys,united kingdom,
viale luigi bodio 37,milano,italy,chebanca! spa,headquarter,20158,italy,
1 bowerman dr,beaverton,united states,"nike usa, inc.",headquarter,970050979,oregon(or),
vodafone house the connection,newbury,united kingdom,vodafone limited,headquarter,              rg14 2fn,united kingdom,
via pietro nenni 18,brescia,italy,maw men at work agenzia per il lavoro spa,headquarter,25124,italy,
1 bowerman dr,beaverton,united states,"nike, inc.",headquarter,970050979,oregon(or),
vodafone house the connection,newbury,united kingdom,vodafone corporate limited,headquarter,              rg14 2fn,united kingdom,
via leonardo bistolfi 35,milano,italy,industrie de nora spa,headquarter,20134,italy,
one bowerman dr,beaverton,united states,"nike international, ltd.",single address,970050979,oregon(or),NIKE
"1 london gate, 252-254 blyth road",hayes,united kingdom,societe internationale de telecommunications aeronautiques,headquarter,              ub3 1bw,united kingdom,
via leonardo bistolfi 35,milano,italy,de nora water technologies italy srl,headquarter,20134,italy,
100 summit lake dr 400,valhalla,united states,usi insurance services llc,headquarter,105951362,new york(ny),NATIONWIDE
1 london gate 252-254 blyth road,hayes,united kingdom,sita information networking computing uk limited,,              ub3 1ha,united kingdom,SITA
via pierpaolo racchetti 1,fiumicino,italy,aeroporti di roma spa,headquarter,54,italy,
100 summit lake dr ste 400,valhalla,united states,usi service corporation,headquarter,105951362,new york(ny),USI INSURANCE SERVICES
"first floor the landing, redcliff street",bristol,united kingdom,yeti uk limited,single address,              bs1 6hu,united kingdom,
piazza di san silvestro 8,roma,italy,azzurra aeroporti spa,headquarter,187,italy,
5790 widewaters pkwy,de witt,united states,"community bank system, inc.",headquarter,132141884,new york(ny),
25 meer street,stratford-upon-avon,united kingdom,tdi innovations ltd,single address,              cv37 6qb,united kingdom,
zona industriale d/3 via enzo ferrari 39,alessandria,italy,vitop moulding srl,single address,15122,italy,
350 5th ave fl 6,new york,united states,"centric denim usa, llc",headquarter,101180700,new york(ny),
the adelphi 1-11 john adam street,london,united kingdom,ik investment partners limited,,              wc2n 6ht,united kingdom,IK Partners
via stanislao cannizzaro 83,roma,italy,cwt italia srl,headquarter,156,italy,
350 5th ave fl 6,new york,united states,centric brands holding llc,headquarter,101180700,new york(ny),
cannon bridge house 1 cousin lane cousin lane,london,united kingdom,roofoods ltd,headquarter,              ec4r 3te,united kingdom,
via niccolo' copernico 38,milano,italy,checkout sas,single address,20125,italy,
350 5th ave fl 6,new york,united states,centric brands llc,headquarter,101180700,new york(ny),
building 11 chiswick park 566 chiswick high road,london,united kingdom,primetals asset management u.k. ltd,,              w4 5ya,united kingdom,Siemens Metals Technologies
via marco biagi snc,bagnolo san vito,italy,delsey italia spa,headquarter,46031,italy,
