,index,address,headquarters,industry,market_cap,name,number_of_employees,revenue,telephone,website
3199,3199,"15-1, ushijima-cho, toyama-shi, 930-8686",japan,power,doll_837.2 m,hokuriku electric power co,"8,593",doll_5.5 b,81 76 4412511,www.rikuden.co.jp
3200,3200,"628, mishima kamiya-cho, shikokuchuo-shi, ehima, 799-0492",japan,paper and packaging,doll_1.3 b,daio paper corp,"12,917",doll_5.5 b,81 89 6239001,www.daio-paper.co.jp
3201,3201,"porscheplatz 1, stuttgart, 70435",germany,automotive,doll_9.2 b,porsche automobil holding se,35,doll_5.5 b,49 711 91124420,www.porsche-se.com
3202,3202,"no. 18 wuzhen east road, tongxiang economic development zone, jiaxing, zhejiang, 314500",china,metals and mining,doll_15.2 b,zhejiang huayou cobalt co ltd,"14,643",doll_5.5 b,86 573 88589981,www.huayou.com
3203,3203,"south county business park, leopardstown, dublin, 18",ireland,pharmaceuticals and healthcare,doll_18.5 b,icon plc,"40,500",doll_5.5 b,353 1 2912000,www.iconplc.com
3204,3204,"thap bidv, 35 hang voi, quan hoan kiem, hanoi",vietnam,financial services,doll_9.7 b,joint stock commercial bank for investment and development of vietnam,"27,881",doll_5.5 b,84 4 22205544,www.bidv.com.vn
3205,3205,"5260 california avenue, irvine, 92617",united states of america,technology and communications,doll_16.3 b,skyworks solutions inc,"11,000",doll_5.5 b,1 949 2313000,www.skyworksinc.com
3206,3206,"p o box 3128, houston, texas, 77253-3128",united states of america,energy and utilities,doll_17.1 b,marathon oil corp,"1,531",doll_5.5 b,1 713 6296600,www.marathonoil.com
3207,3207,"700 university avenue, toronto, ontario, m5g1x6",canada,power,0,ontario power generation inc,"9,325",doll_5.5 b,1 416 5922555,www.opg.com
3208,3208,"drottninggatan 2, huskvarna, 56182",sweden,industrial goods and machinery,doll_4.5 b,husqvarna ab,"14,561",doll_5.5 b,46 36 364000,www.husqvarna.com
3209,3209,"no. 7 bang lang 1 street, vincom village, no. 7 bang lang 1 street, viet hung ward, vinhomes rvrsde eco-urbn ar,long dist, hanoi",vietnam,construction,doll_9.2 b,vingroup jsc,285,doll_5.5 b,84 4 39749999,www.vingroup.net
3210,3210,"ul. pastelowa 8, poznan, 60-198",poland,power,doll_778.2 m,enea sa,"17,473",doll_5.5 b,48 61 8845544,www.enea.pl
3211,3211,"3000 tannery way, santa clara, california, 95054",united states of america,technology and communications,doll_42.8 b,palo alto networks inc,"12,561",doll_5.5 b,1 408 7534000,www.paloaltonetworks.com
3212,3212,"gran tokyo north tower, 1-9-1, marunouchi, chiyoda-ku, 100-6751",japan,financial services,doll_7.4 b,daiwa securities group inc,"14,889",doll_5.5 b,81 3 55551111,www.daiwa-grp.jp
3213,3213,"no. 15 youyi road, hexi district, tianjin, 300201",china,financial services,doll_1.5 b,bank of tianjin co ltd,"6,598",doll_5.5 b,86 22 28405262,www.bank-of-tianjin.com.cn
3214,3214,"lassallestrasse 9, wien, 1020",austria,technology and communications,doll_4.4 b,telekom austria ag,"17,856",doll_5.5 b,43 590 5910,www.a1.group
3215,3215,"63, sogong-ro, jung-gu, seoul, 04530",south korea,retailing,doll_1.9 b,shinsegae inc,"3,439",doll_5.5 b,82 2 15881234,www.shinsegae.com
3216,3216,"moskva, ul. malaya dmitrovka, dom 7, moscow, 127006",russia,power,doll_5.0 b,rushydro,"69,547",doll_5.5 b,7 495 2253232,www.rushydro.ru
3217,3217,"7909 parkwood circle dr, houston, texas, 77036",united states of america,energy and utilities,doll_9.0 b,nov inc,"27,043",doll_5.5 b,1 713 3753700,www.nov.com
3218,3218,"piazza vittorio veneto, 8, bergamo, 24122",italy,financial services,0,unione di banche italiane spa,"19,547",doll_5.5 b,39 035 392111,www.ubibanca.it/
3219,3219,"condesa de venadito 7, madrid, 28027",spain,construction,doll_1.9 b,sacyr sa,"40,774",doll_5.5 b,34 915 455000,www.sacyr.com/es_es
3220,3220,"18th floor, 8 queen's road central, central, hong kong",hong kong,metals and mining,doll_208.4 m,china daye non-ferrous metals mining limited,"5,269",doll_5.5 b,852  28682101,www.hk661.com
3221,3221,"2415 cascade pointe boulevard, charlotte, north carolina, 28208",united states of america,paper and packaging,doll_7.8 b,sealed air corp,"16,500",doll_5.5 b,1 980 2213235,sealedair.com
3222,3222,"6 avenue kleber, paris, 75116",france,technology and communications,doll_3.4 b,sopra steria group,"48,707",doll_5.5 b,33 1 40672929,www.soprasteria.com
3223,3223,"1 monster way, corona, california, 92879-7101",united states of america,consumer packaged goods,doll_52.6 b,monster beverage corp,"4,092",doll_5.5 b,1 951 7396200,monsterbevcorp.com
3224,3224,"1100 cassatt road, berwyn, pennsylvania, 19312",united states of america,industrial goods and machinery,doll_32.5 b,ametek inc,"18,500",doll_5.5 b,1 610 6472121,www.ametek.com
3225,3225,"via energy park, 20, vimercate, 20871",italy,technology and communications,doll_407.4 m,esprinet spa,"1,770",doll_5.5 b,39 362 4961,www.esprinet.com
3226,3226,"shiomi sif bldg., 2-8-10, shiomi, koto-ku, tokyo, 135-0052",japan,transport and logistics,doll_1.2 b,senko group holdings co ltd,"20,135",doll_5.5 b,81 3 68628840,www.senkogrouphd.co.jp
3227,3227,"1200 urban center dr, birmingham, alabama, 35242",united states of america,construction,doll_24.0 b,vulcan materials co,"11,437",doll_5.6 b,1 205 2983000,www.vulcanmaterials.com
3228,3228,"59 maiden ln fl 38, new york city, 10038-4502",united states of america,financial services,0,national general holdings corp,"9,700",doll_5.6 b,1 212 3809500,nationalgeneral.com
3229,3229,"grand pavilion hibiscus way, 802 west bay road, p.o. box 31119, grand cayman, ky1-1205",united kingdom,technology and communications,doll_3.3 b,zhen ding technology holding ltd,"14,919",doll_5.6 b,886 3 3835678,www.zdtco.com
3230,3230,"jl. raya bekasi km. 22, cakung, jakarta, 13910",indonesia,construction,doll_6.1 b,pt united tractors tbk,"30,847",doll_5.6 b,62 21 24579999,www.unitedtractors.com
3231,3231,"9 ratchadapisek rd., jatujak, bangkok, bangkok (krung thep maha nakhon), 10900",thailand,financial services,doll_11.2 b,scb x pcl,,doll_5.6 b,66 27 777777,www.scb.co.th/en/investor-relations.html
3232,3232,"angel place, l 10 123 pitt street, sydney, new south wales, 2000",australia,transport and logistics,doll_11.4 b,brambles ltd,"12,000",doll_5.6 b,61 2 92565222,www.brambles.com
3233,3233,"peter-mueller-str. 12, duesseldorf, 40468",germany,industrial goods and machinery,doll_8.0 b,gea group ag,"18,123",doll_5.6 b,49 211 91360,www.gea.com
3234,3234,"3 etchells road, west timperley, altrincham, wa145xs",united kingdom,automotive,doll_400.8 m,lookers plc,"6,524",doll_5.6 b,44 161 2910043,www.lookersplc.com
3235,3235,"1200 main st, kansas city, missouri, 64105-2122",united states of america,power,doll_13.9 b,evergy inc,"4,930",doll_5.6 b,1 816 5562200,investors.evergy.com
3236,3236,"5020 weston pkwy ste 400, cary, north carolina, 27513-2322",united states of america,construction,doll_3.1 b,cornerstone building brands inc,"21,700",doll_5.6 b,1 281 8977788,www.cornerstonebuildingbrands.com
3237,3237,"333 silom road, bang rak, bangkok, 10500",thailand,financial services,doll_8.9 b,bangkok bank public co ltd,"30,630",doll_5.6 b,66 22 314333,www.bangkokbank.com
3238,3238,"12f, no.88, yanchang road, xinyi district, taipei, 110",taiwan,technology and communications,doll_11.1 b,taiwan mobile co ltd,"6,529",doll_5.6 b,886 2 66386888,www.taiwanmobile.com
3239,3239,"one north second st, p o box 160, hartsville, south carolina, 29551-0160",united states of america,paper and packaging,doll_5.8 b,sonoco products co,"20,500",doll_5.6 b,1 843 3837000,www.sonoco.com
3240,3240,"building 20, no. 56 antuo road, jiading district, shanghai, 201804",china,automotive,doll_18.4 b,nio inc,"15,204",doll_5.6 b,86 21 69083306,ir.nio.com
3241,3241,"2f, tokiwabashi tower, 1-1-3, ote-machi, chiyoda-ku, tokyo, 100-0004",japan,chemicals,doll_2.9 b,kuraray co ltd,"11,330",doll_5.6 b,81 3 67011000,www.kuraray.co.jp
3242,3242,"1204, changwon-daero, seongsan-gu, 51542",south korea,aerospace and defense,doll_3.2 b,hanwha aerospace co ltd,"4,407",doll_5.6 b,82 55 2602114,www.hanwhaaerospace.co.kr
3243,3243,"16 palace street, london, sw1e5jd",united kingdom,financial services,doll_17.2 b,3i group plc,234,doll_5.6 b,44 20 79753131,www.3i.com
3244,3244,"25f, no.1, songzhi road, xinyi district, taipei, 110",taiwan,industrial goods and machinery,doll_5.9 b,walsin lihwa corp,"7,651",doll_5.6 b,886 2 87262211,www.walsin.com
3245,3245,"3101 packerland dr, green bay, wisconsin, 54313-6187",united states of america,transport and logistics,doll_4.4 b,schneider national inc,"16,050",doll_5.6 b,1 920 5922000,schneider.com
3246,3246,"no. 18, guangming middle street, dongcheng district, beijing, 100061",china,pharmaceuticals and healthcare,doll_3.3 b,china meheco group co ltd,"8,715",doll_5.6 b,86 10 67164267,www.meheco.com
3247,3247,"no.16 wangjing north road, chaoyang district, beijing, 100102",china,construction,doll_3.0 b,sinoma international engineering co ltd,"12,895",doll_5.6 b,86 10 64399502,www.sinoma.com.cn
3248,3248,"100 king street west, 1 first canadian place, b1 floor, toronto, ontario, m5x1h3",canada,financial services,0,bmo wealth management,,doll_5.6 b,1 855 6497873,www.bmo.com/main/wealth-management
3249,3249,"suraksha, 170, jamshedji tata road, churchgate, mumbai, 400020",india,financial services,0,general insurance corporation of india,494,doll_5.6 b,91 22 22867000,www.gicofindia.com/en
3250,3250,"3 overlook point, lincolnshire, illinois, 60069",united states of america,technology and communications,doll_15.3 b,zebra technologies corp,"9,800",doll_5.6 b,1 847 6346700,www.zebra.com
3251,3251,"suite 1900, 5140 yonge street, toronto, ontario, m2n6l7",canada,technology and communications,doll_1.6 b,celestica inc,"23,915",doll_5.6 b,1 416 4485800,www.celestica.com
3252,3252,"no. 988 technology road, hi-tech development zone, kunming, yunnan, 650106",china,metals and mining,doll_1.8 b,sino-platinum metals co ltd,"1,503",doll_5.6 b,86 871 68328190,www.sino-platinum.com.cn
3253,3253,"saudamini, plot no.2, sector 29, near iffco chowk, gurgaon, haryana, 122001",india,power,doll_18.7 b,power grid corporation of india ltd,"8,536",doll_5.6 b,91 124 2822000,www.powergrid.in
3254,3254,"19f, gate city osaki west tower, 1-11-1, osaki, shinagawa-ku, tokyo, 141-8584",japan,metals and mining,doll_1.5 b,mitsui mining & smelting co ltd,"11,881",doll_5.6 b,81 3 54378000,www.mitsui-kinzoku.com
3255,3255,"222 er' huan xi road, kunming, yunnan, 650500",china,pharmaceuticals and healthcare,doll_15.2 b,yunnan baiyao group co ltd,"8,464",doll_5.6 b,86 871 66324159,www.yunnanbaiyao.com.cn
3256,3256,"33 wigmore street, london, w1u1qx",united kingdom,construction,doll_1.9 b,babcock international group plc,"28,975",doll_5.6 b,44 20 73555300,www.babcockinternational.com
3257,3257,"zuidpoolsingel 2, alphen aan den rijn, 2408ze",netherlands,business and consumer services,doll_28.0 b,wolters kluwer n.v.,"19,827",doll_5.6 b,31 172 641400,www.wolterskluwer.nl
3258,3258,"am hof 6a, wien, 1010",austria,power,doll_13.8 b,verbund ag,"3,457",doll_5.6 b,43  503130,www.verbund.com
3259,3259,"hiililaiturinkuja 2, helsinki, 00180",finland,industrial goods and machinery,doll_5.7 b,wartsila corp,"17,585",doll_5.6 b,358 10 7090000,www.wartsila.com
3260,3260,"33 kingsway, london, wc2b6uf",united kingdom,retailing,doll_8.2 b,capri holdings ltd,"9,700",doll_5.7 b,44 20 76328600,www.capriholdings.com/corporate-overview/default.a
3261,3261,"room 4606-08, china resources building, 26, harbour road, wanchai, hong kong",hong kong,construction,doll_4.0 b,china resources cement holdings ltd,"18,700",doll_5.7 b,852  31186800,www.crcement.com
3262,3262,"25 airline road, airline house, singapore, 819829",singapore,transport and logistics,doll_13.3 b,singapore airlines ltd,"22,222",doll_5.7 b,65 6 5415314,www.singaporeair.com/en_uk/hk/homerank_/book/bookfligh
3263,3263,"oksenoyveien 10, lysaker, 1366",norway,energy and utilities,doll_20.0 b,aker bp asa,"1,839",doll_5.7 b,47 51 353000,akerbp.com
3264,3264,"227 w. monroe st., 27th floor, chicago, illinois, 60606",united states of america,metals and mining,doll_1.2 b,ryerson holding corp,"4,000",doll_5.7 b,1 312 2925000,ir.ryerson.com
3265,3265,"c/o ryanair ltd corporate head office, dublin airport, k67ny94",ireland,transport and logistics,doll_18.2 b,ryanair holdings plc,"19,116",doll_5.7 b,353 1 9451212,www.ryanair.com
3266,3266,"414 ais tower 1, phaholyothin road, samsen nai, phayathai, bangkok, 10400",thailand,technology and communications,doll_18.2 b,advanced info service public co ltd,"12,909",doll_5.7 b,66  6620295000,www.ais.th
3267,3267,"po box 6676, asheville, north carolina, 28816",united states of america,retailing,doll_1.8 b,ingles markets inc,"26,000",doll_5.7 b,1 828 6692941,www.ingles-markets.com
3268,3268,"one east wacker drive, one east wacker drive, chicago, illinois, 60601",united states of america,financial services,doll_3.4 b,kemper corp,"10,300",doll_5.7 b,1 312 6614600,www.kemper.com
3269,3269,"4 landmark sq, stamford, connecticut, 06901-2502",united states of america,paper and packaging,doll_5.6 b,silgan holdings inc,"15,600",doll_5.7 b,1 203 9757110,www.silganholdings.com
3270,3270,"1200 w century ave, bismarck, north dakota, 58503",united states of america,construction,doll_6.1 b,mdu resources group inc,"12,826",doll_5.7 b,1 701 5301059,www.mdu.com
3271,3271,"4188, p.o.box, abu dhabi",united arab emirates,energy and utilities,doll_15.3 b,adnoc distribution,,doll_5.7 b,971 2 6771300,adnocdistribution.ae
3272,3272,"22 soi somkid ploenchit road lumpini, pathumwan, bangkok, 10330",thailand,retailing,doll_8.0 b,central retail corp pcl,"53,585",doll_5.7 b,66 26 503600,www.centralretail.com
3273,3273,"via nubi di magellano, 30, reggio nell'emilia, 42123",italy,power,doll_2.4 b,iren spa,"9,345",doll_5.7 b,39 0522 2971,www.gruppoiren.it
3274,3274,"leninskiy prospekt, d.55/1, str.1, moscow, 119333",russia,chemicals,doll_12.1 b,phosagro,"25,000",doll_5.7 b,7 495 2325898,www.phosagro.ru
3275,3275,"5 dakota drive, lake success, new york, 11042",united states of america,technology and communications,doll_16.9 b,broadridge financial solutions inc,"14,300",doll_5.7 b,1 516 4725400,www.broadridge.com
3276,3276,"4001 n rodney parham rd, little rock, arkansas, 72212-2459",united states of america,technology and communications,0,windstream holdings inc,"11,945",doll_5.7 b,1 501 7487000,www.windstream.com
3277,3277,"1020 kifer road, sunnyvale, california, 94086",united states of america,medical equipment,doll_90.6 b,intuitive surgical inc,"9,793",doll_5.7 b,1 408 5232100,www.intuitivesurgical.com
3278,3278,"2-5, marunouchi, takamatsu-shi, kagawa, 760-8573",japan,power,doll_1.2 b,shikoku electric power co inc,"8,074",doll_5.7 b,81 87 8215061,www.yonden.co.jp
3279,3279,"1-3-17, kyomachibori, nishi-ku, osaka-shi, 550-0003",japan,industrial goods and machinery,doll_1.1 b,ntn corp,"23,383",doll_5.7 b,81 6 64435001,www.ntn.co.jp
3280,3280,"20 n broadway, oklahoma city, 73102-9213",united states of america,energy and utilities,0,continental resources inc,"1,254",doll_5.7 b,1 405 2349000,www.clr.com
3281,3281,"135 rivonia road, sandton, 2196",south africa,financial services,0,nedbank ltd,,doll_5.7 b,27 11 2948878,www.nedbank.co.za
3282,3282,"1-17-1 toranomon, toranomon hills business tower, minato-ku, tokyo, 1056409",japan,technology and communications,0,hitachi high-technologies corp,"12,717",doll_5.7 b,81 3 35047111,www.hitachi-hightech.com
3283,3283,"bekaertstraat 2, zwevegem, 8550",belgium,industrial goods and machinery,doll_2.5 b,nv bekaert sa,"27,000",doll_5.7 b,32 56 766100,www.bekaert.com
3284,3284,"10990 wilshire blvd, floor no. 7, los angeles, california, 90024",united states of america,construction,doll_3.0 b,kb home,"2,244",doll_5.7 b,1 310 2314000,www.kbhome.com
3285,3285,"1 ang mo kio electronics park road, rank_07-01, singapore, 567710",singapore,technology and communications,doll_8.2 b,singapore technologies engineering ltd,"22,405",doll_5.7 b,65 6 7221818,www.stengg.com
3286,3286,"unit3701,37/f.west tower,shun tak centre, 168-200 connaught road central, sheung wan, hong kong",hong kong,technology and communications,doll_113.5 m,changhong jiahua holdings ltd,"1,316",doll_5.7 b,852  31522178,www.changhongit.com
3287,3287,"rua samuel klein, 83, centro, sao caetano do sul, 09.510-125",brazil,retailing,doll_733.5 m,via sa,,doll_5.7 b,55 11 42257264,www.via.com.br
3288,3288,"1438 hongqiao road, changning district, shanghai, 200336",china,construction,doll_220.7 m,zhenro properties group ltd,852,doll_5.7 b,86 21 61253299,www.zhenrodc.com
3289,3289,"suite 300, 130 king street west, toronto, ontario, m5x1e1",canada,leisure and arts,doll_19.9 b,restaurant brands international inc,"5,700",doll_5.7 b,1 905 3396011,www.rbi.com
3290,3290,"5555 kietzke lane ste 100, reno, nevada, 89511",united states of america,transport and logistics,doll_12.1 b,u-haul holding co,"15,456",doll_5.7 b,1 775 6886300,www.amerco.com
3291,3291,"shinjuku nomura bldg., 1-26-2, nishi-shinjuku, shinjuku-ku, tokyo, 163-0566",japan,construction,doll_4.0 b,nomura real estate holdings inc,"7,548",doll_5.7 b,81 3 33487805,www.nomura-re-hd.co.jp
3292,3292,"2-1-1, nakashima, kokurakita-ku, kitakyushu-shi, fukuoka, 802-8601",japan,construction,doll_6.9 b,toto ltd,"34,614",doll_5.7 b,81 93 9512052,jp.toto.com
3293,3293,"10 rue marcel dassault, velizy villacoublay, ile-de-france, 78140",france,technology and communications,doll_51.2 b,dassault systemes se,"24,162",doll_5.7 b,33 1 61626162,www.3ds.com
3294,3294,"burwood, 118 burwood hwy, melbourne, victoria, 3125",australia,construction,doll_7.1 b,reece ltd,"9,000",doll_5.7 b,61 3 92740000,www.reece.com.au
3295,3295,"suite 1700, 440 - 2nd avenue s.w., calgary, alberta, t2p5e9",canada,energy and utilities,doll_2.6 b,gibson energy inc,"2,520",doll_5.8 b,1 403 2064000,www.gibsonenergy.com
3296,3296,"1155 battery st, san francisco, california, 94111",united states of america,consumer packaged goods,doll_6.4 b,levi strauss & co,"16,600",doll_5.8 b,1 415 5016000,www.levistrauss.com
3297,3297,"483 bay street, 8th floor, south tower, toronto, ontario, m5g2p5",canada,power,doll_16.7 b,hydro one ltd,"6,300",doll_5.8 b,1 416 3455000,www.hydroone.com
3298,3298,"20f,tower c,international invst plaza, 6-9 fuchengmen north street,xicheng dist, t, beijing, 100034",china,alternative energy,doll_19.1 b,china longyuan power group corp ltd,"8,455",doll_5.8 b,86 10 63887861,www.clypg.com.cn
3299,3299,"2800 rock creek parkway, north kansas city, missouri, 64117",united states of america,technology and communications,0,cerner corp,"25,150",doll_5.8 b,1 816 2211024,www.cerner.com
3300,3300,"1-38-1, wakamatsu-cho, fuchu-shi, tokyo, 183-0005",japan,retailing,doll_3.3 b,sundrug co ltd,"6,015",doll_5.8 b,81 42 3696211,www.sundrug.co.jp
3301,3301,"suite 200, 6901 professional parkway, sarasota, florida, 34240",united states of america,technology and communications,doll_46.4 b,roper technologies inc,"19,300",doll_5.8 b,1 941 5562601,www.ropertech.com
3302,3302,"23, pangyo-ro 227beon-gil, bundang-gu, seongnam, 13486",south korea,transport and logistics,doll_3.7 b,samsung heavy industries co ltd,"13,974",doll_5.8 b,82 31 51717000,www.samsungshi.com
3303,3303,"6100 n western ave, oklahoma city, 73118",united states of america,energy and utilities,doll_11.9 b,chesapeake energy corp,"1,300",doll_5.8 b,1 405 8488000,www.chk.com
3304,3304,"two n ninth st, allentown, pennsylvania, 18101-1179",united states of america,power,doll_21.9 b,ppl corp,"5,607",doll_5.8 b,1 610 7745151,www.pplweb.com
3305,3305,"7930 jones branch dr ste 1100, mclean, virginia, 22102",united states of america,leisure and arts,doll_36.4 b,hilton worldwide holdings inc,"142,000",doll_5.8 b,1 703 8831000,www.hilton.com
3306,3306,"bombay house, 24, homi mody street, mumbai, 400001",india,power,doll_8.1 b,the tata power co ltd,"2,815",doll_5.8 b,91 22 66658282,www.tatapower.com
3307,3307,"30 hill street, rank_05-04, singapore, 179360",singapore,power,doll_4.6 b,sembcorp industries ltd,"5,740",doll_5.8 b,65 6 7233113,www.sembcorp.com
3308,3308,"p.o. box 309gt, ugland house, south church street, george town, grand cayman, cayman islands",united kingdom,consumer packaged goods,doll_1.6 b,herbalife nutrition ltd,"10,800",doll_5.8 b,44 213 7450500,www.herbalife.com
3309,3309,"no. 27-29, shunke road, yuyao city, ningbo, zhejiang, 315400",china,technology and communications,doll_14.6 b,sunny optical technology (group) co ltd,"25,022",doll_5.8 b,86 574 62538080,www.sunnyoptical.com
3310,3310,"no. 3998 hongxin road, minhang district, shanghai",china,automotive,doll_188.8 m,grand baoxin auto group ltd,"7,472",doll_5.8 b,,www.klbaoxin.com
3311,3311,"40/2a, pokrovka street, moscow, 101000",russia,construction,doll_1.4 b,trubnaya metallurgicheskaya kompaniya,"39,109",doll_5.8 b,7 495 7757600,www.tmk-group.ru
3312,3312,"19100 94th ave, vancouver, british columbia, v4n5c3",canada,business and consumer services,doll_4.2 b,finning international inc,"12,452",doll_5.8 b,1 604 6916444,www.finning.com/en_ca.html
3313,3313,"piazza nogara, 2, verona, 37121",italy,financial services,doll_6.3 b,banco bpm spa,"20,237",doll_5.8 b,,www.bancobpmspa.it
3314,3314,"c/ jesus y maria, 6, barcelona, 08022",spain,pharmaceuticals and healthcare,doll_8.1 b,grifols sa,"27,584",doll_5.8 b,34 935 710000,www.grifols.com/en/web/gcom
3315,3315,"p.o. box 7700, schiphol, 1117zl",netherlands,transport and logistics,0,klm royal dutch airlines,"29,968",doll_5.8 b,31 20 6499123,www.klm.com
3316,3316,"1978-96 kogushi, ube, ube-shi, yamaguchi, 755-8633",japan,chemicals,doll_1.6 b,ube industries ltd,"9,849",doll_5.8 b,81 3 312111,www.ube-ind.co.jp
3317,3317,"suite 550, 16100 north, 71st street, scottsdale, arizona, 85254",united states of america,technology and communications,doll_2.5 b,resideo technologies inc,"13,300",doll_5.8 b,1 480 5735340,www.resideo.com/us/en
3318,3318,"26125 n. riverwoods blvd. suite 500, mettawa, illinois, 60045-3420",united states of america,industrial goods and machinery,doll_5.6 b,brunswick corp,"18,582",doll_5.8 b,1 847 7354700,www.brunswick.com
3319,3319,"1st floor, world trade center, babar road, barakhamba lane, new delhi, 110001",india,energy and utilities,doll_4.1 b,petronet lng ltd,516,doll_5.8 b,91 11 23411411,petronetlng.in
3320,3320,"sce building, no. 208, nanwu road, gaoqi, shanghai, 361006",china,construction,doll_529.5 m,china sce group holdings ltd,"8,614",doll_5.9 b,86 21 52636666,www.sce-re.com
3321,3321,"2503 s hanley rd, st. louis, missouri, 63144",united states of america,consumer packaged goods,doll_5.4 b,post holdings inc,"10,420",doll_5.9 b,1 314 6447600,www.postholdings.com
3322,3322,"33rd floor, menara ytl, 205 jalan bukit bintang, kuala lumpur, 55100",malaysia,construction,doll_1.4 b,ytl corporation bhd,"12,209",doll_5.9 b,60 3 20380888,www.ytl.com
3323,3323,"sumitomo fudosan kojimachi garden tower, 5-1-1, koji-machi, chiyoda-ku, tokyo, 102-0083",japan,business and consumer services,doll_2.0 b,fuyo general lease co ltd,"3,189",doll_5.9 b,81 3 52758800,www.fgl.co.jp
3324,3324,"8f, jr shinagawa east bldg., 2-18-1, konan, minato-ku, tokyo, 108-0075",japan,leisure and arts,doll_3.9 b,zensho holdings co ltd,"15,929",doll_5.9 b,81 3 68331600,www.zensho.co.jp
3325,3325,"33rd floor, one pacific place, 88 queensway, hong kong",hong kong,transport and logistics,doll_7.0 b,cathay pacific airways ltd,"20,800",doll_5.9 b,852  27473333,www.cathaypacific.com
3326,3326,"drammensveien 149, oslo city, 0277",norway,consumer packaged goods,doll_7.4 b,orkla asa,"21,423",doll_5.9 b,47 2 2544000,www.orkla.no
3327,3327,"4f, 10f, 12f, 13f, no. 66, section 1, dun hua south road, songshan district, taipei, 105",taiwan,financial services,doll_9.4 b,yuanta financial holding co ltd,"14,704",doll_5.9 b,886 2 27811999,www.yuanta.com
3328,3328,"202-455 rene-levesque blvd w, montreal, quebec, h2z1z3",canada,construction,doll_3.6 b,snc-lavalin group inc,"30,989",doll_5.9 b,1 514 3931000,www.snclavalin.com
3329,3329,"31-32 f, no. 3, linjiang avenue, tianhe district, guangzhou, guangdong, 510623",china,power,doll_3.0 b,guangzhou development group co ltd,"5,808",doll_5.9 b,86 20 37850968,www.gdg.com.cn
3330,3330,"2-7-5, naka-ochiai, shinjuku-ku, tokyo, 160-8347",japan,medical equipment,doll_37.7 b,hoya corp,"38,376",doll_5.9 b,81 3 69114811,www.hoya.com
3331,3331,"2225 lawson ln, santa clara, california, 95054-3311",united states of america,technology and communications,doll_84.1 b,servicenow inc,"16,881",doll_5.9 b,1 408 5018550,www.servicenow.com
3332,3332,"151 w. 42nd street, new york, 10036",united states of america,financial services,doll_30.9 b,nasdaq inc,"6,300",doll_5.9 b,1 212 4018700,www.nasdaq.com
3333,3333,"immeuble newtime 40/52 boulevard du parc, neuilly-sur-seine, 92200",france,business and consumer services,doll_13.0 b,bureau veritas sa,"79,704",doll_5.9 b,33 1 55247000,www.bureauveritas.fr
3334,3334,"bank of changsha mansion, binjiang road, yuelu district, hunan, 410205",china,financial services,doll_4.1 b,bank of changsha co ltd,"7,978",doll_5.9 b,86 731 89934772,www.bankofchangsha.com
3335,3335,"gate house, turnpike road, high wycombe, hp123nr",united kingdom,construction,doll_5.1 b,taylor wimpey plc,"5,358",doll_5.9 b,44 1494 558323,www.taylorwimpey.co.uk
3336,3336,"nador u. 16., budapest, 1051",hungary,financial services,doll_8.7 b,otp bank nyrt,"35,370",doll_5.9 b,36 1 4735400,www.otpbank.hu
3337,3337,"l 28 175 liverpool st, sydney, new south wales, 2000",australia,agriculture and forestry,doll_1.2 b,graincorp ltd,"2,380",doll_5.9 b,61 2 93259100,www.graincorp.com.au
3338,3338,"825 berkshire blvd suite 200, wyomissing, pennsylvania, 19610-1247",united states of america,leisure and arts,doll_4.9 b,penn entertainment inc,"21,973",doll_5.9 b,1 610 3732400,www.pngaming.com
3339,3339,"22f, no.392, ruey kuang road, neihu district, taipei, 114",taiwan,technology and communications,doll_5.1 b,lite-on technology corp,"77,497",doll_5.9 b,886 2 87982888,www.liteon.com
3340,3340,"1633 broadway, new york, 10019",united states of america,media,doll_17.3 b,warner music group corp,"5,900",doll_5.9 b,1 212 2752000,www.wmg.com
3341,3341,"1-2, higashi, o-dori, chuo-ku, sapporo-shi, hokkaido, 060-8677",japan,power,doll_751.1 m,hokkaido electric power co inc,"10,226",doll_5.9 b,81 11 2511111,www.hepco.co.jp
3342,3342,"jl. jalur sutera barat kav. 9, alam sutera, kota, tangerang, 15117",indonesia,retailing,doll_7.5 b,pt sumber alfaria trijaya tbk,"77,118",doll_5.9 b,62 21 80821555,alfamart.co.id
3343,3343,"muenchensteinerstrasse 38, basel, 4002",switzerland,pharmaceuticals and healthcare,doll_40.2 b,lonza group ltd,"17,154",doll_5.9 b,41 61 3168111,www.lonza.com
3344,3344,"1 sports road, happy valley, hong kong",hong kong,leisure and arts,0,the hong kong jockey club,,doll_5.9 b,852  29668111,www.hkjc.com
3345,3345,"via san carlo, 8/20, modena, 41121",italy,financial services,doll_3.4 b,bper banca spa,"21,539",doll_5.9 b,39 059 2021111,www.bper.it
3346,3346,"crsc building, 1 compound, automobile mu, beijing, 100070",china,industrial goods and machinery,doll_6.7 b,china railway signal & communication corp ltd,"20,288",doll_5.9 b,86 10 50809286,www.crsc.cn
3347,3347,"9 west 57th street, 42nd floor, new york, 10019",united states of america,financial services,doll_38.9 b,apollo global management inc,"2,153",doll_6.0 b,1 212 5153200,www.apollo.com
