id,name,country,revenue_2022,profit,assets,market_value
888,renesas electronics,japan,doll_9.05 b,,,doll_20.81 b
889,universal music group,netherlands,doll_10.05 b,,,doll_46.2 b
890,unipol gruppo,italy,doll_16.89 b,,,doll_4.08 b
891,sbi holdings,japan,doll_5.58 b,,,doll_5.49 b
892,techtronic industries,hong kong,doll_13.2 b,,,doll_26.31 b
893,ferrovial,spain,doll_8.01 b,,,doll_19.21 b
894,cimb group holdings,malaysia,doll_5.66 b,,,doll_12.22 b
895,kone,finland,doll_12.43 b,,,doll_25.87 b
896,e-mart,south korea,doll_21.77 b,,,doll_3.08 b
897,gf securities,china,doll_5.85 b,,,doll_9.87 b
898,china merchants securities,china,doll_5.7 b,,,doll_9.86 b
899,annaly capital management,united states,doll_731 m,,,doll_9.53 b
900,coles group,australia,doll_29.38 b,,,doll_18.25 b
901,central japan railway,japan,doll_8.25 b,,,doll_24.77 b
902,sabanci holding,turkey,doll_10.51 b,,,doll_2.79 b
903,yuanta financial holding,taiwan,doll_5.77 b,,,doll_11.06 b
904,antarchile,chile,doll_24.9 b,,,doll_3.49 b
905,hmm,south korea,doll_12.05 b,,,doll_10.81 b
906,seagate technology,ireland,doll_11.97 b,,,doll_18.04 b
907,alleghany,united states,doll_12 b,,,doll_11.24 b
908,guosen securities,china,doll_3.76 b,,,doll_15.04 b
909,avis budget group,united states,doll_9.31 b,,,doll_16.03 b
910,jiangxi copper,china,doll_68.46 b,,,doll_5.72 b
911,mitsubishi ufj lease,japan,doll_14.05 b,,,doll_6.49 b
912,sumitomo metal mining,japan,doll_10.71 b,,,doll_13.03 b
913,asustek computer,taiwan,doll_19.16 b,,,doll_9.22 b
914,associated british foods,united kingdom,doll_18.99 b,,,doll_16.58 b
915,china national nuclear power,china,doll_9.6 b,,,doll_22 b
916,china international capital,china,doll_3.61 b,,,doll_10.03 b
917,china molybdenum,china,doll_26.77 b,,,doll_11.4 b
918,equitable holdings,united states,doll_11.04 b,,,doll_11.77 b
919,covestro,germany,doll_18.8 b,,,doll_8.65 b
920,m&g,united kingdom,doll_23.38 b,,,doll_6.99 b
921,shopify,canada,doll_4.61 b,,,doll_57.93 b
922,shanghai construction,china,doll_43.4 b,,,doll_4.22 b
923,essity,sweden,doll_14.59 b,,,doll_19.43 b
924,ww grainger,united states,doll_13.02 b,,,doll_25.52 b
925,canara bank,india,doll_12.68 b,,,doll_5.53 b
926,viatris,united states,doll_17.86 b,,,doll_12.43 b
927,american water works,united states,doll_3.93 b,,,doll_29.84 b
928,united microelectronics,taiwan,doll_7.63 b,,,doll_20.33 b
929,vf,united states,doll_11.62 b,,,doll_21.23 b
930,intuitive surgical,united states,doll_5.91 b,,,doll_90.64 b
931,snam,italy,doll_3.9 b,,,doll_18.32 b
932,vestas wind systems,denmark,doll_18.42 b,,,doll_28.23 b
933,subaru,japan,doll_25.15 b,,,doll_11.61 b
934,jiangsu zhongnan construction group,china,doll_14 b,,,doll_2.46 b
935,carlsberg,denmark,doll_10.59 b,,,doll_17.76 b
936,builders firstsource,united states,doll_19.89 b,,,doll_10.86 b
937,semiconductor manufacturing international,china,doll_5.51 b,,,doll_16.03 b
938,pko bank polski,poland,doll_4.45 b,,,doll_10.9 b
939,enn energy holdings,china,doll_14.44 b,,,doll_14.99 b
940,wh group,hong kong,doll_27.29 b,,,doll_8.86 b
941,amcor,united kingdom,doll_13.59 b,,,doll_17.53 b
942,korea gas,south korea,doll_24.03 b,,,doll_2.81 b
943,jefferies financial,united states,doll_8.64 b,,,doll_7.68 b
944,severstal,russia,doll_11.63 b,,,doll_11.5 b
945,alexandria real estate equities,united states,doll_2.11 b,,,doll_31.95 b
946,julius baer group,switzerland,doll_4.95 b,,,doll_10.34 b
947,sanlam,south africa,doll_14.42 b,,,doll_9.09 b
948,emaar properties,united arab emirates,doll_7.86 b,,,doll_14.07 b
949,joint stock commercial bank for foreign trade of vietnam,vietnam,doll_3.91 b,,,doll_16.94 b
950,motorola solutions,united states,doll_8.17 b,,,doll_37.7 b
951,shanghai rural commercial bank,china,doll_5.77 b,,,doll_9.28 b
952,braskem,brazil,doll_19.57 b,,,doll_6.76 b
953,bank of baroda,india,doll_12.06 b,,,doll_7.54 b
954,s-oil,south korea,doll_23.98 b,,,doll_9.91 b
955,tractor supply,united states,doll_12.96 b,,,doll_23.18 b
956,suncorp group,australia,doll_9.88 b,,,doll_10.27 b
957,mol hungarian oil,hungary,doll_19.64 b,,,doll_7.08 b
958,aptiv,ireland,doll_15.62 b,,,doll_28.85 b
959,voya financial,united states,doll_4.23 b,,,doll_7.04 b
960,gs holdings,south korea,doll_17.67 b,,,doll_3.37 b
961,gerdau (cosigua),brazil,doll_14.52 b,,,doll_10.16 b
962,equity residential,united states,doll_2.43 b,,,doll_34.27 b
963,qatar islamic bank,qatar,doll_1.82 b,,,doll_16.4 b
964,hormel foods,united states,doll_11.97 b,,,doll_29.2 b
965,shenwan hongyuan group,china,doll_6.81 b,,,doll_5.46 b
966,reinsurance group of america,united states,doll_16.65 b,,,doll_7.59 b
967,quest diagnostics,united states,doll_10.68 b,,,doll_16.16 b
968,solvay,belgium,doll_13.52 b,,,doll_10.12 b
969,pembina pipeline,canada,doll_6.95 b,,,doll_21.29 b
970,banque saudi fransi,saudi arabia,doll_2.19 b,,,doll_17.6 b
971,smc,japan,doll_6.4 b,,,doll_33.91 b
972,sasol,south africa,doll_15.54 b,,,doll_15.28 b
973,molson coors brewing,united states,doll_10.28 b,,,doll_11.66 b
974,macy's,united states,doll_25.29 b,,,doll_6.91 b
975,bancolombia,colombia,doll_6.08 b,,,doll_10.89 b
976,cintas,united states,doll_7.62 b,,,doll_41.75 b
977,china international marine,china,doll_25.3 b,,,doll_5.48 b
978,huaneng power international,china,doll_31.47 b,,,doll_7.46 b
979,restaurant brands international,canada,doll_5.74 b,,,doll_27.23 b
980,grupa pzu,poland,doll_10.1 b,,,doll_6.44 b
981,kao,japan,doll_12.91 b,,,doll_19.19 b
982,agile group holdings,china,doll_11.52 b,,,doll_1.85 b
983,arrow electronics,united states,doll_34.48 b,,,doll_7.57 b
984,shenzhen overseas,china,doll_14.88 b,,,doll_8.54 b
985,tenet healthcare,united states,doll_19.45 b,,,doll_7.98 b
986,grupo aval,colombia,doll_10.27 b,,,doll_4.78 b
987,cp all,thailand,doll_17.65 b,,,doll_17.53 b
988,geely automobile holdings,hong kong,doll_15.76 b,,,doll_14.82 b
989,centrica,united kingdom,doll_20.28 b,,,doll_5.96 b
990,dubai islamic bank,united arab emirates,doll_3.16 b,,,doll_12.38 b
991,suzano papel e celulose,brazil,doll_7.59 b,,,doll_14.66 b
992,link reit,hong kong,doll_1.47 b,,,doll_18.28 b
993,yum! brands,canada,doll_6.58 b,,,doll_35.28 b
994,first quantum minerals,canada,doll_8.29 b,,,doll_19.43 b
995,aercap holdings,ireland,doll_4.52 b,,,doll_12.59 b
996,first horizon,united states,doll_3.15 b,,,doll_12.21 b
997,dentsu,japan,doll_9.88 b,,,doll_10.34 b
998,molina healthcare,united states,doll_27.77 b,,,doll_19.08 b
999,union bank of india,india,doll_11.28 b,,,doll_3.62 b
