02-GioPonSpiz-sector,03-gren-sector,04-iGMM-sector,05-MalPatSaj-sector,06-MarScoToc-sector,07-silvestri-sector,10-DeBiGa-sector
healthcare,healthcare,technology,healthcare,healthcare,healthcare,industrials
basic materials,basic materials,basic materials,basic materials,financials,basic materials,consumer discretionary
industrials,industrials,consumer discretionary,industrials,industrials,industrials,energy
industrials,industrials,industrials,industrials,real estate,industrials,technology
consumer staples,consumer staples,technology,consumer staples,financials,consumer staples,communication services
financials,financials,energy,financials,healthcare,financials,healthcare
basic materials,basic materials,healthcare,basic materials,financials,basic materials,utilities
industrials,industrials,energy,industrials,consumer discretionary,industrials,consumer discretionary
communication services,communication services,basic materials,communication services,real estate,communication services,financials
technology,technology,consumer discretionary,technology,financials,technology,industrials
financials,financials,technology,financials,basic materials,financials,energy
utilities,utilities,real estate,utilities,financials,utilities,consumer discretionary
basic materials,basic materials,industrials,basic materials,financials,basic materials,technology
communication services,communication services,financials,communication services,financials,communication services,technology
technology,technology,financials,technology,communication services,technology,technology
technology,technology,industrials,technology,financials,technology,technology
consumer discretionary,consumer discretionary,consumer discretionary,consumer discretionary,financials,consumer discretionary,technology
consumer discretionary,consumer discretionary,consumer discretionary,consumer discretionary,financials,consumer discretionary,communication services
industrials,industrials,communication services,industrials,financials,industrials,real estate
communication services,communication services,consumer discretionary,communication services,industrials,communication services,industrials
consumer staples,consumer staples,energy,consumer staples,technology,consumer staples,consumer staples
financials,financials,industrials,financials,financials,financials,technology
healthcare,healthcare,technology,healthcare,financials,healthcare,basic materials
financials,financials,technology,financials,financials,financials,communication services
real estate,real estate,consumer discretionary,real estate,consumer discretionary,real estate,technology
healthcare,healthcare,financials,healthcare,consumer staples,healthcare,basic materials
healthcare,healthcare,energy,healthcare,real estate,healthcare,financials
consumer discretionary,consumer discretionary,utilities,consumer discretionary,technology,consumer discretionary,financials
industrials,industrials,basic materials,industrials,basic materials,industrials,healthcare
utilities,utilities,industrials,utilities,financials,utilities,communication services
consumer discretionary,consumer discretionary,financials,consumer discretionary,industrials,consumer discretionary,healthcare
healthcare,healthcare,healthcare,healthcare,industrials,healthcare,basic materials
basic materials,basic materials,consumer discretionary,basic materials,financials,basic materials,industrials
consumer staples,consumer staples,communication services,consumer staples,financials,consumer staples,financials
industrials,industrials,technology,industrials,consumer discretionary,,real estate
basic materials,basic materials,consumer staples,basic materials,industrials,industrials,industrials
,healthcare,financials,healthcare,technology,basic materials,industrials
technology,technology,energy,technology,financials,,                                        utilities                                    
healthcare,healthcare,industrials,healthcare,industrials,technology,consumer discretionary
industrials,industrials,consumer staples,industrials,financials,healthcare,consumer discretionary
technology,technology,consumer staples,technology,basic materials,industrials,financials
consumer staples,consumer staples,communication services,consumer staples,healthcare,technology,consumer staples
financials,financials,industrials,financials,consumer staples,consumer staples,financials
financials,financials,consumer staples,financials,technology,financials,healthcare
industrials,industrials,healthcare,industrials,consumer staples,financials,industrials
utilities,utilities,industrials,utilities,energy,industrials,technology
consumer staples,consumer staples,utilities,consumer staples,consumer discretionary,utilities,healthcare
real estate,real estate,energy,real estate,basic materials,consumer staples,real estate
basic materials,basic materials,consumer staples,basic materials,healthcare,real estate,consumer discretionary
technology,technology,basic materials,technology,energy,basic materials,healthcare
utilities,utilities,technology,utilities,technology,technology,financials
industrials,industrials,communication services,industrials,industrials,utilities,communication services
consumer discretionary,consumer discretionary,technology,consumer discretionary,real estate,industrials,communication services
financials,financials,industrials,financials,technology,consumer discretionary,consumer discretionary
consumer discretionary,consumer discretionary,healthcare,consumer discretionary,financials,financials,financials
healthcare,healthcare,basic materials,healthcare,basic materials,consumer discretionary,industrials
industrials,industrials,communication services,industrials,financials,healthcare,                                        consumer discretionary                                    
consumer staples,consumer staples,consumer staples,consumer staples,financials,industrials,utilities
financials,financials,consumer staples,financials,industrials,consumer staples,basic materials
energy,energy,financials,energy,industrials,financials,healthcare
industrials,industrials,technology,industrials,consumer discretionary,energy,industrials
technology,technology,industrials,technology,healthcare,industrials,industrials
financials,financials,financials,financials,financials,technology,financials
consumer staples,consumer staples,financials,consumer staples,financials,financials,communication services
industrials,industrials,communication services,industrials,communication services,consumer staples,financials
industrials,industrials,industrials,industrials,technology,industrials,real estate
consumer discretionary,consumer discretionary,technology,consumer discretionary,energy,industrials,technology
financials,financials,basic materials,financials,energy,consumer discretionary,consumer staples
basic materials,basic materials,energy,basic materials,industrials,financials,financials
industrials,industrials,industrials,industrials,healthcare,basic materials,consumer discretionary
industrials,industrials,technology,industrials,financials,industrials,industrials
financials,financials,industrials,financials,technology,industrials,communication services
real estate,real estate,financials,real estate,financials,financials,consumer discretionary
consumer discretionary,consumer discretionary,technology,consumer discretionary,real estate,real estate,technology
technology,technology,technology,technology,healthcare,consumer discretionary,industrials
