,country,market_value_apr_2022,name,revenue_2022
949,vietnam,doll_16.94 b,joint stock commercial bank for foreign trade of vietnam,doll_3.91 b
950,united states,doll_37.7 b,motorola solutions,doll_8.17 b
951,china,doll_9.28 b,shanghai rural commercial bank,doll_5.77 b
952,brazil,doll_6.76 b,braskem,doll_19.57 b
953,india,doll_7.54 b,bank of baroda,doll_12.06 b
954,south korea,doll_9.91 b,s-oil,doll_23.98 b
955,united states,doll_23.18 b,tractor supply,doll_12.96 b
956,australia,doll_10.27 b,suncorp group,doll_9.88 b
957,hungary,doll_7.08 b,mol hungarian oil,doll_19.64 b
958,ireland,doll_28.85 b,aptiv,doll_15.62 b
959,united states,doll_7.04 b,voya financial,doll_4.23 b
960,south korea,doll_3.37 b,gs holdings,doll_17.67 b
961,brazil,doll_10.16 b,gerdau (cosigua),doll_14.52 b
962,united states,doll_34.27 b,equity residential,doll_2.43 b
963,qatar,doll_16.4 b,qatar islamic bank,doll_1.82 b
964,united states,doll_29.2 b,hormel foods,doll_11.97 b
965,china,doll_5.46 b,shenwan hongyuan group,doll_6.81 b
966,united states,doll_7.59 b,reinsurance group of america,doll_16.65 b
967,united states,doll_16.16 b,quest diagnostics,doll_10.68 b
968,belgium,doll_10.12 b,solvay,doll_13.52 b
969,canada,doll_21.29 b,pembina pipeline,doll_6.95 b
970,saudi arabia,doll_17.6 b,banque saudi fransi,doll_2.19 b
971,japan,doll_33.91 b,smc,doll_6.4 b
972,south africa,doll_15.28 b,sasol,doll_15.54 b
973,united states,doll_11.66 b,molson coors brewing,doll_10.28 b
974,united states,doll_6.91 b,macy's,doll_25.29 b
975,colombia,doll_10.89 b,bancolombia,doll_6.08 b
976,united states,doll_41.75 b,cintas,doll_7.62 b
977,china,doll_5.48 b,china international marine,doll_25.3 b
978,china,doll_7.46 b,huaneng power international,doll_31.47 b
979,canada,doll_27.23 b,restaurant brands international,doll_5.74 b
980,poland,doll_6.44 b,grupa pzu,doll_10.1 b
981,japan,doll_19.19 b,kao,doll_12.91 b
982,china,doll_1.85 b,agile group holdings,doll_11.52 b
983,united states,doll_7.57 b,arrow electronics,doll_34.48 b
984,china,doll_8.54 b,shenzhen overseas,doll_14.88 b
985,united states,doll_7.98 b,tenet healthcare,doll_19.45 b
986,colombia,doll_4.78 b,grupo aval,doll_10.27 b
987,thailand,doll_17.53 b,cp all,doll_17.65 b
988,hong kong,doll_14.82 b,geely automobile holdings,doll_15.76 b
989,united kingdom,doll_5.96 b,centrica,doll_20.28 b
990,united arab emirates,doll_12.38 b,dubai islamic bank,doll_3.16 b
991,brazil,doll_14.66 b,suzano papel e celulose,doll_7.59 b
992,hong kong,doll_18.28 b,link reit,doll_1.47 b
993,canada,doll_35.28 b,yum! brands,doll_6.58 b
994,canada,doll_19.43 b,first quantum minerals,doll_8.29 b
995,ireland,doll_12.59 b,aercap holdings,doll_4.52 b
996,united states,doll_12.21 b,first horizon,doll_3.15 b
997,japan,doll_10.34 b,dentsu,doll_9.88 b
998,united states,doll_19.08 b,molina healthcare,doll_27.77 b
999,india,doll_3.62 b,union bank of india,doll_11.28 b
