ceo,country,market_value_jan_2020,market_value_jan_2021,market_value_jan_2022,name,employees_2022,revenue_2022,sector
NULL,uk,6.309 Billion USD,7.803 Billion USD,9.857 Billion USD,kingfisher,"78,000","15,527 Million USD",consumer cyclical
NULL,sweden,7.334 Billion USD,5.948 Billion USD,9.846 Billion USD,ssab ab (publ),"14,500","10,069 Million USD",basic materials
NULL,finland,8.826 Billion USD,8.747 Billion USD,9.813 Billion USD,elisa oyj,NULL,"2,201 Million USD",communication services
NULL,russia,4.145 Billion USD,5.274 Billion USD,9.777 Billion USD,pik group,NULL,"8,016 Million USD",real estate
NULL,france,11.052 Billion USD,9.083 Billion USD,9.762 Billion USD,dassault aviation sa,"12,757","7,985 Million USD",industries
NULL,luxembourg,NULL,NULL,9.749 Billion USD,allegro.eu sa,NULL,"1,258 Million USD",consumer cyclical
NULL,uk,11.873 Billion USD,9.904 Billion USD,9.748 Billion USD,burberry group,"9,892","3,329 Million USD",consumer cyclical
NULL,norway,10.460 Billion USD,10.093 Billion USD,9.741 Billion USD,orkla asa,"18,110","5,649 Million USD",consumer defensive
NULL,finland,NULL,NULL,9.699 Billion USD,metso outotec oyj,NULL,"4,668 Million USD",industries
NULL,switzerland,11.433 Billion USD,10.190 Billion USD,9.642 Billion USD,temenos ag,"7,500",967 Million USD,technology
NULL,italy,7.122 Billion USD,11.346 Billion USD,9.625 Billion USD,diasorin,"2,024","1,237 Million USD",healthcare
NULL,germany,9.049 Billion USD,7.557 Billion USD,9.597 Billion USD,deutsche lufthansa ag,"138,353","18,526 Million USD",industries
NULL,luxembourg,4.808 Billion USD,7.090 Billion USD,9.570 Billion USD,ternium,"20,173","16,090 Million USD",basic materials
NULL,germany,6.103 Billion USD,6.436 Billion USD,9.497 Billion USD,gea group,"18,232","5,182 Million USD",industries
NULL,sweden,7.380 Billion USD,14.023 Billion USD,9.333 Billion USD,kinnevik ab,40,177 Million USD,financial services
NULL,sweden,7.629 Billion USD,8.044 Billion USD,9.243 Billion USD,autoliv,"61,000","8,230 Million USD",consumer cyclical
NULL,poland,8.371 Billion USD,5.119 Billion USD,9.217 Billion USD,santander bank polska,NULL,0 Million USD,financial services
NULL,uk,7.046 Billion USD,7.874 Billion USD,9.205 Billion USD,auto trader group,909,509 Million USD,ecommerce
NULL,france,12.666 Billion USD,9.422 Billion USD,9.107 Billion USD,accor sa,"260,000","2,429 Million USD",consumer cyclical
NULL,uk,7.080 Billion USD,9.573 Billion USD,9.101 Billion USD,phoenix group holdings,"5,752","32,010 Million USD",financial services
NULL,switzerland,2.166 Billion USD,6.194 Billion USD,9.007 Billion USD,bachem holding ag,NULL,522 Million USD,basic materials
NULL,poland,5.906 Billion USD,8.458 Billion USD,8.999 Billion USD,polskie gornictwo naftowe i gazownictwo,"24,608","14,692 Million USD",energy
NULL,sweden,6.687 Billion USD,6.995 Billion USD,8.934 Billion USD,castellum ab (publ),NULL,667 Million USD,real estate
NULL,switzerland,5.096 Billion USD,7.358 Billion USD,8.856 Billion USD,sig combibloc group ag,NULL,"2,271 Million USD",consumer cyclical
NULL,uk,12.014 Billion USD,9.891 Billion USD,8.838 Billion USD,hargreaves lansdown,"1,610",687 Million USD,financial services
NULL,sweden,4.919 Billion USD,7.383 Billion USD,8.827 Billion USD,husqvarna ab (publ),NULL,"4,941 Million USD",industries
NULL,poland,NULL,NULL,8.817 Billion USD,dino polska s.a.,NULL,"3,140 Million USD",consumer defensive
NULL,portugal,13.908 Billion USD,8.840 Billion USD,8.809 Billion USD,galp energia sgps,"6,114","18,119 Million USD",energy
NULL,uk,7.417 Billion USD,7.770 Billion USD,8.805 Billion USD,rightmove,650,398 Million USD,communication services
NULL,france,9.392 Billion USD,9.289 Billion USD,8.793 Billion USD,getlink se,NULL,853 Million USD,industries
NULL,sweden,1.751 Billion USD,10.239 Billion USD,8.747 Billion USD,sinch ab (publ),"1,892","1,699 Million USD",communication services
NULL,uk,6.731 Billion USD,6.859 Billion USD,8.725 Billion USD,j sainsbury,"111,900","35,211 Million USD",consumer defensive
NULL,belgium,5.495 Billion USD,8.152 Billion USD,8.707 Billion USD,elia system operator sa,NULL,"2,811 Million USD",utilities
NULL,uk,8.646 Billion USD,8.556 Billion USD,8.688 Billion USD,whitbread,"35,455","2,006 Million USD",consumer cyclical
NULL,france,7.545 Billion USD,9.101 Billion USD,8.653 Billion USD,seb sa,"34,000","8,880 Million USD",consumer cyclical
NULL,greece,8.006 Billion USD,NULL,8.617 Billion USD,hellenic telecommunications organization,"16,291","3,712 Million USD",communication services
NULL,luxembourg,7.606 Billion USD,7.432 Billion USD,8.611 Billion USD,rtl group sa,"16,264","6,635 Million USD",communication services
NULL,finland,6.713 Billion USD,5.893 Billion USD,8.608 Billion USD,wartsila oyj abp,"18,307","5,265 Million USD",industries
NULL,czech republic,6.199 Billion USD,7.559 Billion USD,8.600 Billion USD,avast,"1,803",941 Million USD,technology
NULL,uk,8.510 Billion USD,8.236 Billion USD,8.575 Billion USD,taylor wimpey,"6,029","5,608 Million USD",consumer cyclical
NULL,italy,6.203 Billion USD,6.614 Billion USD,8.556 Billion USD,edison s.p.a,"13,351","11,736 Million USD",utilities
NULL,germany,6.030 Billion USD,9.125 Billion USD,8.475 Billion USD,bechtle ag,"11,487","5,303 Million USD",technology
NULL,belgium,4.730 Billion USD,6.012 Billion USD,8.440 Billion USD,warehouses de pauw,NULL,306 Million USD,real estate
NULL,germany,7.185 Billion USD,8.530 Billion USD,8.440 Billion USD,dws group gmbh & co. kgaa,"3,600","2,846 Million USD",financial services
NULL,switzerland,10.370 Billion USD,10.733 Billion USD,8.426 Billion USD,adecco group ag,"30,264","23,086 Million USD",industries
NULL,france,5.148 Billion USD,8.701 Billion USD,8.376 Billion USD,la francaise des jeux societe anonyme,NULL,"2,254 Million USD",consumer cyclical
NULL,russia,9.813 Billion USD,6.660 Billion USD,8.283 Billion USD,vtb bank,NULL,0 Million USD,financial services
NULL,germany,8.757 Billion USD,8.170 Billion USD,8.281 Billion USD,telefonica deutschland holding ag,"8,500","8,557 Million USD",communication services
NULL,ireland,8.353 Billion USD,9.196 Billion USD,8.263 Billion USD,jazz pharmaceuticals,"1,620","3,094 Million USD",healthcare
NULL,luxembourg,5.236 Billion USD,7.064 Billion USD,8.242 Billion USD,b&m european value retail,"32,000","5,504 Million USD",consumer defensive
NULL,uk,6.343 Billion USD,6.744 Billion USD,8.241 Billion USD,intermediate capital group,NULL,900 Million USD,financial services
NULL,netherlands,NULL,NULL,8.231 Billion USD,ctp n.v.,NULL,407 Million USD,real estate
NULL,uk,6.269 Billion USD,11.381 Billion USD,8.210 Billion USD,fresnillo,"5,510","2,703 Million USD",basic materials
NULL,ireland,8.495 Billion USD,6.978 Billion USD,8.206 Billion USD,dcc,"12,773","17,556 Million USD",energy
NULL,poland,4.235 Billion USD,4.139 Billion USD,8.205 Billion USD,lpp sa,NULL,"14,025 Million USD",consumer cyclical
NULL,czech republic,6.939 Billion USD,5.762 Billion USD,8.192 Billion USD,komercni banka,NULL,0 Million USD,financial services
NULL,netherlands,7.778 Billion USD,7.880 Billion USD,8.164 Billion USD,grandvision,"33,681",3 Million USD,consumer cyclical
NULL,hong kong,13.154 Billion USD,7.799 Billion USD,8.125 Billion USD,swire pacific,"130,716","11,532 Million USD",industries
NULL,denmark,4.970 Billion USD,7.650 Billion USD,8.120 Billion USD,rockwool international a/s,"11,700","3,403 Million USD",industries
NULL,norway,6.975 Billion USD,9.231 Billion USD,8.105 Billion USD,schibsted asa,"5,182","1,638 Million USD",communication services
NULL,ireland,6.173 Billion USD,4.868 Billion USD,8.068 Billion USD,bank of ireland group,"9,211",0 Million USD,financial services
NULL,italy,8.173 Billion USD,7.470 Billion USD,8.042 Billion USD,unipolsai assicurazioni,NULL,"16,253 Million USD",financial services
NULL,sweden,5.219 Billion USD,7.826 Billion USD,8.010 Billion USD,holmen aktiebolag (publ.),NULL,"2,045 Million USD",basic materials
NULL,norway,5.825 Billion USD,6.600 Billion USD,7.995 Billion USD,salmar asa,"1,702","1,685 Million USD",consumer defensive
NULL,uk,2.773 Billion USD,4.664 Billion USD,7.965 Billion USD,endava,"6,624",525 Million USD,technology
NULL,uk,6.528 Billion USD,4.983 Billion USD,7.937 Billion USD,meggitt,"10,000","1,949 Million USD",industries
NULL,france,9.994 Billion USD,8.592 Billion USD,7.885 Billion USD,covivio,NULL,858 Million USD,real estate
NULL,uk,NULL,NULL,7.845 Billion USD,oxford nanopore technologies plc,628,174 Million USD,healthcare
NULL,uk,9.771 Billion USD,6.832 Billion USD,7.833 Billion USD,land securities group,530,800 Million USD,real estate
NULL,germany,6.294 Billion USD,7.158 Billion USD,7.827 Billion USD,hella gmbh & co. kgaa,"39,000","6,324 Million USD",consumer cyclical
NULL,switzerland,8.371 Billion USD,7.916 Billion USD,7.821 Billion USD,baloise holding ag,NULL,"9,381 Million USD",financial services
NULL,germany,3.852 Billion USD,7.032 Billion USD,7.800 Billion USD,wacker chemie ag,"14,542","6,711 Million USD",basic materials
NULL,france,7.535 Billion USD,6.840 Billion USD,7.703 Billion USD,ipsen,"5,700","3,243 Million USD",healthcare
NULL,switzerland,5.418 Billion USD,6.427 Billion USD,7.695 Billion USD,wizz air holdings,NULL,"1,663 Million USD",industries
NULL,denmark,6.094 Billion USD,10.303 Billion USD,7.624 Billion USD,gn store nord a/s,"6,525","2,293 Million USD",healthcare
NULL,sweden,7.631 Billion USD,5.761 Billion USD,7.611 Billion USD,beijer ref ab (publ),NULL,"1,778 Million USD",industries
NULL,uk,3.875 Billion USD,5.593 Billion USD,7.604 Billion USD,electrocomponents,"7,044","2,615 Million USD",industries
NULL,france,8.565 Billion USD,9.413 Billion USD,7.584 Billion USD,valeo sa,"110,300","18,664 Million USD",consumer cyclical
NULL,sweden,5.676 Billion USD,5.984 Billion USD,7.533 Billion USD,trelleborg ab (publ),"22,209","3,562 Million USD",industries
NULL,uk,8.372 Billion USD,6.574 Billion USD,7.512 Billion USD,m&g plc,"5,961","19,279 Million USD",financial services
NULL,uk,6.978 Billion USD,7.031 Billion USD,7.502 Billion USD,ds smith,"29,300","8,529 Million USD",consumer cyclical
NULL,switzerland,4.617 Billion USD,5.287 Billion USD,7.500 Billion USD,belimo holding ag,NULL,811 Million USD,industries
NULL,italy,3.399 Billion USD,5.285 Billion USD,7.483 Billion USD,interpump group,"7,418","1,734 Million USD",industries
NULL,denmark,6.781 Billion USD,6.932 Billion USD,7.478 Billion USD,kobenhavns lufthavne a/s,NULL,237 Million USD,industries
NULL,germany,4.408 Billion USD,4.791 Billion USD,7.446 Billion USD,sixt se,"8,500","2,467 Million USD",industries
NULL,russia,5.346 Billion USD,7.874 Billion USD,7.445 Billion USD,magnit,"300,000","24,871 Million USD",consumer defensive
NULL,germany,3.979 Billion USD,6.029 Billion USD,7.422 Billion USD,evotec se,"3,030",618 Million USD,healthcare
NULL,italy,7.371 Billion USD,6.349 Billion USD,7.400 Billion USD,banca mediolanum,"2,321","7,067 Million USD",financial services
NULL,germany,6.281 Billion USD,6.365 Billion USD,7.397 Billion USD,cts eventim ag & co. kgaa,"3,202",440 Million USD,communication services
NULL,switzerland,3.264 Billion USD,4.890 Billion USD,7.339 Billion USD,datwyler holding,"7,000","1,004 Million USD",industries
NULL,uk,5.256 Billion USD,5.631 Billion USD,7.336 Billion USD,howden joinery group,"10,000","2,734 Million USD",consumer cyclical
NULL,netherlands,4.967 Billion USD,4.929 Billion USD,7.327 Billion USD,aalberts nv,"16,094","3,221 Million USD",industries
NULL,france,11.156 Billion USD,6.451 Billion USD,7.308 Billion USD,klepierre sa,"1,100","1,352 Million USD",real estate
NULL,italy,NULL,NULL,7.306 Billion USD,pirelli & c. s.p.a.,"31,575","5,764 Million USD",consumer cyclical
NULL,italy,5.988 Billion USD,5.398 Billion USD,7.301 Billion USD,pirelli & c,"31,600","5,329 Million USD",consumer cyclical
NULL,germany,6.653 Billion USD,7.850 Billion USD,7.300 Billion USD,united internet ag,"9,638","6,104 Million USD",communication services
NULL,uk,4.516 Billion USD,5.898 Billion USD,7.286 Billion USD,janus henderson group,"2,000","2,767 Million USD",financial services
NULL,switzerland,8.753 Billion USD,7.390 Billion USD,7.283 Billion USD,swiss prime site ag,NULL,776 Million USD,real estate
NULL,germany,5.523 Billion USD,6.970 Billion USD,7.277 Billion USD,gsw immobilien ag,NULL,378 Million USD,real estate
NULL,uk,10.352 Billion USD,8.416 Billion USD,7.267 Billion USD,abrdn plc,"6,029","2,236 Million USD",financial services
NULL,uk,8.000 Billion USD,8.082 Billion USD,7.254 Billion USD,berkeley group holdings,"2,709","2,766 Million USD",consumer cyclical
NULL,germany,9.112 Billion USD,6.158 Billion USD,7.243 Billion USD,thyssenkrupp ag,"103,598","37,519 Million USD",industries
NULL,spain,12.155 Billion USD,9.409 Billion USD,7.216 Billion USD,acs actividades de construccion y servicios,"65,000","30,703 Million USD",industries
NULL,poland,5.048 Billion USD,9.875 Billion USD,7.184 Billion USD,kghm polska miedz,"18,444","6,259 Million USD",basic materials
NULL,spain,2.714 Billion USD,4.926 Billion USD,7.182 Billion USD,fluidra,"5,500","2,446 Million USD",industries
NULL,russia,0.120 Billion USD,0.134 Billion USD,7.143 Billion USD,x5 retail group,"339,716","36,232 Million USD",consumer defensive
NULL,ireland,9.285 Billion USD,5.557 Billion USD,7.131 Billion USD,aib group,"9,520","2,419 Million USD",financial services
NULL,uk,NULL,3.885 Billion USD,7.094 Billion USD,airtel africa,"3,300","4,714 Million USD",telecom
NULL,uk,7.887 Billion USD,6.176 Billion USD,7.090 Billion USD,british land company,783,483 Million USD,real estate
NULL,luxembourg,10.928 Billion USD,10.084 Billion USD,7.077 Billion USD,aroundtown sa,500,"1,085 Million USD",real estate
NULL,russia,3.743 Billion USD,3.267 Billion USD,7.030 Billion USD,vsmpo-avisma corporation,NULL,"1,463 Million USD",basic materials
NULL,uk,3.027 Billion USD,4.618 Billion USD,7.026 Billion USD,royal mail,"177,047","14,973 Million USD",industries
NULL,norway,4.801 Billion USD,4.785 Billion USD,7.026 Billion USD,aker asa,"28,000",668 Million USD,energy
NULL,sweden,2.375 Billion USD,2.833 Billion USD,7.009 Billion USD,vitrolife ab (publ),NULL,178 Million USD,healthcare
NULL,switzerland,7.350 Billion USD,6.938 Billion USD,6.968 Billion USD,clariant ag,NULL,"4,539 Million USD",basic materials
NULL,russia,9.394 Billion USD,7.930 Billion USD,6.920 Billion USD,mobile telesystems,"58,415","4,847 Million USD",communication services
NULL,uk,7.969 Billion USD,17.615 Billion USD,6.878 Billion USD,novocure,"1,023",535 Million USD,healthcare
NULL,austria,5.087 Billion USD,6.370 Billion USD,6.864 Billion USD,voestalpine ag,"49,000","14,923 Million USD",basic materials
NULL,uk,5.806 Billion USD,3.646 Billion USD,6.830 Billion USD,marks and spencer group,NULL,"12,821 Million USD",consumer cyclical
NULL,sweden,7.085 Billion USD,6.652 Billion USD,6.815 Billion USD,ab electrolux (publ),"48,000","13,317 Million USD",technology
NULL,italy,2.939 Billion USD,4.497 Billion USD,6.809 Billion USD,reply,"9,059","1,636 Million USD",technology
NULL,netherlands,2.268 Billion USD,2.720 Billion USD,6.791 Billion USD,hunter douglas,"22,000","4,606 Million USD",consumer cyclical
NULL,france,7.380 Billion USD,6.987 Billion USD,6.746 Billion USD,faurecia s.e,"104,739","17,226 Million USD",consumer cyclical
NULL,uk,6.391 Billion USD,7.937 Billion USD,6.713 Billion USD,hikma pharmaceuticals,"8,578","2,553 Million USD",healthcare
NULL,france,3.351 Billion USD,5.803 Billion USD,6.707 Billion USD,somfy sa,NULL,"1,477 Million USD",consumer cyclical
NULL,switzerland,3.878 Billion USD,5.861 Billion USD,6.698 Billion USD,bkw ag,"10,500","3,617 Million USD",utilities
NULL,switzerland,6.979 Billion USD,9.250 Billion USD,6.694 Billion USD,banque cantonale vaudoise,"1,896","1,023 Million USD",financial services
NULL,luxembourg,7.025 Billion USD,7.408 Billion USD,6.679 Billion USD,cpi property group,"4,353",663 Million USD,real estate
NULL,denmark,7.511 Billion USD,8.909 Billion USD,6.653 Billion USD,ascendis pharma a/s,482,8 Million USD,healthcare
NULL,france,5.283 Billion USD,5.490 Billion USD,6.650 Billion USD,eurazeo se,270,"6,147 Million USD",financial services
NULL,uk,NULL,NULL,6.630 Billion USD,pepco group n.v.,NULL,"4,191 Million USD",consumer defensive
NULL,uk,3.868 Billion USD,5.102 Billion USD,6.583 Billion USD,dechra pharmaceuticals,"1,753",716 Million USD,healthcare
NULL,switzerland,3.320 Billion USD,5.800 Billion USD,6.579 Billion USD,tecan group,"2,050","1,012 Million USD",healthcare
NULL,france,6.335 Billion USD,5.683 Billion USD,6.567 Billion USD,ald sa,NULL,"11,536 Million USD",industries
NULL,switzerland,6.967 Billion USD,5.516 Billion USD,6.563 Billion USD,helvetia holding ag,"11,687","12,977 Million USD",financial services
NULL,france,4.049 Billion USD,4.754 Billion USD,6.540 Billion USD,rexel,"24,000","16,203 Million USD",industries
NULL,germany,7.823 Billion USD,5.553 Billion USD,6.540 Billion USD,fraport ag,"22,514","2,364 Million USD",industries
NULL,uk,NULL,5.823 Billion USD,6.537 Billion USD,f&c investment trust,NULL,"1,275 Million USD",investments
NULL,netherlands,5.430 Billion USD,5.548 Billion USD,6.512 Billion USD,asr nederland,"3,934","10,866 Million USD",financial services
NULL,belgium,5.144 Billion USD,5.021 Billion USD,6.501 Billion USD,ackermans & van haaren nv,NULL,"4,756 Million USD",industries
NULL,netherlands,4.025 Billion USD,5.247 Billion USD,6.405 Billion USD,signify,"37,926","7,567 Million USD",industries
NULL,uk,7.493 Billion USD,5.187 Billion USD,6.405 Billion USD,easyjet,"14,000","1,935 Million USD",industries
NULL,france,8.397 Billion USD,8.460 Billion USD,6.390 Billion USD,orpea sa,NULL,"4,297 Million USD",healthcare
NULL,finland,3.637 Billion USD,4.252 Billion USD,6.381 Billion USD,valmet oyj,NULL,"4,340 Million USD",industries
NULL,sweden,4.767 Billion USD,6.589 Billion USD,6.300 Billion USD,sweco ab (publ),NULL,"2,310 Million USD",industries
NULL,france,3.793 Billion USD,4.062 Billion USD,6.295 Billion USD,financiere de l'odet sa,NULL,"26,066 Million USD",industries
NULL,uk,4.342 Billion USD,3.962 Billion USD,6.287 Billion USD,nvent electric,"8,800","2,462 Million USD",industries
NULL,belgium,9.323 Billion USD,6.376 Billion USD,6.257 Billion USD,proximus,"11,423","6,107 Million USD",communication services
NULL,uk,7.970 Billion USD,5.879 Billion USD,6.253 Billion USD,itv,"6,273","4,582 Million USD",communication services
NULL,switzerland,4.642 Billion USD,5.458 Billion USD,6.250 Billion USD,emmi ag,NULL,"4,185 Million USD",consumer defensive
NULL,netherlands,2.906 Billion USD,4.361 Billion USD,6.240 Billion USD,be semiconductor industries,"1,618",826 Million USD,technology
NULL,uk,5.211 Billion USD,7.063 Billion USD,6.227 Billion USD,weir group,"13,500","2,565 Million USD",industries
NULL,uk,6.723 Billion USD,6.918 Billion USD,6.163 Billion USD,pearson plc,"32,000","4,549 Million USD",education
NULL,switzerland,3.609 Billion USD,2.543 Billion USD,6.160 Billion USD,goodyear tire & rubber company,"62,000","17,478 Million USD",consumer cyclical
NULL,denmark,4.141 Billion USD,10.713 Billion USD,6.160 Billion USD,ambu a/s,"3,500",594 Million USD,healthcare
NULL,uk,4.175 Billion USD,4.336 Billion USD,6.143 Billion USD,imi,"10,776","1,135 Million USD",industries
NULL,belgium,1.848 Billion USD,3.098 Billion USD,6.140 Billion USD,vgp nv,NULL,49 Million USD,real estate
NULL,sweden,2.464 Billion USD,3.890 Billion USD,6.088 Billion USD,thule group ab (publ),NULL,"1,101 Million USD",consumer cyclical
NULL,uk,NULL,3.946 Billion USD,6.005 Billion USD,tritax big box reit,NULL,244 Million USD,real estate
NULL,luxembourg,3.463 Billion USD,3.657 Billion USD,6.002 Billion USD,l'occitane international,"9,000","1,780 Million USD",consumer defensive
NULL,norway,1.111 Billion USD,3.054 Billion USD,5.965 Billion USD,nordic semiconductor asa,767,610 Million USD,technology
NULL,italy,6.446 Billion USD,5.325 Billion USD,5.945 Billion USD,hera,NULL,"7,808 Million USD",utilities
NULL,spain,6.710 Billion USD,5.721 Billion USD,5.942 Billion USD,enagas,361,"1,075 Million USD",utilities
NULL,norway,2.904 Billion USD,3.645 Billion USD,5.914 Billion USD,kongsberg gruppen asa,NULL,"2,826 Million USD",industries
NULL,france,4.336 Billion USD,3.886 Billion USD,5.890 Billion USD,alten sa,NULL,"2,924 Million USD",technology
NULL,uk,7.056 Billion USD,3.722 Billion USD,5.883 Billion USD,centrica,"26,932","24,284 Million USD",utilities
NULL,uk,6.160 Billion USD,5.690 Billion USD,5.868 Billion USD,unite group,"1,400",353 Million USD,real estate
NULL,finland,4.595 Billion USD,5.447 Billion USD,5.868 Billion USD,kojamo oyj,296,431 Million USD,real estate
NULL,sweden,5.699 Billion USD,4.853 Billion USD,5.860 Billion USD,axfood ab (publ),NULL,"6,136 Million USD",consumer defensive
NULL,germany,7.231 Billion USD,8.457 Billion USD,5.857 Billion USD,scout24 ag,"1,530",389 Million USD,communication services
NULL,austria,5.416 Billion USD,5.119 Billion USD,5.840 Billion USD,telekom austria ag,"18,153","4,664 Million USD",communication services
NULL,uk,1.841 Billion USD,2.330 Billion USD,5.838 Billion USD,future,NULL,804 Million USD,communication services
NULL,germany,7.186 Billion USD,5.543 Billion USD,5.797 Billion USD,schaeffler ag,"87,700","15,279 Million USD",consumer cyclical
NULL,france,7.911 Billion USD,5.978 Billion USD,5.772 Billion USD,scor se,"2,945","19,625 Million USD",financial services
NULL,uk,NULL,4.428 Billion USD,5.768 Billion USD,rit capital partners,NULL,"1,242 Million USD",investments
NULL,italy,5.823 Billion USD,4.939 Billion USD,5.764 Billion USD,a2a,"12,978","12,739 Million USD",utilities
NULL,sweden,2.171 Billion USD,3.720 Billion USD,5.762 Billion USD,addtech ab (publ.),"3,000","1,323 Million USD",industries
NULL,germany,7.909 Billion USD,3.758 Billion USD,5.759 Billion USD,tui ag,"48,330","5,218 Million USD",consumer cyclical
NULL,germany,5.968 Billion USD,6.599 Billion USD,5.741 Billion USD,lanxess,"14,866","8,335 Million USD",basic materials
NULL,germany,NULL,14.428 Billion USD,5.739 Billion USD,curevac,500,102 Million USD,healthcare
NULL,france,8.426 Billion USD,11.823 Billion USD,5.737 Billion USD,ubisoft entertainment sa,"18,045","2,124 Million USD",communication services
NULL,netherlands,4.422 Billion USD,4.012 Billion USD,5.729 Billion USD,oci,"3,147","6,318 Million USD",basic materials
NULL,germany,4.010 Billion USD,4.316 Billion USD,5.718 Billion USD,lechwerke ag,NULL,"1,621 Million USD",utilities
NULL,switzerland,5.588 Billion USD,5.364 Billion USD,5.709 Billion USD,flughafen zurich ag,NULL,728 Million USD,industries
NULL,sweden,4.075 Billion USD,5.102 Billion USD,5.699 Billion USD,wallenstam ab (publ),NULL,246 Million USD,real estate
NULL,russia,2.980 Billion USD,3.274 Billion USD,5.695 Billion USD,acron,NULL,"1,970 Million USD",basic materials
NULL,france,6.583 Billion USD,4.827 Billion USD,5.691 Billion USD,jcdecaux sa,"10,234","2,521 Million USD",communication services
NULL,finland,6.580 Billion USD,6.414 Billion USD,5.691 Billion USD,orion oyj,"3,337","1,148 Million USD",healthcare
NULL,belgium,7.213 Billion USD,8.005 Billion USD,5.674 Billion USD,etn. fr. colruyt nv,NULL,"10,046 Million USD",consumer defensive
NULL,luxembourg,3.381 Billion USD,3.835 Billion USD,5.622 Billion USD,shurgard self storage,751,331 Million USD,real estate
NULL,denmark,4.460 Billion USD,5.650 Billion USD,5.599 Billion USD,royal unibrew a/s,"2,631","1,294 Million USD",consumer defensive
NULL,sweden,1.621 Billion USD,3.037 Billion USD,5.588 Billion USD,medicover ab (publ),NULL,130 Million USD,healthcare
NULL,france,8.073 Billion USD,5.666 Billion USD,5.569 Billion USD,icade,NULL,"1,831 Million USD",real estate
NULL,switzerland,6.322 Billion USD,6.150 Billion USD,5.568 Billion USD,psp swiss property ag,NULL,862 Million USD,real estate
NULL,luxembourg,NULL,NULL,5.566 Billion USD,ardagh metal packaging s.a.,"16,400","4,055 Million USD",consumer cyclical
NULL,germany,6.670 Billion USD,7.134 Billion USD,5.545 Billion USD,fuchs petrolub se,"5,600","2,870 Million USD",basic materials
NULL,germany,9.060 Billion USD,6.841 Billion USD,5.534 Billion USD,hochtief,"46,644","23,579 Million USD",industries
NULL,austria,4.162 Billion USD,4.070 Billion USD,5.528 Billion USD,bawag group ag,"4,353","1,338 Million USD",financial services
NULL,germany,NULL,NULL,5.504 Billion USD,synlab ag,NULL,"4,152 Million USD",healthcare
NULL,uk,4.424 Billion USD,4.480 Billion USD,5.499 Billion USD,spectris,"8,450","1,714 Million USD",technology
NULL,sweden,4.958 Billion USD,5.082 Billion USD,5.494 Billion USD,aak ab (publ.),"3,978","3,758 Million USD",consumer defensive
NULL,germany,4.042 Billion USD,5.944 Billion USD,5.467 Billion USD,gelsenwasser ag,"1,595","6,298 Million USD",utilities
NULL,ireland,6.922 Billion USD,6.104 Billion USD,5.447 Billion USD,perrigo company,"11,500","4,138 Million USD",healthcare
NULL,uk,3.042 Billion USD,3.733 Billion USD,5.433 Billion USD,diploma plc,NULL,"1,044 Million USD",industries
NULL,finland,4.020 Billion USD,4.851 Billion USD,5.432 Billion USD,nokian renkaat oyj,NULL,"1,891 Million USD",automobile parts
NULL,uk,6.198 Billion USD,4.984 Billion USD,5.418 Billion USD,bellway,"2,889","3,677 Million USD",real estate
NULL,uk,7.603 Billion USD,6.396 Billion USD,5.417 Billion USD,johnson matthey,"15,352","18,875 Million USD",basic materials
NULL,germany,6.775 Billion USD,6.761 Billion USD,5.416 Billion USD,fielmann,"22,245","1,678 Million USD",consumer cyclical
NULL,belgium,2.367 Billion USD,3.633 Billion USD,5.406 Billion USD,lotus bakeries nv,"2,155",827 Million USD,consumer defensive
NULL,switzerland,3.596 Billion USD,4.407 Billion USD,5.387 Billion USD,sfs group ag,"10,692","2,030 Million USD",industries
NULL,poland,6.152 Billion USD,5.224 Billion USD,5.384 Billion USD,cyfrowy polsat,NULL,"2,613 Million USD",communication services
NULL,uk,3.101 Billion USD,3.205 Billion USD,5.365 Billion USD,frasers group,"19,962","4,270 Million USD",consumer cyclical
NULL,denmark,2.684 Billion USD,4.474 Billion USD,5.340 Billion USD,alk-abello a/s,NULL,580 Million USD,healthcare
NULL,italy,5.078 Billion USD,5.124 Billion USD,5.308 Billion USD,italgas,NULL,"1,427 Million USD",utilities
NULL,austria,3.482 Billion USD,3.879 Billion USD,5.294 Billion USD,evn ag,"7,428","2,641 Million USD",utilities
NULL,italy,3.198 Billion USD,4.694 Billion USD,5.283 Billion USD,de'longhi,"8,607","3,219 Million USD",consumer cyclical
NULL,switzerland,3.531 Billion USD,4.846 Billion USD,5.280 Billion USD,dksh holding,NULL,"11,883 Million USD",industries
NULL,uk,2.720 Billion USD,3.632 Billion USD,5.271 Billion USD,mimecast,"1,800",501 Million USD,technology
NULL,sweden,1.678 Billion USD,4.367 Billion USD,5.258 Billion USD,avanza bank holding ab (publ),450,408 Million USD,financial services
NULL,uk,5.755 Billion USD,5.903 Billion USD,5.255 Billion USD,direct line insurance group,"10,762","4,285 Million USD",financial services
NULL,france,5.839 Billion USD,5.227 Billion USD,5.249 Billion USD,wendel,NULL,"8,276 Million USD",financial services
NULL,uk,5.201 Billion USD,5.460 Billion USD,5.225 Billion USD,convatec group,"9,400","2,038 Million USD",healthcare
NULL,greece,4.157 Billion USD,4.529 Billion USD,5.217 Billion USD,greek organization of football prognostics,"1,503","1,245 Million USD",consumer cyclical
