,name,rank,marketcap,country,share_price,change1d,change1y,categories
3549,CenturyPly,4291,$1.36 B,india,$6.16,-1.33%,-29.76%,None
3550,City Holding Company,4292,$1.36 B,usa,$92.09,-1.19%,8.33%,banks financial-services 
3551,"Arco Platform
",4797,$0.90 B,brazil,$13.45,0.00%,-29.80%,education 
3552,"Sterlite Technologies
",4798,$0.90 B,india,$2.27,2.59%,-37.81%,None
3553,International Money Express,4793,$0.90 B,usa,$24.46,2.03%,46.54%,financial-services 
3554,STRATEC,4501,$1.16 B,germany,$96.11,-0.78%,-28.98%,None
3555,Albireo Pharma,4788,$0.91 B,usa,$43.94,0.10%,61.92%,pharmaceuticals biotech 
3556,Arcutis Biotherapeutics,4790,$0.90 B,usa,$14.92,1.70%,-14.30%,biotech pharmaceuticals 
3557,"Knr Constructions
",4787,$0.91 B,india,$3.25,-1.84%,-23.17%,construction 
3558,Grid Dynamics,4783,$0.91 B,usa,$12.37,0.00%,-60.80%,tech it-services professional-services 
3559,ASOS,4780,$0.91 B,united-kingdom,$9.19,1.76%,-71.78%,e-commerce retail clothing 
3560,Geopark,4789,$0.90 B,chile,$15.54,2.71%,15.11%,oil-gas energy 
3561,Shentel,4785,$0.91 B,usa,$18.25,0.22%,-25.17%,None
3562,Plymouth Industrial REIT,4784,$0.91 B,usa,$21.11,0.67%,-26.24%,real-estate investment reit 
3563,Rush Street Interactive,4801,$0.90 B,usa,$4.09,2.25%,-65.10%,entertainment gambling internet 
3564,W&T Offshore,4779,$0.91 B,usa,$6.42,3.22%,46.24%,oil-gas energy 
3565,Enerflex,4778,$0.92 B,canada,$7.44,2.97%,7.90%,oil-gas oil-gas-equipment-services energy 
3566,"Ferroglobe
",4777,$0.92 B,united-kingdom,$4.92,3.14%,-12.14%,None
3567,"American Woodmark
",4786,$0.91 B,usa,$54.98,1.66%,-15.12%,None
3568,AerSale,4782,$0.91 B,usa,$17.72,1.26%,13.66%,None
3569,Singapore Post,4781,$0.91 B,singapore,$0.41,1.89%,-16.33%,delivery-services transportation 
3570,Cimpress,4899,$0.82 B,ireland,$31.47,0.25%,-57.24%,internet e-commerce tech 
3571,Mirum Pharmaceuticals,4901,$0.82 B,usa,$22.36,0.13%,19.32%,biotech pharmaceuticals 
3572,Ponsse,4891,$0.82 B,finland,$29.65,0.55%,-37.84%,machinery-manufacturing 
3573,Caleres,4893,$0.82 B,usa,$23.26,1.59%,0.50%,footwear 
3574,Nextdoor,4890,$0.83 B,usa,$2.24,2.98%,-63.79%,internet tech 
3575,ScanSource,4894,$0.82 B,usa,$32.67,0.90%,-4.75%,None
3576,Repay Holdings,4898,$0.82 B,usa,$9.11,1.90%,-46.82%,financial-services tech 
3577,Interfor,4895,$0.82 B,canada,$16.08,3.76%,-53.19%,None
3578,Hawkins,4900,$0.82 B,usa,$39.25,0.80%,-0.36%,chemicals 
3579,Softchoice,4897,$0.82 B,canada,$14.10,0.00%,-15.16%,it-services professional-services 
3580,Dah Sing Financial,4887,$0.83 B,hong-kong,$2.60,0.00%,-19.00%,banks financial-services 
3581,"Ellington Financial
",4888,$0.83 B,usa,$13.74,0.77%,-22.34%,financial-services investment 
3582,"Aktia Bank
",4892,$0.82 B,finland,$11.49,1.15%,-20.10%,banks financial-services 
3583,SPARC,4896,$0.82 B,india,$2.55,-1.08%,-40.97%,pharmaceuticals biotech 
3584,"Varex Imaging
",4889,$0.83 B,usa,$20.72,0.48%,-28.75%,medical-devices medical-equipment 
3585,"Anavex Life Sciences
",4886,$0.83 B,usa,$10.68,2.10%,-19.21%,pharmaceuticals biotech genomics 
3586,"TCG BDC
",4997,$0.75 B,usa,$14.79,-0.13%,4.60%,financial-services 
3587,"Coherus BioSciences
",4995,$0.76 B,usa,$9.79,0.82%,-29.57%,pharmaceuticals biotech 
3588,Archer Aviation,5000,$0.75 B,usa,$3.10,20.35%,-13.75%,aircraft-manufacturers manufacturing aerospace 
3589,Olvi plc,4991,$0.76 B,finland,$36.92,-1.31%,-35.42%,beverages alcoholic-beverages 
3590,"ADMA Biologics
",4989,$0.76 B,usa,$3.46,1.32%,147.50%,pharmaceuticals 
3591,Banco Latinoamericano de Comercio Exterior,4998,$0.75 B,None,$16.97,-0.53%,-1.79%,banks financial-services 
3592,Wallbox,4986,$0.76 B,spain,$4.72,4.13%,-65.24%,ev-charging electricity energy 
3593,"AMC Networks
",4987,$0.76 B,usa,$17.87,1.65%,-57.65%,media-press 
3594,Alabama Power,4990,$0.76 B,usa,$25.03,0.08%,-2.83%,energy electricity utility-companies 
3595,"iDreamSky
",4988,$0.76 B,china,$0.54,2.42%,-20.59%,video-games entertainment 
3596,United Fire Group,4996,$0.76 B,usa,$30.21,-0.66%,18.98%,insurance 
3597,"Finnair
",4985,$0.76 B,finland,$0.55,3.58%,-25.68%,airlines travel transportation 
3598,PubMatic,4992,$0.76 B,usa,$14.54,1.50%,-44.52%,advertising internet software tech 
3599,LiveChat Software,4993,$0.76 B,poland,$29.58,0.00%,1.41%,software tech 
3600,"Jin Air
",4999,$0.75 B,south-korea,$14.67,3.13%,7.63%,airlines travel transportation 
3601,"Norwegian Air Shuttle
",4994,$0.76 B,norway,$0.82,2.61%,-38.81%,airlines travel transportation 
3602,"SunCoke Energy
",4975,$0.77 B,usa,$9.26,1.04%,23.70%,None
3603,"Ambac
",4984,$0.76 B,usa,$17.10,1.21%,3.98%,financial-services insurance 
3604,Bank First,4971,$0.77 B,usa,$86.00,0.79%,20.04%,banks financial-services 
3605,"Theravance Biopharma
",4983,$0.76 B,None,$11.42,-0.17%,15.59%,pharmaceuticals biotech 
3606,iStar,4982,$0.76 B,usa,$8.88,0.40%,-64.80%,real-estate investment reit 
3607,"WisdomTree Investments
",4974,$0.77 B,usa,$5.26,0.00%,-17.68%,financial-services investment asset-management 
3608,Qurate Retail Group,4980,$0.77 B,usa,$1.94,0.26%,-75.57%,retail 
3609,Vitru,4981,$0.76 B,brazil,$23.00,-1.33%,66.67%,education 
3610,Shenzhen Zqgame,4972,$0.77 B,china,$2.96,2.85%,-46.95%,video-games entertainment 
3611,"Amber Enterprises India
",4978,$0.77 B,india,$22.87,-0.47%,-51.16%,None
3612,Badger Infrastructure Solutions,4976,$0.77 B,canada,$22.37,0.44%,-11.86%,None
3613,BEML,4973,$0.77 B,india,$18.60,0.14%,-25.72%,mining 
3614,The Vita Coco Company,4977,$0.77 B,usa,$13.78,0.66%,33.40%,beverages 
3615,Aspen Aerogels,4969,$0.77 B,usa,$11.74,3.03%,-69.31%,building-materials 
3616,Accel Entertainment,4979,$0.77 B,usa,$8.81,0.34%,-28.08%,entertainment gambling 
3617,MultiPlan,4970,$0.77 B,usa,$1.22,2.10%,-69.40%,healthcare 
3618,"Zeal Network
",4964,$0.77 B,germany,$34.81,0.47%,-20.56%,None
3619,IES Holdings,4959,$0.78 B,usa,$38.85,-0.59%,-24.11%,None
3620,Pitney Bowes,4966,$0.77 B,usa,$4.47,1.59%,-32.27%,transportation delivery-services 
3621,Altimmune,4963,$0.77 B,usa,$15.84,5.88%,102.04%,pharmaceuticals biotech 
3622,Magic Software,4955,$0.78 B,israel,$15.99,-0.17%,-18.61%,None
3623,"Bioceres Crop Solutions
",4967,$0.77 B,None,$12.37,0.32%,-11.01%,agriculture 
3624,KSB ltd,4957,$0.78 B,india,$22.58,0.18%,31.74%,None
3625,Borosil,4958,$0.78 B,india,$6.02,0.14%,-30.08%,glassware 
3626,Exscientia,4960,$0.78 B,united-kingdom,$6.38,0.00%,-69.69%,pharmaceuticals biotech software tech 
3627,Bombay Burmah,4953,$0.78 B,india,$11.27,-0.21%,-25.27%,financial-services 
3628,"Kahoot!
",4954,$0.78 B,norway,$1.60,2.04%,-62.70%,education internet 
3629,NerdWallet,4968,$0.77 B,usa,$10.45,0.87%,-21.66%,financial-services tech internet 
3630,"Drägerwerk
",4956,$0.78 B,germany,$39.80,0.14%,-31.74%,None
3631,ioneer,4965,$0.77 B,australia,$14.82,-0.67%,None,mining 
3632,Via S.A.,4962,$0.78 B,brazil,$0.49,-1.18%,-30.00%,retail 
3633,Eventbrite,4961,$0.78 B,usa,$7.93,4.19%,-51.18%,internet 
3634,"Amarin Corporation
",4951,$0.79 B,ireland,$1.96,-0.57%,-44.36%,pharmaceuticals biotech 
3635,Cellcom Israel,4950,$0.79 B,israel,$4.80,-2.50%,-23.93%,telecommunication 
3636,Heritage Commerce,4952,$0.78 B,usa,$13.00,-1.14%,2.44%,banks financial-services 
3637,Enfusion,4947,$0.79 B,usa,$11.52,1.14%,-30.69%,financial-services investment 
3638,Tokmanni,4940,$0.79 B,finland,$13.60,-1.18%,-37.21%,retail 
3639,WalkMe,4945,$0.79 B,israel,$9.44,1.45%,-44.47%,software tech 
3640,Bicycle Therapeutics,4937,$0.80 B,united-kingdom,$27.00,0.26%,-44.26%,pharmaceuticals biotech 
3641,"Praj Industries
",4942,$0.79 B,india,$4.35,-0.65%,-24.22%,engineering 
3642,Peoples Bancorp,4948,$0.79 B,usa,$28.05,-0.95%,-16.52%,banks financial-services 
3643,Ingersoll Rand India,4944,$0.79 B,india,$25.26,0.90%,39.64%,None
3644,edenor,4946,$0.79 B,None,$9.39,0.41%,84.80%,utility-companies energy electricity 
3645,NextDecade Corp,4938,$0.80 B,usa,$5.55,0.18%,111.03%,energy oil-gas 
3646,Stillfront Group,4941,$0.79 B,sweden,$1.49,2.57%,-72.81%,video-games entertainment 
3647,CareDx,4949,$0.79 B,usa,$14.81,4.37%,-64.41%,None
3648,Origin Materials,4943,$0.79 B,usa,$5.59,1.64%,-3.29%,None
3649,"Pacific Century Regional Developments
",4939,$0.80 B,singapore,$0.30,-1.23%,-3.23%,investment asset-management 
3650,CEAT,4936,$0.80 B,india,$19.88,-1.37%,27.68%,tires 
3651,REV Group,4935,$0.80 B,usa,$13.44,0.52%,-4.82%,specialty-vehicles manufacturing 
3652,Associated Capital Group,4921,$0.81 B,usa,$37.00,0.00%,-19.21%,investment 
3653,JBM Auto,4933,$0.80 B,india,$6.82,1.13%,-66.40%,None
3654,Summit Hotel Properties,4923,$0.81 B,usa,$7.60,0.60%,-24.85%,real-estate investment reit hotels travel 
3655,Movado,4932,$0.80 B,usa,$35.25,-0.28%,-9.34%,None
3656,"Network18
",4928,$0.80 B,india,$0.77,-0.79%,-37.40%,media-press 
3657,Navios Maritime Partners,4925,$0.81 B,None,$26.87,1.82%,6.46%,None
3658,Vacasa,4930,$0.80 B,usa,$1.78,2.01%,-77.24%,tech internet travel online-travel 
3659,Standard Motor Products (SMP),4931,$0.80 B,usa,$37.43,0.13%,-28.05%,automotive-suppliers manufacturing 
3660,"Prince Pipes And Fittings
",4934,$0.80 B,india,$7.28,1.56%,-26.46%,None
3661,BioXcel Therapeutics,4927,$0.81 B,usa,$28.91,2.05%,48.26%,pharmaceuticals biotech 
3662,Mercer International,4922,$0.81 B,canada,$12.30,0.49%,-1.60%,pulp-and-paper 
3663,Washington Trust Bancorp,4924,$0.81 B,usa,$47.28,-0.82%,-20.84%,banks financial-services 
3664,Laredo Petroleum,4929,$0.80 B,usa,$48.09,1.14%,-35.98%,oil-gas energy 
3665,Team17,4926,$0.81 B,united-kingdom,$5.44,7.88%,-44.72%,video-games tech entertainment 
3666,CrossAmerica Partners,4918,$0.81 B,usa,$21.49,1.22%,0.19%,oil-gas energy retail 
3667,Zealand Pharma,4920,$0.81 B,denmark,$17.59,0.00%,-17.73%,pharmaceuticals biotech 
3668,Converge Technology Solutions,4917,$0.81 B,canada,$3.88,1.17%,-49.28%,it-services professional-services 
3669,Azul,4916,$0.81 B,brazil,$7.04,6.90%,-50.80%,airlines travel transportation 
3670,ChipMOS Technologies,4907,$0.82 B,taiwan,$22.57,0.76%,-37.04%,semiconductors tech tech-hardware 
3671,POINT Biopharma,4913,$0.81 B,usa,$7.73,0.13%,41.58%,biotech pharmaceuticals 
3672,"Indiabulls Housing Finance
",4908,$0.82 B,india,$1.74,0.71%,-41.81%,financial-services 
3673,"Simulations Plus
",4912,$0.81 B,usa,$40.17,1.29%,-15.25%,software tech 
3674,Yext,4910,$0.81 B,usa,$6.70,0.68%,-22.66%,software tech 
3675,Clairvest Group,4909,$0.81 B,canada,$54.52,0.00%,0.79%,investment 
3676,Community Trust Bancorp,4911,$0.81 B,usa,$45.65,-1.51%,-0.65%,banks financial-services 
3677,Boston Omaha,4919,$0.81 B,usa,$27.42,-1.46%,-2.23%,advertising 
3678,Lyell Immunopharma,4915,$0.81 B,usa,$3.28,7.03%,-45.78%,pharmaceuticals biotech 
3679,Symphony Limited,4905,$0.82 B,india,$11.77,0.21%,-18.77%,electronics manufacturing 
3680,James River Group,4914,$0.81 B,None,$21.80,1.35%,-24.83%,insurance 
3681,Shinpoong Pharm,4906,$0.82 B,south-korea,$16.69,-0.72%,-23.69%,pharmaceuticals 
3682,Quanex Building Products,4902,$0.82 B,usa,$24.88,0.06%,3.64%,None
3683,Cellebrite,4885,$0.83 B,israel,$4.40,-1.24%,-32.49%,software tech 
3684,Aehr Test Systems,4883,$0.83 B,usa,$30.37,6.82%,126.98%,semiconductors tech 
3685,"CBL Properties
",4876,$0.84 B,usa,$26.40,1.34%,-12.96%,reit real-estate investment 
3686,Artis REIT,4881,$0.83 B,canada,$7.22,-0.41%,-24.32%,real-estate investment reit 
3687,"QuinStreet
",4880,$0.83 B,usa,$15.60,-0.75%,-4.04%,advertising internet tech 
3688,Hangzhou Electronic Soul Network Technology,4877,$0.84 B,china,$3.42,1.33%,-27.54%,video-games entertainment internet 
3689,AvePoint,4884,$0.83 B,usa,$4.47,1.13%,-28.25%,software tech 
3690,Ranger Oil,4874,$0.84 B,usa,$44.06,2.10%,38.10%,oil-gas energy 
3691,Cadre,4903,$0.82 B,usa,$22.08,1.03%,2.29%,financial-services investment 
3692,Deluxe,4878,$0.83 B,usa,$19.47,0.26%,-41.37%,financial-services 
3693,SMART Global Holdings,4879,$0.83 B,usa,$17.05,2.10%,-74.26%,semiconductors tech tech-hardware 
3694,Republic Bank,4875,$0.84 B,usa,$42.56,-0.42%,-18.47%,banks financial-services 
3695,"Forestar Group
",4873,$0.84 B,usa,$16.91,0.36%,-12.38%,real-estate 
3696,DIC Asset,4882,$0.83 B,germany,$10.06,0.00%,-43.42%,real-estate investment 
3697,Bristow Group,4904,$0.82 B,usa,$29.41,1.62%,-16.99%,aerospace 
3698,Hinduja Global Solutions,4863,$0.85 B,india,$16.28,-0.25%,-59.10%,None
3699,Sligro Food,4869,$0.84 B,netherlands,$19.11,0.69%,-23.35%,food retail supermarkets 
3700,TimkenSteel,4861,$0.85 B,usa,$19.25,3.66%,19.71%,steel-producers steel-industry 
3701,BigCommerce,4870,$0.84 B,usa,$11.44,4.19%,-63.22%,e-commerce internet tech 
3702,Sharecare,4866,$0.84 B,usa,$2.40,1.48%,-27.64%,healthcare 
3703,Shen Zhen Shengxunda Technology (gamexun),4868,$0.84 B,china,$5.93,1.90%,-25.60%,video-games entertainment 
3704,"QCR Holdings
",4871,$0.84 B,usa,$49.90,-0.78%,-19.20%,banks financial-services 
3705,"Chalet Hotels
",4865,$0.84 B,india,$4.13,-0.83%,29.06%,hotels travel 
3706,"Unitil Corporation
",4862,$0.85 B,usa,$53.34,0.50%,14.57%,utility-companies electricity oil-gas energy 
3707,"Bangkok Airways
",4867,$0.84 B,thailand,$0.40,-1.49%,42.86%,airlines travel transportation 
3708,Office Properties Income Trust,4858,$0.85 B,usa,$17.70,0.34%,-36.60%,reit real-estate investment 
3709,NBCC India,4859,$0.85 B,india,$0.48,-0.13%,-32.39%,None
3710,7Road,4857,$0.86 B,china,$0.31,0.00%,-6.06%,video-games entertainment 
3711,"First Foundation
",4860,$0.85 B,usa,$15.22,0.13%,-44.78%,banks financial-services 
3712,SLR Investment,4872,$0.84 B,usa,$15.38,0.65%,-18.45%,investment financial-services asset-management 
3713,BrainChip,4864,$0.84 B,australia,$0.48,1.48%,-55.14%,tech software semiconductors tech-hardware 
3714,Rashtriya Chemicals and Fertilizers,4856,$0.86 B,india,$1.56,0.60%,38.05%,chemicals fertilizer 
3715,Mission Produce,4852,$0.86 B,usa,$12.25,-0.49%,-11.62%,food 
3716,Cera Sanitaryware,4855,$0.86 B,india,$66.25,0.54%,-1.68%,None
3717,"CRA International
",4849,$0.86 B,usa,$121.71,-0.63%,37.57%,professional-services 
3718,Chase Corporation,4847,$0.87 B,usa,$91.66,0.41%,-4.17%,chemicals 
3719,"Heska Corporation
",4851,$0.86 B,usa,$80.04,1.32%,-47.60%,medical-devices diagnostics 
3720,"Hibbett Sports
",4845,$0.87 B,usa,$68.69,0.85%,10.95%,footwear 
3721,PAR Technology,4853,$0.86 B,usa,$31.64,3.47%,-28.25%,software tech food 
3722,DocGo,4846,$0.87 B,usa,$8.51,2.16%,16.58%,healthcare 
3723,"BSE
",4841,$0.87 B,india,$6.48,-0.76%,-76.47%,stock-exchanges financial-services exchanges 
3724,Edelweiss Financial Services,4843,$0.87 B,india,$0.93,1.96%,-4.12%,financial-services 
3725,NewAmsterdam Pharma Company,4848,$0.86 B,netherlands,$10.10,0.30%,3.06%,pharmaceuticals biotech 
3726,(DIA) Distribuidora Internacional de Alimentación,4842,$0.87 B,spain,$0.02000,-0.71%,0.00%,supermarkets food retail 
3727,Perfect Corp.,4844,$0.87 B,taiwan,$7.40,-0.66%,None,software tech cosmetics 
3728,"Agenus
",4854,$0.86 B,usa,$2.83,1.85%,-7.17%,biotech pharmaceuticals 
3729,"Bain Capital
",4850,$0.86 B,usa,$13.45,0.37%,-14.60%,asset-management investment 
3730,"Norway Royal Salmon
",4837,$0.87 B,norway,$14.86,0.00%,-21.17%,food 
3731,RCI Hospitality Holdings,4839,$0.87 B,usa,$95.22,0.60%,12.10%,None
3732,VTEX,4832,$0.88 B,united-kingdom,$4.61,1.77%,-39.18%,software tech e-commerce 
3733,ViewRay,4838,$0.87 B,usa,$4.84,2.00%,1.57%,biotech medical-devices 
3734,IonQ,4836,$0.88 B,usa,$4.40,1.26%,-65.93%,tech tech-hardware software 
3735,"National Healthcare
",4826,$0.88 B,usa,$57.78,0.47%,-15.69%,healthcare 
3736,Graphite India,4827,$0.88 B,india,$4.54,-1.02%,-39.14%,None
3737,"Astec Industries
",4828,$0.88 B,usa,$39.00,1.09%,-45.18%,None
3738,Heritage-Crystal Clean,4831,$0.88 B,usa,$36.56,1.25%,17.03%,waste-recycling 
3739,Steelcase,4840,$0.87 B,usa,$7.78,-0.06%,-39.68%,furniture manufacturing 
3740,Hypoport,4835,$0.88 B,germany,$139.77,0.94%,-71.97%,None
3741,Synthomer,4833,$0.88 B,united-kingdom,$1.80,-1.73%,-65.32%,chemicals 
3742,Taboola.com,4830,$0.88 B,usa,$3.49,2.65%,-43.80%,advertising internet tech 
3743,Alpha & Omega Semiconductor,4825,$0.88 B,usa,$32.41,3.12%,-36.19%,semiconductors tech tech-hardware 
3744,GoPro,4829,$0.88 B,usa,$5.68,1.52%,-45.64%,electronics 
3745,Redwood Trust,4834,$0.88 B,usa,$7.77,1.83%,-39.06%,real-estate investment reit 
3746,IDEAYA Biosciences,4819,$0.89 B,usa,$18.57,1.87%,4.21%,biotech pharmaceuticals 
3747,Winmark,4821,$0.89 B,usa,$259.40,1.99%,15.79%,retail 
3748,Cogent Biosciences,4823,$0.88 B,usa,$12.72,0.51%,63.77%,pharmaceuticals biotech 
3749,Yellow Cake plc,4818,$0.89 B,None,$4.88,-0.45%,4.27%,uranium energy 
3750,Africa Oil,4809,$0.89 B,canada,$1.94,2.77%,21.25%,oil-gas energy 
3751,Genius Sports,4815,$0.89 B,united-kingdom,$4.35,2.04%,-33.43%,tech software 
3752,"RPT Realty
",4816,$0.89 B,usa,$10.30,0.68%,-24.38%,real-estate investment reit 
3753,A-Mark Precious Metals,4813,$0.89 B,usa,$38.21,-1.04%,-34.96%,None
3754,Myers Industries,4824,$0.88 B,usa,$24.35,-0.41%,26.63%,None
3755,Phnom Penh Water Supply Authority,4811,$0.89 B,cambodia,$1.88,-0.52%,None,utility-companies 
3756,"Douglas Dynamics
",4820,$0.89 B,usa,$39.00,0.59%,1.72%,None
3757,Westlake Chemical Partners,4817,$0.89 B,usa,$25.38,0.00%,-6.66%,chemicals 
3758,LivePerson,4814,$0.89 B,usa,$11.88,4.49%,-64.46%,software tech 
3759,"UFP Technologies
",4810,$0.89 B,usa,$118.53,0.04%,59.12%,manufacturing 
3760,Riskified,4812,$0.89 B,israel,$5.30,0.28%,-19.28%,software tech financial-services 
3761,Osisko Mining,4822,$0.89 B,canada,$2.56,1.48%,-19.24%,mining gold-mining 
3762,Select Energy Services,4599,$1.05 B,usa,$9.26,-0.64%,36.18%,None
3763,Provention Bio,4804,$0.90 B,usa,$10.33,-1.23%,117.51%,pharmaceuticals biotech 
3764,BrightSphere Investment Group,4803,$0.90 B,usa,$21.75,0.09%,-11.01%,investment asset-management financial-services 
3765,AZZ,4600,$1.05 B,usa,$42.49,0.19%,-17.30%,None
3766,Anywhere Real Estate,4808,$0.89 B,usa,$8.21,1.73%,-50.15%,real-estate 
3767,Recipe Unlimited,4806,$0.90 B,canada,$15.31,0.10%,6.25%,restaurant-chains food 
3768,Perella Weinberg Partners,4802,$0.90 B,usa,$10.28,0.98%,-9.67%,financial-services 
3769,"Enanta Pharmaceuticals
",4598,$1.06 B,usa,$50.99,5.74%,-15.02%,pharmaceuticals biotech 
3770,PostNL,4596,$1.06 B,netherlands,$2.19,1.18%,-45.39%,delivery-services 
3771,Yatsen Holding,4807,$0.90 B,china,$1.61,-5.85%,-6.94%,retail cosmetics 
3772,"Biolife Solutions
",4592,$1.07 B,usa,$25.14,0.76%,-18.48%,biotech 
3773,Titan International,4594,$1.06 B,usa,$17.02,1.85%,53.46%,tires 
3774,Inter & Co,4597,$1.06 B,brazil,$2.66,2.12%,None,banks financial-services 
3775,S&T AG,4593,$1.07 B,None,$16.25,0.00%,-2.75%,professional-services 
3776,Steel Partners,4805,$0.90 B,usa,$41.60,-4.28%,7.27%,steel-industry 
3777,USANA,4595,$1.06 B,usa,$55.63,0.25%,-45.06%,mlm wellness dietary-supplements 
3778,"SpartanNash
",4584,$1.08 B,usa,$30.83,-0.84%,22.34%,supermarkets retail food 
3779,Grupa Kety,4583,$1.08 B,poland,$112.66,0.62%,-32.63%,aluminum 
3780,"LendingClub
",4588,$1.07 B,usa,$10.26,1.53%,-57.47%,financial-services tech internet 
3781,"Hamburger Hafen
",4581,$1.08 B,germany,$14.40,0.91%,-37.58%,ports infrastructure 
3782,uniQure,4579,$1.08 B,netherlands,$23.25,3.24%,15.04%,gene-therapy genomics pharmaceuticals biotech 
3783,"Energy Fuels
",4589,$1.07 B,usa,$6.84,0.81%,-4.41%,mining uranium energy 
3784,Rhön-Klinikum,4591,$1.07 B,germany,$16.07,1.37%,-6.13%,None
3785,Agrana,4578,$1.08 B,None,$17.43,0.00%,-13.58%,food 
3786,Momentive Global,4577,$1.08 B,usa,$7.33,1.24%,-58.75%,software tech 
3787,"Armada Hoffler Properties
",4580,$1.08 B,usa,$12.32,0.00%,-13.73%,real-estate investment reit 
3788,"American Well
",4587,$1.08 B,usa,$3.92,0.37%,-15.42%,telehealth healthcare internet tech 
3789,"Riot Blockchain
",4586,$1.08 B,usa,$6.49,1.25%,-68.62%,tech bitcoin bitcoin-mining 
3790,"PROS
",4582,$1.08 B,usa,$24.00,0.54%,-17.81%,None
3791,VEON,4576,$1.08 B,netherlands,$0.57,-0.87%,-64.38%,telecommunication 
3792,KKR Real Estate Finance Trust,4590,$1.07 B,usa,$15.58,0.59%,-29.75%,real-estate investment reit 
3793,Cowen,4585,$1.08 B,usa,$38.78,0.01%,10.59%,banks financial-services investment 
3794,"Denison Mines
",4571,$1.09 B,canada,$1.32,1.92%,-2.57%,mining uranium energy 
3795,Paymentus,4574,$1.09 B,usa,$8.86,3.44%,-68.60%,financial-services 
3796,"Wolverine World Wide
",4569,$1.09 B,usa,$13.89,0.36%,-47.23%,footwear manufacturing 
3797,IGM Biosciences,4562,$1.10 B,usa,$25.72,0.14%,17.53%,biotech pharmaceuticals 
3798,New York Mortgage Trust,4570,$1.09 B,usa,$2.94,0.17%,-22.09%,reit real-estate investment 
3799,GB Group (GBG),4560,$1.10 B,united-kingdom,$4.37,-0.39%,-52.60%,tech software 
3800,German American Bancorp,4563,$1.10 B,usa,$37.34,-0.90%,-9.83%,banks financial-services 
3801,Cementir,4572,$1.09 B,italy,$7.02,-0.15%,-26.34%,cement building-materials 
3802,"Golden Entertainment
",4564,$1.10 B,usa,$38.60,0.99%,-15.93%,entertainment gambling 
3803,Metrovacesa,4573,$1.09 B,spain,$7.20,0.30%,-8.40%,construction real-estate 
3804,Dah Sing Banking Group,4567,$1.09 B,hong-kong,$0.78,-0.16%,-17.89%,banks financial-services 
3805,"Seabridge Gold
",4566,$1.09 B,canada,$13.64,0.74%,-12.79%,mining gold-mining silver-mining 
3806,Headwater Exploration,4565,$1.09 B,canada,$4.78,2.07%,-8.25%,oil-gas energy 
3807,"Gray Television
",4568,$1.09 B,usa,$11.79,0.51%,-48.47%,media-press 
3808,UserTesting,4575,$1.08 B,usa,$7.50,-0.13%,1.76%,software tech 
3809,Tompkins Financial,4561,$1.10 B,usa,$76.16,-0.47%,-11.38%,financial-services banks 
3810,Merchants Bancorp,4559,$1.10 B,usa,$25.60,0.47%,-48.24%,banks financial-services 
3811,Hangzhou Shunwang Technology,4550,$1.11 B,china,$1.61,2.47%,-36.36%,video-games entertainment 
3812,OdontoPrev,4554,$1.10 B,brazil,$2.00,-0.68%,-8.68%,None
3813,Valneva SE,4558,$1.10 B,france,$15.82,2.14%,-57.74%,pharmaceuticals biotech 
3814,Ascential,4552,$1.11 B,united-kingdom,$2.53,-0.58%,-51.53%,advertising 
3815,Nicolet Bankshares,4549,$1.11 B,usa,$76.10,-3.50%,-12.65%,banks financial-services 
3816,Patrizia Immobilien,4557,$1.10 B,germany,$12.60,0.00%,-46.52%,real-estate 
3817,CVR Partners,4553,$1.11 B,usa,$105.23,0.69%,4.76%,fertilizer 
3818,Sun Country Airlines,4556,$1.10 B,usa,$18.98,3.40%,-27.54%,airlines travel transportation 
3819,Miramar Hotel and Investment,4555,$1.10 B,hong-kong,$1.60,1.13%,-2.44%,hotels investment travel 
3820,AST SpaceMobile,4548,$1.11 B,usa,$5.59,1.60%,-14.30%,telecommunication tech aerospace 
3821,Jamieson Wellness,4551,$1.11 B,canada,$26.77,-0.19%,-10.26%,dietary-supplements 
3822,Bpost,4546,$1.11 B,belgium,$5.57,-0.49%,-35.53%,delivery-services 
3823,"Coeur Mining
",4545,$1.11 B,usa,$3.78,3.70%,-25.64%,mining gold-mining silver-mining 
3824,Sweetgreen,4547,$1.11 B,usa,$10.09,2.64%,-61.50%,restaurant-chains food 
3825,Playa Hotels & Resorts,4544,$1.11 B,usa,$6.90,0.07%,-8.19%,hotels travel 
3826,CI&T,4538,$1.12 B,brazil,$8.43,0.00%,-30.16%,software tech 
3827,Prosegur Cash,4528,$1.14 B,spain,$0.76,3.10%,-1.30%,transportation security-protection-services 
3828,Consensus Cloud Solutions,4541,$1.12 B,usa,$56.68,0.50%,-1.67%,software tech 
3829,Doosan,4536,$1.12 B,south-korea,$70.96,-1.57%,-20.78%,None
3830,Freightways,4532,$1.13 B,new-zealand,$6.39,2.04%,-26.38%,transportation 
3831,NAPCO Security Technologies,4533,$1.13 B,usa,$30.79,-0.39%,40.21%,None
3832,Piedmont Lithium,4542,$1.12 B,australia,$62.37,4.28%,22.08%,mining 
3833,"Matthews International Corporation
",4540,$1.12 B,usa,$37.16,0.28%,0.01%,conglomerate 
3834,Franchise Group,4531,$1.13 B,usa,$29.69,2.63%,-41.68%,retail 
