"Name","Industry","headQuarters","Founded","Area Served"
"Schlumberger","Oilfield services and equipment","","1926; 96 years ago (1926) (as Electric Prospecting Company) Paris, France","Worldwide"
"Schwan-Stabilo","Stationery Sports equipment","Heroldsberg","1855; 167 years ago (1855)","Worldwide"
"Schneider Electric","Electrical equipment","Rueil-Malmaison","1836; 186 years ago (1836) (as Schneider & Cie)","Worldwide"
"Schindler Group","Vertical transportation","Rueil-Malmaison","1874; 148 years ago (1874)","Worldwide(Except Japan because the Minato Ward 2006 elevator accident)"
"Schleich","Toys, figurines","Rueil-Malmaison","1935; 87 years ago (1935)","Worldwide"
"Scotiabank","Banking financial services","Toronto, Ontario, Canada[1]","March 30, 1832; 190 years ago (1832-03-30) Halifax, Nova Scotia",""
"Scholastic Corporation","Children's literacy and education","Scholastic Building","October 22, 1920; 102 years ago (1920-10-22) Wilkinsburg, Pennsylvania, US",""
"Seiko","Electronics Watchmaking","Ginza","1881; 141 years ago (1881) in Ch??, Tokyo, Japan",""
"Sears","Retail","Ginza","1892; 130 years ago (1892) Chicago, Illinois, U.S.","United States"
"Sennheiser","Audio electronics","Wedemark","1 June 1945; 77 years ago (1 June 1945) (as Labor W)",""
"Sphero","Robotics Toys","Boulder, Colorado","2010; 12 years ago (2010)",""
"Spin Master","Toys and entertainment","225 King Street W., Suite 200","March 26, 1994; 28 years ago (1994-03-26)","Worldwide"
"Serta (company)","Furnishings","225 King Street W., Suite 200","1931; 91 years ago (1931)",""
"Seagate Technology","Computer storage","Fremont, California","November 1, 1979; 43 years ago (1979-11-01) (as Shugart Technology)","Worldwide"
"Sega Sammy Holdings","Mass media","Tokyo","October 1, 2004; 18 years ago (2004-10-01)","Worldwide"
"Sealy Corporation","Furnishings","Tokyo","1881; 141 years ago (1881) in Sealy, Texas, U.S.",""
"Servcorp","Serviced Offices","Sydney","1978",""
"Severstal","Steel, Mining","Cherepovets","1993",""
"SF Express","Air Freight and Logistics","Cherepovets","1993 (1993)","Worldwide"
"SGS S.A.","Quality","Geneva","1878",""
"Shenzhen Airlines","Quality","Shenzhen Bao'an International Airport","November 1992; 30 years ago (1992-11)",""
"Shiseido","Consumer goods","Shenzhen Bao'an International Airport","1872; 150 years ago (1872)","Worldwide"
"Shopee","E-commerce","Shenzhen Bao'an International Airport","5 February 2015; 7 years ago (2015-02-05) Queenstown, Singapore","12 countries Indonesia Malaysia Philippines Singapore Thailand Vietnam Taiwan Brazil Chile Colombia Mexico Poland"
"Siemens","Conglomerate","Munich","1 October 1847; 175 years ago (1847-10-01) Berlin, Kingdom of Prussia","Worldwide"
"Sime Darby Property","Property development Property investment Hospitality","Munich","2007; 15 years ago (2007)",""
"SilkRoad Technology","Human resources software","Munich","Winston-Salem, North Carolina, US (2003)","Worldwide"
"Singtel","Telecommunications","Munich","1879; 143 years ago (1879) (as Private Telephone Exchange) 28 March 1992; 30 years ago (1992-03-28) (as Singapore Telecom) [1]","Asia, Australia and Africa"
"Sinopec","Oil and gas","Chaoyang District","Beijing, China (25 February 2000; 22 years ago (25 February 2000))","Worldwide"
"Bic (company)","Manufacturing","Chaoyang District","25 October 1945; 77 years ago (1945-10-25)","Worldwide"
"Snapchat","Manufacturing","Chaoyang District","25 October 1945; 77 years ago (1945-10-25)",""
"The Pinkfong Company","Animation production","Seocho-dong","June 2010; 12 years ago (2010-06)",""
"SM Investments","Conglomerate","Mall of Asia Complex","1958; 64 years ago (1958) in Manila, Philippines[1]","Philippines"
"Société Générale","Financial services","Boulevard Haussmann","May 4, 1864; 158 years ago (1864-05-04)","Worldwide"
"Sogou","Internet","Beijing","9 August 2010; 12 years ago (2010-08-09)",""
"SK Group","Conglomerate","Seoul","8 April 1953; 69 years ago (1953-04-08)","Worldwide"
"Skullcandy","Audio","Park City, Utah","2003",""
"Skype","Audio","Park City, Utah","2003",""
"Škoda Transportation","Rail transport machinery","Plze?","1995","Worldwide"
"Solaris Bus & Coach","Automotive industry","Bolechowo","1999","Worldwide"
"Sony","Conglomerate","Minato, Tokyo","7 May 1946; 76 years ago (1946-05-07) Nihonbashi, Ch??, Tokyo, Japan[2]","Worldwide"
"SoftBank Group","Conglomerate","Minato-ku, Tokyo","3 September 1981; 41 years ago (1981-09-03)",""
"Southwest Airlines","Conglomerate","Dallas, Texas","March 15, 1967; 55 years ago (1967-03-15) (as Air Southwest)",""
"Square Enix","Media Entertainment","Shinjuku","April 1, 2003; 19 years ago (2003-04-01)[1][a]","Worldwide"
"Staedtler","Stationery","Shinjuku","3 October 1835; 187 years ago (1835-10-03)","Worldwide"
"Standard Chartered","Banking, Financial services","London","As Chartered Bank of India, Australia, and China on 29 December 1853; 168 years ago (1853-12-29) As Standard Chartered on 18 November 1969; 53 years ago (1969-11-18)","Worldwide"
"Starbucks","Coffee shop","London","March 30, 1971; 51 years ago (1971-03-30) Pike Place Market, Elliott Bay, Seattle, Washington, U.S.","84 countries"
"State Bank of India","Banking, financial services","Nariman Point","1 July 1955; 67 years ago (1955-07-01) State Bank of India 27 January 1921 (1921-01-27) Imperial Bank of India 2 June 1806 (1806-06-02) Bank of Calcutta 15 April 1840 (1840-04-15) Bank of Bombay 1 July 1843 (1843-07-01) Bank of Madras","Worldwide"
"Safeway","Retail / grocery","Pleasanton, California","April 1915 (107 years ago) (1915-04) in American Falls, Idaho, U.S.","17 States"
"Subway (restaurant)","Restaurants","Pleasanton, California","August 28, 1965; 57 years ago (1965-08-28) in Bridgeport, Connecticut, U.S.","Worldwide (100+ countries)"
"Stellantis","Automotive Production systems","Pleasanton, California","16 January 2021; 23 months ago (2021-01-16)","Worldwide"
"Suntory","Beverage","Pleasanton, California","Osaka, Japan 1899; 123 years ago (1899)",""
"Suzuki","Automotive","Pleasanton, California","October 1909; 113 years ago (1909-10) (as Suzuki Loom Works)","Worldwide"
"Swarovski","Fashion, crystal, and jewelry","Wattens","1895; 127 years ago (1895) (as A. Kosmann, D. Swarovski & Co.)",""
"Swinkels Family Brewers","Beverages, Malt","Wattens","Before 1680","Worldwide"
"Taco Maker","Beverages, Malt","Wattens","Before 1680",""
"Taiwan Beer","Beverages, Malt","Wattens","Before 1680",""
"Take-Two Interactive","Video games","Wattens","September 30, 1993; 29 years ago (1993-09-30)",""
"Tapestry, Inc.","Fashion, accessories","10 Hudson Yards","2017",""
"Target Corporation","Retail","","June 24, 1902; 120 years ago (1902-06-24) (corporation) January 5, 1962; 60 years ago (1962-01-05) (store)","United States, Canada (formerly, see Target Canada)"
"Tata Motors","Automotive","Mumbai","1945; 77 years ago (1945)","Worldwide"
"Tabasco sauce","Food","Mumbai","1868; 154 years ago (1868)",""
"Tate & Lyle","Food processing","London","Merger of Henry Tate & Sons (established 1859) and Abram Lyle & Sons (established 1887) in 1921",""
"TCL Technology","Consumer electronics Home appliances Finance","London","1981; 41 years ago (1981) (as TTK) 1985 (1985) (as TCL Technology)","Worldwide"
"Tata Consultancy Services","Information technology Consulting Outsourcing","Mumbai","1968; 54 years ago (1968)","Worldwide"
"TEAC Corporation","Electronics","Mumbai","29 August 1953; 69 years ago (1953-08-29) in Tokyo, Japan",""
"TechniSat","Electronics","Mumbai","10 June 1987 (10 June 1987)",""
"Tech Mahindra","Information technology Consulting Outsourcing","Pune","24 October 1986; 36 years ago (24 October 1986)","Worldwide"
"Technicolor","Information technology Consulting Outsourcing","Pune","24 October 1986; 36 years ago (24 October 1986)",""
"Telefónica","Telecommunications","Pune","19 April 1924; 98 years ago (1924-04-19)","Worldwide"
"Telus","Telecommunications IT consulting","Vancouver","1990; 32 years ago (1990) (in Edmonton, Alberta, Canada)[1]",""
"Tencent","Conglomerate","Tencent Binhai Mansion","11 November 1998; 24 years ago (1998-11-11)","Worldwide"
"The Home Depot","Retailing","Tencent Binhai Mansion","February 6, 1978; 44 years ago (1978-02-06) Marietta, Georgia, U.S.",""
"The Hershey Company","Food processing","Tencent Binhai Mansion","February 8, 1894; 128 years ago (1894-02-08) (as Hershey Chocolate Company) in Lancaster, Pennsylvania, United States[1]","Worldwide"
"The Swatch Group","Watchmaking Jewellery","Tencent Binhai Mansion","1983; 39 years ago (1983)","Worldwide"
"Tesco","Retail","Welwyn Garden City","1919; 103 years ago (1919) Hackney, London, England, UK",""
"Tesla, Inc.","Automotive Renewable energy","13101 Tesla Road","July 1, 2003; 19 years ago (2003-07-01) in San Carlos, California, United States","North America Europe Oceania East Asia Middle East Southeast Asia"
"Tetra Pak","Food packaging","","1951; 71 years ago (1951) Lund, Sweden and Pully, Switzerland","Worldwide"
"Telstra","Telecommunications","Telstra Corporate Centre","1 July 1975; 47 years ago (1975-07-01)[1]","Australia Worldwide (selected products)"
"Texas Instruments","Semiconductors","Telstra Corporate Centre","1930; 92 years ago (1930) (as Geophysical Service Incorporated)[1] 1951 (1951) (as Texas Instruments)",""
"Textron","Aerospace industry Automotive industry Defense industry","Providence, Rhode Island, US","1923; 99 years ago (1923)",""
"Thomson Reuters","Mass media","Providence, Rhode Island, US","April 17, 2008; 14 years ago (2008-04-17) Toronto, Ontario, Canada","Worldwide"
"Ting Hsin International Group","Food","Providence, Rhode Island, US","Yongjing, Changhua, Taiwan (1958 (1958))","Greater China region"
"Tissot","Watchmaking","Providence, Rhode Island, US","1853; 169 years ago (1853)","150 countries"
"TKK Fried Chicken","Food","New Taipei City","20 July 1974; 48 years ago (1974-07-20)","Worldwide"
"Toshiba","Conglomerate","New Taipei City","11 July 1875; 147 years ago (1875-07-11)b","Worldwide"
"TomTom","Consumer electronics, navigation technology","Amsterdam","1991; 31 years ago (1991)",""
"Tomy","Toys, video games, children's products and apparel","Katsushika, Tokyo","March 1, 2006; 16 years ago (2006-03-01) (Former Tomy, 1924; Takara, 1955)","Worldwide"
"TotalEnergies","Petroleum Energy","Tour Total","28 March 1924; 98 years ago (1924-03-28)","Worldwide"
"Towers Watson","Professional services","Tour Total","2010; 12 years ago (2010)","Global"
"TPG Telecom","Telecommunications","North Sydney, New South Wales","2009",""
"TDK","Electronics","Nihonbashi, Ch??, Tokyo","December 7, 1935; 87 years ago (1935-12-07) as Tokyo Denki Kagaku K?gy? K.K.","Worldwide"
"OAO TMK","Steel industry","Nihonbashi, Ch??, Tokyo","2001",""
"Toyota","Automotive","Nihonbashi, Ch??, Tokyo","August 28, 1937; 85 years ago (1937-08-28)","Worldwide"
"Trend Micro","Computer software","Irving, Texas","24 October 1988; 34 years ago (1988-10-24), Los Angeles, California, U.S.","Worldwide"
"TP-Link","Networking equipment","Irving, Texas","1996; 26 years ago (1996)","Worldwide"
"TSMC","Semiconductors","Irving, Texas","Industrial Technology Research Institute, Hsinchu, Taiwan (1987; 35 years ago (1987))","Worldwide"
"Typotheque","Graphic design","Irving, Texas","1999",""
"Uber","Transportation Mobility as a service","San Francisco, California","March 2009; 13 years ago (2009-03)","Approximately 72 countries and 10,500 cities"
"Ülker","Food processing","Istanbul","22 February 1944; 78 years ago (1944-02-22)","Worldwide"
"United Microelectronics Corporation","Semiconductor Foundry","Hsinchu Science Park","1980; 42 years ago (1980)",""
"UniCredit","Financial services","Hsinchu Science Park","1998; 24 years ago (1998)",""
"Unilever","Consumer goods","London","2 September 1929; 93 years ago (1929-09-02)","Worldwide"
"Ubisoft","Video games","London","28 March 1986; 36 years ago (1986-03-28)","Worldwide"
"Unisys","Information technology Consulting Outsourcing","London","1986; 36 years ago (1986)","Worldwide"
"United Airlines","Information technology Consulting Outsourcing","Willis Tower","April 6, 1926; 96 years ago (1926-04-06) (as Varney Air Lines in Boise, Idaho, U.S.)[1]",""
"The Vanguard Group","Investment management","Willis Tower","May 1, 1975; 47 years ago (1975-05-01)",""
"Volvo","Automotive","Gothenburg","1927; 95 years ago (1927)","Worldwide"
"Vanke","Real estate","Gothenburg","1984",""
"Vestel","Consumer Electronics, Home Appliances, Information Technology","Manisa","1984","Europe, Middle East, Central Asia"
"Vestas","Electrical equipment","Manisa","1945; 77 years ago (1945)",""
"Verisk Analytics","Data analytics and risk assessment","Jersey City, New Jersey","1971; 51 years ago (1971)[1]",""
"Vertiv","Electrical equipment","Columbus, Ohio","2016; 6 years ago (2016)","Worldwide"
"VF Corporation","Apparel Accessories","Denver","October 1899; 123 years ago (1899-10) (as Reading Glove and Mitten Manufacturing Company) Reading, Pennsylvania, U.S.",""
"Viettel","Telecommunication","Hanoi","1 June 1989; 33 years ago (1989-06-01)",""
"Victoria's Secret","Apparel","Hanoi","June 12, 1977; 45 years ago (1977-06-12) Stanford Shopping Center, Palo Alto, California, U.S.[1]",""
"Victorinox","Apparel","Hanoi","1884; 138 years ago (1884) (as Messerfabrik Carl Elsener) 2 January 1979 (as Victorinox AG)","Worldwide"
"VEON","Telecommunications","Hanoi","2009; 13 years ago (2009)","Africa, Asia, Europe"
"Virgin Group","Conglomerate","Hanoi","February 1970; 52 years ago (1970-02)","Worldwide"
"Vitol","Commodity, Oil & Gas","Geneva","1966; 56 years ago (1966) Rotterdam, Netherlands[1]","Global"
"Vizio","Electronics","Geneva","October 2002; 20 years ago (2002-10) Costa Mesa, California, U.S.","North America"
"Vivendi","Media","Geneva","14 December 1853; 169 years ago (1853-12-14)","Worldwide"
"Vinamilk","Dairy products, juice","Ho Chi Minh City","1976","Worldwide"
"Vodafone","Telecommunications","Newbury, Berkshire, England, UK","16 September 1991; 31 years ago (1991-09-16)","Worldwide"
"Voith","Mechanical engineering","Heidenheim an der Brenz","1867",""
"Volkswagen Group","Automotive","Heidenheim an der Brenz","Berlin, Germany (28 May 1937; 85 years ago (1937-05-28))","Worldwide"
"The Wendy's Company","Foodservice","Heidenheim an der Brenz","1884; 138 years ago (1884)","Worldwide"
"Want Want","Food and drink","Heidenheim an der Brenz","1884; 138 years ago (1884)",""
"Walmart","Retail","Heidenheim an der Brenz","July 2, 1962; 60 years ago (1962-07-02) in Rogers, Arkansas[1] October 31, 1969; 53 years ago (1969-10-31) in Wilmington, Delaware (incorporation)","Worldwide"
"The Walt Disney Company","Media Entertainment","Team Disney Building","October 16, 1923; 99 years ago (1923-10-16)","Worldwide"
"Warner Bros. Discovery","Media Entertainment","Team Disney Building","April 8, 2022; 8 months ago (2022-04-08)","Worldwide"
"Wawa (company)","Convenience store Gas station Fast food","Team Disney Building","April 16, 1964; 58 years ago (1964-04-16)","Delaware, Florida, Maryland, New Jersey, Pennsylvania, Virginia and Washington, D.C.; Planned: Alabama, Georgia, Indiana, Kentucky, North Carolina, Ohio and Tennessee; Former: New York and Connecticut"
"Whirlpool Corporation","Home appliances","Team Disney Building","November 11, 1911; 111 years ago (1911-11-11) Benton Harbor, Michigan, U.S.","Worldwide"
"Wingstop","Restaurants","Addison, Texas","1994; 28 years ago (1994) Garland, Texas, U.S.","Canada France Indonesia Mexico Singapore Spain United Arab Emirates United Kingdom United States"
"Wipro","Conglomerate","Sarjapur Road","29 December 1945; 76 years ago (29 December 1945)","Worldwide"
"Wirecard","Financial services Payment processor Technology","Aschheim","1 January 1999 (1999-01-01)","Worldwide"
"Xiaomi","Consumer electronics Computer hardware","Haidian District","6 April 2010; 12 years ago (2010-04-06)","Worldwide"
"Xtep","Sports equipment","Haidian District","2001; 21 years ago (2001)","Worldwide"
"Yakult","Sports equipment","Haidian District","2001; 21 years ago (2001)",""
"Yili Group","Dairy","Hohhot, Inner Mongolia","1993; 29 years ago (1993)",""
"Yamaha Corporation","Dairy","Hamamatsu, Shizuoka","12 October 1887; 135 years ago (1887-10-12)","Worldwide"
"Yandex","Internet Search engine Mapping Streaming services Internet retail","Moscow","23 September 1997; 25 years ago (23 September 1997) (Yandex search launched by CompTek) 2000; 22 years ago (2000) in Cyprus (Yandex holding company incorporated) 2007; 15 years ago (2007) (reincorporation of holding company in the Netherlands)","Russia, Kazakhstan, Belarus, Uzbekistan, Azerbaijan, Georgia, Armenia, Israel, Turkey, Estonia, Iran"
"Yokohama Rubber Company","Manufacturing","Moscow","October 13, 1917; 105 years ago (1917-10-13)",""
"Yamaha Motor Company","Automotive","Moscow","1 May 1955; 67 years ago (1955-05-01)","Worldwide"
"Yum! Brands","Foodservice","Moscow","October 6, 1997; 25 years ago (October 6, 1997)","Worldwide"
"Zara (retailer)","Retail","Moscow","1975; 47 years ago (1975) (as Zorba) in Spain","Worldwide"
"Zensar Technologies","IT services","Pune, India","1991[1]",""
"Guangzhou Zhujiang Brewery Group","Beverages","Pune, India","1985","Worldwide"
"ZTE","Telecommunications equipment Networking equipment","","1985; 37 years ago (1985) (as Zhongxing Semiconductor Co., Ltd.)","Worldwide"
"Zippo","Manufacturing","Bradford","1932; 90 years ago (1932)",""
"Zyxel","Telecommunications","Hsinchu Science Park","1989; 33 years ago (1989) in Hsinchu, Taiwan","Worldwide"
