,name,industry,sector,headquarters,founded,notes
761,stora enso,basic materials,paper,helsinki,1998,"paper, pulp, timber"
762,suominen corporation,consumer goods,clothing & accessories,helsinki,1898,convenience and care nonwovens
763,supercell,technology,software,helsinki,2010,video games
764,suunto,consumer goods,recreational services,vantaa,1936,"technical sports equipment, part of amer sports"
765,talvivaara mining company,basic materials,nonferrous metals,espoo,2004,nickel mining
766,tieto,technology,software,helsinki,1968,information technology
767,tikkurila,basic materials,commodity chemicals,vantaa,1862,paints
768,upm-kymmene,basic materials,paper,helsinki,1996,"paper, pulp, timber, biofuels"
769,vacon,industrials,electrical components & equipment,vaasa,1993,variable-speed ac drives
770,vaisala,technology,software,vantaa,1936,environmental measuring technology
771,valio,consumer goods,food products,helsinki,1905,food
772,valmet automotive,consumer goods,automobiles,uusikaupunki,1968,car assembly
773,valmet,industrials,industrial machinery,espoo,2013,industrial equipment
774,valtra,industrials,commercial vehicles & trucks,äänekoski,1951,tractors
775,verkkokauppa.com,consumer services,broadline retailers,helsinki,1992,storefront and online retail
776,viking line,industrials,marine transportation,mariehamn,1963,shipping
777,vr,industrials,railroads,helsinki,1862,rail transport
778,wärtsilä,industrials,electronic equipment,helsinki,1834,power plants and marine propulsion systems
779,woikoski,basic materials,basic resources,voikoski[8],1882,helium
780,yit,industrials,heavy construction,helsinki,1912,construction
781,accor,consumer services,hospitality,paris,1967,hotels
782,aéropostale,consumer services,airlines,toulouse,1918,"aviation, defunct 1933"
783,aérospatiale-matra,industrials,defense,paris[7],1999,"military contractor, defunct 2000"
784,air france,consumer services,airlines,tremblay-en-france,1933,part of air france–klm
785,air france–klm,consumer services,airlines,tremblay-en-france,2004,aviation
786,airbus,industrials,aerospace,toulouse,1970,aeronautical products
787,air liquide,industrial,chemical,paris,1902,industrial gas
788,alcatel-lucent,technology,telecommunications equipment,boulogne-billancourt,2006,"defunct 2016, now part of nokia (finland)"
789,ales groupe,consumer goods,personal products,paris,1969,cosmetics
790,alstom,industrials,railroads,saint-ouen,1928,railway transport
791,altran,industrials,business support services,paris,1982,"engineering consulting, part of capgemini"
792,amaury sport organisation,consumer services,recreational services,issy-les-moulineaux,1992[8],"sports events, part of éditions philippe amaury"
793,arianegroup,industrials,aerospace & defense,issy-les-moulineaux,2015,"aerospace, defense and security"
794,arianespace,industrials,aerospace,courcouronnes,1980,"commercial launch provider, part of arianegroup"
795,arkane studios,technology,software,lyon,1999,video games
796,arte,consumer services,broadcasting & entertainment,strasburg,1991,french - german television
797,astrium,industrials,aerospace,paris,2006,"aerospace manufacturer, defunct 2013"
798,at internet,technology,internet,bordeaux,1995,web analytics
799,atari sa,technology,software,paris,1983,"video games, formerly known as infogrames"
800,atisreal,financials,real estate services,levallois-perret,2003,"property consultancy, defunct 2009"
801,atos,technology,software,bezons,1988,software and it consulting
802,auchan,consumer services,food retailers & wholesalers,croix,1961,"retail food, supermarkets"
803,axa,financials,full line insurance,paris,1817,"life, property insurance"
804,babolat,consumer goods,recreational products,lyon,1875,sports equipment
805,baccarat,consumer goods,durable household products,paris,1764,"glassware, fine crystal"
806,banijay,consumer services,broadcasting & entertainment,paris,2008,film and tv production and distribution
807,banque de l'indochine,financials,banks,paris,1875,"defunct 1974, now part of crédit agricole"
808,bel group,consumer goods,food products,paris,1865,cheese
809,bnp paribas,financials,banks,paris,1848,banking group
810,bolloré,industrials,delivery services,puteaux,1822,logistics
811,bonduelle,consumer goods,food products,villeneuve d'ascq,1853,food
812,bouygues telecom,telecommunications,mobile telecommunications,paris,1994,part of bouygues
813,bouygues,conglomerates,-,paris,1952,"telecommunications, industrials, travel & leisure"
814,brittany ferries,industrials,marine transportation,roscoff,1972,ferries
815,bugatti automobiles,consumer goods,automobiles,molsheim,1998,part of bugatti rimac (croatia)
816,canal+,consumer services,broadcasting & entertainment,issy-les-moulineaux,1984,"television, part of vivendi"
817,capgemini,industrials,business support services,paris,1967,technology consulting
818,carrefour,consumer services,food retailers & wholesalers,boulogne-billancourt,1958,hypermarkets
819,cartier,consumer goods,clothing & accessories,saint-ouen,1847,"jewelry, watches"
820,celio,consumer services,apparel retailers,paris,1978,clothing retailer
821,chanel,consumer goods,clothing & accessories,neuilly-sur-seine,1909,fashion
822,chantelle,consumer goods,clothing & accessories,cachan,1876,"lingerie, apparel"
823,christian dior se,consumer goods,clothing & accessories,paris,1946,luxury goods
824,citroën,consumer goods,automobiles,rueil-malmaison,1919,part of stellantis (netherlands)
825,cma cgm,industrials,delivery services,marseille,1978,shipping
826,com one group,technology,telecommunications equipment,cestas,1987,
827,crédit agricole,financials,banks,montrouge,1894,banking network
828,crédit commercial de france,financials,banks,paris,1894,"commercial bank, now hsbc france part of hsbc (uk)"
829,crédit mutuel,financials,banks,paris,1882,banking group
830,conforama,consumer services,retail,saint-priest,1967,europe's second largest home furnishment company
831,crédit foncier de france,financials,banks,charenton-le-pont,1852,"bank, part of groupe bpce"
832,crédit lyonnais,financials,banks,paris,1863,"defunct, now part of crédit agricole"
833,criteo,technology,internet,paris,2005,online advertising
834,danone,consumer goods,food products,paris,1919,food and dairy
835,dassault aviation,industrials,defense,paris,1929,aviation
836,dassault systèmes,technology,software,vélizy-villacoublay,1981,software
837,debacq & cie,consumer goods,clothing & accessories,paris,1812,"jewelry, watches"
838,decathlon,consumer goods,clothing & accessories,villeneuve-d'ascq,1976,clothing and sportswear
839,dexia,financials,banks,paris,1996,"franco-belgian, defunct"
840,diptyque,consumer goods,personal products,paris,1961,luxury goods
841,edenred,industrials,specialized consumer services,paris,2010,food services and facilities
842,éditions philippe amaury,consumer services,publishing,boulogne-billancourt,1944,"newspaper, television"
843,eisenberg paris,consumer goods,personal products,paris,2000,luxury goods
844,électricité de france (edf),utilities,conventional electricity,paris,1946,power generation
845,elf aquitaine,oil & gas,exploration & production,courbevoie[9],1967,merged into totalenergies in 2003.
846,engie,utilities,electricity generation,la défense,2008,merger of gaz de france and suez
847,essilorluxottica,health care,health care equipment,charenton-le-pont,1849,"optical equipment, part of essilorluxottica"
848,eutelsat,telecommunications,mobile telecommunications,paris,1977,satellite provider
849,fnac,consumer services,specialty retailers,ivry-sur-seine,1954,retail chain
850,framatome,nuclear industries,nuclear engineering,courbevoie,1958,nuclear reactors
851,free,telecommunications,fixed line telecommunications,paris,1999,"isp, part of iliad sa"
852,galeries lafayette,consumer services,broadline retailers,paris,1912,department store chain
853,gameloft,technology,software,paris,2000,"video games, part of vivendi"
854,gandi,technology,internet,paris,1999,domain name registrar
855,gaumont,consumer services,broadcasting & entertainment,neuilly-sur-seine,1895,film studio
856,genset,health care,biotechnology,paris,1989,"defunct 2002, now part of merck serono (germany)"
857,getlink,industrials,transportation services,paris,1986,"infrastructure, operates channel tunnel"
858,groupe bpce,financials,banks,paris,2009,bank
859,groupe bull,technology,computer hardware,les clayes-sous-bois,1931,part of atos
860,groupe casino,consumer services,broadline retailer,saint-étienne,1898,retailer
861,hachette,consumer services,publishing,paris,1826,"publisher, part of lagardère group"
862,hachette filipacchi médias,consumer services,publishing,paris,1826,"magazine publisher, part of lagardère group"
863,havas,consumer services,media agencies,paris,1968,advertising and pr
864,hermès,consumer goods,clothing & accessories,paris,1837,luxury goods
865,hutchinson sa,industrials,diversified industrials,paris,1853,diversified manufacturing
866,iliad sa,telecommunications,fixed line telecommunications,paris,1990,telecom
867,jcdecaux,industrials,electronic equipment,neuilly-sur-seine,1964,display and advertising equipment
868,keolis,consumer services,travel & tourism,paris,2001,transport group
869,kering,consumer goods,clothing & accessories,paris,1963,luxury goods (formly known as ppr)
870,la poste,industrials,delivery services,paris,1991,postal services
871,laboratoires pierre fabre,health care,pharmaceuticals,paris,1951,pharma and cosmetics
872,lacoste,consumer goods,clothing & accessories,troyes,1933,clothing
873,lactalis,consumer goods,food products,laval,1933,dairy
874,lafarge,industrials,building materials & fixtures,paris,1833,"construction and concrete, part of lafargeholcim"
875,lafuma,consumer goods,recreational products,paris,1930,outdoor equipment
876,lagardère group,consumer services,broadcasting & entertainment,paris,1922,media conglomerate
877,lancôme,consumer goods,personal products,paris,1935,"cosmetics, part of l'oréal"
878,le coq sportif,consumer goods,clothing & accessories,entzheim,1882,sportswear
879,le zèbre,consumer goods,automobiles,suresnes,1907,"automobiles, defunct 1931"
880,l'oréal,consumer goods,personal products,clichy,1909,cosmetics
881,louis vuitton,consumer goods,clothing & accessories,paris,1854,part of lvmh
882,lvmh,consumer goods,clothing & accessories,paris,1987,luxury goods group
883,mandriva,technology,software,paris,1995,"software, defunct 2015"
884,manuloc,industrials,logistics,metz,1964,forklifts
885,maritima ferries,industrials,marine transportation,marseille,1969,ferries
886,matra marconi space,industrials,aerospace,toulouse,1996,"defunct 2000, now eads astrium"
887,matra,consumer goods,automobiles,romorantin-lanthenay,1964,"defunct 2003, now part of lagardère group"
888,mavic,consumer goods,recreational products,annecy,1889,"bicycle parts, part of salomon group"
889,mc2 france,technology,software,montrouge,1985,video games
890,michelin,consumer goods,tires,clermont-ferrand,1889,tires
891,microïds,technology,software,montreuil,1984,"video games, part of anuman"
892,montagut,consumer goods,clothing & accessories,saint-sauveur-de-montagut,1880,clothing
893,moonscoop group,consumer services,broadcasting & entertainment,paris,2003,"animation production, defunct 2014"
894,naval group,industrials,defense,paris,1631,shipyards
895,nicox,health care,pharmaceuticals,valbonne,1996,pharma
896,norauto,consumer goods,auto parts,lesquin,1970,car parts and repairs
897,orange s.a.,telecommunications,mobile telecommunications,paris,1988,telecom
898,orano,nuclear industries,nuclear cycle,courbevoie,2017,"uranium, nuclear fuel, nuclear recycling"
899,oxbow,consumer goods,recreational products,mérignac,1985,"sporting goods, part of lafuma"
900,parrot sa,industrials,diversified industrials,paris,1994,manufacturing
901,pathé,consumer services,broadcasting & entertainment,paris,1896,"cinema, film equipment and production"
902,pentalog,industrials,business support services,orléans,1993,"offshoring, business support"
903,pernod ricard,consumer goods,distillers & vintners,paris,1975,distilled beverages
904,peugeot,consumer goods,automobiles,rueil-malmaison,1810,"car manufacturer, part of stellantis (netherlands)"
905,psa group,consumer goods,automobiles,rueil-malmaison,1976,merged with fiat chrysler automobiles to form stellantis
906,publicis,industrials,business support services,paris,1926,marketing and pr
907,quantic dream,technology,software,paris,1997,video games
908,ratp group,consumer services,travel & tourism,paris,1948,public transport
909,renault,consumer goods,automobiles,boulogne-billancourt,1899,car manufacturer
910,rexel,industrials,electrical components & equipment,paris,1967,commercial equipment
911,rhodia,basic materials,specialty chemicals,la défense,1998,"chemicals, part of solvay s.a. (belgium)"
912,rhône-poulenc,basic materials,specialty chemicals,paris,1928,"chemical, merged with hoechst ag to form aventis"
913,safran,industrials,aerospace,paris,2005,aircraft engines
914,sagem,technology,telecommunications equipment,paris,1924,"defunct 2005, now safran"
915,saint-gobain,industrials,building materials & fixtures,la défense,1665,building materials
916,salomon group,consumer goods,recreational products,épagny-metz-tessy,1947,sports equipment
917,sanofi,health care,pharmaceuticals,paris,2004,formed by merger of sanofi-synthélabo and aventis (the original incarnation of sanofi was established in 1973)
918,schneider electric,industrials,electrical components & equipment,rueil-malmaison,1836,energy and automation equipment
919,sdv international logistics,industrials,delivery services,puteaux,1885,logistics
920,sephora,consumer services,specialty retailers,paris,1969,cosmetic retailer
921,servier,health care,pharmaceuticals,suresnes,1954,pharmaceuticals
922,sfr,telecommunications,fixed line telecommunications,paris,1987,"telecom, isp"
923,sigfox,technology,telecommunications equipment,labège,2009,wireless devices
924,sncf,consumer services,travel & tourism,saint-denis,1938,passenger rail
925,snecma,industrials,aerospace,courcouronnes,1945,"engines, part of safran"
926,société bic,consumer goods,nondurable household products,clichy,1945,consumer goods
927,société générale,financials,banks,la défense,1864,banking and financial services
928,sodexo,industrials,specialized consumer services,issy-les-moulineaux,1966,food services and facilities
929,sogeti,technology,software,paris,2002,"it consulting, part of capgemini"
930,sopra steria,technology,software,annecy,1968,consulting and development
931,suez,utilities,multiutilities,paris,1997,"utilities, defunct 2008"
932,technicolor sa,consumer services,broadcasting & entertainment,issy-les-moulineaux,1893,media support
933,technip,industrials,business support services,paris,1958,"business support, merged into technipfmc (uk)"
934,tf1 group,consumer services,broadcasting & entertainment,boulogne-billancourt,1987,media holdings
935,thales group,industrials,aerospace,la défense,2000,aerospace electrical
936,thomson-csf,industrials,defense,paris,1879,merged into thales group
937,totalenergies,oil & gas,integrated oil & gas,courbevoie,1924,petrolueum
938,ubisoft,technology,software,rennes,1986,video games
939,veolia,utilities,water,paris,1853,water utilities and treatment
940,vinci sa,industrials,heavy construction,rueil-malmaison,1899,construction
941,vivendi,consumer services,broadcasting & entertainment,paris,1853,mass media
942,waterman,consumer goods,nondurable household products,paris,1884,"pens, part of sanford l.p. (us)"
943,yoplait,consumer goods,food products,boulogne-billancourt,1965,yogurt
944,a. lange & söhne,consumer goods,clothing & accessories,glashütte,1845,watches
945,aareal bank,financials,banks,wiesbaden,1922,banking and financial services
946,adidas,consumer goods,clothing & accessories,herzogenaurach,1924,shoes & sports apparel & accessories manufacturer
947,aldi,consumer services,food retailers & wholesalers,essen,1913,discount retail chains
948,allianz,financials,full line insurance,munich,1890,insurance and asset management
949,alpina,consumer goods,automobiles,buchloe,1965,automotive manufacturer
950,altana,basic materials,speciality chemicals,wesel,1977,chemicals
951,aral ag,consumer services,specialty retailers,bochum,1898,part of bp
952,arag se,financials,full line insurance,düsseldorf,1935,insurance
953,arburg,industrials,industrial machinery,loßburg,1923,machinery and injection molding
954,arcandor,consumer services,broadline retailers,essen,1999,defunct 2009
955,arcor,telecommunications,fixed line telecommunications,eschborn,1996,"telecom, part of vodafone (uk)"
956,armedangels,consumer goods,clothing & accessories,cologne,2007,fashion
957,audi,consumer goods,automobiles,ingolstadt,1910,"auto manufacturer, part of volkswagen group"
958,august storck,consumer goods,food products,berlin,1903,confectionery
959,aurubis,basic materials,nonferrous metals,hamburg,2008,copper manufacturing
960,auto union,consumer goods,automobiles,neckarsulm,1932,"defunct, now part of audi"
961,axel springer ag,consumer services,publishing,berlin,1946,digital publishing
962,b. braun,health care,pharmaceuticals,melsungen,1839,medical devices and pharma
963,babelsberg studio,consumer services,broadcasting & entertainment,potsdam,1912,film studio
964,bahlsen,consumer goods,food products,hanover,1889,biscuits and cakes
965,basf,basic materials,speciality chemicals,ludwigshafen,1865,largest chemical producer in the world.
966,bavaria film studios,consumer services,broadcasting & entertainment,grünwald,1919,film studio
967,bayer,health care,pharmaceuticals,leverkusen,1863,chemicals and pharmaceuticals
968,baywa,consumer goods,farming & fishing,munich,1923,agribusiness conglomerate
969,bbs kraftfahrzeugtechnik,consumer goods,auto parts,schiltach,1970,automotive parts
970,bechtle,technology,software,neckarsulm,1983,information technology services
971,beck's brewery,consumer goods,brewers,bremen,1873,alcoholic beverages
972,behr gmbh & co. kg,industrials,industrial suppliers,stuttgart,1905,part of mahle gmbh
973,behringer,consumer goods,consumer electronics,willich,1989,audio systems
974,beiersdorf,consumer goods,personal products,hamburg,1882,cosmetics
975,bellevue investments,technology,software,berlin,1993,software holding company
976,benecke-kaliko,industrials,industrial suppliers,hanover,1718,automotive parts
977,bertelsmann,consumer services,broadcasting & entertainment,gütersloh,1835,mass media
978,beyerdynamic,consumer goods,consumer electronics,heilbronn,1924,audio electronics
979,bilfinger,industrials,heavy construction,mannheim,1880,"construction, engineering and services"
980,birkenstock,consumer goods,clothing & accessories,neustadt,1774,shoes manufacturer
981,bitburger brewery,consumer goods,brewers,bitburg,1817,brewery
982,biontech,healthcare,vaccine,mainz,2008,biotechnology
983,blohm+voss,industrials,commercial vehicles & trucks,hamburg,1877,"shipyard, part of lürssen"
984,bmg rights management,consumer services,broadcasting & entertainment,berlin,2008,"music, part of bertelsmann"
985,bmw,consumer goods,automobiles,munich,1916,automotive
986,boehringer ingelheim,health care,pharmaceuticals,ingelheim am rhein,1885,pharmaceuticals
987,bomag,industrials,commercial vehicles & trucks,boppard,1957,mechanical engineering
988,brabus,consumer services,specialty retailers,bottrop,1977,automotive modifications and tuning
989,braun,consumer goods,personal products,kronberg,1921,"razors and small appliances, part of procter & gamble (us)"
990,brenntag,basic materials,commodity chemicals,mülheim,1874,chemical distribution
991,c. bechstein,consumer goods,recreational products,berlin,1853,musical instruments
992,c. illies & co.,industrials,business support services,hamburg,1859,engineering and export
993,carl walther gmbh,industrials,defense,ulm,1886,firearms
994,carl zeiss ag,health care,medical equipment,oberkochen,1846,optical systems
995,curevac,health care,vaccine,tübingen,2000,biotechnology
996,celesio,health care,pharmaceuticals,stuttgart,1835,"pharmaceuticals, defunct 2017, now part of mckesson"
997,cinestar,consumer services,recreational services,lübeck,1948,cinemas
998,circus krone,consumer services,broadcasting & entertainment,munich,1905,"circus, entertainment"
999,claas,industrials,commercial vehicles & trucks,harsewinkel,1913,agricultural machinery
1000,commerzbank,financials,banks,frankfurt,1870,banking
1001,condor flugdienst,consumer services,airlines,frankfurt,1955,"leisure airline, part of thomas cook group (uk)"
1002,continental ag,industrials,industrial suppliers,hanover,1871,"auto parts and supplies, part of schaeffler group"
1003,covestro,basic materials,speciality chemicals,leverkusen,2015,"materials and coatings, part of bayer"
1004,daimler ag,consumer goods,automobiles,stuttgart,2007,multinational automotive firm
1005,dba,consumer services,airlines,munich,1992,"low-cost airline, defunct 2008"
1006,delton,conglomerates,-,bad homburg vor der höhe,1989,"pharma, consumer goods, logistics"
1007,der spiegel,consumer services,publishing,hamburg,1947,weekly news magazine
1008,deutsche bahn,industrials,railroads,berlin,1994,state railways
1009,deutsche bank,financials,banks,frankfurt,1870,banking
1010,deutsche börse,financials,investment services,frankfurt,1992,securities marketplace
1011,deutsche grammophon,consumer goods,broadcasting & entertainment,hanover,1898,"phonogramm producer, producer of the first compact disc, now part of universal music group (us)"
1012,deutsche messe,consumer services,recreational services,hanover,1947,largest fairground in the world
1013,deutsche pfandbriefbank,financials,banks,unterschleißheim,2015,real estate financing bank
1014,deutsche post,industrials,delivery services,bonn,1995,postal services
1015,deutsche telekom,telecommunications,fixed line telecommunications,bonn,1995,telecommunications
1016,deutsche vermögensberatung,financials,asset managers,frankfurt,1975,financial advice
1017,deutz ag,industrials,industrial machinery,cologne,1864,mechanical engineering
1018,dhl express,industrials,delivery services,bonn,1969,"logistics, part of deutsche post"
1019,dieffenbacher,industrials,industrial machinery,eppingen,1873,machinery
1020,diehl aerospace,industrials,aerospace,überlingen,2006,avionics
1021,diehl defence,industrials,defense,überlingen,2004,arms
1022,diehl metall,industrials,industrial machinery,röthenbach an der pegnitz,1938,"metals, forges"
1023,diezel,consumer goods,recreational products,bad steben,1994,guitar amplifiers
1024,djshop,consumer services,broadcasting & entertainment,vachendorf,1993,online dance music retail store
1025,dkw,consumer goods,automobile,?,1905,"defunct 1932, now part of audi"
1026,douglas holding,consumer services,specialty retailers,hagen,1949,perfume and cosmetics retailer
1027,dovo solingen,consumer goods,personal products,solingen,1906,scissors and razors
1028,dr. oetker,consumer goods,food products,bielefeld,1891,food producer
1029,dräger,health care,medical equipment,lübeck,1889,medical technology
1030,dresdner bank,financials,banks,frankfurt,1872,"now part of commerzbank, defunct 2009"
1031,dürr ag,industrials,industrial machinery,stuttgart,1895,plant and machinery construction
1032,dvb bank,financials,banks,frankfurt,1923,financials
1033,e.on,utilities,electricity,essen,2000,electric power
1034,eberhard faber,consumer goods,nondurable household products,neumarkt in der oberpfalz,1922,part of staedtler
1035,ebm-papst,industrials,industrial machinery,mulfingen,1963,electric motors and fans
1036,edding,consumer goods,nondurable household products,ahrensburg,1960,writing instruments
1037,edeka,consumer services,food retailers & wholesalers,berlin,1898,supermarkets
1038,elringklinger,industrials,industrial suppliers,dettingen an der erms,1879,automotive parts
1039,enbw,utilities,electricity,karlsruhe,1997,electric power
1040,enocean,consumer goods,consumer electronics,oberhaching,2001,electronics
1041,entwicklungsring nord,industrials,aerospace,bremen,1961,"rocket parts, defunct 1977"
1042,epcos,consumer goods,consumer electronics,munich,1999,electronics
1043,e-plus,telecommunications,mobile telecommunications,düsseldorf,1992,"mobile network, part of telefónica germany"
1044,eurowings,consumer services,airlines,düsseldorf,1990,part of lufthansa
1045,evonik industries,basic materials,speciality chemicals,essen,2007,specialty chemicals
1046,faber-castell,consumer goods,nondurable household products,stein,1761,writing instruments
1047,fein,consumer goods,durable household products,schwäbisch gmünd,1867,power tools
1048,ferrostaal,industrials,industrial machinery,essen,1920,"industrial services, machinery"
1049,festo,industrials,industrial machinery,esslingen am neckar,1925,automation
1050,fischertechnik,consumer goods,toys,waldachtal,1966,construction sets
1051,fissler,consumer goods,durable household products,idar-oberstein,1845,cookware manufacturer
1052,focke-achgelis,industrials,aerospace,hoykenkamp,1937,defunct helicopter manufacturer
1053,focke-wulf,industrials,aerospace,bremen,1923,"aircraft manufacturer, defunct 1964"
1054,fond of bags,consumer goods,clothing & accessories,cologne,2010,backpacks
1055,ford germany,consumer goods,automobiles,cologne,1925,"automobile manufacturer, part of ford motor company (us)"
1056,ford of europe,consumer goods,automobiles,cologne,1967,"automobile manufacturer, part of ford motor company (us)"
1057,franz haniel & cie.,conglomerates,-,duisburg,1756,family holding company
1058,fraport,industrials,transportation services,frankfurt,1924,airports
1059,freenet.de,telecommunications,fixed line telecommunications,büdelsdorf,2007,telecommunications
1060,fresenius,health care,health care providers,bad homburg vor der höhe,1912,health care
1061,fresenius medical care,health care,health care providers,bad homburg vor der höhe,1996,part of fresenius
1062,freudenberg group,conglomerates,-,weinheim,1849,"consumer goods, telecommunications, industrials"
1063,frosta,consumer goods,food products,bremerhaven,1905,"frozen foods, foodservice, commercial catering"
1064,fuchs petrolub,basic materials,speciality chemicals,mannheim,1931,lubricants
1065,gardena,consumer goods,durable household products,ulm,1961,garden tools
1066,gea group,industrials,industrial machinery,düsseldorf,1881,machinery and technology for refrigeration and livestock farming
1067,gebrüder thonet,consumer goods,furnishings,frankenberg,1853,furniture manufacturer
1068,germanwings,consumer services,airlines,cologne,2002,part of lufthansa
1069,gerolsteiner brunnen,consumer goods,beverages,gerolstein,1888,mineral water
1070,gerresheimer,industrials,containers & packaging,düsseldorf,1864,packaging products
1071,getrag,industrials,industrial suppliers,untergruppenbach,1935,automotive parts
1072,gfk ag,industrials,business support services,nuremberg,1934,market research
1073,gpc biotech,health care,biotechnology,martinsried,1997,biotechnology
1074,grundig,consumer goods,consumer electronics,nuremberg,1930,"electronics, part of koç holding (turkey)"
1075,gruner + jahr,consumer services,publishing,hamburg,1965,"publishing house, part of bertelsmann"
1076,hama photo,consumer goods,consumer electronics,monheim,1923,electronics
1077,hamburg süd,industrials,marine transportation,hamburg,1871,shipping
1078,hamburger flugzeugbau,industrials,aerospace,hamburg,1933,"aircraft manufacturer, defunct 1969"
1079,hannover re,financials,reinsurance,hanover,1966,reinsurance firm
1080,hapag-lloyd,industrials,marine transportation,hamburg,1970,shipping
1081,haribo,consumer goods,food products,bonn,1920,confectionery
1082,heckler & koch,industrials,defense,oberndorf am neckar,1948,arms
1083,heidelbergcement,industrials,building materials & fixtures,heidelberg,1874,building materials
1084,heidelberger druckmaschinen,industrials,industrial machinery,heidelberg,1850,printing machines
1085,heinkel,industrials,aerospace,warnemünde,1922,"aircraft manufacturer, defunct 1965"
1086,hella,industrials,industrial suppliers,lippstadt,1899,automotive parts
1087,henkel,conglomerates,-,düsseldorf,1876,"consumer goods, industrial goods"
1088,heraeus,industrials,industrial machinery,hanau,1851,engineering
1089,herrenknecht,industrials,industrial machinery,schwanau,1975,tunnel boring machines
1090,hochtief,industrials,heavy construction,essen,1874,construction
1091,hoechst,basic materials,specialty chemicals,frankfurt,1863,"chemicals, defunct 2004"
1092,hoesch,mining,,dortmund,1871,"mining, steel, defunct 1991"
1093,horch,consumer goods,automobiles,köln-ehrenfeld cologne,1899,"defunct 1945, now part of audi"
1094,horváth & partners,industrials,business support services,stuttgart,1981,management consulting
1095,howaldtswerke-deutsche werft,industrials,commercial vehicles & trucks,kiel,1838,shipbuilding
1096,hubert burda media,consumer services,publishing,offenburg,1903,publishing and mass media
1097,hugo boss,consumer goods,clothing & accessories,metzingen,1924,luxury fashion
1098,hypovereinsbank,financials,financial services,munich,1998,"finance and insurance, part of unicredit (italy)"
1099,hypo real estate,financials,real estate,munich,2003,nationalized holding company
1100,iav,industrials,industrial suppliers,berlin,1983,automotive supplier
1101,ig farben,basic materials,commodity chemicals,frankfurt,1925,defunct 2012
1102,infineon technologies,technology,semiconductors,neubiberg,1999,semiconductor manufacturer
1103,intershop,consumer services,specialty retailers,berlin,1962,defunct 1990
1104,j. a. henckels,consumer goods,durable household products,solingen,1731,kitchenware
1105,j. schmalz,industrials,industrial machinery,glatten,1910,vacuum technology
1106,jack wolfskin,consumer goods,recreational products,idstein,1981,camping and outdoor
1107,jako,consumer goods,clothing & accessories,mulfingen,1948,shoes & sports apparel & accessories manufacturer
1108,jenoptik,industrials,industrial machinery,jena,1991,optoelectronics engineering
1109,jil sander,consumer goods,clothing & accessories,hamburg,1968,fashion
1110,junghans,consumer goods,clothing & accessories,schramberg,1861,watches
1111,junkers,industrials,aerospace,dessau,1895,"aircraft manufacturer, defunct 1969"
1112,k+s,basic materials,speciality chemicals,kassel,1889,fertilisers
1113,kärcher,industrials,waste & disposal services,winnenden,1935,cleaning equipment
1114,katjes international,market,food retailers,emmerich am rhein,1972,"sugar confectionery market, part of katjes group"
1115,kaufland,consumer services,food retailers & wholesalers,neckarsulm,1985,"hypermarket, part of schwarz gruppe"
1116,keimfarben,basic materials,speciality chemicals,diedorf,1878,paints
1117,kfw,financials,banks,frankfurt,1906,financial services
1118,klöckner & co se,industrials,industrial machinery,duisburg,1906,metal distribution
1119,knorr,consumer goods,food products,heilbronn,1838,"food brand, part of unilever (uk/netherlands)"
1120,knorr-bremse,industrials,industrial suppliers,munich,1905,braking systems
1121,koenig & bauer,industrials,industrial machinery,würzburg,1817,printing machines
1122,körber,industrials,industrial machinery,hamburg,1995,mechanical engineering
1123,krauss-maffei,industrials,industrial machinery,munich,1931,"mechanical engineering, part of chemchina (china)"
1124,krombacher brauerei,consumer goods,brewers,kreuztal,1803,brewery
1125,krones,industrials,industrial machinery,neutraubling,1951,mechanical engineering
1126,ksb company,industrials,industrial machinery,frankenthal,1871,mechanical engineering
1127,kuka,industrials,industrial machinery,augsburg,1898,automation
1128,lamy,consumer goods,nondurable household products,heidelberg,1930,writing instruments
1129,lanxess,basic materials,speciality chemicals,cologne,2004,chemicals
1130,leica camera,consumer goods,recreational products,wetzlar,1914,optical imaging
1131,leidolf,consumer goods,recreational products,wetzlar,1921,"cameras, defunct 1962"
1132,leoni ag,industrials,electrical components & equipment,nuremberg,1917,cable and harnessing manufacturing
1133,lidl,consumer services,food retailers & wholesalers,neckarsulm,1930,part of schwarz gruppe
1134,lindauer dornier,consumer goods,clothing & accessories,lindau,1985,textile machinery
1135,linguatec,technology,software,pasing,1996,machine translation
1136,linhof,consumer goods,recreational products,munich,1887,camera manufacturer
1137,loewe,consumer goods,consumer electronics,kronach,1923,consumer electronics
1138,löwenbräu,consumer goods,brewers,munich,1383,"brewery, part of anheuser-busch inbev (belgium)"
1139,lsg sky chefs,industrials,transportation services,neu-isenburg,1942,"airline catering, part of lufthansa"
1140,ltu international,consumer services,airlines,düsseldorf,1955,"leisure airline, defunct 2009"
1141,lufthansa group,consumer services,airlines,cologne,1955,largest german airline
1142,lürssen,industrials,commercial vehicles & trucks,bremen-vegesack,1875,shipyard
1143,magirus,industrials,commercial vehicles & trucks,ulm,1866,trucks and industrial vehicles
1144,magix,technology,software,berlin,1994,"software publisher, part of bellevue investments"
1145,mahle gmbh,industrials,industrial suppliers,stuttgart,1920,automotive parts
1146,man,industrials,commercial vehicles & trucks,munich,1758,"automotive, mechanical engineering, part of volkswagen group"
