"Name","Industry","Headquarter","Ownership","Foundation Year"
"Algoworks Technologies","IT Services & Consulting","Noida, Uttar Pradesh, India","Private","2006 (17 yrs old)"
"Corporation Bank","Banking","Mangaluru/Mangalore, Karnataka, India","Public","1906 (117 yrs old)"
"Netcore Solutions","IT Services & Consulting","Mumbai, Maharashtra, India","Private","1998 (25 yrs old)"
"Ace Creative Learning","Design","Bangalore, India","Private","1998 (25 yrs old)"
"Koenig Solutions","Education & Training","Delhi/NCR, Delhi, India","Private","1993 (30 yrs old)"
"O P Jindal Global University","Education & Training","Sonepat, Haryana, India","Private","2009 (14 yrs old)"
"PerkinElmer","Pharma","Waltham,Massachusetts, United States","Private","2004 (19 yrs old)"
"Marsh","Management Consulting","New York,","Private","1969 (54 yrs old)"
"i-Source Infosystems","IT Services & Consulting","Pune, Maharashtra, India","Private","2003 (20 yrs old)"
"Entercoms","Management Consulting","Irving, Texas, United States (USA)","Private","2004 (19 yrs old)"
"Shri Mahant Indiresh Hospital","Healthcare","Dehradun, India","Private","2002 (21 yrs old)"
"HWASHIN Automotive","Auto Components","Chennai, India","Private","2002 (21 yrs old)"
"Focus Softnet","Software Product","Hyderabad/Secunderabad, Telangana, India","Private","1992 (31 yrs old)"
"Sargam Electronics","Retail","New Delhi, India","Private","1984 (39 yrs old)"
"Coastal Marine Construction & Engineering","Engineering & Construction","Mira Bhayander, Maharashtra, India","Private","1995 (28 yrs old)"
"AltezzaSys","Financial Services","Noida, India","Private","2014 (9 yrs old)"
"EGIS","Power","Gurgaon, India","Private","1970 (53 yrs old)"
"Laxmi Remote India","Pharma","Noida, India","Private","1995 (28 yrs old)"
"Advids.co","Marketing & Advertising","Palo Alto, United States","Private","2009 (14 yrs old)"
"Nucon Aerospace","Defence & Aerospace","Hyderabad, India","Private","1972 (51 yrs old)"
"Mogli labs","Other","Noida, Uttar Pradesh, India","Private","2014 (9 yrs old)"
"Frost & Sullivan","Management Consulting","Santa Clara, California, United States (USA)","Private","1961 (62 yrs old)"
"The MobileStore","Internet","Mumbai, Maharashtra, India","Public","2006 (17 yrs old)"
"John Deere Financial","NBFC","Johnston, United States","Private","1837 (186 yrs old)"
"SONATRACH","Oil & Gas","Algiers, Algeria","Other","1963 (60 yrs old)"
"Modicare","Beauty & Personal Care","Delhi/NCR, Delhi, India","Public","1996 (27 yrs old)"
"Chrysalis High","Education & Training","Bangalore/Bengaluru, Karnataka, India","Private","2010 (13 yrs old)"
"SMCC Construction India","Engineering & Construction","New Delhi, India","Private","1996 (27 yrs old)"
"River Engineering","Industrial Machinery","Greater Noida, Uttar Pradesh, India","Private","2007 (16 yrs old)"
"Calderys India Refractories","Metals & Mining","Paris, France","Private","1908 (115 yrs old)"
"Hegde & Hegde Pharmaceutica","Pharma","Mumbai, India","","1989 (34 yrs old)"
"Nahar Spinning Mills","Fashion & Textile","Ludhiana, Punjab, India","Public","1980 (43 yrs old)"
"Kartavya Healtheon","Internet","Goregaon,Maharashtra, India","Private","2008 (15 yrs old)"
"Bonanza Portfolio","Financial Services","New Delhi, India","Private","1994 (29 yrs old)"
"Underwriters Laboratories","Financial Services","Northbrook, Illinois, United States","Private","1894 (129 yrs old)"
"Aranca","Analytics & KPO","Mumbai, Maharashtra, India","Private","2003 (20 yrs old)"
"Sembcorp Marine","Industrial Machinery","Singapore, Singapore","Private","1963 (60 yrs old)"
"Isc Projects","Engineering & Construction","Pune, Maharashtra, India","Private","1967 (56 yrs old)"
"Deep Industries","Oil & Gas","Ahmedabad, Gujarat, India","Public","1991 (32 yrs old)"
"Inventys Research","Chemicals","Mumbai, India","Private","2006 (17 yrs old)"
"Inorbit Mall","Retail","Mumbai, India","","2004 (19 yrs old)"
"Axa Parenterals","Pharma","Roorkee, Uttarakhand, India","Public","2005 (18 yrs old)"
"Atomberg Technologies","Consumer Electronics & Appliances","Mumbai,Maharashtra, India","Private","2012 (11 yrs old)"
"Astral Pipe","Building Material","","",""
"Ts Tech Sun India","Automobile","Noida, India","Private","1954 (69 yrs old)"
"InfoService","IT Services & Consulting","Chennai, Tamil Nadu, India","Private","2004 (19 yrs old)"
"Veeraraghavan & Company","Accounting & Auditing","Andheri, India","Private","1989 (34 yrs old)"
"HYUNDAI TRANSYS INDIA","Auto Components","Yeongcheon-ro, South Korea","",""
"Ugro Capital","","India","Public","1993 (30 yrs old)"
"Google Pay","FinTech","","",""
"Befree Business Resourceing","Management Consulting","Parramatta,New South Wales, Australia","","2006 (17 yrs old)"
"Jindal Group Of Companies","Iron & Steel","New Delhi, India","Private","1952 (71 yrs old)"
"Reserve Bank of India","Banking","Mumbai, India","Private","1935 (88 yrs old)"
"Niit Foundation","Education & Training","New Delhi, India","Private","2004 (19 yrs old)"
"Radhakrishna Foodland","Logistics","Thane, India","Private","1966 (57 yrs old)"
"Philip Morris International","FMCG","New York, UnitedStates","Private","1987 (36 yrs old)"
"Apps Associates","IT Services & Consulting","Acton, Massachusetts, United States","LLC","2002 (21 yrs old)"
"Vishnu Chemicals","Chemicals / Agri Inputs","Hyderabad/Secunderabad, Telangana, India","Public","1990 (33 yrs old)"
"Rich Graviss Products","FMCG","Mumbai, Maharashtra, India","Private","1994 (29 yrs old)"
"Strategic Learning Solutions","BPO","Gurgaon/Gurugram, Haryana, India","Private","1996 (27 yrs old)"
"Fermenta Biotech","Pharma","Thane, Maharashtra, India","Public","1951 (72 yrs old)"
"SAGE Publications","Media & Entertainment","Thousand Oaks, United States","Private","1965 (58 yrs old)"
"Meru cabs","Internet","Mumbai,Maharashtra, India","Private","2007 (16 yrs old)"
"Weir Minerals","Metals & Mining","Fort Worth, Texas, United States (USA)","Private","1871 (152 yrs old)"
"ABCD","Education & Training","Brooklyn,","Private",""
"Corrtech International","Engineering & Construction","Ahemdabad, India","Private","1982 (41 yrs old)"
"Synchronoss Technologies","Telecom","Bridgewater,New Jersey, United States","Private","2000 (23 yrs old)"
"Vcare (India)","Beauty & Personal Care","Chennai, India","Private","2004 (19 yrs old)"
"ParamInfo","IT Services & Consulting","Dubai, Dubai, United Arab Emirates (UAE)","Private","2006 (17 yrs old)"
"Mövenpick Hotels & Resorts","Hospitality","Paris, France","Private","1973 (50 yrs old)"
"Ludhiana Beverages","Beverage","Ludhiana, India","Private","1994 (29 yrs old)"
"N+A","Financial Services","Los Angeles,","",""
"VSynergize Outsourcing","Marketing & Advertising","Boston, MA, USA","Private","2001 (22 yrs old)"
"Adglobal360","Marketing & Advertising","Gurgaon/Gurugram, Haryana, India","Private","2009 (14 yrs old)"
"ABT Maruti","Automobile","Coimbatore, India","Private","1921 (102 yrs old)"
"Bilt Graphic Paper Products","Pulp & Paper","Mumbai, India","Public","2007 (16 yrs old)"
"Ministry Of Education","Government","Male, Maldives","Private",""
"Gandour India Food Processing","Food Processing","Hyderabad/Secunderabad, Telangana, India","Private","HQ - Hyderabad/Secunderabad, Telangana, India Food Processing 51-200 Employees (India)"
"Hcl Foundation","Non-Profit","Noida, India","Private","1976 (47 yrs old)"
"S&IB Services","Facility Management Services","Kolkata, India","Private","1988 (35 yrs old)"
"Shriram EPC","Oil & Gas","Chennai, Tamil Nadu, India","Public","2000 (23 yrs old)"
"Unimark Remedies","Pharma","Mumbai, India","Private","1982 (41 yrs old)"
"Inspiredge IT Solutions","IT Services & Consulting","Visakhapatnam, India","Private","2012 (11 yrs old)"
"NPCC Engineering","Oil & Gas","Mumbai, Maharashtra, India","Private","2007 (16 yrs old)"
"Mehta Cad Cam Systems","Industrial Machinery","Ahmedabad, Gujarat, India","Private","1989 (34 yrs old)"
"KLJ GROUP","Petrochemicals","New Delhi, India","Public","1967 (56 yrs old)"
"Ascend Telecom Infrastructure","Telecom","Bengaluru, India","Private","2002 (21 yrs old)"
"Samsung SDS","Consumer Electronics & Appliances","Seoul, South Korea","Private","1985 (38 yrs old)"
"Vistaprint","Internet","Mumbai, India","Private","2012 (11 yrs old)"
"Accuster Technologies","Healthcare","Delhi/NCR, New Delhi, India","Private","2009 (14 yrs old)"
"Pasco Automobiles","Automobile","Gurgaon/Gurugram, Haryana, India","Private","1985 (38 yrs old)"
"Renata Precision Components","Industrial Machinery","Pune, India","","2006 (17 yrs old)"
"Zeco Aircon","Industrial Machinery","Jhajjar, Haryana, India","Public","1989 (34 yrs old)"
"Vanesa Care","Beauty & Personal Care","Delhi/NCR, Delhi, India","Private","1983 (40 yrs old)"
"ATC Tires","Auto Components","Mumbai, India","Private","2007 (16 yrs old)"
"Any Brand","Fashion & Textile","","",""
"Taal Tech India","IT Services & Consulting","Bangalore/Bengaluru, Karnataka, India","Private","2012 (11 yrs old)"
"Berar Finance","Financial Services","Nagpur, India","Public","1990 (33 yrs old)"
"Manappuram Home Finance","Financial Services","Mumbai, India","Private","2010 (13 yrs old)"
"House Of Diagnostics","Healthcare","Delhi/NCR, Delhi, India","Private","2008 (15 yrs old)"
"Shivalaya Construction","Engineering & Construction","Rohtak, India","","1997 (26 yrs old)"
"Khandelwal Laboratories","Pharma","Mumbai, India","Private","1945 (78 yrs old)"
"Lubi Industries Llp","Industrial Machinery","Ahmedabad, India","Private","1965 (58 yrs old)"
"High Court Lucknow","Law Enforcement & Security","","",""
"Myoung Shin India Automotive","Auto Components","Kanchipuram, Tamil Nadu, India","Private","2006 (17 yrs old)"
"IXAR","Oil & Gas","Mumbai, India","Private","1969 (54 yrs old)"
"Pps Motors","Automobile","Hyderabad, India","Private","2011 (12 yrs old)"
"Acko General Insurance","Financial Services","Mumbai,Maharashtra, India","Private","2016 (7 yrs old)"
"Nilkamal Furniture","Furniture & Furnishing","Mumbai, India","Public","1990 (33 yrs old)"
"Go Speedy Go","Automobile","Bhubaneswar, India","Private","2017 (6 yrs old)"
"PearVisa Immigration Services","Recruitment","New Delhi, Delhi, India","Public","2010 (13 yrs old)"
"The Chennai Silks","Fashion & Textile","Tirupur/Tiruppur, Tamil Nadu, India","Private","1964 (59 yrs old)"
"Revlon","Beauty & Personal Care","New York, United States","","1932 (91 yrs old)"
"Lee Pharma","Pharma","Hyderabad/Secunderabad, Telangana, India","Private","1997 (26 yrs old)"
"Crescendo Global","Recruitment","Gurgaon/Gurugram, Haryana, India","Private","2014 (9 yrs old)"
"Reliance Group","Advertising / PR / Events","Mumbai, India","Private","1966 (57 yrs old)"
"Moody's","Analytics & KPO","New York, New York, US","Private","1909 (114 yrs old)"
"Hudson's Bay Company","Retail","Brampton, Canada","Private","1670 (353 yrs old)"
"WPIL","Building Material","Kolkata, West Bengal, India","Public","1952 (71 yrs old)"
"Supreme Infrastructure","Engineering & Construction","Mumbai, India","Public","1983 (40 yrs old)"
"AXIS Solutions","Industrial Automation","Ahmedabad, Gujarat, India","Private","1999 (24 yrs old)"
"Kumar Organic Products","Chemicals","Bangalore, India","Private","1991 (32 yrs old)"
"ITC ABD","Food Processing","Kolkata, India","","1910 (113 yrs old)"
"Selectsys","BPO","Knoxville, United States (USA)","Private","2006 (17 yrs old)"
"Dubai Electricity & Water Authority (DEWA)","Power","Dubai, Dubai, United Arab Emirates (UAE)","Private","1992 (31 yrs old)"
"TVS - SUNDARAM BRAKE LININGS","Auto Components","Chennai, India","Public","1976 (47 yrs old)"
"Raheja Developers","Real Estate","Gurgaon/Gurugram, Haryana, India","Public","HQ - Gurgaon/Gurugram, Haryana, India Real Estate 201-500 Employees (India) Engineering & Construction Public"
"SMC Power Generation","Iron & Steel","New Delhi, India","Public","2000 (23 yrs old)"
"National Mineral Development Corporation","Metals & Mining","Hyderabad/Secunderabad, Telangana, India","Public","1958 (65 yrs old)"
"MELCO","Industrial Machinery","Faridabad, India","Private","1995 (28 yrs old)"
"Stemmons Business Services","BPO","Vadodara/Baroda, Gujarat, India","Private","2011 (12 yrs old)"
"Doosan Heavy Industries & Construction","Engineering & Construction","Seocho,Seoul, South Korea","Private","1962 (61 yrs old)"
"Jehangir Hospital","Healthcare","Pune, Maharashtra, India","Private","1946 (77 yrs old)"
"Teerthanker Mahaveer University","Education & Training","Moradabad, Uttar Pradesh, India","","2008 (15 yrs old)"
"Sv Edusports","Sports & Recreation","Bangalore, India","Private","2009 (14 yrs old)"
"Indian Institute of Science Education and Research","Analytics & KPO","Pune, India","Private","2006 (17 yrs old)"
"Illusion Dental Laboratory","Medical Equipment","Mumbai, Maharashtra, India","Private","2004 (19 yrs old)"
"National Sample Survey Office (nsso)","Government","New Delhi, India","","1950 (73 yrs old)"
"Multi Organics","Chemicals","Mumbai, Maharashtra, India","Private","1976 (47 yrs old)"
"Multi Mantech International","Engineering & Construction","Ahmedabad, Gujarat, India","Private","1991 (32 yrs old)"
"Orange City Water","Waste Management","Nagpur, India","Private","2011 (12 yrs old)"
"Hindustan Platinum","Metals & Mining","Navi Mumbai, India","Private","1961 (62 yrs old)"
"Fedora Solutions","IT Services & Consulting","Charlotte, United States","Private","2004 (19 yrs old)"
"ACI Worldwide","Software Product","Coral Gables, Florida, US","Private","1975 (48 yrs old)"
"The Calcutta Medical Research Institute","Healthcare","Kolkata, India","","1969 (54 yrs old)"
"Mvs Acmei Technologies","Industrial Automation","Hyderabad, India","Private","2009 (14 yrs old)"
"Searce Cosourcing Services","IT Services & Consulting","Cupertino, California, United States","Private","2004 (19 yrs old)"
"Cosmos Impex","Industrial Machinery","Vadodara, India","Private","1987 (36 yrs old)"
"WPIL","Building Material","Kolkata, West Bengal, India","Public","1952 (71 yrs old)"
"Stemmons Business Services","BPO","Vadodara/Baroda, Gujarat, India","Private","2011 (12 yrs old)"
"Nagata India","Metals & Mining","Gurugram, India","","1999 (24 yrs old)"
"Doosan Heavy Industries & Construction","Engineering & Construction","Seocho,Seoul, South Korea","Private","1962 (61 yrs old)"
"Jehangir Hospital","Healthcare","Pune, Maharashtra, India","Private","1946 (77 yrs old)"
"Teerthanker Mahaveer University","Education & Training","Moradabad, Uttar Pradesh, India","","2008 (15 yrs old)"
"Sv Edusports","Sports & Recreation","Bangalore, India","Private","2009 (14 yrs old)"
"National Sample Survey Office (nsso)","Government","New Delhi, India","","1950 (73 yrs old)"
"Putzmeister Concrete Machines","Industrial Machinery","Aichtal, Germany","Private","2007 (16 yrs old)"
"Multi Mantech International","Engineering & Construction","Ahmedabad, Gujarat, India","Private","1991 (32 yrs old)"
"Multi Organics","Chemicals","Mumbai, Maharashtra, India","Private","1976 (47 yrs old)"
"Arunachala Logistics","Logistics","Hyderabad/Secunderabad, Telangana, India","Private","2000 (23 yrs old)"
"Solulab inc","IT Services & Consulting","Ahmedabad, Gujarat, India","Private","2014 (9 yrs old)"
"Ziff Davis Performance Marketing","Marketing & Advertising","Austin Texas, United States of America","Private","2005 (18 yrs old)"
"Freelancer.com","","Delhi,NCT, India","","2011 (12 yrs old)"
"Hero Housing Finance","Financial Services","New Delhi, India","","2017 (6 yrs old)"
"Technotask Business Solutions","","","",""
"Leverage Edu","EdTech","Delhi,NCT, India","Private","2017 (6 yrs old)"
"Little Nap Recliners","","","",""
"Spectrum Consultants","Recruitment","Bangalore, India","Private","1995 (28 yrs old)"
"BillDesk","FinTech","Mumbai,Maharashtra, India","Public","2000 (23 yrs old)"
"Gangavaram Port","Ports & Shipping","Visakhapatnam, India","Private","2008 (15 yrs old)"
"WaterHealth International","Waste Management","Hyderabad/Secunderabad, Telangana, India","Private","2005 (18 yrs old)"
"Hartex Rubber","Auto Components","Hyderabad/Secunderabad, Telangana, India","Private","1961 (62 yrs old)"
"Him Teknoforge","Auto Components","Chandigarh, Chandigarh, India","Public","1981 (42 yrs old)"
"Ravi Foods","Food Processing","Hyderabad/Secunderabad, Telangana, India","Private","1988 (35 yrs old)"
"Mega Rubber Technologies","Auto Components","Thane, Maharashtra, India","Private","1995 (28 yrs old)"
"Ravi Foods","Food Processing","Hyderabad/Secunderabad, Telangana, India","Private","1988 (35 yrs old)"
"Awign Enterprises","Recruitment","Bangalore,Karnataka, India","Private","2016 (7 yrs old)"
"Utkal Alumina International","Chemicals","Rayagada, India","Public","1993 (30 yrs old)"
"Singer India","Consumer Electronics & Appliances","Delhi/NCR, Delhi, India","Public","1977 (46 yrs old)"
"Pathcare Labs","Healthcare","Hyderabad/Secunderabad, Telangana, India","Private","2007 (16 yrs old)"
"Harita Seating Systems","Auto Components","Hosur, Tamil Nadu, India","Public","2010 (13 yrs old)"
"MGNREGA","Government","New Delhi, India","","1991 (32 yrs old)"
"Maaden Phosphate Company","Metals & Mining","Al Jalamid, Saudi Arabia","JV","2009 (14 yrs old)"
"ITC Wills Lifestyle","Fashion & Textile","Mumbai, Maharashtra, India","Public","1910 (113 yrs old)"
"Axalta Coating Systems","Chemicals","Philadelphia, New South Wales, United States (USA)","Private","2013 (10 yrs old)"
"KRYFS POWER COMPONENTS","Industrial Machinery","Mumbai, India","Private","1992 (31 yrs old)"
"Paranjape Schemes Construction","Real Estate","Pune, Maharashtra, India","Private","1930 (93 yrs old)"
"Quest Global Technologies","IT Services & Consulting","Indore, India","Private","2013 (10 yrs old)"
"Aster Medcity","Healthcare","Kochi/Cochin, Kerala, India","Private","2015 (8 yrs old)"
"DMI DRAEXLMAIER MANUFACTURING","Industrial Machinery","Vilsbiburg, Germany","Private","1958 (65 yrs old)"
"reliance corporate it park","","Thane, India","",""
"Irclass Systems And Solutions","Other","Mumbai, India","Private","1975 (48 yrs old)"
"CNSI","IT Services & Consulting","Rockville, Maryland, United States (USA)","","1994 (29 yrs old)"
"Q Way Technologies","BPO/KPO","Chennai, Tamil Nadu, United States","Private","2010 (13 yrs old)"
"Hard Rock Cafe","Hospitality","Davie, United States","Private","1971 (52 yrs old)"
"Spykar Lifestyles","Fashion & Textile","Mumbai, Maharashtra, India","Private","1992 (31 yrs old)"
"Hansa Research Group","Analytics & KPO","Kolkata,West Bengal, India","Private","1983 (40 yrs old)"
"Saraswati Accountants Software","IT Services & Consulting","New Delhi, Delhi, India","Private","1999 (24 yrs old)"
"WaterHealth International","Waste Management","Hyderabad/Secunderabad, Telangana, India","Private","2005 (18 yrs old)"
"Mapro Foods","FMCG","Mahabaleshwar, Maharashtra, India","Private","1959 (64 yrs old)"
"Minda Stoneridge Instruments","Auto Components","New Delhi, India","Private","1995 (28 yrs old)"
"Colruyt Group","IT Services & Consulting","Hale, Belgium","","2007 (16 yrs old)"
"Dozco","Industrial Machinery","Visakhapatnam, India","","1983 (40 yrs old)"
"PG Electroplast","Consumer Electronics & Appliances","Noida, India","Public","1977 (46 yrs old)"
"Imedx Information Services","IT Services & Consulting","Atlanta, UnitedStates","","2002 (21 yrs old)"
"Primus Super Speciality Hospital","Healthcare","New Delhi, India","Private","2007 (16 yrs old)"
"Sankara Eye Hospital","Healthcare","Coimbatore, Tamil Nadu, India","","1977 (46 yrs old)"
"Interglobe Air Transport","Aviation","Gurgaon, India","","1989 (34 yrs old)"
"Alstrong Enterprises","Building Material","Delhi/NCR, New Delhi, India","Private","2001 (22 yrs old)"
"Intech Organics","Agro Chemicals","Gurugram, India","Private","1999 (24 yrs old)"
"Donear Industries","Fashion & Textile","Mumbai, Maharashtra, India","Public","1977 (46 yrs old)"
"Enrich Hair And Skin Solutions","Beauty & Personal Care","Mumbai, Maharashtra, India","Private","2004 (19 yrs old)"
"Manikaran Power","Power","Delhi/NCR, Delhi, India","Private","2005 (18 yrs old)"
"CohnReznick","Financial Services","New York, New York, US","Private","1919 (104 yrs old)"
"Shankar Electricals","Electrical Equipment","Bengaluru, India","","2019 (4 yrs old)"
"RD Public School","Education & Training","Betul, India","Private","2007 (16 yrs old)"
"Odisha Power Generation Corporation","Oil & Gas","Bhubaneswar, India","Public","1984 (39 yrs old)"
"Datasigns Technologies","FinTech","Bangalore,Karnataka, India","Private","2016 (7 yrs old)"
"ANI INTEGRATED SERVICES","Engineering & Construction","Mumbai, Maharashtra, India","Public","1988 (35 yrs old)"
"VFI SLK Global Services","Financial Services","Bangalore/Bengaluru, Karnataka, India","JV","2019 (4 yrs old)"
"KPMG Assurance and Consulting Services","IT Services & Consulting","Mumbai, Maharashtra, India","",""
"Wipro PARI","","","",""
"Ebixcash World Money","FinTech","Mumbai,Maharashtra, India","Private","1985 (38 yrs old)"
"Terralogic Software Solutions","IT Services & Consulting","San Jose, United States","Private","2008 (15 yrs old)"
"Dr L H Hiranandani Hospital","Healthcare","Mumbai, Maharashtra, India","Private","2004 (19 yrs old)"
"3F Industries","Food Processing","Prathipadu, Andhra Pradesh, India","Public","1960 (63 yrs old)"
"Brickwork Ratings","Financial Services","Bengaluru, India","Private","2007 (16 yrs old)"
"Excel Crop Care","Agro Chemicals","Mumbai, Maharashtra, India","Public","1964 (59 yrs old)"
"OM Careers","Recruitment","Ludhiana, India","Private","2008 (15 yrs old)"
"Appco Group","Marketing & Advertising","Kuala Lumpur, Malaysia","Private","1995 (28 yrs old)"
"IndianOil Skytanking","Oil & Gas","Mumbai, India","Private","2006 (17 yrs old)"
"CPC Diagnostics","Medical Equipment","Chennai,Tamil Nadu, India","Private","1987 (36 yrs old)"
"Allegis Global Solutions","Recruitment","Hanover, United States","Private","2001 (22 yrs old)"
"Auto Ignition","Auto Components","Palwal, India","","1971 (52 yrs old)"
"Rajdeep Buildcon","Engineering & Construction","Pune, India","Private","1992 (31 yrs old)"
"Rolex Rings","Industrial Machinery","Rajkot, India","","2003 (20 yrs old)"
"EVIO","Power","Mumbai, Maharashtra, India","Private","2011 (12 yrs old)"
"Saurer","Financial Services","Wattwil, Switzerland","","1853 (170 yrs old)"
"Tecnotree Convergence","Telecom","Espoo,Uusimaa, Finland","Private","1978 (45 yrs old)"
"Gujarat Sidhee Cement","Building Material","Junagadh, India","Public","1973 (50 yrs old)"
"Dantal Hydraulics","Industrial Machinery","Gurgaon/Gurugram, Haryana, India","Private","1990 (33 yrs old)"
"VASANTHA TOOL CRAFTS","Industrial Machinery","Hyderabad, India","Private","1989 (34 yrs old)"
"La Renon Healthcare","Pharma","Ahmedabad,Gujarat, India","Private","2007 (16 yrs old)"
"Beumer Group","Industrial Machinery","Beckum, Deutschland, Germany","Private","1935 (88 yrs old)"
"Sage Metals","Metals & Mining","New Delhi, India","Private","1983 (40 yrs old)"
"Transpek-silox Industry","Chemicals","Vadodara/Baroda, Gujarat, India","Public","2001 (22 yrs old)"
"INTERPLEX","","Singapore, Singapore","Private","1970 (53 yrs old)"
"Toyotetsu india auto parts","Auto Components","Aichi, Japan","Private","2009 (14 yrs old)"
"Wibmo","FinTech","Bangalore,Karnataka, India","Private","1999 (24 yrs old)"
"Gar Corporation","Real Estate","Hyderabad, India","Private","1982 (41 yrs old)"
"Kaff Appliances (india)","Consumer Electronics & Appliances","Gurgaon,Haryana, India","","2007 (16 yrs old)"
"H-one India","Auto Components","Saitama , Japan","","2006 (17 yrs old)"
"Pravin Electricals","Electrical Equipment","Mumbai, Maharashtra, India","Private","1986 (37 yrs old)"
"Ambey Mining","Metals & Mining","Kolkata, India","Private","2005 (18 yrs old)"
"LS Cable","Electrical Equipment","Gyeonggi-do, South Korea","Public","1962 (61 yrs old)"
"Bharatiya Vidya Bhavan","Education & Training","Mumbai, India","","1938 (85 yrs old)"
"Wonderchef Home Appliances","Consumer Electronics & Appliances","Mumbai,Maharashtra, India","Private","2009 (14 yrs old)"
"Bansal Hospital","Healthcare","New Delhi, India","","1998 (25 yrs old)"
"Galva Decoparts","Chemicals","Vapi, India","","1998 (25 yrs old)"
"KerryIndev Logistics","Logistics","Chennai, Tamil Nadu, India","Private","1984 (39 yrs old)"
"RC Plasto Tanks And Pipes","Petrochemicals","Nagpur, India","Private","2010 (13 yrs old)"
"Tyco Fire & Security","Industrial Machinery","Abu Dhabi, United Arab Emirates","Private","1992 (31 yrs old)"
"Punjab & Sind Bank","Banking","New Delhi, India","Private","1908 (115 yrs old)"
"Shalina Laboratories","Pharma","Dubai, Dubai, United Arab Emirates (UAE)","Private","1985 (38 yrs old)"
"Futurz Staffing Solutions","Recruitment","Mumbai, India","","2005 (18 yrs old)"
"Gowtham Model School","Education & Training","Secunderabad, India","","2003 (20 yrs old)"
"Hotel Sahara Star","Hospitality","Mumbai, India","Private","2002 (21 yrs old)"
"SGPGI","Education & Training","Lucknow, Uttar Pradesh, India","Private","1983 (40 yrs old)"
"RSH Global","FMCG","Kolkata, West Bengal, India","Private","1988 (35 yrs old)"
"VTP Realty","Real Estate","","",""
"Lakmé Salon","Beauty & Personal Care","Mumbai, India","","1980 (43 yrs old)"
"John Crane Sealing Systems India","Industrial Machinery","Chicago, Illinois, United States (USA)","Private","2012 (11 yrs old)"
"Makino Auto Industries","Automobile","Noida, Uttar Pradesh, India","Private","1990 (33 yrs old)"
"Epicor Software Corporation","IT Services & Consulting","Austin, Texas, United States","Private","1972 (51 yrs old)"
"J Pan Tubular Components","Industrial Machinery","Greater Noida, India","Private","2007 (16 yrs old)"
"Tonglit Autogistic","Logistics","Chennai, Tamil Nadu, India","Private","2010 (13 yrs old)"
"Greenlight Planet","Power","Chicago,Illinois, United States","Private","2008 (15 yrs old)"
"Celebrity Cruises","Travel & Tourism","Miami, UnitedStates","","1989 (34 yrs old)"
"Ahana Systems & Solutions","IT Services & Consulting","Bangalore/Bengaluru, Karnataka, India","Private","2007 (16 yrs old)"
"Orange Retail Finance","Financial Services","Chennai, India","Private","2000 (23 yrs old)"
"Entertainment Network India","Media & Entertainment","Mumbai, Maharashtra, India","Public","1999 (24 yrs old)"
"Diamondpick","Recruitment","Iselin, New Jersey, United States (USA)","Private","2018 (5 yrs old)"
"Sikka Group","Real Estate","New Delhi, India","Private","1986 (37 yrs old)"
"REI Systems","IT Services & Consulting","Sterling, United States","Private","1989 (34 yrs old)"
"Frontline NCR Business Solutions","Facility Management Services","New Delhi, India","Private","2007 (16 yrs old)"
"Archidply Industries","Furniture & Furnishing","Delhi/NCR, New Delhi, India","Public","1976 (47 yrs old)"
"SITA","IT Services & Consulting","Geneva, Switzerland","Private","1949 (74 yrs old)"
"U.S. Polo Assn","Retail","Los Angeles, United States","Private","1890 (133 yrs old)"
"FHPL","Insurance","Hyderabad, India","Private","1995 (28 yrs old)"
"ETA ASCON Group","Engineering & Construction","Dubai, United Arab Emirates","Private","1973 (50 yrs old)"
"Intertrust Group","Financial Services","Amsterdam,, Netherlands","Public","1952 (71 yrs old)"
"Grivaa Capital","Financial Services","New Delhi, India","Private","2015 (8 yrs old)"
"Radiant Appliances","Electronics Manufacturing","Hyderabad/Secunderabad, Telangana, India","Private","2019 (4 yrs old)"
"Hiranandani Financial Services","Financial Services","Mumbai,Maharashtra, India","","2017 (6 yrs old)"
"Fitelo","Fitness & Wellness","Chandigarh, Chandigarh, India","","2019 (4 yrs old)"
"Nexdigm","Management Consulting","Mumbai,Maharashtra, India","Private","1998 (25 yrs old)"
"IT By Design","IT Services & Consulting","Jersey City, United States","Private","2003 (20 yrs old)"
"Ansal Properties & Infrastructure","Real Estate","Delhi/NCR, New Delhi, India","Public","1967 (56 yrs old)"
"SmartSchool Education","EdTech","Noida, India","Private","2011 (12 yrs old)"
"NMIMS","Education & Training","Mumbai, India","Private","1981 (42 yrs old)"
"Zeta Global","Marketing & Advertising","New York, Nee York, USA","Private","2007 (16 yrs old)"
"KiwiTech","IT Services & Consulting","Delhi,NCT, India","Private","2009 (14 yrs old)"
"Wep Solutions India","IT Services & Consulting","Bangalore, India","Public","1995 (28 yrs old)"
"MTAR Technologies","Defence & Aerospace","Hyderabad, India","Public","1970 (53 yrs old)"
"CollegeDekho","Internet","Gurgaon,Haryana, India","","2015 (8 yrs old)"
"Vijaya Bank","Banking","Bangalore/Bengaluru, Karnataka, India","Public","1931 (92 yrs old)"
"Sugam Parivahan","Logistics","New Delhi, India","Private","1987 (36 yrs old)"
"Uttar Pradesh Jal Nigam","Government","Lucknow, India","Public","1975 (48 yrs old)"
