Unnamed: 0,Name,MarketCap,Stock,Country,Sector,Industry
638,Hormel Foods Corporation,$28.52 B,HRL,United States,Consumer Staples,Packaged Foods
639,Cerner Corporation,$28.31 B,CERN,United States,Healthcare,Health Information Services
640,Ashtead Group plc,$28.28 B,AHT,United Kingdom,Industrials,Rental & Leasing Services
641,Equifax Inc.,$28.24 B,EFX,United States,Industrials,Consulting Services
642,Semiconductor Manufacturing International Corp,$28.24 B,688981,China,Technology,Semiconductors
643,Porsche Automobil Holding SE,$28.15 B,PAHA,Germany,Consumer Discretionary,Auto Manufacturers
644,Tesco plc,$28.11 B,TSCO,United Kingdom,Consumer Staples,Grocery Stores
645,Sirius XM Holdings Inc.,$28.05 B,SIRI,United States,Communication Services,Broadcasting
646,Airports of Thailand Public Company Ltd,$28.00 B,AOT,Thailand,Industrials,Airports & Air Services
647,CK Hutchison Holdings Ltd,$27.94 B,0001,Hong Kong,Industrials,Conglomerates
648,The People's Insurance Company (Group) of China Ltd,$27.93 B,601319,China,Financials,Insurance—Property & Casualty
649,"Expedia Group, Inc.",$27.91 B,EXPE,United States,Consumer Discretionary,Travel Services
650,First Republic Bank,$27.90 B,FRC,United States,Financials,Banks
651,Koninklijke Philips N.V.,$27.89 B,PHIA,Netherlands,Healthcare,Diagnostics & Research
652,Great-West Lifeco Inc.,$27.85 B,GWO,Canada,Financials,Insurance—Life
653,Thai Beverage Public Company Ltd,$27.81 B,Y92,Thailand,Consumer Staples,Beverages—Wineries & Distilleries
654,Swiss Re AG,$27.80 B,SREN,Switzerland,Financials,Insurance—Reinsurance
655,Edison International,$27.67 B,EIX,United States,Utilities,Utilities—Regulated Electric
656,Wolters Kluwer N.V.,$27.65 B,WKL,Netherlands,Communication Services,Publishing
657,ON Semiconductor Corporation,$27.63 B,ON,United States,Technology,Semiconductors
658,"CaixaBank, SA",$27.58 B,CABK,Spain,Financials,Banks
659,Sampo Oyj,$27.46 B,SAMPO,Finland,Financials,Insurance—Diversified
660,Extra Space Storage Inc.,$27.37 B,EXR,United States,Real Estate,REIT—Industrial
661,Sartorius AG,$27.35 B,SRT,Germany,Healthcare,Medical Instruments & Supplies
662,"D.R. Horton, Inc.",$27.34 B,DHI,United States,Consumer Discretionary,Residential Construction
663,"W.W. Grainger, Inc.",$27.33 B,GWW,United States,Industrials,Industrial Distribution
664,NARI Technology Co. Ltd,$27.33 B,600406,China,Industrials,Specialty Industrial Machinery
665,KONE Oyj,$27.29 B,KNEBV,Finland,Industrials,Specialty Industrial Machinery
666,"McCormick & Company, Incorporated",$27.29 B,MKC,United States,Consumer Staples,Packaged Foods
667,NTT Data Corp,$27.26 B,9613,Japan,Technology,Information Technology Services
668,Ganfeng Lithium Co. Ltd,$27.25 B,002460,China,Basic Materials,Chemicals
669,Will Semiconductor Co. Ltd,$27.24 B,603501,China,Technology,Semiconductors
670,"Interactive Brokers Group, Inc.",$27.22 B,IBKR,United States,Financials,Capital Markets
671,Gazprom Neft PJSC,$27.14 B,SIBN,Russia,Energy,Oil & Gas Integrated
672,Fubon Financial Holding Co. Ltd,$27.13 B,2881,Taiwan,Financials,Insurance—Life
673,Tractor Supply Company,$27.09 B,TSCO,United States,Consumer Discretionary,Specialty Retail
674,Chocoladefabriken Lindt & Sprüngli AG,$27.08 B,LISN,Switzerland,Consumer Staples,Confectioners
675,"ANSYS, Inc.",$26.98 B,ANSS,United States,Technology,Software—Application
676,Shaanxi Coal Industry Company Ltd,$26.95 B,601225,China,Energy,Thermal Coal
677,Aier Eye Hospital Group Co. Ltd,$26.95 B,300015,China,Healthcare,Medical Care Facilities
678,"Zimmer Biomet Holdings, Inc.",$26.94 B,ZBH,United States,Healthcare,Medical Devices
679,Bridgestone Corp,$26.88 B,5108,Japan,Consumer Discretionary,Auto Parts
680,Evolution Gaming Group AB,$26.82 B,EVO,Sweden,Consumer Discretionary,Gambling
681,Beijing Wantai Biological Pharmacy Enterprise Co. Ltd,$26.80 B,603392,China,Healthcare,Biotechnology
682,Vonovia SE,$26.78 B,VNA,Germany,Real Estate,Real Estate Services
683,Sandvik AB,$26.71 B,SAND,Sweden,Industrials,Specialty Industrial Machinery
684,"Cheniere Energy Partners, L.P.",$26.68 B,CQP,United States,Energy,Oil & Gas Midstream
685,PG&E Corporation,$26.66 B,PCG,United States,Utilities,Utilities—Regulated Electric
686,Kansas City Southern,$26.59 B,KSU,United States,Industrials,Railroads
687,Unity Software Inc.,$26.56 B,U,United States,Technology,Software—Application
688,Thales SA,$26.55 B,HO,France,Industrials,Aerospace & Defense
689,Southwest Airlines Co.,$26.52 B,LUV,United States,Industrials,Airlines
690,DTE Energy Company,$26.41 B,DTE,United States,Utilities,Utilities—Regulated Electric
691,Intact Financial Corporation,$26.40 B,IFC,Canada,Financials,Insurance—Property & Casualty
692,Deutsche Bank AG,$26.38 B,DBK,Germany,Financials,Banks
693,Canon Inc.,$26.38 B,7751,Japan,Technology,Computer Hardware
694,"LYONDELLBASELL ADVANCED POLYMERS, Inc.",$26.38 B,SLMNP,United States,Basic Materials,Chemicals
695,National Bank of Canada,$26.29 B,,Canada,Financials,Banks
696,Sonova Holding AG,$26.22 B,SOON,Switzerland,Healthcare,Medical Instruments & Supplies
697,Realty Income Corporation,$26.18 B,O,United States,Real Estate,REIT—Retail
698,China Everbright Bank Company Ltd,$26.13 B,601818,China,Financials,Banks
699,Twilio Inc.,$26.09 B,TWLO,United States,Communication Services,Internet Content & Information
700,Roblox Corp,$26.05 B,RBLX,United States,Communication Services,Electronic Gaming & Multimedia
701,"Telefónica, SA",$26.04 B,TEF,Spain,Communication Services,Telecom Services
702,Central Japan Railway Co,$26.00 B,9022,Japan,Industrials,Railroads
703,Li Auto Inc.,$25.83 B,LI,China,Consumer Discretionary,Auto Manufacturers
704,EnBW Energie Baden-Wuerttemberg AG,$25.82 B,EBK,Germany,Utilities,Utilities—Diversified
705,"The Hartford Financial Services Group, Inc.",$25.76 B,HIG,United States,Financials,Insurance—Diversified
706,Laboratory Corporation of America Holdings,$25.75 B,LH,United States,Healthcare,Diagnostics & Research
707,"MongoDB, Inc.",$25.73 B,MDB,United States,Technology,Software—Infrastructure
708,Mitsubishi Electric Corporation,$25.61 B,6503,Japan,Industrials,Electrical Equipment & Parts
709,Banco Santander (Brasil) SA,$25.59 B,SANB11,Brazil,Financials,Banks
710,Axis Bank Ltd,$25.54 B,AXISBANK,India,Financials,Banks
711,"United Rentals, Inc.",$25.46 B,URI,United States,Industrials,Rental & Leasing Services
712,Nan Ya Plastics Corp,$25.41 B,1303,Taiwan,Basic Materials,Specialty Chemicals
713,Lennar Corporation,$25.34 B,LEN,United States,Consumer Discretionary,Residential Construction
714,Straumann Holding AG,$25.31 B,STMN,Switzerland,Healthcare,Medical Instruments & Supplies
715,CLP Holdings Ltd,$25.29 B,0002,Hong Kong,Utilities,Utilities—Regulated Electric
716,Yanzhou Coal Mining Company Ltd,$25.26 B,600188,China,Energy,Thermal Coal
717,FirstEnergy Corp.,$25.26 B,FE,United States,Utilities,Utilities—Diversified
718,Albemarle Corporation,$25.25 B,ALB,United States,Basic Materials,Specialty Chemicals
719,CK Asset Holdings Limited,$25.21 B,1113,Hong Kong,Real Estate,Real Estate—Development
720,"Enphase Energy, Inc.",$25.20 B,ENPH,United States,Technology,Solar
721,Legrand SA,$25.19 B,LR,France,Industrials,Specialty Industrial Machinery
722,Galaxy Entertainment Group Ltd,$25.17 B,0027,Hong Kong,Consumer Discretionary,Resorts & Casinos
723,Skandinaviska Enskilda Banken AB,$25.15 B,SEB.A,Sweden,Financials,Banks
724,The Mosaic Company,$25.09 B,MOS,United States,Basic Materials,Agricultural Inputs
725,CDW Corporation,$25.04 B,CDW,United States,Technology,Information Technology Services
726,"Gartner, Inc.",$25.03 B,IT,United States,Technology,Information Technology Services
727,"EDP Renováveis, SA",$25.01 B,EDPR,Spain,Utilities,Utilities—Renewable
728,"Delta Air Lines, Inc.",$24.92 B,DAL,United States,Industrials,Airlines
729,Palantir Technologies Inc.,$24.91 B,PLTR,United States,Technology,Software—Infrastructure
730,Seagen Inc.,$24.87 B,SGEN,United States,Healthcare,Biotechnology
731,"Diamondback Energy, Inc.",$24.84 B,FANG,United States,Energy,Oil & Gas E&P
732,"VeriSign, Inc.",$24.81 B,VRSN,United States,Technology,Software—Infrastructure
733,"Church & Dwight Co., Inc.",$24.81 B,CHD,United States,Consumer Staples,Household & Personal Products
734,Ameren Corporation,$24.79 B,AEE,United States,Utilities,Utilities—Regulated Electric
735,China Minsheng Banking Corp Ltd,$24.65 B,600016,China,Financials,Banks
736,"Live Nation Entertainment, Inc.",$24.61 B,LYV,United States,Communication Services,Entertainment
737,Woodside Petroleum Ltd,$24.60 B,WPL,Australia,Energy,Oil & Gas E&P
738,Evergreen Marine Corp,$24.49 B,2603,Taiwan,Industrials,Marine Shipping
739,"Aena S.M.E., SA",$24.45 B,AENA,Spain,Industrials,Airports & Air Services
740,XPeng Inc.,$24.44 B,XPEV,China,Consumer Discretionary,Auto Manufacturers
741,Northern Trust Corporation,$24.42 B,NTRS,United States,Financials,Asset Management
742,"Slack Technologies, Inc.",$24.30 B,WORK,United States,Technology,Software—Application
743,"Mid-America Apartment Communities, Inc.",$24.18 B,MAA,United States,Real Estate,REIT—Residential
744,Fresenius SE & Co KGaA,$24.12 B,FRE,Germany,Healthcare,Medical Care Facilities
745,FUJIFILM Holdings Corp,$24.12 B,4901,Japan,Industrials,Business Equipment & Supplies
746,BT Group plc,$24.09 B,BT.A,United Kingdom,Communication Services,Telecom Services
747,Vulcan Materials Company,$24.08 B,VMC,United States,Basic Materials,Building Materials
748,Epiroc AB,$24.08 B,3AD2,Sweden,Industrials,Farm & Heavy Construction Machinery
749,"Delta Electronics, Inc.",$24.05 B,2308,Taiwan,Technology,Electronic Components
750,Public Joint Stock Company Polyus,$24.02 B,PLZL,Russia,Basic Materials,Gold
751,Schindler Holding AG,$24.02 B,SCHN,Switzerland,Industrials,Specialty Industrial Machinery
752,ORIX Corporation,$23.97 B,8591,Japan,Financials,Credit Services
753,"Martin Marietta Materials, Inc.",$23.94 B,MLM,United States,Basic Materials,Building Materials
754,CSC Financial Co. Ltd,$23.94 B,601066,China,Financials,Capital Markets
755,"Best Buy Co., Inc.",$23.93 B,BBY,United States,Consumer Discretionary,Specialty Retail
756,STERIS plc,$23.93 B,STE,Ireland,Healthcare,Medical Instruments & Supplies
757,Entergy Corporation,$23.92 B,ETR,United States,Utilities,Utilities—Diversified
758,"M3, Inc.",$23.89 B,2413,Japan,Healthcare,Health Information Services
759,Splunk Inc.,$23.84 B,SPLK,United States,Technology,Software—Infrastructure
760,EVE Energy Co. Ltd,$23.82 B,300014,China,Industrials,Electrical Equipment & Parts
761,"Ventas, Inc.",$23.81 B,VTR,United States,Real Estate,REIT—Healthcare Facilities
762,"Endesa, SA",$23.78 B,ELE,Spain,Utilities,Utilities—Regulated Electric
763,SSE plc,$23.73 B,SSE,United Kingdom,Utilities,Utilities—Diversified
764,Compagnie Générale des Etablissements Michelin SCA,$23.65 B,ML,France,Consumer Discretionary,Auto Parts
765,Horizon Therapeutics Public Limited Company,$23.64 B,HZNP,Ireland,Healthcare,Drug Manufacturers—General
766,Baoshan Iron & Steel Co. Ltd,$23.59 B,600019,China,Basic Materials,Steel
767,"Stanley Black & Decker, Inc.",$23.57 B,SWK,United States,Industrials,Tools & Accessories
768,Sungrow Power Supply Co. Ltd,$23.55 B,300274,China,Industrials,Electrical Equipment & Parts
769,Beiersdorf AG,$23.51 B,BEI,Germany,Consumer Staples,Household & Personal Products
770,PT Bank Mandiri (Persero) Tbk,$23.51 B,PQ9,Indonesia,Financials,Banks
771,First Quantum Minerals Ltd.,$23.47 B,FM,Canada,Basic Materials,Copper
772,Kubota Corp,$23.46 B,6326,Japan,Industrials,Farm & Heavy Construction Machinery
773,MTN Group Ltd,$23.45 B,MTN,South Africa,Communication Services,Telecom Services
774,"Maxim Integrated Products, Inc.",$23.44 B,MXIM,United States,Technology,Semiconductors
775,"Rocket Companies, Inc.",$23.44 B,RKT,United States,Financials,Mortgage Finance
776,Fortis Inc.,$23.43 B,FTS,Canada,Utilities,Utilities—Regulated Electric
777,Formosa Plastics Corp,$23.42 B,1301,Taiwan,Basic Materials,Specialty Chemicals
778,Liberty Broadband Corporation,$23.40 B,LBRDK,United States,Communication Services,Entertainment
779,United Microelectronics Corporation,$23.35 B,2303,Taiwan,Technology,Semiconductors
780,Garmin Ltd.,$23.35 B,GRMN,Switzerland,Technology,Scientific & Technical Instruments
781,Huazhu Group Limited,$23.34 B,HTHT,China,Consumer Discretionary,Lodging
782,Carnival Corporation & plc,$23.29 B,CCL,United States,Consumer Discretionary,Travel Services
783,Sany Heavy Industry Co. Ltd,$23.27 B,600031,China,Industrials,Farm & Heavy Construction Machinery
784,Fox Corporation,$23.26 B,FOXA,United States,Communication Services,Broadcasting
785,Wens Foodstuff Group Co. Ltd,$23.20 B,300498,China,Consumer Staples,Farm Products
786,Société Générale SA,$23.18 B,GLE,France,Financials,Banks
787,Terumo Corp,$23.16 B,4543,Japan,Healthcare,Medical Instruments & Supplies
788,China International Capital Corp Ltd,$23.13 B,601995,China,Financials,Capital Markets
789,Invitation Homes Inc.,$23.09 B,INVH,United States,Real Estate,REIT—Residential
790,Royalty Pharma plc,$23.04 B,RPRX,United States,Healthcare,Biotechnology
791,Olympus Corp,$23.00 B,7733,Japan,Healthcare,Medical Instruments & Supplies
792,V.F. Corporation,$22.96 B,VFC,United States,Consumer Discretionary,Apparel Manufacturing
793,Dover Corporation,$22.94 B,DOV,United States,Industrials,Specialty Industrial Machinery
794,PPL Corporation,$22.87 B,PPL,United States,Utilities,Utilities—Regulated Electric
795,"Hengli Petrochemical Co.,Ltd.",$22.86 B,600346,China,Consumer Discretionary,Textile Manufacturing
796,Genmab A/S,$22.83 B,GMAB,Denmark,Healthcare,Biotechnology
797,SABIC Agri-Nutrients Company,$22.78 B,2020,Saudi Arabia,Basic Materials,Agricultural Inputs
798,Heineken Holding N.V.,$22.78 B,HEIO,Netherlands,Consumer Staples,Beverages—Brewers
799,East Japan Railway Company,$22.78 B,9020,Japan,Industrials,Railroads
800,Sociedad Química y Minera de Chile SA,$22.77 B,SQM,Chile,Basic Materials,Chemicals
801,Eurofins Scientific SE,$22.75 B,ERF,Luxembourg,Healthcare,Diagnostics & Research
802,Panasonic Corp,$22.73 B,6752,Japan,Technology,Consumer Electronics
803,UCB SA,$22.71 B,UCB,Belgium,Healthcare,Biotechnology
804,Shanghai International Port,$22.65 B,600018,China,Industrials,Marine Shipping
805,Hewlett Packard Enterprise Company,$22.65 B,HPE,United States,Technology,Communication Equipment
806,Kellogg Company,$22.63 B,K,United States,Consumer Staples,Packaged Foods
807,PICC Property and Casualty Company Ltd,$22.62 B,2328,China,Financials,Insurance—Property & Casualty
808,Grupo Financiero Banorte SAB de CV,$22.60 B,GFNORTEO,Mexico,Financials,Banks
809,Komatsu Ltd,$22.56 B,6301,Japan,Industrials,Farm & Heavy Construction Machinery
810,The Hong Kong and China Gas Company Ltd,$22.54 B,0003,Hong Kong,Utilities,Utilities—Regulated Gas
811,Coca-Cola Europacific Partners plc,$22.53 B,CCEP,United Kingdom,Consumer Staples,Beverages—Non-Alcoholic
812,"Essex Property Trust, Inc.",$22.51 B,ESS,United States,Real Estate,REIT—Residential
813,EMS-CHEMIE HOLDING AG,$22.48 B,EMSN,Switzerland,Basic Materials,Specialty Chemicals
814,"Okta, Inc.",$22.45 B,OKTA,United States,Technology,Software—Infrastructure
815,China National Nuclear Power Co. Ltd,$22.42 B,601985,China,Utilities,Utilities—Independent Power Producers
816,Sumitomo Corp,$22.42 B,8053,Japan,Industrials,Conglomerates
817,Tata Motors Limited,$22.38 B,TTM,India,Consumer Discretionary,Auto Manufacturers
818,Banco do Brasil SA,$22.36 B,BBAS3,Brazil,Financials,Banks
819,Hennes & Mauritz AB,$22.33 B,HM.B,Sweden,Consumer Discretionary,Apparel Manufacturing
820,"Bio-Rad Laboratories, Inc.",$22.32 B,BIO,United States,Healthcare,Medical Devices
821,Teleperformance SE,$22.30 B,TEP,France,Industrials,Consulting Services
822,"Fomento Económico Mexicano, S.A.B. de C.V.",$22.28 B,FEMSAUB,Mexico,Consumer Staples,Beverages—Brewers
823,"Huntington Bancshares, Inc.",$22.26 B,HU3,United States,Financials,Banks
824,"Continental Resources, Inc.",$22.25 B,CLR,United States,Energy,Oil & Gas E&P
825,CRRC Corp Ltd,$22.21 B,601766,China,Industrials,Railroads
826,"Skyworks Solutions, Inc.",$22.17 B,SWKS,United States,Technology,Semiconductors
827,XP Inc.,$22.16 B,XPBR31,Brazil,Financials,Capital Markets
828,Unicharm Corp,$22.08 B,8113,Japan,Consumer Staples,Household & Personal Products
829,ZTO Express (Cayman) Inc.,$22.05 B,ZTO,China,Industrials,Integrated Freight & Logistics
830,Geberit AG,$22.03 B,GEBN,Switzerland,Industrials,Building Products & Equipment
831,Toyota Industries Corp,$21.99 B,6201,Japan,Consumer Discretionary,Auto Manufacturers
832,Cincinnati Financial Corporation,$21.99 B,CINF,United States,Financials,Insurance—Property & Casualty
833,"CF Industries Holdings, Inc.",$21.95 B,CF,United States,Basic Materials,Agricultural Inputs
834,NIBE Industrier AB,$21.93 B,NJB,Sweden,Industrials,Building Products & Equipment
835,CNH Industrial N.V.,$21.93 B,CNHI,United Kingdom,Industrials,Farm & Heavy Construction Machinery
836,Huntington Bancshares Incorporated,$21.93 B,HBAN,United States,Financials,Banks
837,Duke Realty Corporation,$21.93 B,DRE,United States,Real Estate,REIT—Industrial
838,Restaurant Brands International Limited Partnership,$21.89 B,QSP.UN,Canada,Consumer Discretionary,Restaurants
839,"Monolithic Power Systems, Inc.",$21.87 B,MPWR,United States,Technology,Semiconductors
840,Zebra Technologies Corporation,$21.87 B,ZBRA,United States,Technology,Communication Equipment
841,"Ulta Beauty, Inc.",$21.82 B,ULTA,United States,Consumer Discretionary,Specialty Retail
842,"Dai-ichi Life Holdings, Inc.",$21.76 B,8750,Japan,Financials,Insurance—Life
843,M&T Bank Corporation,$21.74 B,MTB,United States,Financials,Banks
844,KeyCorp,$21.71 B,KEY,United States,Financials,Banks
845,Teledyne Technologies Incorporated,$21.65 B,TDY,United States,Technology,Scientific & Technical Instruments
846,"B3 S.A. - Brasil, Bolsa, Balcao",$21.58 B,B3SA3,Brazil,Financials,Financial Data & Stock Exchanges
847,"Contura Energy, Inc.",$21.57 B,CTRA,United States,Energy,Thermal Coal
848,"Shimano, Inc.",$21.51 B,7309,Japan,Consumer Discretionary,Leisure
849,Power Corporation of Canada,$21.48 B,POW,Canada,Financials,Insurance—Life
850,"J.B. Hunt Transport Services, Inc.",$21.48 B,JBHT,United States,Industrials,Integrated Freight & Logistics
851,Mitsui Fudosan Co. Ltd,$21.46 B,8801,Japan,Real Estate,Real Estate—Diversified
852,The Saudi British Bank,$21.45 B,1060,Saudi Arabia,Financials,Banks
853,SGS SA,$21.43 B,SGSN,Switzerland,Industrials,Consulting Services
854,Teck Resources Limited,$21.41 B,TECK.B,Canada,Basic Materials,Other Industrial Metals & Mining
855,Rede D'Or São Luiz SA,$21.40 B,RDOR3,Brazil,Healthcare,Medical Care Facilities
856,NEXON Co. Ltd,$21.36 B,3659,Japan,Communication Services,Electronic Gaming & Multimedia
857,"The Cooper Companies, Inc.",$21.35 B,COO,United States,Healthcare,Medical Instruments & Supplies
858,Legal & General Group plc,$21.34 B,LGEN,United Kingdom,Financials,Insurance—Life
859,Regions Financial Corporation,$21.32 B,RF,United States,Financials,Banks
860,Wheaton Precious Metals Corp.,$21.26 B,WPM,Canada,Basic Materials,Gold
861,ZoomInfo Technologies Inc.,$21.23 B,ZI,United States,Technology,Software—Application
862,ViacomCBS Inc.,$21.22 B,VIACA,United States,Communication Services,Entertainment
863,China Northern Rare Earth,$21.21 B,600111,China,Basic Materials,Other Industrial Metals & Mining
864,Seagate Technology plc,$21.21 B,STX,Ireland,Technology,Computer Hardware
865,China Mengniu Dairy Co Ltd,$21.17 B,2319,Hong Kong,Consumer Staples,Packaged Foods
866,Ingersoll Rand Inc.,$21.13 B,IR,United States,Industrials,Specialty Industrial Machinery
867,SEGRO plc,$21.08 B,SGRO,United Kingdom,Real Estate,REIT—Industrial
868,Yandex N.V.,$21.05 B,YNDX,Netherlands,Communication Services,Internet Content & Information
869,Microchip Technology Incorporated,$21.03 B,MCHP,United States,Technology,Semiconductors
870,"HubSpot, Inc.",$20.93 B,HUBS,United States,Technology,Software—Application
871,"FLEETCOR Technologies, Inc.",$20.92 B,FLT,United States,Technology,Information Technology Services
872,Fortive Corporation,$20.88 B,FTV,United States,Technology,Scientific & Technical Instruments
873,AppLovin Corp,$20.86 B,APP,United States,Technology,Software—Application
874,Royal Caribbean Cruises Ltd.,$20.81 B,RCL,United States,Consumer Discretionary,Travel Services
875,Repsol SA,$20.80 B,REP,Spain,Energy,Oil & Gas Integrated
876,Marubeni Corp,$20.78 B,8002,Japan,Industrials,Conglomerates
877,Standard Chartered plc,$20.78 B,STAN,United Kingdom,Financials,Banks
878,Li Ning Co Ltd,$20.75 B,2331,China,Consumer Discretionary,Leisure
879,CMS Energy Corporation,$20.73 B,CMS,United States,Utilities,Utilities—Regulated Electric
880,STERIS Corp,$20.66 B,S1TE34,United States,Healthcare,Medical Devices
881,Advanced Info Service PCL,$20.65 B,ADVANC,Thailand,Communication Services,Telecom Services
882,Kyocera Corp,$20.62 B,6971,Japan,Technology,Consumer Electronics
883,Pembina Pipeline Corporation,$20.61 B,PPL,Canada,Energy,Oil & Gas Midstream
884,Flutter Entertainment plc,$20.58 B,FLTR,Ireland,Consumer Discretionary,Gambling
885,Sojitz Corp,$20.55 B,2768,Japan,Industrials,Conglomerates
886,"Boston Properties, Inc.",$20.54 B,BXP,United States,Real Estate,REIT—Office
887,Synchrony Financial,$20.43 B,SYF,United States,Financials,Credit Services
888,Alinma Bank,$20.41 B,1150,Saudi Arabia,Financials,Banks
889,Investment AB Latour,$20.39 B,LATO.B,Sweden,Financials,Asset Management
890,Mitsubishi Estate Co. Ltd,$20.39 B,8802,Japan,Real Estate,Real Estate—Diversified
891,Guotai Junan Securities Co. Ltd,$20.39 B,601211,China,Financials,Capital Markets
892,Nippon Paint Holdings Co. Ltd,$20.38 B,4612,Japan,Basic Materials,Specialty Chemicals
893,Carvana Co.,$20.33 B,CVNA,United States,Consumer Discretionary,Internet Retail
894,Markel Corporation,$20.30 B,MKL,United States,Financials,Insurance—Property & Casualty
895,"Brown & Brown, Inc.",$20.27 B,BRO,United States,Financials,Insurance Brokers
896,Nomura Research Institute Ltd,$20.26 B,4307,Japan,Technology,Information Technology Services
897,MGM Resorts International,$20.22 B,MGM,United States,Consumer Discretionary,Resorts & Casinos
898,Mega Financial Holding Co. Ltd,$20.21 B,2886,Taiwan,Financials,Banks
899,Telefônica Brasil SA,$20.19 B,VIV,Brazil,Communication Services,Telecom Services
900,Swiss Life Holding AG,$20.16 B,SLHN,Switzerland,Financials,Insurance—Diversified
901,Telenor ASA,$20.15 B,TEL,Norway,Communication Services,Telecom Services
902,China Railway Group Ltd,$20.15 B,0390,Hong Kong,Industrials,Engineering & Construction
903,CTBC Financial Holding Co. Ltd,$20.15 B,2891,Taiwan,Financials,Insurance—Life
904,Imperial Brands plc,$20.14 B,IMB,United Kingdom,Consumer Staples,Tobacco
905,"Principal Financial Group, Inc.",$20.13 B,PFG,United States,Financials,Insurance—Diversified
906,Norsk Hydro ASA,$20.10 B,NHY,Norway,Basic Materials,Aluminum
907,"PerkinElmer, Inc.",$20.05 B,PKI,United States,Healthcare,Diagnostics & Research
908,Hannover Rück SE,$20.02 B,HNRB,Germany,Financials,Insurance—Reinsurance
909,"Sun Communities, Inc.",$19.98 B,SUI,United States,Real Estate,REIT—Residential
910,Tradeweb Markets Inc.,$19.98 B,TW,United States,Financials,Capital Markets
911,Trina Solar Co. Ltd,$19.94 B,688599,China,Technology,Solar
912,Vedanta Limited,$19.93 B,VEDL,India,Basic Materials,Other Industrial Metals & Mining
913,"Paycom Software, Inc.",$19.87 B,PAYC,United States,Technology,Software—Application
914,Klabin SA,$19.86 B,KLBN11,Brazil,Basic Materials,Paper & Paper Products
915,Kao Corp,$19.85 B,4452,Japan,Consumer Staples,Household & Personal Products
916,"Teradyne, Inc.",$19.85 B,TER,United States,Technology,Semiconductor Equipment & Materials
917,China Resources Beer (Holdings) Company Ltd,$19.84 B,0291,Hong Kong,Consumer Staples,Beverages—Brewers
918,China Communications Construction Co Ltd,$19.83 B,601800,China,Industrials,Engineering & Construction
919,Aviva plc,$19.82 B,AV.,United Kingdom,Financials,Insurance—Diversified
920,Standard Bank Group Ltd,$19.82 B,SBK,South Africa,Financials,Banks
921,Ryanair Holdings plc,$19.78 B,RY4C,Ireland,Industrials,Airlines
922,"Hologic, Inc.",$19.75 B,HOLX,United States,Healthcare,Medical Instruments & Supplies
923,Kerry Group plc,$19.74 B,KRZ,Ireland,Consumer Staples,Packaged Foods
924,Renesas Electronics Corp,$19.73 B,6723,Japan,Technology,Semiconductors
925,Brookfield Infrastructure Partners L.P.,$19.70 B,BIP.UN,Bermuda,Utilities,Utilities—Diversified
926,Shiseido Co Ltd,$19.69 B,4911,Japan,Consumer Staples,Household & Personal Products
927,CGI Inc.,$19.67 B,GIB.A,Canada,Technology,Information Technology Services
928,Henderson Land Development Co Ltd,$19.67 B,0012,Hong Kong,Real Estate,Real Estate Services
929,"Bill.com Holdings, Inc.",$19.65 B,BILL,United States,Technology,Software—Application
930,Shanghai Fosun Pharmaceutical,$19.63 B,600196,China,Healthcare,Drug Manufacturers—Specialty & Generic
931,"Akamai Technologies, Inc.",$19.59 B,AKAM,United States,Technology,Software—Infrastructure
932,China Tower Corp Ltd,$19.55 B,0788,China,Communication Services,Telecom Services
933,"Huatai Securities Co., Ltd.",$19.55 B,601688,China,Financials,Capital Markets
934,Marathon Oil Corporation,$19.54 B,MRO,United States,Energy,Oil & Gas E&P
935,Arch Capital Group Ltd.,$19.54 B,ACGL,Bermuda,Financials,Insurance—Diversified
936,TransUnion,$19.53 B,TRU,United States,Industrials,Consulting Services
937,JBS SA,$19.53 B,JBSS3,Brazil,Consumer Staples,Packaged Foods
938,Shenzhou International Group Holdings Ltd,$19.50 B,2313,Hong Kong,Consumer Discretionary,Textile Manufacturing
939,"Avantor, Inc.",$19.48 B,AVTR,United States,Basic Materials,Specialty Chemicals
940,"Molina Healthcare, Inc.",$19.46 B,MOH,United States,Healthcare,Healthcare Plans
941,"Ferrovial, SA",$19.44 B,FER,Spain,Industrials,Infrastructure Operations
942,EDP - Energias de Portugal SA,$19.43 B,EDP,Portugal,Utilities,Utilities—Diversified
943,Fresenius Medical Care AG & Co. KGaA,$19.42 B,FME,Germany,Healthcare,Medical Care Facilities
944,Svenska Handelsbanken AB,$19.42 B,SHB.A,Sweden,Financials,Banks
945,KB Financial Group Inc.,$19.39 B,105560,South Korea,Financials,Banks
946,Magna International Inc.,$19.36 B,MG,Canada,Consumer Discretionary,Auto Parts
947,Snam S.p.A.,$19.27 B,SRG,Italy,Utilities,Utilities—Regulated Gas
948,CGN Power Co. Ltd,$19.25 B,003816,China,Utilities,Utilities—Independent Power Producers
949,Croda International plc,$19.22 B,CRDA,United Kingdom,Basic Materials,Specialty Chemicals
950,Warner Music Group Corp.,$19.21 B,WMG,United States,Communication Services,Entertainment
951,Zhejiang Huayou Cobalt Co. Ltd,$19.20 B,603799,China,Basic Materials,Other Industrial Metals & Mining
952,"SS&C Technologies Holdings, Inc.",$19.15 B,SSNC,United States,Technology,Software—Application
953,Carlsberg A-S,$19.12 B,CARL.A,Denmark,Consumer Staples,Beverages—Brewers
