01-DDD-country,03-gren-country,07-silvestri-country,08-slytherin-country
,,,france
,,,spain
,,,germany
,,,italy
,,,italy
,,,germany
,,,germany
,,,united kingdom
,,,france
,,,poland
,,,italy
,,,germany
,,,lithuania
,,,italy
,,,italy
,,,uk
,,,italy
,,,germany
,,,france
,,,norway
,,,italy
,,,italy
,,,greece
,,,italy
,,,portugal
,,,italy
,,,germany
,,,uk
,,,italy
,,,italy
,,,uk
,,,germany
,,,france
,,,uk
,,,italy
,,,italy
,,,italy
,,,spain
,,,united kingdom
,,,poland
,,,germany
,,,uk
,,,france
,,,italy
,,,germany
,,,germany
,,,france
,,,italy
,,,italy
,,,france
,,,france
,,,united kingdom
,,,uk
,,,italy
,,,portugal
,,,italy
,,,germany
,,,italy
,,,latvia
,,,germany
,,,the netherlands
,,,uk
,,,germany
,,,spain
,,,italy
,,,finland
,,,germany
,,,italy
,,,germany
,,,germany
,,,uk
,,,france
,,,france
,,,italy
,,,italy
,,,united kingdom
,,,france
,,,germany
,,,romania
,,,italy
,,,germany
,,,italy
,,,portugal
,,,lithuania
,,,germany
,,,italy
,,,denmark
,,,germany
,,,sweden
,,,germany
,,,uk
,,,italy
,,,italy
,,,france
,,,germany
,,,uk
,,,italy
,,,spain
,,,germany
,,,france
,,,italy
,,,spain
,,,spain
,,,united kingdom
,,,france
,,,germany
,,,united kingdom
,,,belgium
,,,italy
,,,belgium
,,,france
,,,germany
,,,france
,,,italy
,,,uk
,,,poland
,,,france
,,,italy
,,,germany
,,,spain
,,,germany
,,,germany
,,,italy
,,,latvia
,,,lithuania
,,,france
,,,italy
,,,finland
,,,germany
,,,france
,,,germany
,,,italy
,,,france
,,,uk
,,,finland
,,,united kingdom
,,,united kingdom
,,,uk
,,,italy
,,,italy
,,,spain
,,,united kingdom
,,,uk
,,,italy
,,,germany
,,,italy
,,,united kingdom
,,,germany
,,,france
,,,italy
,,,italy
,,,france
,,,spain
,,,czech republic
,,,france
,,,france
,,,germany
,,,germany
,,,united kingdom
,,,france
,,,sweden
,,,france
,,,france
,,,poland
,,,france
,,,poland
,,,united kingdom
,,,france
,,,italy
,,,italy
,,,italy
,,,croatia
,,,uk
,,,italy
,,,italy
,,,italy
,,,sweden
,,,france
,,,italy
,,,italy
,,,italy
,,,germany
,,,norway
,,,italy
,,,italy
,,,italy
,,,italy
,,,italy
,,,germany
,,,united kingdom
,,,united kingdom
,,,germany
,,,germany
,,,italy
,,,belgium
,,,italy
,,,italy
,,,italy
,,,portugal
,,,france
,,,italy
,,,italy
,,,sweden
,,,united kingdom
,,,united kingdom
,,,italy
,,,italy
,,,slovenia
,,,poland
,,,united kingdom
,,,lithuania
,,,italy
,,,uk
,,,italy
,,,poland
,,,germany
,,,germany
,,,france
,,,germany
,,,united kingdom
,,,germany
,,,germany
,,,france
,,,netherlands
,,,united kingdom
,,,germany
,,,uk
,,,hungary
,,,united kingdom
,,,norway
,,,france
,,,italy
,,,germany
,,,poland
,,,italy
,,,france
,,,germany
,,,italy
,,,germany
,,,italy
,,,france
,,,italy
,,,germany
,,,germany
,,,italy
,,,italy
,,,italy
,,,france
,,,spain
,,,poland
,,,estonia
,,,poland
,,,uk
,,,finland
,,,slovenia
,,,france
,,,germany
,,,united kingdom
,,,united kingdom
,,,germany
,,,italy
,,,france
,,,italy
,,,france
,,,germany
,,,italy
,,,italy
,,,italy
,,,hungary
,,,italy
,,,france
,,,italy
,,,slovakia
,,,uk
,,,france
,,,poland
,,,united kingdom
,,,uk
,,,uk
,,,italy
,,,france
,,,poland
,,,france
,,,uk
,,,poland
,,,germany
,,,spain
,,,finland
,,,italy
,,,germany
,,,france
,,,united kingdom
,,,germany
,,,spain
,,,italy
,,,denmark
,,,france
,,,united kingdom
,,,italy
,,,france
,,,france
,,,united kingdom
,,,germany
,,,italy
,,,france
,,,uk
,,,spain
,,,italy
,,,france
,,,france
,,,france
,,,estonia
,,,france
,,,united kingdom
,,,hungary
,,,switzerland
,,,spain
,,,germany
,,,germany
,,,uk
,,,austria
,,,germany
,,,lithuania
,,,france
,,,italy
,,,italy
,,,uk
,,,netherlands
,,,france
,,,italy
,,,france
,,,germany
,,,italy
,,,italy
,,,italy
,,,germany
,,,netherlands
,,,united kingdom
,,,france
,,,germany
,,,spain
,,,germany
,,,germany
,,,france
,,,germany
,,,germany
,,,germany
,,,italy
,,,germany
,,,italy
,,,italy
,,,italy
,,,france
,,,italy
,,,germany
,,,france
,,,france
,,,italy
,,,poland
,,,italy
,,,france
,,,poland
,,,spain
,,,latvia
,,,france
,,,uk
,,,france
,,,uk
,,,belgium
,,,italy
,,,spain
,,,germany
,,,italy
,,,spain
,,,germany
,,,spain
,,,germany
,,,france
,,,italy
,,,germany
,,,spain
,,,germany
,,,germany
,,,germany
,,,germany
,,,slovenia
,,,germany
,,,italy
,,,belgium
,,,france
,,,italy
,,,united kingdom
,,,germany
,,,france
,,,italy
,,,sweden
,,,france
,,,germany
,,,poland
,,,germany
,,,germany
,,,france
,,,germany
,,,italy
,,,united kingdom
,,,france
,,,italy
,,,sweden
,,,spain
,,,portugal
,,,italy
,,,italy
,,,italy
,,,italy
,,,italy
,,,united kingdom
,,,norway
,,,germany
,,,united kingdom
,,,sweden
,,,germany
,,,hungary
,,,italy
,,,germany
,,,france
,,,germany
,,,germany
,,,italy
,,,united kingdom
,,,germany
,,,france
,,,france
,,,italy
,,,italy
,,,france
,,,spain
,,,italy
,,,denmark
,,,poland
,,,finland
,,,united kingdom
,,,ireland
,,,italy
,,,france
,,,italy
,,,germany
,,,germany
,,,spain
,,,spain
,,,netherlands
,,,italy
,,,uk
,,,romania
,,,france
,,,italy
,,,greece
,,,spain
,,,italy
,,,uk
,,,germany
,,,italy
,,,italy
,,,germany
,,,poland
,,,france
,,,spain
,,,hungary
,,,poland
,,,spain
,,,italy
,,,uk
,,,germany
,,,switzerland
,,,germany
,,,estonia
,,,uk
,,,germany
,,,france
,,,germany
,,,germany
,,,italy
,,,poland
,,,italy
,,,spain
,,,france
,,,italy
,,,uk
,,,germany
,,,france
,,,united kingdom
,,,germany
,,,uk
,,,france
,,,germany
,,,italy
,,,united kingdom
,,,germany
,,,spain
,,,united kingdom
,,,united kingdom
,,,italy
,,,france
,,,united kingdom
,,,sweden
,,,spain
,,,uk
,,,germany
,,,italy
,,,germany
,,,italy
,,,sweden
,,,italy
,,,italy
,,,france
,,,united kingdom
,,,uk
,,,italy
,,,germany
,,,spain
,,,italy
,,,united kingdom
,,,france
,,,italy
,,,uk
,,,uk
,,,france
,,,hungary
,,,germany
,,,germany
,,,france
,,,italy
,,,united kingdom
,,,germany
,,,germany
,,,germany
,,,uk
,,,germany
,,,portugal
,,,poland
,,,italy
,,,germany
,,,germany
,,,italy
,,,germany
,,,france
,,,czech republic
,,,italy
,,,germany
,,,italy
,,,italy
,,,united kingdom
,,,bulgaria
,,,france
,,,uk
,,,italy
,,,poland
,,,portugal
,,,italy
,,,germany
,,,france
,,,germany
,,,united kingdom
,,,france
,,,germany
,,,italy
,,,italy
,,,uk
,,,france
,,,france
,,,united kingdom
,,,france
,,,italy
,,,uk
,,,italy
,,,uk
,,,france
,,,france
,,,uk
,,,italy
,,,united kingdom
,,,italy
,,,italy
,,,uk
,,,italy
,,,france
,,,italy
,,,france
,,,italy
,,,germany
,,,germany
,,,netherlands
,,,italy
,,,germany
,,,france
,,,poland
,,,italy
,,,italy
,,,france
,,,united kingdom
,,,bulgaria
,,,france
,,,norway
,,,poland
,,,italy
,,,france
,,,italy
,,,belgium
,,,poland
,,,italy
,,,italy
,,,hungary
,,,netherlands
,,,germany
,,,united kingdom
,,,united kingdom
,,,czech republic
,,,france
,,,italy
,,,united kingdom
,,,belgium
,,,italy
,,,france
,,,netherlands
,,,italy
,,,italy
,,,uk
,,,germany
,,,lithuania
,,,germany
,,,france
,,,spain
,,,germany
,,,croatia
,,,germany
,,,italy
,,,italy
,,,spain
,,,germany
,,,italy
,,,uk
,,,germany
,,,germany
,,,poland
,,,sweden
,,,italy
,,,croatia
,,,germany
,,,france
,,,germany
,,,germany
,,,germany
,,,uk
,,,poland
,,,france
,,,romania
,,,france
,,,spain
,,,italy
,,,italy
,,,united kingdom
,,,italy
,,,croatia
,,,germany
,,,italy
,,,italy
,,,united kingdom
,,,germany
,,,italy
,,,czech republic
,,,germany
,,,italy
,,,greece
,,,france
,,,france
,,,france
,,,germany
,,,germany
,,,france
,,,spain
,,,germany
,,,germany
,,,germany
,,,germany
,,,united kingdom
,,,italy
,,,france
,,,italy
,,,germany
,,,hungary
,,,italy
,,,germany
,,,spain
,,,italy
,,,germany
,,,germany
,,,spain
,,,czech republic
,,,italy
,,,united kingdom
,,,france
,,,france
,,,spain
,,,france
,,,italy
,,,italy
,,,france
,,,france
,,,italy
,,,france
,,,germany
,,,poland
,,,united kingdom
,,,germany
,,,italy
,,,slovenia
,,,romania
,,,lithuania
,,,italy
,,,sweden
,,,germany
,,,italy
,,,germany
,,,united kingdom
,,,france
,,,lithuania
,,,italy
,,,france
,,,italy
,,,united kingdom
,,,united kingdom
,,,uk
,,,france
,,,germany
,,,germany
,,,iceland
,,,poland
,,,france
,,,uk
,,,norway
,,,italy
,,,united kingdom
,,,germany
,,,portugal
,,,italy
,,,uk
,,,france
,,,france
,,,united kingdom
,,,france
,,,germany
,,,france
,,,spain
,,,united kingdom
,,,united kingdom
,,,italy
,,,bulgaria
,,,italy
,,,france
,,,italy
,,,slovenia
,,,germany
,,,france
,,,hungary
,,,sweden
,,,france
,,,portugal
,,,germany
,,,italy
,,,germany
,,,united kingdom
,,,italy
,,,italy
,,,italy
,,,italy
,,,germany
,,,finland
,,,italy
,,,germany
,,,spain
,,,italy
,,,italy
,,,france
,,,italy
,,,poland
,,,france
,,,france
,,,united kingdom
,,,italy
,,,germany
,,,germany
,,,sweden
,,,italy
,,,italy
,,,germany
,,,hungary
,,,italy
,,,italy
,,,france
,,,belgium
,,,france
,,,germany
,,,france
,,,germany
,,,italy
,,,italy
,,,italy
,,,spain
,,,france
,,,uk
,,,italy
,,,germany
,,,france
,,,italy
,,,france
,,,france
,,,united kingdom
,,,poland
,,,france
,,,france
,,,italy
,,,france
,,,germany
,,,germany
,,,italy
,,,france
,,,italy
,,,france
,,,italy
,,,france
,,,france
,,,italy
,,,italy
,,,poland
,,,italy
,,,germany
,,,germany
,,,poland
,,,france
,,,germany
,,,denmark
,,,france
,,,germany
,,,italy
,,,united kingdom
,,,italy
,,,lithuania
,,,france
,,,france
,,,spain
,,,denmark
,,,poland
,,,romania
,,,france
,,,italy
,,,united kingdom
,,,france
,,,austria
,,,france
,,,uk
,,,italy
,,,france
,,,spain
,,,germany
,,,italy
,,,germany
,,,italy
,,,italy
,,,united kingdom
,,,uk
,,,germany
,,,sweden
,,,germany
,,,romania
,,,uk
,,,france
,,,italy
,,,united kingdom
,,,uk
,,,germany
,,,france
,,,portugal
,,,germany
,,,finland
,,,germany
,,,france
,,,italy
,,,uk
,,,united kingdom
,,,france
,,,uk
,,,france
,,,france
,,,italy
,,,france
,,,italy
,,,italy
,,,italy
,,,germany
,,,france
,,,germany
,,,france
,,,italy
,,,hungary
,,,france
,,,italy
,,,spain
,,,croatia
,,,italy
,,,germany
,,,germany
,,,germany
,,,italy
,,,france
,,,italy
,,,italy
,,,norway
,,,france
,,,france
,,,italy
,,,slovakia
,,,germany
,,,italy
,,,portugal
,,,italy
,,,italy
,,,uk
,,,spain
,,,united kingdom
,,,united kingdom
,,,germany
,,,sweden
,,,portugal
,,,france
,,,germany
,,,germany
,,,italy
,,,france
,,,italy
,,,united kingdom
,,,italy
,,,bulgaria
,,,italy
,,,germany
,,,latvia
,,,france
,,,germany
,,,uk
,,,romania
,,,france
,,,united kingdom
,,,slovenia
,,,italy
,,,italy
,,,spain
,,,germany
,,,germany
,,,uk
,,,germany
,,,italy
,,,germany
,,,sweden
,,,france
,,,germany
,,,united kingdom
,,,lithuania
,,,france
,,,spain
,,,united kingdom
,,,uk
,,,italy
,,,germany
,,,united kingdom
,,,spain
,,,spain
,,,italy
,,,france
,,,france
,,,germany
,,,germany
,,,germany
,,,france
,,,france
,,,the netherlands
,,,uk
,,,france
,,,italy
,,,italy
,,,france
,,,italy
,,,sweden
,,,united kingdom
,,,italy
,,,germany
,,,france
,,,spain
,,,italy
,,,italy
,,,germany
,,,czech republic
,,,finland
,,,germany
,,,france
,,,spain
,,,germany
,,,hungary
,,,germany
,,,france
,,,united kingdom
,,,italy
,,,united kingdom
,,,italy
,,,germany
,,,uk
,,,italy
,,,germany
,,,france
,,,italy
,,,greece
,,,france
,,,sweden
,,,germany
,,,spain
,,,italy
,,,slovakia
,,,united kingdom
,,,bulgaria
,,,uk
,,,germany
,,,france
,,,united kingdom
,,,germany
,,,italy
,,,poland
,,,france
,,,france
,,,united kingdom
,,,germany
,,,united kingdom
,,,spain
,,,germany
,,,germany
,,,united kingdom
,,,slovakia
,,,uk
,,,italy
,,,france
,,,italy
,,,france
,,,united kingdom
,,,united kingdom
,,,spain
,,,italy
,,,france
,,,germany
,,,germany
,,,france
,,,italy
,,,united kingdom
,,,italy
,,,uk
,,,hungary
,,,france
,,,germany
,,,spain
,,,germany
,,,poland
,,,france
,,,italy
,,,italy
,,,germany
,,,germany
,,,united kingdom
,,,spain
,,,france
,,,italy
,,,germany
,,,france
,,,germany
,,,germany
,,,italy
,,,united kingdom
,,,uk
,,,united kingdom
,,,united kingdom
,,,germany
,,,italy
,,,france
,,,romania
,,,germany
,,,spain
,,,united kingdom
,,,germany
,,,italy
,,,denmark
,,,italy
,,,germany
,,,italy
,,,italy
,,,italy
,,,finland
,,,germany
,,,united kingdom
,,,germany
,,,italy
,,,germany
,,,germany
,,,germany
,,,france
,,,spain
,,,germany
,,,germany
,,,italy
,,,germany
,,,united kingdom
,,,france
,,,germany
,,,germany
,,,france
,,,italy
,,,france
,,,germany
,,,italy
,,,spain
,,,united kingdom
,,,germany
,,,finland
,,,germany
,,,germany
,,,spain
,,,italy
,,,greece
,,,uk
,,,uk
,,,france
,,,france
,,,italy
,,,latvia
,,,germany
,,,france
,,,italy
,,,italy
,,,italy
,,,germany
,,,france
,,,spain
,,,germany
,,,poland
,,,germany
,,,france
,,,germany
,,,france
,,,france
,,,spain
,,,italy
,,,france
,,,germany
,,,germany
,,,germany
,,,france
,,,germany
,,,bulgaria
,,,latvia
,,,germany
,,,spain
,,,slovakia
,,,united kingdom
,,,italy
,,,spain
,,,france
,,,france
,,,france
,,,italy
,,,finland
,,,france
,,,france
,,,united kingdom
,,,france
,,,france
,,,france
,,,united kingdom
,,,france
,,,germany
,,,germany
,,,italy
,,,united kingdom
,,,france
,,,norway
,,,belgium
,,,poland
,,,france
,,,italy
,,,united kingdom
,,,italy
,,,netherlands
,,,france
,,,spain
,,,germany
,,,italy
,,,france
,,,italy
,,,germany
,,,lithuania
,,,hungary
,,,poland
,,,finland
,,,germany
,,,lithuania
,,,france
,,,united kingdom
,,,lithuania
,,,poland
,,,france
,,,united kingdom
,,,italy
,,,france
,,,france
,,,germany
,,,spain
,,,uk
,,,germany
,,,italy
,,,france
,,,germany
,,,italy
,,,spain
,,,france
,,,germany
,,,greece
,,,netherlands
,,,italy
,,,france
,,,italy
,,,france
,,,germany
,,,germany
,,,france
,,,germany
,,,germany
,,,czech republic
,,,latvia
,,,germany
,,,romania
,,,italy
,,,france
,,,france
,,,uk
,,,france
,,,italy
,,,netherlands
,,,france
,,,germany
,,,italy
,,,germany
,,,united kingdom
,,,germany
,,,finland
,,,germany
,,,hungary
,,,uk
,,,italy
,,,austria
,,,germany
,,,italy
,,,france
,,,norway
,,,italy
,,,hungary
,,,spain
,,,united kingdom
,,,lithuania
,,,germany
,,,germany
,,,france
,,,germany
,,,germany
,,,france
,,,italy
,,,spain
,,,uk
,,,spain
,,,latvia
,,,germany
,,,spain
,,,germany
,,,italy
,,,france
,,,france
,,,france
,,,germany
,,,germany
,,,uk
,,,france
,,,germany
,,,united kingdom
,,,germany
,,,croatia
,,,france
,,,italy
,,,italy
,,,germany
,,,italy
,,,italy
,,,united kingdom
,,,france
,,,germany
,,,germany
,,,italy
,,,france
,,,portugal
,,,france
,,,germany
,,,italy
,,,croatia
,,,bulgaria
,,,poland
,,,italy
,,,united kingdom
,,,france
,,,germany
,,,italy
,,,united kingdom
,,,italy
,,,united kingdom
,,,france
,,,spain
,,,germany
,,,united kingdom
,,,italy
,,,united kingdom
,,,italy
,,,italy
,,,italy
,,,france
,,,italy
,,,germany
,,,italy
,,,italy
,,,germany
,,,france
,,,cyprus
,,,germany
,,,italy
,,,germany
,,,uk
,,,germany
,,,france
,,,france
,,,spain
,,,france
,,,italy
,,,netherlands
,,,germany
,,,germany
,,,netherlands
,,,france
,,,france
,,,germany
,,,netherlands
,,,france
,,,spain
,,,poland
,,,uk
,,,italy
,,,hungary
,,,united kingdom
,,,italy
,,,italy
,,,france
,,,portugal
,,,italy
,,,germany
,,,germany
,,,hungary
,,,germany
,,,germany
,,,italy
,,,italy
,,,hungary
,,,switzerland
,,,italy
,,,uk
,,,germany
,,,germany
,,,germany
,,,germany
,,,italy
,,,spain
,,,uk
,,,poland
,,,france
,,,germany
,,,italy
,,,france
,,,italy
,,,uk
,,,germany
,,,france
,,,italy
,,,germany
,,,germany
,,,germany
,,,croatia
,,,finland
,,,france
,,,denmark
,,,spain
,,,france
,,,germany
,,,italy
,,,france
,,,germany
,,,france
,,,germany
,,,switzerland
,,,uk
,,,germany
,,,germany
,,,france
,,,norway
,,,united kingdom
,,,germany
,,,finland
,,,italy
,,,italy
,,,germany
,,,spain
,,,uk
,,,poland
,,,france
,,,germany
,,,france
,,,spain
,,,estonia
,,,spain
,,,germany
,,,italy
,,,united kingdom
,,,france
,,,italy
,,,france
,,,malta
,,,france
,,,germany
,,,germany
,,,norway
,,,italy
,,,finland
,,,italy
,,,germany
,,,france
,,,austria
,,,uk
,,,united kingdom
,,,france
,,,france
,,,uk
,,,italy
,,,germany
,,,spain
,,,italy
,,,switzerland
,,,france
,,,sweden
,,,germany
,,,switzerland
,,,italy
,,,germany
,,,sweden
,,,germany
,,,germany
,,,france
,,,italy
,,,germany
,,,italy
,,,italy
,,,france
,,,germany
,,,france
,,,bulgaria
,,,germany
,,,germany
,,,poland
,,,germany
,,,france
,,,italy
,,,italy
,,,germany
,,,germany
,,,france
,,,united kingdom
,,,germany
,,,spain
,,,spain
,,,italy
,,,germany
,,,slovakia
,,,italy
,,,united kingdom
,,,italy
,,,france
,,,denmark
,,,italy
,,,united kingdom
,,,france
,,,germany
,,,france
,,,netherlands
,,,france
,,,norway
,,,bulgaria
,,,netherlands
,,,italy
,,,france
,,,italy
,,,germany
,,,united kingdom
,,,united kingdom
,,,spain
,,,germany
,,,italy
,,,france
,,,spain
,,,germany
,,,spain
,,,ireland
,,,germany
,,,bulgaria
,,,cyprus
,,,france
,,,germany
,,,spain
,,,germany
,,,united kingdom
,,,portugal
,,,italy
,,,france
,,,italy
,,,italy
,,,france
,,,italy
,,,germany
,,,belgium
,,,italy
,,,italy
,,,germany
,,,united kingdom
,,,italy
,,,germany
,,,italy
,,,germany
,,,germany
,,,spain
,,,germany
,,,norway
,,,france
,,,germany
,,,united kingdom
,,,france
,,,italy
,,,germany
,,,france
,,,united kingdom
,,,france
,,,germany
,,,germany
,,,france
,,,germany
,,,france
,,,france
,,,united kingdom
,,,germany
,,,germany
,,,germany
