name,headquarters,number_of_employees,address,industry,website,market_cap,telephone,revenue
The Berkeley Group Holdings Plc,United Kingdom,"2,911","Berkeley House, 19 Portsmouth Road, Cobham, KT111JG",Construction,www.berkeleygroup.co.uk,$5.8B,44 1932 868555,$3.2B
Spirit Airlines Inc,United States of America,"9,823","2800 Executive Way, Miramar, Florida, 33025",Transport and Logistics,www.spirit.com,$2.3B,1 954 4477920,$3.2B
First Horizon Corp,United States of America,"7,676","165 Madison Ave, Memphis, Tennessee, 38103",Financial Services,www.firsthorizon.com,$13.2B,1 901 8186232,$3.2B
Lincoln Electric Holdings Inc,United States of America,"11,000","22801 St Clair Ave, Cleveland, Ohio, 44117",Industrial Goods and Machinery,www.lincolnelectric.com/en,$9.0B,1 216 4818100,$3.2B
Vishay Intertechnology Inc,United States of America,"22,800","63 Lancaster Avenue, Malvern, Pennsylvania, 19355",Technology and Communications,www.vishay.com,$3.2B,1 610 6441300,$3.2B
Sysmex Corp,Japan,"8,771","1-5-1, Wakinohama Kaigandori, Chuo-Ku, Kobe-Shi, Hyogo, 651-0073",Medical Equipment,www.sysmex.co.jp,$13.8B,81 78 2650500,$3.2B
Picanol Group,Belgium,"7,058","Steverlyncklaan 15, Ieper, 8900",Industrial Goods and Machinery,www.picanolgroup.com,$1.5B,32 57 222111,$3.2B
AF Gruppen ASA,Norway,"5,643","Innspurten 15, Oslo, 0663",Construction,afgruppen.no,$1.6B,47 2 2891100,$3.2B
Vistry Group Plc,United Kingdom,"3,143","11 Tower View, West Malling, ME194UY",Construction,www.vistrygroup.co.uk,$3.2B,44 1732 280400,$3.2B
Renewable Energy Group Inc,United States of America,"1,093","416 S Bell Ave, Ames, Iowa, 50010-7711",Alternative Energy,www.regi.com,,1 515 2398000,$3.2B
FirstService Corp,Canada,"25,000","1255 Bay Street, Suite 600, Toronto, Ontario, M5R2A9",Construction,www.firstservice.com,$6.1B,1 416 9609500,$3.2B
The Middleby Corp,United States of America,"4,465","1400 Toastmaster Dr, Elgin, Illinois, 60120-9274",Consumer Packaged Goods,www.middleby.com,$8.0B,1 847 7413300,$3.3B
Square Enix Holdings Co Ltd,Japan,"5,637","Shinjuku Eastside Square, 6-27-30, Shinjuku, Shinjuku-Ku, Tokyo, 160-8430",Technology and Communications,www.hd.square-enix.com/jpn,$5.9B,81 3 52928000,$3.3B
The Bank of East Asia Ltd,Hong Kong,"8,636","10 Des Voeux Road Central, Hong Kong",Financial Services,www.hkbea.com,$3.4B,852  36083608,$3.3B
SBI Shinsei Bank Ltd,Japan,"5,608","Nihombashi Muromachi Nomura Bldg., 2-4-3, Nihombashi Muro-Machi, Chuo-Ku, Tokyo, 103-8303",Financial Services,www.shinseibank.com,$4.7B,81 3 68807000,$3.3B
MISUMI Group Inc,Japan,"11,842","Iidabashi First Bldg., 2-5-1, Koraku, Bunkyo-Ku, Tokyo, 112-8583",Industrial Goods and Machinery,www.misumi.co.jp,$6.9B,81 3 58057050,$3.3B
Rinnai Corp,Japan,"10,777","2-26, Fukuzumi-Cho, Nakagawa-Ku, Nagoya-Shi, Aichi, 454-0802",Industrial Goods and Machinery,www.rinnai.co.jp,$3.8B,81523618211,$3.3B
SMU SA,Chile,"24,991","Cerro El Plomo 5680 Piso 10, Las Condes",Retailing,www.smu.cl,$816.0M,56 2 28188000,$3.3B
Lion Corp,Japan,"7,584","1-3-28, Kuramae, Taito-Ku, Tokyo, 111-8644",Consumer Packaged Goods,www.lion.co.jp/ja,$3.2B,81 3 67393711,$3.3B
Genting Bhd,Malaysia,"47,000","24th Floor, Wisma Genting, Jalan Sultan Ismail, Kuala Lumpur, 50250",Leisure and Arts,www.genting.com,$4.4B,60 3 21782288,$3.3B
Cracker Barrel Old Country Store Inc,United States of America,"73,000","Po Box 787, Lebanon, Tennessee, 37088-0787",Leisure and Arts,www.crackerbarrel.com,$2.4B,1 615 4439217,$3.3B
Industrial Securities Co Ltd,China,"10,200","No.268 Hudong Road, Fuzhou, Fujian, 350003",Financial Services,www.xyzq.com.cn,$8.7B,86 591 38507869,$3.3B
Compania Cervecerias Unidas SA,Chile,"9,381","Vitacura 2670, Las Condes, 7650054",Consumer Packaged Goods,www.ccu.cl,$2.6B,56 2 24273000,$3.3B
Specsavers Optical Group Ltd,United Kingdom,"40,800","La Villiaze, St Andrews, Guernsey, GY68YP",Retailing,www.specsavers.co.uk,,44 345 2020241,$3.3B
Patanjali Foods Ltd,India,"3,547","301 Mahakosh House, 7/5 South Tukoganj, Nath Mandir Road, Indore, 452001",Consumer Packaged Goods,www.ruchisoya.com,$5.3B,91 731 4767105,$3.3B
H.B. Fuller Co,United States of America,"6,500","1200 Willow Lake Blvd, Saint Paul, Minnesota, 55110-5146",Chemicals,www.hbfuller.com,$3.8B,1 651 2365900,$3.3B
Brembo SpA,Italy,"12,797","Via Brembo, 25, Curno, 24035",Automotive,www.brembo.com,$4.2B,39 035 6052111,$3.3B
Lazard Ltd,Bermuda,"3,269","Clarendon House, 2 Church Street, Hamilton, HM11",Financial Services,www.lazard.com,$4.4B,1 441 2951422,$3.3B
Federal Grid Company of Unified Energy System PJSC,Russia,"22,302","Ul. Belovezhskaya, D. 4., Moscow, 121353",Power,www.fsk-ees.ru,$1.6B,7 495 7105208,$3.3B
Groupe ADP,France,"25,720","1 Rue De France, Tremblay-En-France, 93290",Transport and Logistics,www.parisaeroport.fr,$15.1B,33 1 74256700,$3.3B
Nippon Shokubai Co Ltd,Japan,"4,526","Kogin Bldg., 4-1-1, Koraibashi, Chuo-Ku, Osaka-Shi, 541-0043",Chemicals,www.shokubai.co.jp,$1.7B,81 6 62239111,$3.3B
Obrascon Huarte Lain SA,Spain,"16,469","Torrespacio. Paseo De La Castellana, 259 D, Madrid, 28046",Construction,ohla-group.com,$336.8M,34 913 484100,$3.3B
Beazley plc,United Kingdom,"1,617","Plantation Place S, 60 Great Tower Street, London, EC3R5AD",Financial Services,www.beazley.com,$5.3B,44 20 76670623,$3.3B
TVS Motor Co Ltd,India,"5,161","Post Box No 4, Harita, Hosur, Krishnagiri, 635109",Automotive,www.tvsmotor.com,$5.8B,91 4344 276780,$3.3B
Hotel Shilla Co Ltd,South Korea,"2,427","249, Dongho-Ro, Jung-Gu, Seoul, 04605",Leisure and Arts,www.hotelshilla.net,$2.7B,82 2 22333131,$3.3B
Hugo Boss AG,Germany,"15,411","Dieselstrabe 12, Metzingen, 72555",Consumer Packaged Goods,group.hugoboss.com,$4.4B,49 7123 940,$3.3B
Fullshare Holdings Limited,Hong Kong,"7,185","Room 2526, 25f, Tower 1, Admiralty Centr, 18 Harcourt Road, Admiralty, Hong Kong",Industrial Goods and Machinery,www.fullshare.com,$383.6M,852  36188462,$3.3B
Tarkett SA,France,"12,008","1, Terrasse Bellini, Tour Initiale, Paris La Defense Cedex, 92919",Construction,www.tarkett.com,$892.8M,33 1 41204040,$3.3B
Unicaja Banco SA,Spain,"8,063","Avenida De Andalucia, Numeros 10 Y 12, Malaga, 29007",Financial Services,www.unicajabanco.es,$3.4B,34 952 138000,$3.3B
Donaldson Co Inc,United States of America,"14,000","1400 W 94th St, Minneapolis, Minnesota, 55431-2301",Industrial Goods and Machinery,www.donaldson.com,$7.4B,1 612 8873131,$3.3B
Stewart Information Services Corp,United States of America,"7,300","1980 Post Oak Blvd, Houston, Texas, 77056",Financial Services,www.stewart.com,$1.2B,1 713 6258100,$3.3B
Virgin Money UK Plc,United Kingdom,"7,415","40 St Vincent Place, Glasgow, G12HL",Financial Services,www.virginmoneyukplc.com,$3.3B,44 141 2487070,$3.3B
Bank Of Jiujiang Co Ltd,China,"4,762","No.619 Changhong Street, Lianxi District, Jiujiang, Jiangxi, 332000",Financial Services,www.jjccb.com,$2.9B,86 792 7783000,$3.3B
The Cooper Companies Inc,United States of America,"14,000","6101 Bollinger Canyon Road, Suite 500, San Ramon, California, 94583",Medical Equipment,www.coopercos.com,$16.8B,1 925 4603600,$3.3B
Mr Cooper Group Inc,United States of America,"8,200","8950 Cypress Waters Blvd, Coppell, Texas, 75019",Financial Services,www.mrcoopergroup.com,$3.1B,1 214 6874958,$3.3B
Evercore Inc,United States of America,"1,950","55 E 52nd St Fl 38, New York, 10055-0002",Financial Services,www.evercore.com,$4.8B,1 212 8573100,$3.3B
ThyssenKrupp Industrial Solutions AG,Germany,"11,419","ThyssenKrupp Allee 1, Essen, Nordrhein-Westfalen, 45143",Construction,www.thyssenkrupp-industrial-solutions.com,,49 201 8440,$3.3B
Coherent Corp,United States of America,"23,658","375 Saxonburg Blvd, Pennsylvania, 16056-9430",Technology and Communications,www.ii-vi.com,$5.9B,1 724 3524455,$3.3B
Peabody Energy Corp,United States of America,"4,900","701 Market St, St. Louis, Missouri, 63101-1826",Metals and Mining,www.peabodyenergy.com,$3.9B,1 314 3423400,$3.3B
Tecnicas Reunidas SA,Spain,"6,708","Parque Empresarial Adequa, Edificio 6., Avenida De Burgos 89, Madrid, 28050",Construction,www.tecnicasreunidas.es,$627.4M,34 911 582255,$3.3B
Lundin Mining Corp,Canada,"4,567","2200-150 King St W, P.O. Box 38, Toronto, Ontario, M5H1J9",Metals and Mining,www.lundinmining.com,$5.3B,1 416 3425560,$3.3B
Hindustan Aeronautics Ltd,India,"25,412","15/1, Cubbon Road, Bangalore, Karnataka, 560001",Aerospace and Defense,hal-india.co.in,$10.0B,91 80 22320001,$3.3B
TietoEVRY Corp,Finland,"24,509","Keilalahdentie 2-4, P.O.Box 2, Espoo, 02101",Technology and Communications,www.tietoevry.com,$3.6B,358 2 072010,$3.3B
Central Garden & Pet Co,United States of America,"6,500","Suite 600, 1340 Treat Boulevard, Walnut Creek, California, 94597",Consumer Packaged Goods,www.central.com,$2.1B,1 925 9484000,$3.3B
Fufeng Group Ltd,China,"15,000","Western Section Of Huaihai Road, Junan County, Linyi, Shandong , 276600",Ingredients,www.fufeng-group.com,$1.7B,86 539 7212351,$3.3B
Puregold Price Club Inc,Philippines,"11,647","No. 900 Romualdez Street, Paco, Manila, 1007",Retailing,www.puregold.com.ph,$1.9B,63 2 5228801,$3.3B
Albemarle Corp,United States of America,"6,000","4250 Congress Street, Suite 900, Charlotte, North Carolina, 28209",Chemicals,www.albemarle.com,$28.6B,1 980 2995700,$3.3B
Harbin Electric Co Ltd,China,"11,704","1399 Innovation 1st Road, Songbei District, Haerbin, Heilongjiang, 150028",Power,www.hpec.com,$842.8M,86 451 82135727,$3.3B
Rompetrol Rafinare SA,Romania,"1,903","Bdul Navodari Nr. 215, Pavilion Administrativ, 905700",Energy and Utilities,rompetrol-rafinare.kmginternational.com,$459.1M,40 241 506000,$3.3B
Komeri Co Ltd,Japan,"4,454","4501-1, Shimizu, Minami-Ku, Niigata-Shi, 950-1492",Retailing,www.komeri.bit.or.jp,$1.1B,81 25 3714111,$3.3B
NRW.Bank,Germany,"1,474","Kavalleriestrasse 22, Dusseldorf, Nordrhein-Westfalen, 40213",Financial Services,www.nrwbank.de,,49 211 91741,$3.3B
Tofas Turk Otomobil Fabrikasi AS,Turkey,"6,091","Tofas Han Kat:4-5, Buyukdere Cad. No:145, Sisli, Zincirlikuyu, Sisli, Istanbul, 34394",Automotive,www.tofas.com.tr,$4.3B,90 212 2753390,$3.4B
Fortinet Inc,United States of America,"12,091","899 Kifer Road, Sunnyvale, California, 94086",Technology and Communications,www.fortinet.com,$37.8B,1 408 2357700,$3.3B
Toyobo Co Ltd,Japan,"10,503","Osaka Umeda Twin Towers South, 1-13-1, Umeda, Kita-Ku, Osaka-Shi, 530-0001",Chemicals,www.toyobo.co.jp,$695.7M,81 6 63483111,$3.3B
EnerSys,United States of America,"11,400","2366 Bernville Rd, Reading, Pennsylvania, 19605-9457",Clean Technology,www.enersys.com,$3.3B,1 610 2081600,$3.4B
Russel Metals Inc,Canada,"3,300","6600 Financial Dr, Mississauga, Ontario, L5N7J6",Metals and Mining,www.russelmetals.com/en,$1.4B,1 905 8197419,$3.4B
Ferrovial Construction,Spain,,"C/Principe de Vergera, 135 CP, Madrid, 28002",Construction,www.ferrovial.com/en/f-agroman,,34 91 5862500,$3.4B
Red Hat Inc,United States of America,"19,000","100 East Davie Street, Raleigh, North Carolina, 27601",Technology and Communications,www.redhat.com,,1 919 7543700,$3.4B
Banco Comercial Portugues SA,Portugal,"15,667","Praca D. Joao I, 28, Porto, 4000-295",Financial Services,www.millenniumbcp.pt,$3.1B,351 22 2072000,$3.4B
Maire Tecnimont SpA,Italy,"6,463","Via Gaetano De Castillia 6a, Milano, 20124",Construction,www.mairetecnimont.com,$1.2B,39 02 63131,$3.4B
Yunnan Chihong Zinc and Germanium Co Ltd,China,"8,538","Economic And Technological Developmnt Zn, Qujing, Yunnan, 655011",Metals and Mining,www.chxz.com,$4.0B,86 874 8966698,$3.4B
"Selective Insurance Group, Inc.",United States of America,"2,440","40 Wantage Ave, Branchville, New Jersey, 07890-0001",Financial Services,www.selective.com,$5.5B,1 973 9483000,$3.4B
Boyd Gaming Corporation,United States of America,"15,114","6465 South Rainbow Boulevard, Las Vegas, Nevada, 89118",Leisure and Arts,www.boydgaming.com,$6.2B,1 702 7927200,$3.4B
Nexteer Automotive Group Ltd,United States of America,"12,100","3900 E Holland Rd, Saginaw, Michigan, 48601-9494",Automotive,www.nexteer.com,$1.8B,1 989 7575000,$3.4B
YIT Corp,Finland,"5,264","Panuntie 11, Pl 36, Helsinki, 00620",Construction,www.yit.fi,$617.9M,358 2 0433111,$3.4B
Starzen Company Limited,Japan,"2,756","Starzen Shinagawa Bldg., 2-4-13, Konan, Minato-Ku, Tokyo, 108-0075",Consumer Packaged Goods,www.starzen.co.jp,$317.8M,81 3 34715521,$3.4B
Fuchs Petrolub SE,Germany,"6,094","Friesenheimer Strasse 17, Mannheim, 68169",Chemicals,www.fuchs.com,$5.0B,49 621 38020,$3.4B
Globe Telecom Inc,Philippines,"8,100","27th Floor, The Globe Tower, 32nd Street corner, 7th Avenue, Bonifacio Global City, Taguig, Metro manila, 1634",Technology and Communications,www.globe.com.ph,$5.6B,63 2 77972000,$3.4B
OSRAM Licht AG,Germany,"21,200","Marcel-Breuer-Strasse 6, Muenchen, 80807",Technology and Communications,www.osram-group.com,$5.2B,49 89 62130,$3.4B
Grupo Nutresa SA,Colombia,99,"Carrera 43 A 1 A Sur - 143, Edificio Santillana, Piso 7, Medellin, Antioquia, 0500",Consumer Packaged Goods,www.gruponutresa.com,$4.3B,57 604 3258731,$3.4B
Autogrill SpA,Italy,"34,639","Centro Direzionale Milanofiori, Strada 5 - Palazzo Z, Rozzano, 20089",Leisure and Arts,www.autogrill.com,$2.8B,39 02 48261,$3.4B
Sartorius Stedim Biotech SA,France,"11,942","Bp 1051, Aubagne Cedex, 13781",Pharmaceuticals and Healthcare,www.sartorius.com/en/company/about-sartorius-stedi,$31.9B,33 4 42845600,$3.4B
Public Storage,United States of America,"5,800","701 Western Ave, Glendale, California, 91201-2349",Construction,www.publicstorage.com,$50.2B,1 818 2448080,$3.4B
Tourmaline Oil Corp,Canada,242,"2900, 250 6th Ave Sw, Calgary, Alberta, T2P3H7",Energy and Utilities,www.tourmalineoil.com,$17.1B,1 403 2665992,$3.4B
Simplo Technology Co Ltd,Taiwan,"12,132","No.471, Section 2, Pa Teh Road, Hu Kou Village, Hukou, 303",Technology and Communications,www.simplo.com.tw,$1.7B,886 3 5695920,$3.4B
Atco Ltd,Canada,"6,556","West Building, 5302 Forand St Sw 4th Floor, Calgary, Alberta, T3E8B4",Power,www.atco.com,$3.7B,1 403 2927500,$3.4B
Beijing North Star Co Ltd,China,"5,597","No. 8, Beichen East Road, Chaoyang District, Beijing, 100101",Construction,www.beijingns.com.cn,$857.0M,86 10 64991277,$3.4B
Denka Co Ltd,Japan,"6,358","Nihonbashi Mitsui Tower, 2-1-1, Nihonbashi Muro-Machi, Chuo-Ku, Tokyo, 103-8338",Chemicals,www.denka.co.jp,$1.8B,81 3 52905055,$3.4B
Bank of Qingdao Co Ltd,China,"4,559","No. 6 Qinling Road, Laoshan District, Qingdao, Shandong , 266061",Financial Services,www.qdccb.com,$2.7B,86 532 85709728,$3.4B
Aker Solutions ASA,Norway,"14,331","Oksenoyveien 8, Lysaker, 1366",Energy and Utilities,www.akersolutions.com,$1.9B,47 67 513000,$3.4B
Vantiva SA,France,"16,676","8-10 Rue Du Renard, Paris, 75004",Technology and Communications,www.vantiva.com,$101.2M,33 1 88233000,$3.4B
Floor & Decor Holdings Inc,United States of America,"7,986","2500 Windy Ridge Pkwy Se, Atlanta, Georgia, 30339-5677",Retailing,www.flooranddecor.com,$9.0B,1 404 4711634,$3.4B
AGRANA Beteiligungs-AG,Austria,"8,937","Friedrich-Wilhelm-Raiffeisen-Platz 1, Wien, 1020",Consumer Packaged Goods,www.agrana.com,$1.1B,43 1 211370,$3.4B
Option Care Health Inc,United States of America,"5,430","3000 Lakeside Dr, Suite 300n, Bannockburn, Illinois, 60015",Pharmaceuticals and Healthcare,optioncarehealth.com,$5.2B,1 312 9402443,$3.4B
Mitsubishi Tanabe Pharma Corp,Japan,"6,697","3-2-10, Dosho-machi, Chuo-ku, Osaka, 541-8505",Pharmaceuticals and Healthcare,www.mt-pharma.co.jp,,81 6 62055085,$3.4B
MFE-MediaForEurope NV,Italy,"4,913","Viale Europa 46, Cologno Monzese, 20093",Media,www.mfemediaforeurope.com,$1.4B,,$3.4B
Johnson Electric Holdings Limited,Hong Kong,"35,000","6/F, 12 Science Park East Avenue, Hong Kong Science Park, Shatin, Nt",Industrial Goods and Machinery,www.johnsonelectric.com,$1.3B,852  26636688,$3.4B
Ternium Argentina SA,Argentina,"5,400","Av. Savio S/N, San Nicolas, Buenos Aires, 2900",Metals and Mining,ar.ternium.com,$6.6B,54 11 43182881,$3.4B
MEG Energy Corp,Canada,411,"600 - 3rd Avenue S.W., 21st Floor, Calgary, Alberta, T2P0G5",Energy and Utilities,www.megenergy.com,$4.3B,1 403 7700446,$3.4B
Coterra Energy Inc,United States of America,936,"840 Gessner Rd Ste 1400, Houston, Texas, 77024-4152",Energy and Utilities,coterra.com,$19.8B,1 281 5894600,$3.4B
Sulzer Ltd,Switzerland,"12,914","Neuwiesenstrasse 15, Winterthur, 8401",Industrial Goods and Machinery,www.sulzer.com,$2.9B,41 52 2623022,$3.5B
Haci Omer Sabanci Holding AS,Turkey,"64,869","Sabanci Center Kule Ii Kat:23 4.Levent, Istanbul, 34330",Financial Services,www.sabanci.com,$4.5B,90 212 3858080,$3.5B
Enerjisa Enerji AS,Turkey,"11,482","Barbaros Mahallesi, Begonya Sokak, Nida, Kule Atasehir Bati Sit. No: 1/1,Atasehir, Istanbul, 34746",Power,www.enerjisa.com.tr,$2.2B,90 216 5790579,$3.5B
Dollarama Inc,Canada,"8,406","5805 Royalmount Ave, Mont-Royal, Quebec, H4P0A1",Retailing,www.dollarama.com,$17.4B,1 514 7371006,$3.5B
Dali Foods Group Co Ltd,China,"40,573","Linkou, Zishan, Hui'An, Quanzhou, Fujian, 362100",Consumer Packaged Goods,www.dali-group.com,$6.4B,86 595 87335077,$3.5B
KYB Corporation,Japan,"14,472","11f, World Trade Center Bldg., 2-4-1, Hamamatsu-Cho, Minato-Ku, Tokyo, 105-5128",Automotive,www.kyb.co.jp,$710.4M,81 3 34353511,$3.5B
Groupe Lactalis SA,France,"85,000","10-20 Rue Adolphe Beck, Laval, Pays-de-la-Loire, 53089",Consumer Packaged Goods,www.lactalis.fr,,33 2 43594259,$3.5B
Alten SA,France,"49,600","40 Avenue Andre Morizet, Boulogne-Billancourt, 92100",Technology and Communications,www.alten.fr,$5.1B,33 1 46087200,$3.5B
Dino Polska SA,Poland,"35,652","Ul. Ostrowska 122, Krotoszyn, 63-700",Retailing,grupadino.pl/kontakt,$8.2B,48 62 7255400,$3.5B
Akamai Technologies Inc,United States of America,"8,700","145 Broadway, Cambridge, Massachusetts, 02142",Technology and Communications,www.akamai.com,$13.8B,1 617 4443000,$3.5B
Union of European Football Associations,Switzerland,537,"46 Route de Geneve, Nyon, Waadt, 1260",Government and Non-Profit Organisations,www.uefa.com,,41 848 042727,$3.5B
H&R Block Inc,United States of America,"3,800","1 H And R Block Way, Kansas City, Missouri, 64105-1905",Business and Consumer Services,www.hrblock.com,$6.0B,1 816 8543000,$3.5B
Texas Roadhouse Inc,United States of America,"73,300","6040 Dutchmans Ln, Louisville, Kentucky, 40205-3305",Leisure and Arts,www.texasroadhouse.com,$6.8B,1 502 4269984,$3.5B
Dangote Cement Plc,Nigeria,"16,700","Union Marble House, 1 Alfred Rewane Road, Falomo, Ikoyi, Lagos, 40032",Construction,www.dangotecement.com,$10.0B,234 1 460643,$3.5B
Sundaram Clayton Ltd,India,"1,606","5th Floor, 29, Haddows Road, Chennai, 600006",Automotive,www.sundaram-clayton.com,$1.2B,91 44 28272233,$3.5B
Ta Chen Stainless Pipe Co Ltd,Taiwan,"3,729","No.125, Hsin Tien 2nd Street, Jeng-Teh District, Tainan, 717",Metals and Mining,www.tachen.com,$2.9B,886 6 2701756,$3.5B
Bucher Industries AG,Switzerland,"14,128","Murzlenstrasse 80, Niederweningen, 8166",Industrial Goods and Machinery,www.bucherindustries.com,$4.7B,41 43 8158080,$3.5B
Yokogawa Electric Corp,Japan,"17,258","2-9-32, Naka-Cho, Musashino-Shi, Tokyo, 180-8750",Industrial Goods and Machinery,www.yokogawa.co.jp,$4.5B,81 42 2525555,$3.5B
SiteOne Landscape Supply Inc,United States of America,"5,700","Mansell Overlook, 300 Colonial Center Parkway, Suite 600, Roswell, Georgia, 30076",Wholesale,www.siteone.com/en,$6.0B,1 470 2777000,$3.5B
Harbour Energy PLC,United Kingdom,"1,807","23 Lower Belgrave Street, London, SW1W0NR",Energy and Utilities,www.harbourenergy.com,$3.4B,44 20 77301111,$3.5B
Construcciones y Auxiliar de Ferrocarriles SA,Spain,"13,432","C/ Jose Miguel Iturrioz, 26, Beasain, Madrid, 20200",Industrial Goods and Machinery,www.caf.net,$1.0B,34943880100,$3.5B
"Schnitzer Steel Industries, Inc.",United States of America,"3,471","Suite 350, 299 SW Clay Street, Portland, Oregon, 97201",Metals and Mining,www.schnitzersteel.com,$926.0M,1 503 2249900,$3.5B
TopBuild Corp,United States of America,"13,006","475 N. Williamson Blvd., Daytona Beach, Florida, 32114",Construction,www.topbuild.com,$6.0B,1 386 3042200,$3.5B
Xinte Energy Co Ltd,China,"7,104","No. 2499, Mianguangdong Street, (Industr, Wulumuqi, Xinjiang",Alternative Energy,www.xinteenergy.com,$2.9B,86 991 3665888,$3.5B
Carter's Inc,United States of America,"15,900","Suite 1800, Phipps Tower,3438 Peachtree Road NE, Atlanta, Georgia, 30326",Retailing,www.carters.com,$3.1B,1 678 7911000,$3.5B
Unieuro SPA,Italy,"4,859","Via Piero Maroncelli, 10, Palazzo Hercolani, Forli, 47121",Retailing,unieurospa.com,$258.2M,,$3.5B
Open Text Corp,Canada,"14,800","275 Frank Tompa Dr, Waterloo, Ontario, N2L0A1",Technology and Communications,www.opentext.com,$8.7B,1 519 8887111,$3.5B
Just Group plc,United Kingdom,"1,076","Enterprise House, Bancroft Road, Reigate, RH27RP",Financial Services,www.justgroupplc.co.uk,$1.1B,44 1737 233296,$3.5B
Shenzhen MTC Co Ltd,China,"13,725","31-32f, Tower A, Xingheshiji Building, No. 3069, Caitian Road, Futian District, Shenzhen, Guangdong, 518112",Consumer Packaged Goods,www.szmtc.com.cn,$2.6B,86 755 33614068,$3.5B
TI Fluid Systems Plc,United Kingdom,"25,600","Ti Automotive, 4650 Kingsgate, Oxford, OX42SU",Automotive,www.tifluidsystems.com,$750.2M,44 1865 871820,$3.5B
"Cboe Global Markets, Inc",United States of America,"1,196","433 West Van Buren Street, Chicago, Illinois, 60607",Financial Services,www.cboe.com,$13.0B,1 312 7867200,$3.5B
Nielsen Holdings plc,United States of America,"14,000","675 Avenue Of The Americas, New York, 10010",Business and Consumer Services,www.nielsen.com,,1 410 7177134,$3.5B
EDP - Energias do Brasil SA,Brazil,"3,274","Rua Gomes De Carvalho, 1.996,8 Andar, Vila Olimpia, Sao Paulo, 04.547-006",Power,www.edp.com.br,$2.3B,55 11 21855000,$3.5B
Primoris Services Corp,United States of America,"1,925","2300 N. Field Street, Suite 1900, Dallas, Texas, 75201",Construction,www.primoriscorp.com,$1.3B,1 214 7405600,$3.5B
Li Ning Co Ltd,China,"4,591","No. 8 Xing Guang 5th Street, Opto-Mechat, Beijing, 101111",Retailing,www.lining.com,$23.5B,86 10 80800808,$3.5B
Valmont Industries Inc,United States of America,"11,041","15000 Valmont Plaza, Omaha, Nebraska, 68154",Industrial Goods and Machinery,www.valmont.com,$7.0B,1 402 9631000,$3.5B
Royal Boskalis Westminster NV,Netherlands,"7,872","Rosmolenweg 20, Papendrecht, 3356LK",Construction,boskalis.com,,31 78 6969000,$3.5B
Copart Inc,United States of America,"9,500","14185 Dallas Pkwy Ste 300, Texas, 75254-1327",Business and Consumer Services,www.copart.com,$29.8B,1 972 3915000,$3.5B
Grupo Financiero Inbursa SAB de CV,Mexico,"9,330","Paseo De Las Palmas 750 -1, Lomas De Chapultepec Iii Seccion, Miguel Hidalgo, 11000",Financial Services,www.inbursa.com.mx,$12.0B,52 55 56254900,$3.5B
RS Group plc,United Kingdom,"7,654","Fifth Floor, Two Pancras Square, London, Greater London, N1C4AG",Technology and Communications,www.rsgroup.com,$5.4B,44 20 72398400,$3.5B
Central Bank of India,India,"30,289","Chandermukhi, Nariman Point, Mumbai, 400021",Financial Services,www.centralbankofindia.co.in,$3.4B,91 22 66387777,$3.5B
Toyo Tire Corp,Japan,"10,324","2-2-13, Fujinoki, Itami-Shi, Hyogo, 664-0847",Automotive,www.toyotires.co.jp,$1.8B,81 72 7899100,$3.5B
Interglobe Aviation Ltd,India,"26,164","Level 1, Tower C, Mehrauli-Gurgaon Road, Global Business Park, 122002",Transport and Logistics,www.interglobe.com,$9.8B,91 124 4352500,$3.5B
Take-Two Interactive Software Inc,United States of America,"7,799","110 West 44th Street, New York, 10036",Technology and Communications,www.take2games.com,$17.3B,1 646 5362842,$3.5B
NMDC Ltd,India,"5,539","Khanij Bhavan, Masab Tank, Hyderabad, 500028",Metals and Mining,www.nmdc.co.in,$4.6B,91 40 23538713,$3.5B
Industrija nafte dd,Croatia,"9,525","Avenija Veceslava Holjevca 10, P.P. 555, Zagreb, 10020",Energy and Utilities,www.ina.hr,$4.9B,385 1 6450552,$3.5B
Aalberts Industries NV,Netherlands,"14,402","Wtc Utrecht, Stadsplateau 18, Langbroek, 3521AZ",Industrial Goods and Machinery,aalberts.com,$5.2B,31 30 3079300,$3.5B
Jyske Bank A/S,Denmark,"3,284","Vestergade 8-16, Silkeborg, 8600",Financial Services,www.jyskebank.dk,$4.5B,45 89 898989,$3.5B
Rithm Capital Corp,United States of America,"9,862","799 Broadway, New York, 10003",Construction,www.rithmcap.com,$4.2B,1 212 8507770,$3.5B
Smiths Group Plc,United Kingdom,"15,250","4th Fl, 11-12 St. James's Square, London, SW1Y4LB",Industrial Goods and Machinery,www.smiths.com,$7.4B,44 20 70041600,$3.5B
ScanSource Inc,United States of America,"2,700","6 Logue Court, Greenville, South Carolina, 29615",Technology and Communications,www.scansource.com,$814.4M,1 864 2882432,$3.5B
Seibu Holdings Inc,Japan,"21,367","1-16-15, Minami Ikebukuro, Toshima-Ku, Tokyo, 171-0022",Transport and Logistics,www.seibuholdings.co.jp,$3.6B,81 3 67093100,$3.5B
Z Energy Ltd,New Zealand,,"3 Queens Wharf, Wellington, 6011",Energy and Utilities,z.co.nz,,64 8 00474355,$3.5B
A. O. Smith Corp,United States of America,"13,700","11270 W Park Pl, Milwaukee, Wisconsin, 53224-3623",Industrial Goods and Machinery,www.aosmith.com,$9.2B,1 414 3594000,$3.5B
