,country,employees_2017,employees_2020,founding_year,name,revenue_2017,revenue_2020,sector
767,italy,9,19.0,1956,nutis,"2,124,990","6,566,530",food & beverage
768,poland,12,23.0,2011,ogrodosfera.pl,"4,693,330","13,256,472",ecommerce
769,france,17,30.0,2010,svti,"1,290,312","3,981,300",industrial goods
770,italy,13,38.0,2011,enhancers,"1,087,520","3,352,210",technology
771,france,6,16.0,2012,agripower france,"2,498,792","7,701,275",waste management & recycling
772,italy,8,18.0,2014,next turbo technologies,"3,080,610","9,481,040",industrial goods
773,italy,46,98.0,2013,velvet media italia,"1,759,490","5,411,160",advertising
774,italy,9,35.0,2016,booster box,"667,837","2,049,365",advertising
775,slovakia,3,2.0,2014,rmf group,"1,072,117","3,289,892",food & beverage
776,uk,89,140.0,2005,darwin group limited,"23,141,358","70,393,894",construction
777,poland,90,230.0,2012,itfs,"3,730,405","10,446,862",technology
778,france,9,25.0,2015,skillsday,"1,031,988","3,154,795",education
779,finland,23,34.0,2010,gapps,"2,850,000","8,707,000",technology
780,italy,6,15.0,1984,maxfel,"720,650","2,201,160",interiors
781,spain,33,55.0,2012,herrero brigantina,"4,832,212","14,725,853",insurance
782,italy,3,6.0,2016,manitech,"1,263,420","3,834,910",industrial goods
783,italy,6,16.0,2016,tradeco,"1,944,720","5,889,890",industrial goods
784,france,13,28.0,2012,mon chasseur immo,"1,585,727","4,794,423",property
785,france,20,75.0,2013,upslide,"2,737,704","8,274,214",support services
786,france,5,18.0,2015,cogeclim energies,"868,406","2,622,506",construction
787,hungary,10,14.0,2004,cellarius,"989,785","2,571,079",sales & marketing
788,germany,75,141.0,2014,careful-service,"1,173,908","3,537,769",health
789,lithuania,24,30.0,2007,softneta,"590,642","1,778,249",health
790,uk,64,161.0,2016,progeny,"5,561,585","16,601,337",financial services
791,france,29,57.0,2009,web geo services,"8,022,358","24,114,000",technology
792,germany,,,2013,spedition ibov,"1,140,000","3,424,863",transport
793,germany,21,25.0,2014,mypostcard.com,"2,119,022","6,358,307",retail
794,germany,2,3.0,2013,variosan,"1,078,808","3,233,968",retail
795,germany,8,36.0,2013,riedle + bertsch,"777,849","2,331,579",technology
796,italy,23,50.0,1999,mobili fiver,"3,973,460","11,897,820",interiors
797,france,11,46.0,2015,klc desamiantage,"2,065,220","6,182,419",construction
798,france,3,6.0,2014,secret arts of spirits,"1,105,569","3,308,224",retail
799,uk,68,184.0,2011,mpb group limited,"24,429,686","72,503,245",ecommerce
800,germany,5,12.0,2016,3zehn auto discount,"8,527,777","25,448,057",automobiles
801,france,50,67.0,2012,adikteev,"15,292,051","45,616,000",technology
802,germany,3,50.0,2009,fundis reitsport,"2,370,645","7,066,208",retail
803,germany,9,17.0,2009,antriebstechnik ebner-seibold,"753,352","2,245,423",retail
804,belgium,30,102.0,2011,invibes advertising,"3,880,663","11,530,000",technology
805,italy,18,34.0,2014,jointly il welfare condiviso,"808,700","2,400,550",support services
806,sweden,10,23.0,2012,abtot mark & anlã¤ggning ab,"3,450,305","9,983,094",construction
807,germany,10,36.0,2012,dusapro immobilien,"11,484,801","33,903,865",property
808,france,4,8.0,2012,soldats films,"787,160","2,320,653",media
809,italy,120,287.0,2016,eagleprojects,"5,137,900","15,140,480",telecoms
810,italy,15,43.0,2013,agile lab,"1,897,650","5,590,450",technology
811,norway,4,8.0,2012,importpris.no,"1,126,971","3,113,197",ecommerce
812,germany,18,72.0,2011,truu,"4,245,861","12,472,561",industrial goods
813,france,5,15.0,2016,lâatelier,"1,461,226","4,288,024",technology
814,germany,7,22.0,2014,frigoclim kã¤lte-klima,"1,326,082","3,890,690",construction
815,germany,3,5.0,2013,m coffee company,"722,795","2,117,442",retail
816,france,12,22.0,2011,protextyl,"1,818,032","5,324,116",retail
817,france,14,18.0,2009,sp architecte,"964,998","2,825,876",construction
818,spain,54,178.0,2011,embargos a lo bestia,"7,709,375","22,559,217",retail
819,ireland,2,3.0,2011,snigel,"7,000,063","20,479,764",technology
820,germany,5,120.0,2006,ims rettungsdienst,"650,000","1,900,000",health
821,italy,1,16.0,2017,way2global sb,"828,820","2,411,600",support services
822,uk,3,33.0,2014,media access solutions,"1,181,642","3,407,930",support services
823,spain,21,44.0,2008,exadi,"14,649,568","42,525,086",sales and marketing
824,germany,10,29.0,2014,fiber-service-gesellschaft,"1,395,607","4,049,655",telecoms
825,poland,140,280.0,2010,tenderhut (group),"3,868,483","10,264,611",technology
826,spain,12,30.0,2016,worldwide fishing company,"48,449,141","140,442,673",food & beverage
827,italy,26,43.0,2013,doctor hail spa,"6,246,592","18,101,114",automobiles
828,germany,650,1500.0,2011,kbs group,"14,500,000","42,006,000",support services
829,estonia,5,12.0,2017,terre ehitus,"723,064","2,089,215",construction
830,germany,7,19.0,2013,bauer energiekonzepte,"12,554,325","36,223,730",energy
831,italy,26,77.0,2001,new euroart,"3,226,280","9,307,640",construction
832,italy,8,16.0,2015,capelli for you,"575,120","1,658,750",beauty
833,uk,133,371.0,2014,ogury,"37,992,902","108,758,853",advertising
834,germany,7,17.0,2017,tft ernst,"698,300","2,012,427",construction
835,uk,31,55.0,2001,somerford associates,"6,564,162","18,757,685",technology
836,germany,12,38.0,2012,arcadia investment,"2,818,652","8,102,218",property
837,italy,112,186.0,2009,filoblu,"19,351,090","55,564,420",management consulting
838,uk,8,21.0,2016,tribus digital,"685,567","1,952,800",technology
839,italy,20,35.0,2014,doit,"1,060,000","3,040,000",technology
840,uk,8,23.0,2009,global perspectives,"2,329,522","6,631,496",health
841,italy,8,25.0,1999,pirene,"527,910","1,512,680",support services
842,uk,39,183.0,2012,ipulse,"36,995,102","105,149,602",personal & household goods
843,germany,23,47.0,2002,blue networks,"2,322,241","6,626,713",technology
844,germany,20,35.0,2009,n. schwegler,"3,686,000","10,514,000",construction
845,germany,7,15.0,2002,marcus lutz bau,"659,402","1,874,438",construction
846,germany,3,4.0,2008,hkr-technik,"2,462,478","6,996,880",retail
847,germany,18,30.0,2007,licht + strom,"1,424,633","4,039,340",technology
848,germany,15,40.0,2009,die autowelt,"5,915,499","16,754,654",automobiles
849,france,4,9.0,2012,artheau aviation,"3,977,562","11,263,318",aerospace & defence
850,italy,13,22.0,2000,cepo,"1,592,170","4,503,670",industrial goods
851,france,1,2.0,2013,sneakers & jackets,"1,022,714","2,888,273",financial services
852,uk,11,26.0,2009,89up,"647,020","1,814,237",advertising
853,france,na,4.0,2016,luxury & performance selection,"2,281,929","6,444,045",automobiles
854,uk,117,395.0,2012,grayce group,"6,381,674","17,890,928",management consulting
855,italy,1,4.0,1993,nemesi italia,"581,520","1,640,000",technology
856,uk,12,40.0,1994,halo service solutions,"1,799,189","5,037,087",technology
857,uk,36,73.0,2012,raspberry pi,"28,668,484","80,066,074",technology
858,italy,8,17.0,2010,giopato & coombes,"1,944,000","5,467,910",interiors
859,germany,4,8.0,2016,ship it,"1,207,009","3,391,041",retail
860,germany,19,47.0,2012,rheinische scheidestã¤tte,"29,564,866","83,044,963",retail
861,poland,34,90.0,2011,whites agency,"1,586,246","4,076,348",advertising
862,italy,1,38.0,2017,casa di riposo medicalizzata sempione*,"867,960","2,436,000",health
863,poland,135,269.0,2014,cshark,"4,608,343","11,828,515",technology
864,italy,30,47.0,2015,zinox laser,"2,269,510","6,364,000",interiors
865,italy,14,20.0,2013,tera automation,"1,778,890","4,987,860",industrial goods
866,italy,12,16.0,2014,innova hts,"3,137,630","8,792,400",health
867,czech republic,8,20.0,2013,kentigen,"554,004","1,507,867",technology
868,belgium,13,23.0,2015,teal partners,"1,386,701","3,873,750",technology
869,italy,16,47.0,2010,lm medical division,"4,040,060","11,281,040",health
870,germany,25,47.0,2003,bec,"2,809,036","7,843,183",technology
871,croatia,41,81.0,1995,xylon,"1,610,149","4,491,888",technology
872,germany,2,9.0,2017,spedition kai rindert,"1,083,821","3,018,684",transport
873,italy,16,22.0,2009,co.ge.sa. costruzioni generali saba,"1,241,760","3,453,730",construction
874,sweden,13,20.0,2010,skã¤rgãyen_rdstunnan/skargards,"5,547,537","15,082,088",ecommerce
875,italy,1,14.0,2015,autonova milano,"1,006,280","2,790,680",automobiles
876,germany,25,40.0,2011,polarstern,"10,925,375","30,270,074",energy
877,germany,5,15.0,2013,halsdorfer + ingenieure projekt,"11,207,566","31,038,460",property
878,france,9,23.0,2015,opna,"838,200","2,317,903",support services
879,spain,25,39.0,2010,stikets,"3,372,820","9,318,626",ecommerce
880,italy,18,18.0,1994,campustore,"12,479,120","34,410,600",education
881,croatia,14,27.0,2013,ars futura,"574,487","1,580,154",technology
882,italy,64,116.0,2015,cemir security,"1,028,730","2,835,330",support services
883,czech republic,40,60.0,2009,borgy cz,"8,362,568","22,419,033",personal & household goods
884,france,190,600.0,2007,groupe zephyr,"5,908,517","16,264,645",health
885,france,25,57.0,2015,dernier cri,"1,438,184","3,956,061",technology
886,germany,10,37.0,2016,yes!devs,"800,000","2,200,000",technology
887,germany,19,36.0,2009,hydroflex group,"4,788,000","13,166,000",retail
888,italy,7,31.0,2016,proteko service,"2,003,540","5,502,450",support services
889,hungary,26,26.0,2012,minicrm,"944,107","2,232,347",technology
890,italy,13,39.0,2001,cnq consorzio nazionale qualitã ,"783,460","2,151,050",waste management & recycling
891,czech republic,,,2010,accolade,"31,477,723","83,981,636",property
892,spain,9,27.0,2009,panel sandwich,"3,517,519","9,637,845",construction
893,france,28,32.0,1991,symbiose informatique,"12,074,454","33,080,096",technology
894,italy,24,51.0,2012,g.engineering,"6,024,830","16,504,780",industrial goods
895,france,50,200.0,2011,i-particuliers,"1,488,875","4,071,600",property
896,germany,25,48.0,2012,henco,"2,550,263","6,970,679",retail
897,italy,25,53.0,2007,giglio.com,"9,283,620","25,355,630",ecommerce
898,sweden,5,16.0,2013,alphaspel,"1,699,234","4,535,769",retail
899,lithuania,14,24.0,2014,sapiegos klinika,"579,436","1,578,677",health
900,uk,9,25.0,2010,opencorporates,"1,010,498","2,730,677",technology
901,france,22,49.0,2012,be cloud,"3,811,605","10,371,094",support services
902,poland,60,130.0,2014,drukarnia piga.pl,"1,632,988","4,064,038",ecommerce
903,france,84,227.0,2010,groupe mister menuiserie,"25,003,047","68,009,314",ecommerce
904,germany,51,79.0,1999,insetto,"2,210,651","6,010,130",retail
905,portugal,9,13.0,2005,technophage,"823,381","2,237,180",pharmaceuticals
906,france,25,68.0,2008,skalis portage salarial,"2,287,420","6,202,068",support services
907,germany,5,11.0,2016,peoplegrapher,"1,314,806","3,561,298",advertising
908,italy,2,4.0,2016,reveg fruit,"870,070","2,356,570",food & beverage
909,bulgaria,39,79.0,2016,sciant,"1,178,653","3,192,139",technology
910,germany,50,130.0,2012,boender & beutel,"5,376,347","14,550,131",industrial goods
911,france,419,456.0,2003,ekinops,"34,291,000","92,800,000",telecoms
912,portugal,12,13.0,1938,sano-tã©cnica,"1,838,120","4,972,658",health
913,germany,16,24.0,2013,mã¶belando,"6,170,577","16,692,390",retail
914,italy,12,37.0,2011,democom,"1,238,210","3,347,950",telecoms
915,italy,3,11.0,2009,erbagil,"1,490,280","4,021,010",pharmaceuticals
916,finland,9,32.0,2014,axopar boats,"29,247,774","78,765,693",travel & leisure
917,italy,11,54.0,2012,advanced composites solutions,"2,006,100","5,393,690",automobiles
918,italy,12,34.0,2000,spartivento yachts & charter,"1,932,580","5,194,630",travel & leisure
919,poland,39,64.0,2014,seargin,"7,576,080","18,624,755",technology
920,germany,28,32.0,2009,ttp holding,"13,997,000","37,607,000",support services
921,sweden,5,14.0,2011,sweef furniture,"3,620,585","9,506,903",retail
922,hungary,5,10.0,2008,sonic tanã¡csadã³ ã©s szolgã¡ltatã³ kft,"2,009,719","4,646,080",technology
923,belgium,30,71.0,2014,spotit,"7,606,472","20,387,729",cyber security
924,france,11,27.0,2016,label experience,"655,366","1,756,470",financial services
925,italy,2,724.0,2015,lmm logistics,"5,268,390","14,113,040",transport
926,spain,15,35.0,2008,medicalfit,"888,395","2,378,517",health
927,italy,23,26.0,2017,nuova mg,"794,770","2,126,840",industrial goods
928,france,7,30.0,2016,innov and co handicap,"702,609","1,879,824",technology
929,france,33,31.0,2003,alma entreprise,"5,023,015","13,438,347",construction
930,italy,8,15.0,2016,radit,"703,190","1,879,520",support services
931,france,80,220.0,2013,regional express,"8,552,857","22,841,800",transport
932,france,26,59.0,2004,aravati,"2,500,644","6,671,500",support services
933,germany,4,7.0,2013,pã¶hner hamburg,"5,851,000","15,603,000",retail
934,germany,18,21.0,2010,schreinerei huber,"986,286","2,629,044",construction
935,france,12,12.0,1996,isr,"1,741,112","4,637,943",technology
936,germany,2,5.0,2008,kinga mathe,"676,431","1,800,494",retail
937,lithuania,20,24.0,1992,rivile,"1,467,195","3,905,042",technology
938,france,8,20.0,2016,magarantie5ans,"3,477,788","9,253,546",retail
939,france,36,98.0,2012,bebeboutik,"10,944,325","29,080,296",retail
940,austria,88,122.0,2011,radar cyber security,"4,794,822","12,727,043",technology
941,france,49,121.0,2004,clair group,"14,683,064","38,960,985",aerospace & defence
942,germany,105,221.0,2009,appsfactory,"6,801,966","18,044,631",technology
943,uk,142,250.0,2010,stiltz homelifts,"14,051,407","36,960,953",interiors
944,romania,48,105.0,2012,star stone,"1,729,707","4,409,476",construction
945,uk,10,22.0,2016,coptrz,"2,395,445","6,297,471",aerospace & defence
946,uk,15,35.0,2014,nurole,"1,236,098","3,249,493",technology
947,germany,10,15.0,2016,abao energy,"910,386","2,406,917",construction
948,italy,16,32.0,2011,welol next,"1,017,320","2,685,440",technology
949,uk,22,75.0,2010,intent hq,"2,199,126","5,762,891",technology
950,france,14,20.0,2009,cafã© du cycliste,"2,826,571","7,445,865",ecommerce
951,germany,5,8.0,2016,langer lã¼ftungs- und klimaanlagen,"1,749,794","4,609,256",construction
952,france,60,130.0,2010,formind,"6,398,583","16,845,354",cyber security
953,france,4,20.0,2010,oasis smart sim europe**,"1,167,000","3,065,165",telecoms
954,italy,9,13.0,2013,aferetica,"2,429,230","6,376,910",health
955,italy,15,37.0,2014,zero,"16,000,000","42,000,000",energy
956,france,20,70.0,2011,skills,"4,443,710","11,650,138",support services
957,italy,1,22.0,2015,3e studio,"1,071,090","2,804,580",support services
958,slovakia,1,5.0,2013,pannonia steel,"675,645","1,768,886",construction
959,italy,15,21.0,2009,kronos,"9,009,270","23,579,000",fashion
960,italy,11,22.0,2007,lasaponaria,"2,409,730","6,304,690",beauty
961,germany,50,95.0,2013,die wuhlewanderer,"1,900,000","4,970,000",health
962,sweden,26,27.0,2007,imint vidhance,"1,897,113","4,851,538",technology
963,italy,18,47.0,2016,arte e passione,"639,410","1,671,730",restaurants
964,france,29,87.0,2011,paul marius,"9,515,000","24,869,602",retail
965,bulgaria,330,730.0,2012,scalefocus,"12,686,177","33,137,857",technology
966,germany,7,16.0,2014,whiskyzone,"4,117,340","10,750,866",retail
967,italy,63,113.0,2002,targa telematics,"14,327,610","37,386,150",technology
968,uk,23,50.0,2003,sian wholesale ltd,"28,939,861","74,719,260",transport
969,sweden,54,104.0,2002,visage technologies,"2,233,448","5,677,639",technology
970,lithuania,1,1.0,2016,riotloc,"596,906","1,551,468",games industry
971,uk,31,34.0,2003,bullionvault,"6,278,456","16,196,046",precious metals
972,spain,9,23.0,2000,3a antioxidants,"2,968,892","7,704,000",chemicals & pharmaceuticals
973,germany,3,6.0,2016,on metall,"997,518","2,587,718",industrial goods
974,the netherlands,22,39.0,2012,scribbr,"3,417,536","8,862,818",education
975,france,500,1000.0,2007,selectra,"24,320,734","62,951,353",energy
976,italy,7,13.0,2010,energetic,"661,860","1,711,470",energy
977,france,7,9.0,2007,faveod,"1,005,658","2,598,585",support services
978,spain,5,15.0,2013,cye energia,"9,161,867","23,673,728",energy
979,finland,33,105.0,2008,integrata oy,"3,647,000","9,409,000",financial services
980,germany,15,25.0,2010,regular trade,"4,526,000","11,671,000",retail
981,hungary,6,15.0,2011,expleo,"900,686","2,696,785",energy
982,italy,21,21.0,2015,confezioni velvet,"1,302,640","3,355,870",fashion
983,germany,12,10.0,1998,activ bilanz,"6,712,146","17,286,985",property
984,italy,5,12.0,2011,family nation,"2,059,190","5,300,370",ecommerce
985,greece,13,19.0,1994,majar â matzaridis bros,"5,144,442","13,224,865",technology
986,spain,431,791.0,1996,izertis,"19,753,150","50,740,841",technology
987,italy,1,5.0,2016,fashion commerce,"916,000","2,349,000",ecommerce
988,uk,41,105.0,2009,bulk tainer logistics limited,"21,717,432","56,054,130",transport
989,italy,12,22.0,2016,wingeco,"1,332,330","3,407,310",industrial goods
990,poland,12,25.0,2021,meblobranie.pl,"6,909,799","19,295,429",ecommerce
991,spain,39,67.0,1898,queraltã³,"8,575,344","21,900,903",ecommerce
992,slovakia,8,12.0,1993,phobos,"1,382,844","3,529,454",automobiles
993,italy,13,5.0,2013,archita engineering,"1,074,130","2,739,230",support services
994,spain,10,27.0,2006,celeritas,"22,805,398","58,139,933",transport
995,germany,15,45.0,2014,peopleforecast,"818,658","2,086,411",technology
996,italy,41,12.0,2014,digitalpa,"679,440","1,731,340",management consulting
997,germany,100,150.0,2003,faktenkontor,"12,153,143","30,967,000",advertising
998,france,13,53.0,2012,clareo,"7,399,729","18,854,708",retail
999,italy,5,5.0,2013,laca trade,"9,717,860","24,741,510",property
