name,world_rank,marketValue,marketCap,CEO,country
FGL HOLDINGS,"4,616","4,616","4,616",,USA
TOPICUS.COM INC.,"4,617",3.190 Billion USD,4.047 Billion USD,,Canada
SHANDONG IRON AND STEEL COMPANY LTD.,"4,618",3.190 Billion USD,3.793 Billion USD,,China
NUODE INVESTMENT,"4,619",3.190 Billion USD,3.636 Billion USD,,China
"SHANGHAI HIUV NEW MATERIALS CO.,LTD","4,620",3.185 Billion USD,3.617 Billion USD,,China
SUDZUCKER AG,"4,621",3.193 Billion USD,3.472 Billion USD,,Germany
NORTHWESTERN CORPORATION,"4,622",3.190 Billion USD,3.280 Billion USD,,USA
EATON VANCE TAX-MANAGED GLOBAL DIVERSIFIED EQUITY INCOME FUND,"4,623",3.191 Billion USD,3.257 Billion USD,,USA
CHALLENGER LIMITED,"4,624",3.194 Billion USD,3.222 Billion USD,,Australia
"WUXI AUTOWELL TECHNOLOGY CO.,LTD.","4,625",3.193 Billion USD,3.178 Billion USD,,China
ORIENTAL ENERGY,"4,626",3.186 Billion USD,3.035 Billion USD,,China
TSINGHUA TONGFANG,"4,627",3.187 Billion USD,2.905 Billion USD,,China
HYUNDAI AUTOEVER CORPORATION,"4,628",3.191 Billion USD,2.818 Billion USD,,South Korea
PHOENIX HOLDINGS LTD,"4,629",3.188 Billion USD,2.678 Billion USD,,Israel
TAUBMAN CENTERS,"4,630","4,630",2.654 Billion USD,,USA
SICHUAN TEWAY FOOD GROUP,"4,630",3.194 Billion USD,2.422 Billion USD,,China
CALLON PETROLEUM COMPANY,"4,631",3.187 Billion USD,1.582 Billion USD,,USA
"LIFE TIME GROUP HOLDINGS, INC.","4,632",3.185 Billion USD,,,USA
I-MAB,"4,633",3.176 Billion USD,5.458 Billion USD,,China
KYUSHU RAILWAY COMPANY,"4,634",3.178 Billion USD,3.543 Billion USD,,Japan
WALSIN LIHWA CORPORATION,"4,635",3.180 Billion USD,3.323 Billion USD,,Taiwan
SUMITOMO HEAVY INDUSTRIES,"4,636",3.175 Billion USD,3.289 Billion USD,,Japan
AMICUS THERAPEUTICS,"4,637",3.179 Billion USD,3.036 Billion USD,,USA
THK,"4,638",3.182 Billion USD,2.992 Billion USD,,Japan
SILICON MOTION TECHNOLOGY CORPORATION,"4,639",3.175 Billion USD,2.596 Billion USD,,Hong Kong
RUSH ENTERPRISES,"4,640",3.178 Billion USD,2.434 Billion USD,,USA
TURKCELL ILETISIM HIZMETLERI,"4,641",3.169 Billion USD,4.357 Billion USD,,Turkey
TEREX CORPORATION,"4,642",3.172 Billion USD,3.563 Billion USD,,USA
CNHTC JINAN TRUCK,"4,643",3.170 Billion USD,3.472 Billion USD,,China
BUMRUNGRAD HOSPITAL PUBLIC COMPANY,"4,644",3.174 Billion USD,3.251 Billion USD,,Thailand
ILUKA RESOURCES,"4,645",3.166 Billion USD,3.129 Billion USD,,Australia
JTEKT CORPORATION,"4,646",3.173 Billion USD,3.124 Billion USD,,Japan
THAI OIL PUBLIC COMPANY,"4,647",3.166 Billion USD,3.099 Billion USD,,Thailand
SUNTEC REAL ESTATE INVESTMENT TRUST,"4,648",3.166 Billion USD,3.092 Billion USD,,Singapore
SNGN ROMGAZ SA,"4,649",3.167 Billion USD,3.041 Billion USD,,Romania
WANXIANG QIANCHAO,"4,650",3.168 Billion USD,2.914 Billion USD,,China
SUNRESIN NEW MATERIALS,"4,651",3.165 Billion USD,2.905 Billion USD,,China
LIVONGO HEALTH,"4,652","4,652","4,652",,USA
MILKYWAY CHEMICAL SUPPLY CHAIN SERVICE CO. LTD,"4,652",3.167 Billion USD,2.621 Billion USD,,China
SHANDONGDENGHAI SEEDS,"4,653",3.172 Billion USD,2.377 Billion USD,,China
BRIGHT DAIRY & FOOD,"4,654",3.169 Billion USD,2.331 Billion USD,,China
INTER PARFUMS,"4,655",3.171 Billion USD,2.296 Billion USD,,USA
DONGYUE GROUP LIMITED,"4,656",3.157 Billion USD,6.836 Billion USD,,China
NEW ORIENTAL EDUCATION & TECHNOLOGY GROUP,"4,657",3.156 Billion USD,3.846 Billion USD,,China
EXTENDED STAY AMERICA,"4,658","4,658",2.630 Billion USD,,USA
NEOENERGIA S.A.,"4,658",3.163 Billion USD,3.833 Billion USD,,Brazil
INTRUM AB (PUBL),"4,659",3.164 Billion USD,3.775 Billion USD,,Sweden
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S/A,"4,660",3.161 Billion USD,3.245 Billion USD,,Brazil
LAOBAIXING PHARMACY CHAIN JOINT STOCK COMPANY,"4,661",3.160 Billion USD,3.211 Billion USD,,China
"ZENTALIS PHARMACEUTICALS, INC.","4,662",3.161 Billion USD,3.072 Billion USD,,USA
TATA CHEMICALS,"4,663",3.164 Billion USD,3.001 Billion USD,,India
SHANGHAI FLYCO ELECTRICAL APPLIANCE,"4,664",3.160 Billion USD,2.742 Billion USD,,China
VALIANT,"4,665",3.159 Billion USD,2.740 Billion USD,,China
HELIOS TECHNOLOGIES,"4,666",3.164 Billion USD,2.644 Billion USD,,USA
HARBOURVEST GLOBAL PRIVATE EQUITY LIMITED,"4,667",3.158 Billion USD,2.596 Billion USD,,UK
C3.AI,"4,668",3.145 Billion USD,5.359 Billion USD,,USA
BIM BIRLESIK MAGAZALAR,"4,669",3.153 Billion USD,5.212 Billion USD,,Turkey
MIANYANG FULIN PRECISION MACHINING,"4,670",3.152 Billion USD,4.464 Billion USD,,China
NINETY ONE GROUP,"4,671",3.148 Billion USD,3.396 Billion USD,,South Africa
MR. COOPER GROUP,"4,672",3.154 Billion USD,3.349 Billion USD,,USA
COFCO TUNHE SUGAR CO. LTD,"4,673",3.154 Billion USD,3.038 Billion USD,,China
HUBEI FEILIHUA QUARTZ GLASS,"4,674",3.152 Billion USD,2.945 Billion USD,,China
OLLIE'S BARGAIN OUTLET HOLDINGS,"4,675",3.138 Billion USD,4.725 Billion USD,,USA
FRONTDOOR,"4,676",3.142 Billion USD,3.740 Billion USD,,USA
SEKISUI HOUSE REIT,"4,677",3.141 Billion USD,3.632 Billion USD,,Japan
PT VALE INDONESIA TBK,"4,678",3.137 Billion USD,3.495 Billion USD,,Indonesia
GS ENGINEERING & CONSTRUCTION CORPORATION,"4,679",3.140 Billion USD,3.256 Billion USD,,South Korea
JOHN WILEY & SONS,"4,680",3.143 Billion USD,3.244 Billion USD,,USA
RISESUN REAL ESTATE DEVELOPMENT,"4,681",3.141 Billion USD,3.196 Billion USD,,China
CNO FINANCIAL GROUP,"4,682",3.138 Billion USD,3.126 Billion USD,,USA
IMMOFINANZ AG,"4,683",3.140 Billion USD,2.948 Billion USD,,Austria
WPG HOLDINGS,"4,684",3.142 Billion USD,2.907 Billion USD,,Taiwan
EMPIRE STATE REALTY OP,"4,685",3.143 Billion USD,2.886 Billion USD,,USA
COFCO BIOTECHNOLOGY,"4,686",3.137 Billion USD,2.597 Billion USD,,China
TOFAS TURK OTOMOBIL FABRIKASI,"4,687",3.137 Billion USD,2.557 Billion USD,,Turkey
NORTH CHINA PHARMACEUTICAL COMPANY. LTD,"4,688",3.135 Billion USD,2.146 Billion USD,,China
ELION ENERGY COMPANY,"4,689",3.141 Billion USD,1.976 Billion USD,,China
PLAYTECH,"4,690",3.142 Billion USD,1.850 Billion USD,,Isle of Man
KOREA INVESTMENT HOLDINGS,"4,691",3.127 Billion USD,5.039 Billion USD,,South Korea
WHIRLPOOL OF INDIA,"4,692",3.127 Billion USD,3.773 Billion USD,,India
CHONGQING IRON & STEEL COMPANY LIMITED,"4,693",3.126 Billion USD,3.747 Billion USD,,China
RWS HOLDINGS,"4,694",3.132 Billion USD,3.516 Billion USD,,UK
VINDA INTERNATIONAL HOLDINGS,"4,695",3.133 Billion USD,3.505 Billion USD,,China
GS HOLDINGS,"4,696",3.127 Billion USD,3.426 Billion USD,,South Korea
NH INVESTMENT & SECURITIES,"4,697",3.133 Billion USD,3.368 Billion USD,,South Korea
CALBEE,"4,698",3.131 Billion USD,3.332 Billion USD,,Japan
EMBRAER,"4,699",3.134 Billion USD,3.321 Billion USD,,Brazil
SOUTHERN SHUANGLIN BIO-PHARMACY,"4,700",3.132 Billion USD,3.243 Billion USD,,China
CHOW TAI SENG JEWELLERY,"4,701",3.130 Billion USD,3.081 Billion USD,,China
GRAHAM HOLDINGS COMPANY,"4,702",3.126 Billion USD,3.076 Billion USD,,USA
TA CHEN STAINLESS PIPE,"4,703",3.129 Billion USD,2.869 Billion USD,,Taiwan
NATIONAL BANK OF GREECE,"4,704",3.128 Billion USD,2.751 Billion USD,,Greece
WEBER INC.,"4,705",3.122 Billion USD,4.670 Billion USD,,USA
360 FINANCE,"4,706",3.116 Billion USD,3.475 Billion USD,,China
LIVERAMP HOLDINGS,"4,707",3.121 Billion USD,3.328 Billion USD,,USA
MERCURY GENERAL CORPORATION,"4,708",3.116 Billion USD,3.322 Billion USD,,USA
GRAINGER,"4,709",3.119 Billion USD,3.015 Billion USD,,UK
PEBBLEBROOK HOTEL TRUST,"4,710",3.115 Billion USD,2.896 Billion USD,,USA
ATLANTIC UNION BANKSHARES CORPORATION,"4,711",3.116 Billion USD,2.845 Billion USD,,USA
FIBOCOM WIRELESS,"4,712",3.115 Billion USD,2.754 Billion USD,,China
MEG ENERGY,"4,713",3.115 Billion USD,1.948 Billion USD,,Canada
VIMIAN GROUP AB (PUBL),"4,714",3.108 Billion USD,4.856 Billion USD,,Sweden
WHITE MOUNTAINS INSURANCE GROUP,"4,715",3.105 Billion USD,3.481 Billion USD,,USA
IHI CORPORATION,"4,716",3.107 Billion USD,3.372 Billion USD,,Japan
CT REAL ESTATE INVESTMENT TRUST,"4,717",3.110 Billion USD,3.202 Billion USD,,Canada
GRAFTECH INTERNATIONAL,"4,718",3.109 Billion USD,2.965 Billion USD,,USA
OIL INDIA,"4,719",3.107 Billion USD,2.724 Billion USD,,India
CANFOR CORPORATION,"4,720",3.114 Billion USD,2.673 Billion USD,,Canada
RED ROCK RESORTS,"4,721",3.097 Billion USD,5.447 Billion USD,,USA
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,"4,722",3.096 Billion USD,3.431 Billion USD,,Brazil
BREVILLE GROUP,"4,723",3.103 Billion USD,3.360 Billion USD,,Australia
VISHAY INTERTECHNOLOGY,"4,724",3.097 Billion USD,3.265 Billion USD,,USA
BEIJING BDSTAR NAVIGATION,"4,725",3.104 Billion USD,3.246 Billion USD,,China
ARB CORPORATION,"4,726",3.098 Billion USD,3.094 Billion USD,,Australia
AIR FRANCE-KLM SA,"4,727",3.096 Billion USD,3.031 Billion USD,,France
TURQUOISE HILL RESOURCES LTD.,"4,728",3.100 Billion USD,3.008 Billion USD,,Canada
CVB FINANCIAL,"4,729",3.099 Billion USD,2.767 Billion USD,,USA
NINGBO XUSHENG AUTO TECHNOLOGY,"4,730",3.104 Billion USD,2.464 Billion USD,,China
ALPARGATAS,"4,731",3.094 Billion USD,6.070 Billion USD,,Brazil
RENT-A-CENTER,"4,732",3.086 Billion USD,4.192 Billion USD,,USA
CERENCE,"4,733",3.094 Billion USD,4.121 Billion USD,,USA
COUNTRYSIDE PROPERTIES,"4,734",3.094 Billion USD,4.050 Billion USD,,UK
SUNDRUG,"4,735",3.086 Billion USD,3.915 Billion USD,,Japan
CASIO COMPUTER,"4,736",3.085 Billion USD,3.846 Billion USD,,Japan
ALLWINNERTECH TECHNOLOGY,"4,737",3.091 Billion USD,3.639 Billion USD,,China
PETS AT HOME GROUP,"4,738",3.089 Billion USD,3.475 Billion USD,,UK
SOUTHERN CALIFORNIA GAS COMPANY PFD SER A 6%,"4,739",3.093 Billion USD,3.190 Billion USD,,USA
KENNAMETAL,"4,740",3.093 Billion USD,3.109 Billion USD,,USA
PINGDINGSHAN TIANAN COAL. MINING,"4,741",3.088 Billion USD,3.058 Billion USD,,China
TECHNIPFMC,"4,742",3.087 Billion USD,2.988 Billion USD,,UK
SICHUAN SHUANGMA CEMENT CO. LTD,"4,743",3.089 Billion USD,2.901 Billion USD,,China
MAIN STREET CAPITAL CORPORATION,"4,744",3.089 Billion USD,2.854 Billion USD,,USA
GUANGZHOU WONDFO BIOTECH,"4,745",3.094 Billion USD,2.829 Billion USD,,China
JM AB (PUBL),"4,746",3.089 Billion USD,2.726 Billion USD,,Sweden
ST. JOE COMPANY,"4,747",3.087 Billion USD,2.718 Billion USD,,USA
CNX RESOURCES CORPORATION,"4,748",3.094 Billion USD,2.529 Billion USD,,USA
FORWARD AIR CORPORATION,"4,749",3.086 Billion USD,2.389 Billion USD,,USA
VATS LIQUOR CHAIN STORE MANAGEMENT JOINT STOCK,"4,750",3.092 Billion USD,1.878 Billion USD,,China
YINGKOU PORT LIABILITY,"4,751","4,751",2.546 Billion USD,,China
WERNER ENTERPRISES,"4,758",3.077 Billion USD,3.204 Billion USD,,USA
ITM POWER,"4,751",3.077 Billion USD,3.783 Billion USD,,UK
ARJO AB (PUBL),"4,752",3.076 Billion USD,3.654 Billion USD,,Sweden
GREENTOWN SERVICE GROUP,"4,753",3.078 Billion USD,3.543 Billion USD,,China
DURATEX,"4,753","4,753",2.545 Billion USD,,Brazil
KINDEN CORPORATION,"4,754",3.076 Billion USD,3.482 Billion USD,,Japan
MEITETSU NAGOYA RAILROAD,"4,755",3.077 Billion USD,3.465 Billion USD,,Japan
HEMFOSA FASTIGHETER AB (PUBL),"4,755","4,755","4,755",,Sweden
KURARAY,"4,756",3.082 Billion USD,3.268 Billion USD,,Japan
TOKYO TATEMONO,"4,757",3.081 Billion USD,3.220 Billion USD,,Japan
UNITI GROUP,"4,760",3.078 Billion USD,3.073 Billion USD,,USA
MIPS AB (PUBL),"4,761",3.077 Billion USD,2.899 Billion USD,,Sweden
JIANGSU PACIFIC QUARTZ CO. LTD,"4,762",3.084 Billion USD,2.248 Billion USD,,China
EMAMI,"4,763",3.073 Billion USD,3.726 Billion USD,,India
ALABAMA POWER COMPANY,"4,764",3.069 Billion USD,3.512 Billion USD,,USA
ULTRA ELECTRONICS HOLDINGS,"4,765",3.070 Billion USD,3.152 Billion USD,,UK
AHLSTROM-MUNKSJO OYJ,"4,765","4,765",2.534 Billion USD,,Finland
LAND AND HOUSES PUBLIC COMPANY,"4,766",3.070 Billion USD,3.019 Billion USD,,Thailand
CHINA WAFER LEVEL CSP,"4,767",3.070 Billion USD,3.015 Billion USD,,China
TIANJIN ZHONG XIN PHARMACEUTICAL GROUP CORPORATION,"4,768",3.065 Billion USD,2.945 Billion USD,,China
THE SCHIEHALLION FUND LIMITED,"4,769",3.069 Billion USD,2.808 Billion USD,,UK
"HONGDA XINGYE CO., LTD.","4,770",3.071 Billion USD,2.704 Billion USD,,China
SINA CORPORATION,"4,771","4,771",2.532 Billion USD,,China
JIZHONG ENERGY RESOURCES,"4,771",3.073 Billion USD,2.576 Billion USD,,China
HISENSE HOME APPLIANCES GROUP,"4,772",3.074 Billion USD,2.374 Billion USD,,China
51JOB,"4,773",3.061 Billion USD,5.179 Billion USD,,China
ZHEJIANG XINAN CHEMICAL INDUSTRIAL GROUP,"4,774",3.057 Billion USD,4.902 Billion USD,,China
ARTISAN PARTNERS ASSET MANAGEMENT,"4,775",3.058 Billion USD,4.107 Billion USD,,USA
SISTEMA PUBLIC JOINT STOCK FINANCIAL CORPORATION,"4,776",3.061 Billion USD,3.869 Billion USD,,Russia
NICHIREI CORPORATION,"4,777",3.062 Billion USD,3.429 Billion USD,,Japan
SYNTHORX,"4,777","4,777","4,777",,USA
"FRONTIER GROUP HOLDINGS, INC.","4,778",3.063 Billion USD,3.303 Billion USD,,USA
COROMANDEL INTERNATIONAL,"4,779",3.059 Billion USD,3.276 Billion USD,,India
CREDIT BANK OF MOSCOW (PUBLIC JOINT-STOCK COMPANY),"4,780",3.059 Billion USD,3.261 Billion USD,,Russia
LASALLE LOGIPORT REIT,"4,781",3.059 Billion USD,3.127 Billion USD,,Japan
BPER BANCA,"4,782",3.061 Billion USD,3.102 Billion USD,,Italy
NYFOSA AB (PUBL),"4,783",3.059 Billion USD,3.019 Billion USD,,Sweden
CANNAE HOLDINGS,"4,784",3.061 Billion USD,2.839 Billion USD,,USA
NATIONAL STANDARD (INDIA),"4,785",3.056 Billion USD,0.830 Billion USD,,India
TILRAY,"4,786",3.047 Billion USD,6.150 Billion USD,,Canada
TUYA INC.,"4,787",3.045 Billion USD,5.838 Billion USD,,China
HYPERA,"4,788",3.053 Billion USD,4.273 Billion USD,,Brazil
CONZZETA AG,"4,788","4,788",2.516 Billion USD,,Switzerland
NEW INDIA ASSURANCE COMPANY,"4,789",3.047 Billion USD,3.685 Billion USD,,India
ROSSETI,"4,790",3.047 Billion USD,3.674 Billion USD,,Russia
WORLDWIDE HEALTHCARE TRUST,"4,791",3.051 Billion USD,3.436 Billion USD,,UK
SHIMAMURA,"4,792",3.047 Billion USD,3.311 Billion USD,,Japan
INSMED,"4,793",3.048 Billion USD,3.232 Billion USD,,USA
ALPHA BANK,"4,794",3.045 Billion USD,3.213 Billion USD,,Greece
"GRUPO SANBORNS, S.A.B. DE C.V.","4,795",3.049 Billion USD,2.528 Billion USD,,Mexico
SABRE CORPORATION,"4,833",3.008 Billion USD,3.623 Billion USD,,USA
SHANGHAI AEROSPACE AUTOMOBILE ELECTROMECHANICAL,"4,796",3.045 Billion USD,2.151 Billion USD,,China
PFIZER INDIA,"4,797",3.037 Billion USD,3.744 Billion USD,,India
COMMVAULT SYSTEMS,"4,798",3.035 Billion USD,3.714 Billion USD,,USA
B.GRIMM POWER PUBLIC COMPANY,"4,799",3.039 Billion USD,3.697 Billion USD,,Thailand
PORT OF TAURANGA,"4,800",3.035 Billion USD,3.569 Billion USD,,New Zealand
OSOTSPA PUBLIC COMPANY,"4,834",3.011 Billion USD,3.329 Billion USD,,Thailand
DFDS A/S,"4,835",3.009 Billion USD,3.270 Billion USD,,Denmark
ARGAN SA,"4,836",3.013 Billion USD,2.958 Billion USD,,France
RAMBUS,"4,837",3.012 Billion USD,2.684 Billion USD,,USA
DEVYANI INTERNATIONAL LIMITED,"4,838",3.011 Billion USD,2.130 Billion USD,,India
AF POYRY AB (PUBL),"4,839",2.997 Billion USD,3.750 Billion USD,,Sweden
HORTEN AG,"4,839",,,,Germany
CITIC HEAVY INDUSTRIES,"4,840",2.999 Billion USD,3.150 Billion USD,,China
OUTOKUMPU OYJ,"4,841",3.004 Billion USD,3.128 Billion USD,,Finland
KEWPIE CORPORATION,"4,801",3.035 Billion USD,3.379 Billion USD,,Japan
DB INSURANCE,"4,802",3.035 Billion USD,3.037 Billion USD,,South Korea
"LEADER HARMONIOUS DRIVE SYSTEMS CO., LTD.","4,803",3.036 Billion USD,2.973 Billion USD,,China
BANK OF XI'AN,"4,804",3.043 Billion USD,2.953 Billion USD,,China
AVISTA CORPORATION,"4,805",3.042 Billion USD,2.916 Billion USD,,USA
FRASERS LOGISTICS & INDUSTRIAL TRUST,"4,806","4,806","4,806",,Singapore
SHENZHEN FASTPRINT CIRCUIT TECH,"4,806",3.043 Billion USD,2.875 Billion USD,,China
JIANGSU AKCOME SCIENCE AND TECHNOLOGY,"4,807",3.039 Billion USD,2.817 Billion USD,,China
"E2OPEN PARENT HOLDINGS, INC.","4,808",3.039 Billion USD,2.807 Billion USD,,USA
SWISSQUOTE GROUP HOLDING LTD,"4,809",3.039 Billion USD,2.800 Billion USD,,Switzerland
JINYU BIO-TECHNOLOGY,"4,810",3.041 Billion USD,2.659 Billion USD,,China
INNER MONGOLIA FIRST MACHINERY GROUP,"4,811",3.042 Billion USD,2.602 Billion USD,,China
THERMAX,"4,812",3.044 Billion USD,2.350 Billion USD,,India
H&R REAL ESTATE INVESTMENT TRUST,"4,813",3.031 Billion USD,3.847 Billion USD,,Canada
DAR AL ARKAN REAL ESTATE DEVELOPMENT COMPANY,"4,842",2.995 Billion USD,2.974 Billion USD,,Saudi Arabia
SINOMINE RESOURCE GROUP,"4,843",2.995 Billion USD,2.932 Billion USD,,China
HELMERICH & PAYNE,"4,844",3.000 Billion USD,2.905 Billion USD,,USA
ZHONGSHAN BROAD-OCEAN MOTOR,"4,845",2.995 Billion USD,2.899 Billion USD,,China
XIAMEN KINGDOMWAY GROUP COMPANY,"4,846",2.995 Billion USD,2.862 Billion USD,,China
DREAM INDUSTRIAL REAL ESTATE INVESTMENT TRUST,"4,847",3.002 Billion USD,2.763 Billion USD,,Canada
SHENZHEN EXPRESSWAY COMPANY,"4,848",2.995 Billion USD,2.760 Billion USD,,China
TRIUMPH BANCORP,"4,849",2.996 Billion USD,2.065 Billion USD,,USA
IRHYTHM TECHNOLOGIES,"4,850",3.000 Billion USD,1.405 Billion USD,,USA
APTUS VALUE HOUSING FINANCE INDIA LIMITED,"4,850","4,850",,,India
HEMBLA AB (PUBL),"4,813","4,813","4,813",,Sweden
CHAMPION REAL ESTATE INVESTMENT TRUST,"4,814",3.029 Billion USD,3.388 Billion USD,,Hong Kong
ZENKOKU HOSHO,"4,815",3.025 Billion USD,3.280 Billion USD,,Japan
NOLATO AB (PUBL),"4,816",3.030 Billion USD,3.266 Billion USD,,Sweden
J & J SNACK FOODS,"4,817",3.027 Billion USD,3.122 Billion USD,,USA
KESHUN WATERPROOF TECHNOLOGY,"4,818",3.030 Billion USD,3.061 Billion USD,,China
WISCONSIN ELECTRIC POWER COMPANY PFD 3.60%,"4,819",3.029 Billion USD,3.033 Billion USD,,Utilities
KEPPEL REIT,"4,820",3.026 Billion USD,2.918 Billion USD,,Singapore
BEFESA,"4,821",3.027 Billion USD,2.769 Billion USD,,Luxembourg
OPKO HEALTH,"4,822",3.032 Billion USD,2.629 Billion USD,,USA
VEON,"4,851",2.991 Billion USD,3.831 Billion USD,,Netherlands
AFRICAN RAINBOW MINERALS,"4,852",2.994 Billion USD,3.456 Billion USD,,South Africa
QUAKESAFE TECHNOLOGIES,"4,853",2.989 Billion USD,3.402 Billion USD,,China
PUBLIC JOINT STOCK OIL COMPANY BASHNEFT,"4,854",2.985 Billion USD,3.399 Billion USD,,Russia
KEPPEL DC REIT,"4,855",2.987 Billion USD,3.185 Billion USD,,Singapore
INVESTEC BANK,"4,856","4,856",2.460 Billion USD,,South Africa
TAN CHONG INTERNATIONAL,"4,856",2.985 Billion USD,3.054 Billion USD,,Hong Kong
OSTERREICHISCHE POST AG,"4,857",2.989 Billion USD,3.053 Billion USD,,Austria
WISTRON CORPORATION,"4,858",2.991 Billion USD,2.821 Billion USD,,Taiwan
WEMAKEPRICE,"4,858","4,858","4,858",,South Korea
AAVAS FINANCIERS LIMITED,"4,859",2.990 Billion USD,2.689 Billion USD,,India
LEE AND MAN PAPER MANUFACTURING,"4,823",3.023 Billion USD,3.888 Billion USD,,China
SIMCERE PHARMACEUTICAL GROUP LIMITED,"4,860",2.990 Billion USD,2.628 Billion USD,,China
XIAMEN XIANGYU,"4,861",2.985 Billion USD,2.605 Billion USD,,China
VALARIS,"4,862",2.985 Billion USD,2.227 Billion USD,,UK
ANSELL,"4,824",3.016 Billion USD,3.460 Billion USD,,Australia
MANTECH INTERNATIONAL CORPORATION,"4,825",3.023 Billion USD,3.221 Billion USD,,USA
CHENGZHI SHAREHOLDING,"4,826",3.018 Billion USD,3.064 Billion USD,,China
COFCO CAPITAL HOLDINGS,"4,827",3.015 Billion USD,3.052 Billion USD,,China
LEM HOLDING SA,"4,828",3.015 Billion USD,3.051 Billion USD,,Switzerland
PRESTIGE CONSUMER HEALTHCARE,"4,829",3.022 Billion USD,2.873 Billion USD,,USA
METCASH,"4,830",3.016 Billion USD,2.844 Billion USD,,Australia
PT BERKAH BETON SADAYA TBK,"4,831",3.018 Billion USD,0.630 Billion USD,,Indonesia
"ARCTECH SOLAR HOLDING CO., LTD.","4,832",3.005 Billion USD,3.929 Billion USD,,China
ROYAL BAFOKENG PLATINUM,"4,863",2.985 Billion USD,1.732 Billion USD,,South Africa
ASOS,"4,864",2.984 Billion USD,5.323 Billion USD,,UK
ENERGISA,"4,865",2.980 Billion USD,3.769 Billion USD,,Brazil
COMPANIA CERVECERIAS UNIDAS,"4,866",2.984 Billion USD,3.759 Billion USD,,Chile
INTEGRAL AD SCIENCE HOLDING CORP.,"4,867",2.983 Billion USD,3.406 Billion USD,,USA
SINO WEALTH ELECTRONIC,"4,868",2.982 Billion USD,3.103 Billion USD,,China
LAO FENG XIANG,"4,869",2.980 Billion USD,2.975 Billion USD,,China
SUMMIT INDUSTRIAL INCOME REIT,"4,870",2.982 Billion USD,2.854 Billion USD,,Canada
COVIVIO HOTELS SOCIETE ANONYME,"4,871",2.979 Billion USD,2.850 Billion USD,,France
CHINA RAILWAY HI-TECH INDUSTRY CORPORATION,"4,872",2.976 Billion USD,2.849 Billion USD,,China
GESTAMP AUTOMOCION,"4,873",2.978 Billion USD,2.659 Billion USD,,Spain
TRANSALTA CORPORATION,"4,874",2.979 Billion USD,2.647 Billion USD,,Canada
NANTONG JIANGHAI CAPACITOR,"4,875",2.975 Billion USD,2.230 Billion USD,,China
SANY HEAVY EQUIPMENT INTERNATIONAL HOLDINGS COMPANY,"4,876",2.968 Billion USD,4.011 Billion USD,,China
PT SEMEN INDONESIA (PERSERO) TBK,"4,877",2.969 Billion USD,3.747 Billion USD,,Indonesia
JIANGSU NATA OPTO-ELECTRONIC MATERIAL,"4,878",2.971 Billion USD,3.565 Billion USD,,China
BAYER CROPSCIENCE,"4,879",2.968 Billion USD,3.478 Billion USD,,India
"BANK OF JINZHOU CO., LTD.","4,880",2.973 Billion USD,3.357 Billion USD,,China
SESA,"4,881",2.970 Billion USD,3.100 Billion USD,,Italy
PETRO RIO,"4,882",2.966 Billion USD,3.057 Billion USD,,Brazil
AGL ENERGY,"4,883",2.969 Billion USD,3.038 Billion USD,,Australia
TOYODA GOSEI,"4,884",2.970 Billion USD,2.782 Billion USD,,Japan
CYTOKINETICS,"4,885",2.966 Billion USD,2.753 Billion USD,,USA
LINDE INDIA,"4,886",2.970 Billion USD,2.752 Billion USD,,India
SHIKUN & BINUI,"4,887",2.967 Billion USD,2.497 Billion USD,,Israel
INDIAN HOTELS COMPANY,"4,888",2.968 Billion USD,2.452 Billion USD,,India
KINGCLEAN ELECTRIC CO.LTD,"4,889",2.972 Billion USD,2.280 Billion USD,,China
CHINA DATANG CORPORATION RENEWABLE POWER,"4,890",2.965 Billion USD,2.080 Billion USD,,China
PT BANK HARDA INTERNASIONAL TBK,"4,891",2.973 Billion USD,1.748 Billion USD,,Indonesia
AMOREPACIFIC GROUP,"4,892",2.957 Billion USD,4.045 Billion USD,,South Korea
DAIWA OFFICE INVESTMENT CORPORATION,"4,893",2.957 Billion USD,3.451 Billion USD,,Japan
BYSTRONIC AG,"4,894",2.958 Billion USD,2.926 Billion USD,,Switzerland
AMERICA GREAT HEALTH,"4,895",2.955 Billion USD,2.876 Billion USD,,USA
CHINA ENTERPRISE COMPANY,"4,896",2.961 Billion USD,2.597 Billion USD,,China
CALEDONIA INVESTMENTS,"4,897",2.963 Billion USD,2.582 Billion USD,,UK
JINGJIN ENVIRONMENTAL PROTECTION,"4,898",2.957 Billion USD,2.400 Billion USD,,China
ZHONGYU GAS HOLDINGS,"4,899",2.957 Billion USD,2.269 Billion USD,,Hong Kong
SUNAC SERVICES HOLDINGS LIMITED,"4,900",2.952 Billion USD,7.675 Billion USD,,China
KCE ELECTRONICS PUBLIC COMPANY,"4,901",2.948 Billion USD,5.749 Billion USD,,Thailand
DAQO NEW ENERGY,"4,902",2.947 Billion USD,4.507 Billion USD,,China
"AKESO, INC.","4,903",2.949 Billion USD,4.196 Billion USD,,China
SEIBU HOLDINGS,"4,904",2.954 Billion USD,3.940 Billion USD,,Japan
NIPPON LIFE INDIA ASSET MANAGEMENT,"4,905",2.950 Billion USD,3.533 Billion USD,,India
